"Plot Title: ChildsT3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20456140, LBL: childs trans 3 - 30 cm)","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20456142, LBL: childs trans 3 - 60 cm)"
1,07/07/20 01:30:01 PM,0.3496,0.4004
2,07/07/20 02:00:01 PM,0.3500,0.4004
3,07/07/20 02:30:01 PM,0.3500,0.4010
4,07/07/20 03:00:01 PM,0.3500,0.4004
5,07/07/20 03:30:01 PM,0.3506,0.4004
6,07/07/20 04:00:01 PM,0.3496,0.3997
7,07/07/20 04:30:01 PM,0.3496,0.4004
8,07/07/20 05:00:01 PM,0.3500,0.4004
9,07/07/20 05:30:01 PM,0.3496,0.3997
10,07/07/20 06:00:01 PM,0.3506,0.4004
11,07/07/20 06:30:01 PM,0.3500,0.4004
12,07/07/20 07:00:01 PM,0.3506,0.3997
13,07/07/20 07:30:01 PM,0.3500,0.4004
14,07/07/20 08:00:01 PM,0.3500,0.4004
15,07/07/20 08:30:01 PM,0.3500,0.3997
16,07/07/20 09:00:01 PM,0.3496,0.4004
17,07/07/20 09:30:01 PM,0.3506,0.3997
18,07/07/20 10:00:01 PM,0.3500,0.3997
19,07/07/20 10:30:01 PM,0.3500,0.3997
20,07/07/20 11:00:01 PM,0.3506,0.3997
21,07/07/20 11:30:01 PM,0.3496,0.3997
22,07/08/20 12:00:01 AM,0.3496,0.3997
23,07/08/20 12:30:01 AM,0.3506,0.3997
24,07/08/20 01:00:01 AM,0.3500,0.3997
25,07/08/20 01:30:01 AM,0.3506,0.3990
26,07/08/20 02:00:01 AM,0.3506,0.3997
27,07/08/20 02:30:01 AM,0.3496,0.3997
28,07/08/20 03:00:01 AM,0.3506,0.3997
29,07/08/20 03:30:01 AM,0.3500,0.3997
30,07/08/20 04:00:01 AM,0.3506,0.3997
31,07/08/20 04:30:01 AM,0.3500,0.3997
32,07/08/20 05:00:01 AM,0.3500,0.3997
33,07/08/20 05:30:01 AM,0.3500,0.3990
34,07/08/20 06:00:01 AM,0.3496,0.3997
35,07/08/20 06:30:01 AM,0.3500,0.3997
36,07/08/20 07:00:01 AM,0.3500,0.3997
37,07/08/20 07:30:01 AM,0.3496,0.3997
38,07/08/20 08:00:01 AM,0.3506,0.3997
39,07/08/20 08:30:01 AM,0.3496,0.3997
40,07/08/20 09:00:01 AM,0.3500,0.4004
41,07/08/20 09:30:01 AM,0.3500,0.4004
42,07/08/20 10:00:01 AM,0.3506,0.3997
43,07/08/20 10:30:01 AM,0.3506,0.3997
44,07/08/20 11:00:01 AM,0.3496,0.1441
45,07/08/20 11:30:01 AM,0.3496,0.3990
46,07/08/20 12:00:01 PM,0.3500,0.3997
47,07/08/20 12:30:01 PM,0.3506,0.3997
48,07/08/20 01:00:01 PM,0.3500,0.3997
49,07/08/20 01:30:01 PM,0.3496,-0.4185
50,07/08/20 02:00:01 PM,0.3506,0.4004
51,07/08/20 02:30:01 PM,0.3496,0.4004
52,07/08/20 03:00:01 PM,0.3500,0.3990
53,07/08/20 03:30:01 PM,0.3496,0.4004
54,07/08/20 04:00:01 PM,0.3500,0.4004
55,07/08/20 04:30:01 PM,0.3496,0.3990
56,07/08/20 05:00:01 PM,0.3500,0.4004
57,07/08/20 05:30:01 PM,0.3496,0.4004
58,07/08/20 06:00:01 PM,0.3500,0.3997
59,07/08/20 06:30:01 PM,0.3496,0.3997
60,07/08/20 07:00:01 PM,0.3496,0.3997
61,07/08/20 07:30:01 PM,0.3496,0.3985
62,07/08/20 08:00:01 PM,0.3500,0.3985
63,07/08/20 08:30:01 PM,0.3500,0.3997
64,07/08/20 09:00:01 PM,0.3496,0.0902
65,07/08/20 09:30:01 PM,0.3496,0.3997
66,07/08/20 10:00:01 PM,0.3496,0.3997
67,07/08/20 10:30:01 PM,0.3496,0.3997
68,07/08/20 11:00:01 PM,0.3496,0.3997
69,07/08/20 11:30:01 PM,0.3496,0.3990
70,07/09/20 12:00:01 AM,0.3490,0.3997
71,07/09/20 12:30:01 AM,0.3490,0.3997
72,07/09/20 01:00:01 AM,0.3496,0.3997
73,07/09/20 01:30:01 AM,0.3496,0.3997
74,07/09/20 02:00:01 AM,0.3496,0.3990
75,07/09/20 02:30:01 AM,0.3496,0.3990
76,07/09/20 03:00:01 AM,0.3496,0.3997
77,07/09/20 03:30:01 AM,0.3490,0.3997
78,07/09/20 04:00:01 AM,0.3500,0.3990
79,07/09/20 04:30:01 AM,0.3500,0.3990
80,07/09/20 05:00:01 AM,0.3500,0.3997
81,07/09/20 05:30:01 AM,0.3496,0.3997
82,07/09/20 06:00:01 AM,0.3496,0.3997
83,07/09/20 06:30:01 AM,0.3496,0.3997
84,07/09/20 07:00:01 AM,0.3490,0.3997
85,07/09/20 07:30:01 AM,0.3500,0.3997
86,07/09/20 08:00:01 AM,0.3496,0.3997
87,07/09/20 08:30:01 AM,0.3500,0.3997
88,07/09/20 09:00:01 AM,0.3496,0.3997
89,07/09/20 09:30:01 AM,0.3496,-0.4737
90,07/09/20 10:00:01 AM,0.3496,0.4004
91,07/09/20 10:30:01 AM,0.3496,0.3997
92,07/09/20 11:00:01 AM,0.3490,-0.4737
93,07/09/20 11:30:01 AM,0.3490,0.4004
94,07/09/20 12:00:01 PM,0.3490,0.3990
95,07/09/20 12:30:01 PM,0.3500,0.3997
96,07/09/20 01:00:01 PM,0.3496,0.4004
97,07/09/20 01:30:01 PM,0.3490,0.3997
98,07/09/20 02:00:01 PM,0.3500,0.3997
99,07/09/20 02:30:01 PM,0.3490,0.4004
100,07/09/20 03:00:01 PM,0.3490,0.4004
101,07/09/20 03:30:01 PM,0.3490,0.3990
102,07/09/20 04:00:01 PM,0.3496,0.3997
103,07/09/20 04:30:01 PM,0.3496,0.3997
104,07/09/20 05:00:01 PM,0.3490,0.3997
105,07/09/20 05:30:01 PM,0.3496,0.3985
106,07/09/20 06:00:01 PM,0.3490,0.3997
107,07/09/20 06:30:01 PM,0.3490,0.3990
108,07/09/20 07:00:01 PM,0.3490,0.3997
109,07/09/20 07:30:01 PM,0.3490,0.3990
110,07/09/20 08:00:01 PM,0.3496,-0.3938
111,07/09/20 08:30:01 PM,0.3496,0.3997
112,07/09/20 09:00:01 PM,0.3490,0.3990
113,07/09/20 09:30:01 PM,0.3490,0.3990
114,07/09/20 10:00:01 PM,0.3490,0.3997
115,07/09/20 10:30:01 PM,0.3490,0.3990
116,07/09/20 11:00:01 PM,0.3496,0.3997
117,07/09/20 11:30:01 PM,0.3490,0.3997
118,07/10/20 12:00:01 AM,0.3486,0.3997
119,07/10/20 12:30:01 AM,0.3490,0.3990
120,07/10/20 01:00:01 AM,0.3490,0.3990
121,07/10/20 01:30:01 AM,0.3486,0.3990
122,07/10/20 02:00:01 AM,0.3496,0.3990
123,07/10/20 02:30:01 AM,0.3496,0.3990
124,07/10/20 03:00:01 AM,0.3490,0.3997
125,07/10/20 03:30:01 AM,0.3486,0.3990
126,07/10/20 04:00:01 AM,0.3496,0.3997
127,07/10/20 04:30:01 AM,0.3490,0.3997
128,07/10/20 05:00:01 AM,0.3490,0.3990
129,07/10/20 05:30:01 AM,0.3496,0.3990
130,07/10/20 06:00:01 AM,0.3490,0.3990
131,07/10/20 06:30:01 AM,0.3486,0.3990
132,07/10/20 07:00:01 AM,0.3496,0.3990
133,07/10/20 07:30:01 AM,0.3496,0.3990
134,07/10/20 08:00:01 AM,0.3490,0.3990
135,07/10/20 08:30:01 AM,0.3490,0.3997
136,07/10/20 09:00:01 AM,0.3490,0.3997
137,07/10/20 09:30:01 AM,0.3496,0.3990
138,07/10/20 10:00:01 AM,0.3490,0.3990
139,07/10/20 10:30:01 AM,0.3490,-0.4737
140,07/10/20 11:00:01 AM,0.3496,0.3997
141,07/10/20 11:30:01 AM,0.3496,0.3997
142,07/10/20 12:00:01 PM,0.3496,0.0392
143,07/10/20 12:30:01 PM,0.3496,0.3985
144,07/10/20 01:00:01 PM,0.3490,0.3997
145,07/10/20 01:30:01 PM,0.3490,0.3997
146,07/10/20 02:00:01 PM,0.3490,-0.4737
147,07/10/20 02:30:01 PM,0.3490,0.4004
148,07/10/20 03:00:01 PM,0.3486,0.3990
149,07/10/20 03:30:01 PM,0.3486,0.3920
150,07/10/20 04:00:01 PM,0.3490,0.3997
151,07/10/20 04:30:01 PM,0.3481,0.3997
152,07/10/20 05:00:01 PM,0.3481,0.3985
153,07/10/20 05:30:01 PM,0.3486,0.3985
154,07/10/20 06:00:01 PM,0.3490,0.3997
155,07/10/20 06:30:01 PM,0.3481,0.3990
156,07/10/20 07:00:01 PM,0.3481,0.3990
157,07/10/20 07:30:01 PM,0.3481,-0.1662
158,07/10/20 08:00:01 PM,0.3486,0.3990
159,07/10/20 08:30:01 PM,0.3486,0.3997
160,07/10/20 09:00:01 PM,0.3481,0.3990
161,07/10/20 09:30:01 PM,0.3481,0.3990
162,07/10/20 10:00:01 PM,0.3481,0.3990
163,07/10/20 10:30:01 PM,0.3481,0.3985
164,07/10/20 11:00:01 PM,0.3481,0.3990
165,07/10/20 11:30:01 PM,0.3481,0.3990
166,07/11/20 12:00:01 AM,0.3486,0.3985
167,07/11/20 12:30:01 AM,0.3481,0.3990
168,07/11/20 01:00:01 AM,0.3486,0.3990
169,07/11/20 01:30:01 AM,0.3486,0.3990
