"Plot Title: ChildsT2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456137, LBL: Childs transect 2 60 cm)","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456138, LBL: Childs transect 2 30 cm)"
1,07/07/20 01:30:01 PM,0.3822,0.3084
2,07/07/20 02:00:01 PM,0.3816,0.3087
3,07/07/20 02:30:01 PM,0.3822,0.3087
4,07/07/20 03:00:01 PM,0.3816,0.3084
5,07/07/20 03:30:01 PM,0.3822,0.3084
6,07/07/20 04:00:01 PM,0.3816,0.3080
7,07/07/20 04:30:01 PM,0.3816,0.3084
8,07/07/20 05:00:01 PM,0.3816,0.3080
9,07/07/20 05:30:01 PM,0.3811,0.3080
10,07/07/20 06:00:01 PM,0.3811,0.3084
11,07/07/20 06:30:01 PM,0.3811,0.3084
12,07/07/20 07:00:01 PM,0.3811,0.3080
13,07/07/20 07:30:01 PM,0.3811,0.3080
14,07/07/20 08:00:01 PM,0.3811,0.3080
15,07/07/20 08:30:01 PM,0.3811,0.3080
16,07/07/20 09:00:01 PM,0.3811,0.3077
17,07/07/20 09:30:01 PM,0.3811,0.3077
18,07/07/20 10:00:01 PM,0.3811,0.3077
19,07/07/20 10:30:01 PM,0.3804,0.3077
20,07/07/20 11:00:01 PM,0.3811,0.3077
21,07/07/20 11:30:01 PM,0.3811,0.3077
22,07/08/20 12:00:01 AM,0.3811,0.3077
23,07/08/20 12:30:01 AM,0.3804,0.3072
24,07/08/20 01:00:01 AM,0.3811,0.3072
25,07/08/20 01:30:01 AM,0.3804,0.3072
26,07/08/20 02:00:01 AM,0.3804,0.3077
27,07/08/20 02:30:01 AM,0.3804,0.3077
28,07/08/20 03:00:01 AM,0.3804,0.3072
29,07/08/20 03:30:01 AM,0.3804,0.3072
30,07/08/20 04:00:01 AM,0.3804,0.3072
31,07/08/20 04:30:01 AM,0.3804,0.3072
32,07/08/20 05:00:01 AM,0.3804,0.3072
33,07/08/20 05:30:01 AM,0.3804,0.3077
34,07/08/20 06:00:01 AM,0.3804,0.3072
35,07/08/20 06:30:01 AM,0.3804,0.3072
36,07/08/20 07:00:01 AM,0.3804,0.3077
37,07/08/20 07:30:01 AM,0.3804,0.3077
38,07/08/20 08:00:01 AM,0.3811,0.3077
39,07/08/20 08:30:01 AM,0.3811,0.3072
40,07/08/20 09:00:01 AM,0.3811,0.3077
41,07/08/20 09:30:01 AM,0.3811,0.3072
42,07/08/20 10:00:01 AM,0.3811,0.3080
43,07/08/20 10:30:01 AM,0.3811,0.3077
44,07/08/20 11:00:01 AM,0.3811,0.3077
45,07/08/20 11:30:01 AM,0.3811,0.3077
46,07/08/20 12:00:01 PM,0.3811,0.3072
47,07/08/20 12:30:01 PM,0.3811,0.3072
48,07/08/20 01:00:01 PM,0.3811,0.3072
49,07/08/20 01:30:01 PM,0.3811,0.3077
50,07/08/20 02:00:01 PM,0.3804,0.3077
51,07/08/20 02:30:01 PM,0.3804,0.3077
52,07/08/20 03:00:01 PM,0.3804,0.3072
53,07/08/20 03:30:01 PM,0.3804,0.3069
54,07/08/20 04:00:01 PM,0.3811,0.3072
55,07/08/20 04:30:01 PM,0.3804,0.3072
56,07/08/20 05:00:01 PM,0.3804,0.3069
57,07/08/20 05:30:01 PM,0.3804,0.3072
58,07/08/20 06:00:01 PM,0.3804,0.3072
59,07/08/20 06:30:01 PM,0.3804,0.3072
60,07/08/20 07:00:01 PM,0.3804,0.3069
61,07/08/20 07:30:01 PM,0.3798,0.3069
62,07/08/20 08:00:01 PM,0.3804,0.3066
63,07/08/20 08:30:01 PM,0.3798,0.3069
64,07/08/20 09:00:01 PM,0.3798,0.3069
65,07/08/20 09:30:01 PM,0.3798,0.3066
66,07/08/20 10:00:01 PM,0.3798,0.3066
67,07/08/20 10:30:01 PM,0.3793,0.3066
68,07/08/20 11:00:01 PM,0.3793,0.3066
69,07/08/20 11:30:01 PM,0.3798,0.3066
70,07/09/20 12:00:01 AM,0.3798,0.3069
71,07/09/20 12:30:01 AM,0.3798,0.3066
72,07/09/20 01:00:01 AM,0.3798,0.3066
73,07/09/20 01:30:01 AM,0.3798,0.3062
74,07/09/20 02:00:01 AM,0.3798,0.3062
75,07/09/20 02:30:01 AM,0.3793,0.3062
76,07/09/20 03:00:01 AM,0.3798,0.3062
77,07/09/20 03:30:01 AM,0.3793,0.3066
78,07/09/20 04:00:01 AM,0.3793,0.3066
79,07/09/20 04:30:01 AM,0.3798,0.3066
80,07/09/20 05:00:01 AM,0.3793,0.3066
81,07/09/20 05:30:01 AM,0.3798,0.3066
82,07/09/20 06:00:01 AM,0.3793,0.3062
83,07/09/20 06:30:01 AM,0.3793,0.3062
84,07/09/20 07:00:01 AM,0.3798,0.3062
85,07/09/20 07:30:01 AM,0.3793,0.3066
86,07/09/20 08:00:01 AM,0.3798,0.3066
87,07/09/20 08:30:01 AM,0.3798,0.3066
88,07/09/20 09:00:01 AM,0.3793,0.3066
89,07/09/20 09:30:01 AM,0.3793,0.3066
90,07/09/20 10:00:01 AM,0.3793,0.3069
91,07/09/20 10:30:01 AM,0.3798,0.3066
92,07/09/20 11:00:01 AM,0.3793,0.3066
93,07/09/20 11:30:01 AM,0.3804,0.3066
94,07/09/20 12:00:01 PM,0.3798,0.3066
95,07/09/20 12:30:01 PM,0.3798,0.3066
96,07/09/20 01:00:01 PM,0.3798,0.3062
97,07/09/20 01:30:01 PM,0.3798,0.3066
98,07/09/20 02:00:01 PM,0.3798,0.3062
99,07/09/20 02:30:01 PM,0.3798,0.3062
100,07/09/20 03:00:01 PM,0.3798,0.3066
101,07/09/20 03:30:01 PM,0.3798,0.3062
102,07/09/20 04:00:01 PM,0.3798,0.3058
103,07/09/20 04:30:01 PM,0.3793,0.3058
104,07/09/20 05:00:01 PM,0.3793,0.3062
105,07/09/20 05:30:01 PM,0.3798,0.3058
106,07/09/20 06:00:01 PM,0.3798,0.3058
107,07/09/20 06:30:01 PM,0.3798,0.3058
108,07/09/20 07:00:01 PM,0.3793,0.3054
109,07/09/20 07:30:01 PM,0.3793,0.3058
110,07/09/20 08:00:01 PM,0.3787,0.3058
111,07/09/20 08:30:01 PM,0.3787,0.3054
112,07/09/20 09:00:01 PM,0.3780,0.3051
