"Plot Title: ChildsT3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20456140, LBL: childs trans 3 - 30 cm)","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20456142, LBL: childs trans 3 - 60 cm)"
1,09/05/19 12:30:01 PM,0.3265,0.3890
2,09/05/19 01:00:01 PM,0.3256,0.3883
3,09/05/19 01:30:01 PM,0.3261,0.3877
4,09/05/19 02:00:01 PM,0.3261,0.3787
5,09/05/19 02:30:01 PM,0.3265,0.3811
6,09/05/19 03:00:01 PM,0.3261,0.3804
7,09/05/19 03:30:01 PM,0.3256,0.3811
8,09/05/19 04:00:01 PM,0.3261,0.3798
9,09/05/19 04:30:01 PM,0.3261,0.3516
10,09/05/19 05:00:01 PM,0.3261,0.3500
11,09/05/19 05:30:01 PM,0.3261,0.3451
12,09/05/19 06:00:01 PM,0.3256,0.2406
13,09/05/19 06:30:01 PM,0.3256,0.3632
14,09/05/19 07:00:01 PM,0.3261,0.2185
15,09/05/19 07:30:01 PM,0.3261,0.2657
16,09/05/19 08:00:01 PM,0.3261,0.2753
17,09/05/19 08:30:01 PM,0.3261,0.2528
18,09/05/19 09:00:01 PM,0.3256,0.2257
19,09/05/19 09:30:01 PM,0.3261,0.2211
20,09/05/19 10:00:01 PM,0.3261,0.2219
21,09/05/19 10:30:01 PM,0.3256,0.2122
22,09/05/19 11:00:01 PM,0.3261,0.2156
23,09/05/19 11:30:01 PM,0.3256,0.2177
24,09/06/19 12:00:01 AM,0.3256,0.2143
25,09/06/19 12:30:01 AM,0.3261,0.2445
26,09/06/19 01:00:01 AM,0.3261,0.2363
27,09/06/19 01:30:01 AM,0.3261,0.3872
28,09/06/19 02:00:01 AM,0.3256,0.1994
29,09/06/19 02:30:01 AM,0.3261,0.3877
30,09/06/19 03:00:01 AM,0.3256,0.3877
31,09/06/19 03:30:01 AM,0.3256,0.3643
32,09/06/19 04:00:01 AM,0.3261,0.3877
33,09/06/19 04:30:01 AM,0.3261,0.3877
34,09/06/19 05:00:01 AM,0.3256,0.3877
35,09/06/19 05:30:01 AM,0.3261,0.3872
36,09/06/19 06:00:01 AM,0.3256,0.3872
37,09/06/19 06:30:01 AM,0.3252,0.3877
38,09/06/19 07:00:01 AM,0.3261,0.3872
39,09/06/19 07:30:01 AM,0.3256,0.3877
40,09/06/19 08:00:01 AM,0.3261,0.3877
41,09/06/19 08:30:01 AM,0.3256,0.3877
42,09/06/19 09:00:01 AM,0.3256,0.3877
43,09/06/19 09:30:01 AM,0.3256,0.3872
44,09/06/19 10:00:01 AM,0.3252,0.2817
45,09/06/19 10:30:01 AM,0.3256,0.2830
46,09/06/19 11:00:01 AM,0.3252,0.2813
47,09/06/19 11:30:01 AM,0.3252,0.3872
48,09/06/19 12:00:01 PM,0.3256,0.3872
49,09/06/19 12:30:01 PM,0.3256,-0.4737
50,09/06/19 01:00:01 PM,0.3256,0.2824
51,09/06/19 01:30:01 PM,0.3256,0.3716
52,09/06/19 02:00:01 PM,0.3256,0.3711
53,09/06/19 02:30:01 PM,0.3256,0.3734
54,09/06/19 03:00:01 PM,0.3256,0.3758
55,09/06/19 03:30:01 PM,0.3252,0.3734
56,09/06/19 04:00:01 PM,0.3252,0.3611
57,09/06/19 04:30:01 PM,0.3252,0.3628
58,09/06/19 05:00:01 PM,0.3249,0.3594
59,09/06/19 05:30:01 PM,0.3252,0.3877
60,09/06/19 06:00:01 PM,0.3252,0.3872
61,09/06/19 06:30:01 PM,0.3252,0.3872
62,09/06/19 07:00:01 PM,0.3256,0.3872
63,09/06/19 07:30:01 PM,0.3256,0.2374
64,09/06/19 08:00:01 PM,0.3256,0.2327
65,09/06/19 08:30:01 PM,0.3256,0.2064
66,09/06/19 09:00:01 PM,0.3256,0.2020
67,09/06/19 09:30:01 PM,0.3252,0.3865
68,09/06/19 10:00:01 PM,0.3252,0.3872
69,09/06/19 10:30:01 PM,0.3252,0.3622
70,09/06/19 11:00:01 PM,0.3256,0.3872
71,09/06/19 11:30:01 PM,0.3256,0.3872
72,09/07/19 12:00:01 AM,0.3252,0.3872
73,09/07/19 12:30:01 AM,0.3252,0.3872
74,09/07/19 01:00:01 AM,0.3252,0.3872
75,09/07/19 01:30:01 AM,0.3252,0.3872
76,09/07/19 02:00:01 AM,0.3252,0.3872
77,09/07/19 02:30:01 AM,0.3252,0.3865
78,09/07/19 03:00:01 AM,0.3256,0.3872
79,09/07/19 03:30:01 AM,0.3252,0.3872
80,09/07/19 04:00:01 AM,0.3256,0.3872
81,09/07/19 04:30:01 AM,0.3252,0.3872
82,09/07/19 05:00:01 AM,0.3252,0.3859
83,09/07/19 05:30:01 AM,0.3252,0.2824
84,09/07/19 06:00:01 AM,0.3252,0.3854
85,09/07/19 06:30:01 AM,0.3249,0.2821
86,09/07/19 07:00:01 AM,0.3252,0.3854
87,09/07/19 07:30:01 AM,0.3249,0.3854
88,09/07/19 08:00:01 AM,0.3252,0.3865
89,09/07/19 08:30:01 AM,0.3252,0.3865
90,09/07/19 09:00:01 AM,0.3252,0.3865
