"Plot Title: ChildsT3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20456140, LBL: childs trans 3 - 30 cm)","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20456142, LBL: childs trans 3 - 60 cm)"
1,04/26/20 01:00:01 PM,0.4665,0.4128
2,04/26/20 01:30:01 PM,0.4658,0.4128
3,04/26/20 02:00:01 PM,0.4658,0.4128
4,04/26/20 02:30:01 PM,0.4665,0.4121
5,04/26/20 03:00:01 PM,0.4658,0.4121
6,04/26/20 03:30:01 PM,0.4665,0.4128
7,04/26/20 04:00:01 PM,0.4665,0.4128
8,04/26/20 04:30:01 PM,0.4665,0.4121
9,04/26/20 05:00:01 PM,0.4665,0.3872
10,04/26/20 05:30:01 PM,0.4665,0.4121
11,04/26/20 06:00:01 PM,0.4658,0.4114
12,04/26/20 06:30:01 PM,0.4658,0.4048
13,04/26/20 07:00:01 PM,0.4665,0.4128
14,04/26/20 07:30:01 PM,0.4665,0.4121
15,04/26/20 08:00:01 PM,0.4658,0.4121
16,04/26/20 08:30:01 PM,0.4665,0.4121
17,04/26/20 09:00:01 PM,0.4658,0.4121
18,04/26/20 09:30:01 PM,0.4658,0.4121
19,04/26/20 10:00:01 PM,0.4658,0.4121
20,04/26/20 10:30:01 PM,0.4665,0.4128
21,04/26/20 11:00:01 PM,0.4665,0.4121
22,04/26/20 11:30:01 PM,0.4665,0.4121
23,04/27/20 12:00:01 AM,0.4658,0.4121
24,04/27/20 12:30:01 AM,0.4658,0.4121
25,04/27/20 01:00:01 AM,0.4651,0.4121
26,04/27/20 01:30:01 AM,0.4658,0.4121
27,04/27/20 02:00:01 AM,0.4658,0.4121
28,04/27/20 02:30:01 AM,0.4665,0.4121
29,04/27/20 03:00:01 AM,0.4665,0.4121
30,04/27/20 03:30:01 AM,0.4658,0.4121
31,04/27/20 04:00:01 AM,0.4665,0.4121
32,04/27/20 04:30:01 AM,0.4658,0.4121
33,04/27/20 05:00:01 AM,0.4665,0.4121
34,04/27/20 05:30:01 AM,0.4658,0.4121
35,04/27/20 06:00:01 AM,0.4658,0.4121
36,04/27/20 06:30:01 AM,0.4665,0.4128
37,04/27/20 07:00:01 AM,0.4665,0.4121
38,04/27/20 07:30:01 AM,0.4651,0.4128
39,04/27/20 08:00:01 AM,0.4658,0.4121
40,04/27/20 08:30:01 AM,0.4658,0.4128
41,04/27/20 09:00:01 AM,0.4672,0.4128
42,04/27/20 09:30:01 AM,0.4665,0.4128
43,04/27/20 10:00:01 AM,0.4658,0.4128
44,04/27/20 10:30:01 AM,0.4665,0.4128
45,04/27/20 11:00:01 AM,0.4665,0.4128
46,04/27/20 11:30:01 AM,0.4665,0.4128
47,04/27/20 12:00:01 PM,0.4665,0.4128
48,04/27/20 12:30:01 PM,0.4665,0.4128
49,04/27/20 01:00:01 PM,0.4665,0.4128
50,04/27/20 01:30:01 PM,0.4658,0.4128
51,04/27/20 02:00:01 PM,0.4665,0.4128
52,04/27/20 02:30:01 PM,0.4658,0.4128
53,04/27/20 03:00:01 PM,0.4658,0.4128
54,04/27/20 03:30:01 PM,0.4658,0.4128
55,04/27/20 04:00:01 PM,0.4672,0.4128
56,04/27/20 04:30:01 PM,0.4658,0.4128
57,04/27/20 05:00:01 PM,0.4665,0.4128
58,04/27/20 05:30:01 PM,0.4672,0.4128
59,04/27/20 06:00:01 PM,0.4658,0.4128
60,04/27/20 06:30:01 PM,0.4658,0.4128
61,04/27/20 07:00:01 PM,0.4665,0.4128
62,04/27/20 07:30:01 PM,0.4665,0.4121
63,04/27/20 08:00:01 PM,0.4665,0.4128
64,04/27/20 08:30:01 PM,0.4672,0.4128
65,04/27/20 09:00:01 PM,0.4672,0.4121
66,04/27/20 09:30:01 PM,0.4658,0.4128
67,04/27/20 10:00:01 PM,0.4665,0.4128
68,04/27/20 10:30:01 PM,0.4658,0.4128
69,04/27/20 11:00:01 PM,0.4665,0.4121
70,04/27/20 11:30:01 PM,0.4665,0.4121
71,04/28/20 12:00:01 AM,0.4658,0.4121
72,04/28/20 12:30:01 AM,0.4665,0.4121
73,04/28/20 01:00:01 AM,0.4665,0.4121
74,04/28/20 01:30:01 AM,0.4658,0.4121
75,04/28/20 02:00:01 AM,0.4665,0.4121
76,04/28/20 02:30:01 AM,0.4658,0.4121
77,04/28/20 03:00:01 AM,0.4665,0.4121
78,04/28/20 03:30:01 AM,0.4665,0.4121
79,04/28/20 04:00:01 AM,0.4658,0.4128
80,04/28/20 04:30:01 AM,0.4665,0.4121
81,04/28/20 05:00:01 AM,0.4665,0.4121
82,04/28/20 05:30:01 AM,0.4658,0.4121
83,04/28/20 06:00:01 AM,0.4658,0.4121
84,04/28/20 06:30:01 AM,0.4672,0.4121
85,04/28/20 07:00:01 AM,0.4665,0.4121
86,04/28/20 07:30:01 AM,0.4665,0.4121
87,04/28/20 08:00:01 AM,0.4665,0.4128
88,04/28/20 08:30:01 AM,0.4658,0.4121
89,04/28/20 09:00:01 AM,0.4658,0.4128
90,04/28/20 09:30:01 AM,0.4658,0.4128
91,04/28/20 10:00:01 AM,0.4658,0.4128
92,04/28/20 10:30:01 AM,0.4658,0.4121
93,04/28/20 11:00:01 AM,0.4658,0.4128
94,04/28/20 11:30:01 AM,0.4658,0.4121
95,04/28/20 12:00:01 PM,0.4665,0.4128
96,04/28/20 12:30:01 PM,0.4665,0.4128
97,04/28/20 01:00:01 PM,0.4658,0.4128
98,04/28/20 01:30:01 PM,0.4665,0.4128
99,04/28/20 02:00:01 PM,0.4665,0.4128
100,04/28/20 02:30:01 PM,0.4665,0.4128
101,04/28/20 03:00:01 PM,0.4665,0.4128
102,04/28/20 03:30:01 PM,0.4658,0.4135
103,04/28/20 04:00:01 PM,0.4658,0.4128
104,04/28/20 04:30:01 PM,0.4665,0.4128
105,04/28/20 05:00:01 PM,0.4658,0.4128
106,04/28/20 05:30:01 PM,0.4665,0.4128
107,04/28/20 06:00:01 PM,0.4665,0.4128
108,04/28/20 06:30:01 PM,0.4658,0.4128
109,04/28/20 07:00:01 PM,0.4658,0.4128
110,04/28/20 07:30:01 PM,0.4665,0.4128
111,04/28/20 08:00:01 PM,0.4658,0.4128
112,04/28/20 08:30:01 PM,0.4658,0.4128
113,04/28/20 09:00:01 PM,0.4658,0.4128
114,04/28/20 09:30:01 PM,0.4665,0.4121
115,04/28/20 10:00:01 PM,0.4665,0.4121
116,04/28/20 10:30:01 PM,0.4665,0.4128
117,04/28/20 11:00:01 PM,0.4658,0.4128
118,04/28/20 11:30:01 PM,0.4658,0.4128
119,04/29/20 12:00:01 AM,0.4658,0.4128
120,04/29/20 12:30:01 AM,0.4665,0.4121
121,04/29/20 01:00:01 AM,0.4665,0.4121
122,04/29/20 01:30:01 AM,0.4658,0.4121
123,04/29/20 02:00:01 AM,0.4665,0.4128
124,04/29/20 02:30:01 AM,0.4665,0.4128
125,04/29/20 03:00:01 AM,0.4658,0.4121
126,04/29/20 03:30:01 AM,0.4658,0.4128
127,04/29/20 04:00:01 AM,0.4658,0.4121
128,04/29/20 04:30:01 AM,0.4658,0.4128
129,04/29/20 05:00:01 AM,0.4665,0.4128
130,04/29/20 05:30:01 AM,0.4658,0.4128
131,04/29/20 06:00:01 AM,0.4665,0.4128
132,04/29/20 06:30:01 AM,0.4658,0.4121
133,04/29/20 07:00:01 AM,0.4658,0.4128
134,04/29/20 07:30:01 AM,0.4658,0.4121
135,04/29/20 08:00:01 AM,0.4665,0.4128
136,04/29/20 08:30:01 AM,0.4672,0.4128
137,04/29/20 09:00:01 AM,0.4658,0.4128
138,04/29/20 09:30:01 AM,0.4665,0.4128
139,04/29/20 10:00:01 AM,0.4665,0.4128
140,04/29/20 10:30:01 AM,0.4658,0.4135
141,04/29/20 11:00:01 AM,0.4665,0.4128
142,04/29/20 11:30:01 AM,0.4658,0.4128
143,04/29/20 12:00:01 PM,0.4665,0.4128
144,04/29/20 12:30:01 PM,0.4665,0.4128
145,04/29/20 01:00:01 PM,0.4658,0.4128
146,04/29/20 01:30:01 PM,0.4658,0.4135
147,04/29/20 02:00:01 PM,0.4665,0.4128
148,04/29/20 02:30:01 PM,0.4665,0.4135
149,04/29/20 03:00:01 PM,0.4665,0.4135
150,04/29/20 03:30:01 PM,0.4665,0.4135
151,04/29/20 04:00:01 PM,0.4658,0.4128
152,04/29/20 04:30:01 PM,0.4665,0.4135
153,04/29/20 05:00:01 PM,0.4658,0.4135
154,04/29/20 05:30:01 PM,0.4658,0.4135
155,04/29/20 06:00:01 PM,0.4665,0.4135
156,04/29/20 06:30:01 PM,0.4665,0.4128
157,04/29/20 07:00:01 PM,0.4665,0.4128
158,04/29/20 07:30:01 PM,0.4658,0.4128
159,04/29/20 08:00:01 PM,0.4658,0.4128
160,04/29/20 08:30:01 PM,0.4658,0.4128
161,04/29/20 09:00:01 PM,0.4665,0.4128
162,04/29/20 09:30:01 PM,0.4665,0.4128
163,04/29/20 10:00:01 PM,0.4672,0.4128
164,04/29/20 10:30:01 PM,0.4665,0.4128
165,04/29/20 11:00:01 PM,0.4658,0.4128
166,04/29/20 11:30:01 PM,0.4665,0.4128
167,04/30/20 12:00:01 AM,0.4665,0.4128
168,04/30/20 12:30:01 AM,0.4658,0.4128
169,04/30/20 01:00:01 AM,0.4658,0.4128
170,04/30/20 01:30:01 AM,0.4665,0.4128
171,04/30/20 02:00:01 AM,0.4658,0.4128
172,04/30/20 02:30:01 AM,0.4665,0.4128
173,04/30/20 03:00:01 AM,0.4665,0.4128
174,04/30/20 03:30:01 AM,0.4665,0.4128
175,04/30/20 04:00:01 AM,0.4672,0.4128
176,04/30/20 04:30:01 AM,0.4665,0.4128
177,04/30/20 05:00:01 AM,0.4658,0.4128
178,04/30/20 05:30:01 AM,0.4665,0.4128
179,04/30/20 06:00:01 AM,0.4665,0.4128
180,04/30/20 06:30:01 AM,0.4658,0.4128
181,04/30/20 07:00:01 AM,0.4658,0.4128
182,04/30/20 07:30:01 AM,0.4658,0.4128
183,04/30/20 08:00:01 AM,0.4658,0.4128
184,04/30/20 08:30:01 AM,0.4665,0.4128
185,04/30/20 09:00:01 AM,0.4665,0.4128
186,04/30/20 09:30:01 AM,0.4665,0.4128
187,04/30/20 10:00:01 AM,0.4658,0.4128
188,04/30/20 10:30:01 AM,0.4665,0.4128
189,04/30/20 11:00:01 AM,0.4658,0.4128
190,04/30/20 11:30:01 AM,0.4658,0.4128
191,04/30/20 12:00:01 PM,0.4658,0.4135
192,04/30/20 12:30:01 PM,0.4658,0.4128
193,04/30/20 01:00:01 PM,0.4658,0.4128
194,04/30/20 01:30:01 PM,0.4665,0.4128
195,04/30/20 02:00:01 PM,0.4672,0.4128
196,04/30/20 02:30:01 PM,0.4658,0.4128
197,04/30/20 03:00:01 PM,0.4658,0.4128
198,04/30/20 03:30:01 PM,0.4658,0.4128
199,04/30/20 04:00:01 PM,0.4658,0.4128
200,04/30/20 04:30:01 PM,0.4658,0.4128
201,04/30/20 05:00:01 PM,0.4665,0.4128
202,04/30/20 05:30:01 PM,0.4672,0.4128
203,04/30/20 06:00:01 PM,0.4665,0.4128
204,04/30/20 06:30:01 PM,0.4658,0.4128
205,04/30/20 07:00:01 PM,0.4658,0.4128
206,04/30/20 07:30:01 PM,0.4658,0.4128
207,04/30/20 08:00:01 PM,0.4658,0.4121
208,04/30/20 08:30:01 PM,0.4658,0.4128
209,04/30/20 09:00:01 PM,0.4665,0.4128
210,04/30/20 09:30:01 PM,0.4665,0.4128
211,04/30/20 10:00:01 PM,0.4658,0.4128
212,04/30/20 10:30:01 PM,0.4658,0.4128
213,04/30/20 11:00:01 PM,0.4658,0.4128
214,04/30/20 11:30:01 PM,0.4672,0.4128
215,05/01/20 12:00:01 AM,0.4658,0.4128
216,05/01/20 12:30:01 AM,0.4658,0.4128
217,05/01/20 01:00:01 AM,0.4665,0.4128
218,05/01/20 01:30:01 AM,0.4658,0.4128
219,05/01/20 02:00:01 AM,0.4658,0.4128
220,05/01/20 02:30:01 AM,0.4658,0.4128
221,05/01/20 03:00:01 AM,0.4658,0.4121
222,05/01/20 03:30:01 AM,0.4665,0.4128
223,05/01/20 04:00:01 AM,0.4665,0.4121
224,05/01/20 04:30:01 AM,0.4651,0.4121
225,05/01/20 05:00:01 AM,0.4658,0.4121
226,05/01/20 05:30:01 AM,0.4658,0.4128
227,05/01/20 06:00:01 AM,0.4658,0.4128
228,05/01/20 06:30:01 AM,0.4658,0.4128
229,05/01/20 07:00:01 AM,0.4658,0.4128
230,05/01/20 07:30:01 AM,0.4658,0.4128
