"Plot Title: ChildsT2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456137, LBL: Childs transect 2 60 cm)","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456138, LBL: Childs transect 2 30 cm)"
1,07/11/19 11:00:01 AM,0.4095,0.3187
2,07/11/19 12:00:01 PM,0.4088,0.3168
3,07/11/19 01:00:01 PM,0.4081,0.3171
4,07/11/19 02:00:01 PM,0.4074,0.3163
5,07/11/19 03:00:01 PM,0.4081,0.3163
6,07/11/19 04:00:01 PM,0.4081,0.3168
7,07/11/19 05:00:01 PM,0.4074,0.3163
8,07/11/19 06:00:01 PM,0.4088,0.3168
9,07/11/19 07:00:01 PM,0.4081,0.3168
10,07/11/19 08:00:01 PM,0.4074,0.3163
11,07/11/19 09:00:01 PM,0.4074,0.3160
12,07/11/19 10:00:01 PM,0.4081,0.3163
13,07/11/19 11:00:01 PM,0.4074,0.3163
14,07/12/19 12:00:01 AM,0.4074,0.3163
15,07/12/19 01:00:01 AM,0.4081,0.3168
16,07/12/19 02:00:01 AM,0.4074,0.3168
17,07/12/19 03:00:01 AM,0.4074,0.3171
18,07/12/19 04:00:01 AM,0.4081,0.3163
19,07/12/19 05:00:01 AM,0.4074,0.3168
20,07/12/19 06:00:01 AM,0.4081,0.3168
21,07/12/19 07:00:01 AM,0.4081,0.3168
22,07/12/19 08:00:01 AM,0.4081,0.3171
23,07/12/19 09:00:01 AM,0.4081,0.3171
24,07/12/19 10:00:01 AM,0.4081,0.3171
25,07/12/19 11:00:01 AM,0.4088,0.3171
26,07/12/19 12:00:01 PM,0.4081,0.3171
27,07/12/19 01:00:01 PM,0.4088,0.3171
28,07/12/19 02:00:01 PM,0.4088,0.3171
29,07/12/19 03:00:01 PM,0.4088,0.3171
30,07/12/19 04:00:01 PM,0.4088,0.3171
31,07/12/19 05:00:01 PM,0.4081,0.3171
32,07/12/19 06:00:01 PM,0.4081,0.3171
33,07/12/19 07:00:01 PM,0.4081,0.3168
34,07/12/19 08:00:01 PM,0.4088,0.3168
35,07/12/19 09:00:01 PM,0.4081,0.3168
36,07/12/19 10:00:01 PM,0.4081,0.3168
37,07/12/19 11:00:01 PM,0.4081,0.3168
38,07/13/19 12:00:01 AM,0.4081,0.3171
39,07/13/19 01:00:01 AM,0.4081,0.3168
40,07/13/19 02:00:01 AM,0.4081,0.3171
41,07/13/19 03:00:01 AM,0.4081,0.3171
42,07/13/19 04:00:01 AM,0.4081,0.3168
43,07/13/19 05:00:01 AM,0.4081,0.3171
44,07/13/19 06:00:01 AM,0.4081,0.3171
45,07/13/19 07:00:01 AM,0.4081,0.3175
46,07/13/19 08:00:01 AM,0.4081,0.3168
47,07/13/19 09:00:01 AM,0.4081,0.3171
48,07/13/19 10:00:01 AM,0.4081,0.3178
49,07/13/19 11:00:01 AM,0.4081,0.3175
50,07/13/19 12:00:01 PM,0.4088,0.3175
51,07/13/19 01:00:01 PM,0.4088,0.3178
52,07/13/19 02:00:01 PM,0.4081,0.3175
53,07/13/19 03:00:01 PM,0.4088,0.3175
