"Plot Title: ChildsT2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456137, LBL: Childs transect 2 60 cm)","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456138, LBL: Childs transect 2 30 cm)"
1,04/26/20 01:00:01 PM,0.4055,0.4884
2,04/26/20 01:30:01 PM,0.4048,0.4877
3,04/26/20 02:00:01 PM,0.4055,0.4877
4,04/26/20 02:30:01 PM,0.4055,0.4877
5,04/26/20 03:00:01 PM,0.4048,0.4877
6,04/26/20 03:30:01 PM,0.4055,0.4877
7,04/26/20 04:00:01 PM,0.4055,0.4877
8,04/26/20 04:30:01 PM,0.4048,0.4877
9,04/26/20 05:00:01 PM,0.4048,0.4877
10,04/26/20 05:30:01 PM,0.4048,0.4877
11,04/26/20 06:00:01 PM,0.4048,0.4877
12,04/26/20 06:30:01 PM,0.4048,0.4870
13,04/26/20 07:00:01 PM,0.4048,0.4877
14,04/26/20 07:30:01 PM,0.4048,0.4877
15,04/26/20 08:00:01 PM,0.4048,0.4877
16,04/26/20 08:30:01 PM,0.4048,0.4877
17,04/26/20 09:00:01 PM,0.4048,0.4877
18,04/26/20 09:30:01 PM,0.4048,0.4877
19,04/26/20 10:00:01 PM,0.4048,0.4877
20,04/26/20 10:30:01 PM,0.4048,0.4877
21,04/26/20 11:00:01 PM,0.4048,0.4877
22,04/26/20 11:30:01 PM,0.4048,0.4877
23,04/27/20 12:00:01 AM,0.4048,0.4877
24,04/27/20 12:30:01 AM,0.4048,0.4870
25,04/27/20 01:00:01 AM,0.4048,0.4870
26,04/27/20 01:30:01 AM,0.4048,0.4870
27,04/27/20 02:00:01 AM,0.4048,0.4870
28,04/27/20 02:30:01 AM,0.4048,0.4870
29,04/27/20 03:00:01 AM,0.4048,0.4870
30,04/27/20 03:30:01 AM,0.4048,0.4870
31,04/27/20 04:00:01 AM,0.4048,0.4877
32,04/27/20 04:30:01 AM,0.4048,0.4877
33,04/27/20 05:00:01 AM,0.4048,0.4877
34,04/27/20 05:30:01 AM,0.4048,0.4877
35,04/27/20 06:00:01 AM,0.4048,0.4877
36,04/27/20 06:30:01 AM,0.4048,0.4877
37,04/27/20 07:00:01 AM,0.4048,0.4877
38,04/27/20 07:30:01 AM,0.4048,0.4877
39,04/27/20 08:00:01 AM,0.4048,0.4877
40,04/27/20 08:30:01 AM,0.4048,0.4877
41,04/27/20 09:00:01 AM,0.4048,0.4877
42,04/27/20 09:30:01 AM,0.4048,0.4877
43,04/27/20 10:00:01 AM,0.4048,0.4877
44,04/27/20 10:30:01 AM,0.4048,0.4877
45,04/27/20 11:00:01 AM,0.4048,0.4877
46,04/27/20 11:30:01 AM,0.4048,0.4877
47,04/27/20 12:00:01 PM,0.4048,0.4884
48,04/27/20 12:30:01 PM,0.4055,0.4877
49,04/27/20 01:00:01 PM,0.4048,0.4877
50,04/27/20 01:30:01 PM,0.4048,0.4877
51,04/27/20 02:00:01 PM,0.4048,0.4877
52,04/27/20 02:30:01 PM,0.4048,0.4877
53,04/27/20 03:00:01 PM,0.4048,0.4877
54,04/27/20 03:30:01 PM,0.4048,0.4870
55,04/27/20 04:00:01 PM,0.4048,0.4877
56,04/27/20 04:30:01 PM,0.4048,0.4877
57,04/27/20 05:00:01 PM,0.4048,0.4877
58,04/27/20 05:30:01 PM,0.4048,0.4877
59,04/27/20 06:00:01 PM,0.4048,0.4877
60,04/27/20 06:30:01 PM,0.4048,0.4877
61,04/27/20 07:00:01 PM,0.4048,0.4877
62,04/27/20 07:30:01 PM,0.4048,0.4877
63,04/27/20 08:00:01 PM,0.4048,0.4870
64,04/27/20 08:30:01 PM,0.4048,0.4877
65,04/27/20 09:00:01 PM,0.4048,0.4877
66,04/27/20 09:30:01 PM,0.4048,0.4877
67,04/27/20 10:00:01 PM,0.4048,0.4877
68,04/27/20 10:30:01 PM,0.4048,0.4877
69,04/27/20 11:00:01 PM,0.4048,0.4877
70,04/27/20 11:30:01 PM,0.4048,0.4877
71,04/28/20 12:00:01 AM,0.4048,0.4877
72,04/28/20 12:30:01 AM,0.4048,0.4877
73,04/28/20 01:00:01 AM,0.4048,0.4870
74,04/28/20 01:30:01 AM,0.4048,0.4870
75,04/28/20 02:00:01 AM,0.4048,0.4870
76,04/28/20 02:30:01 AM,0.4048,0.4870
77,04/28/20 03:00:01 AM,0.4048,0.4870
78,04/28/20 03:30:01 AM,0.4048,0.4870
79,04/28/20 04:00:01 AM,0.4048,0.4870
80,04/28/20 04:30:01 AM,0.4048,0.4870
81,04/28/20 05:00:01 AM,0.4048,0.4870
82,04/28/20 05:30:01 AM,0.4048,0.4870
83,04/28/20 06:00:01 AM,0.4048,0.4870
84,04/28/20 06:30:01 AM,0.4048,0.4870
85,04/28/20 07:00:01 AM,0.4048,0.4870
86,04/28/20 07:30:01 AM,0.4048,0.4870
87,04/28/20 08:00:01 AM,0.4048,0.4870
88,04/28/20 08:30:01 AM,0.4048,0.4877
89,04/28/20 09:00:01 AM,0.4048,0.4877
90,04/28/20 09:30:01 AM,0.4048,0.4870
91,04/28/20 10:00:01 AM,0.4055,0.4877
92,04/28/20 10:30:01 AM,0.4048,0.4870
93,04/28/20 11:00:01 AM,0.4048,0.4877
94,04/28/20 11:30:01 AM,0.4048,0.4877
95,04/28/20 12:00:01 PM,0.4055,0.4877
96,04/28/20 12:30:01 PM,0.4055,0.4877
97,04/28/20 01:00:01 PM,0.4055,0.4877
98,04/28/20 01:30:01 PM,0.4055,0.4870
99,04/28/20 02:00:01 PM,0.4048,0.4870
100,04/28/20 02:30:01 PM,0.4048,0.4877
101,04/28/20 03:00:01 PM,0.4055,0.4870
102,04/28/20 03:30:01 PM,0.4055,0.4877
103,04/28/20 04:00:01 PM,0.4055,0.4870
104,04/28/20 04:30:01 PM,0.4055,0.4870
105,04/28/20 05:00:01 PM,0.4055,0.4870
106,04/28/20 05:30:01 PM,0.4048,0.4870
107,04/28/20 06:00:01 PM,0.4055,0.4870
108,04/28/20 06:30:01 PM,0.4055,0.4870
109,04/28/20 07:00:01 PM,0.4048,0.4870
110,04/28/20 07:30:01 PM,0.4048,0.4862
111,04/28/20 08:00:01 PM,0.4048,0.4870
112,04/28/20 08:30:01 PM,0.4048,0.4870
113,04/28/20 09:00:01 PM,0.4048,0.4862
114,04/28/20 09:30:01 PM,0.4048,0.4862
115,04/28/20 10:00:01 PM,0.4048,0.4862
116,04/28/20 10:30:01 PM,0.4048,0.4870
117,04/28/20 11:00:01 PM,0.4048,0.4862
118,04/28/20 11:30:01 PM,0.4048,0.4862
119,04/29/20 12:00:01 AM,0.4048,0.4870
120,04/29/20 12:30:01 AM,0.4048,0.4862
121,04/29/20 01:00:01 AM,0.4048,0.4877
122,04/29/20 01:30:01 AM,0.4048,0.4870
123,04/29/20 02:00:01 AM,0.4048,0.4870
124,04/29/20 02:30:01 AM,0.4048,0.4870
125,04/29/20 03:00:01 AM,0.4048,0.4870
126,04/29/20 03:30:01 AM,0.4048,0.4870
127,04/29/20 04:00:01 AM,0.4048,0.4870
128,04/29/20 04:30:01 AM,0.4048,0.4877
129,04/29/20 05:00:01 AM,0.4048,0.4870
130,04/29/20 05:30:01 AM,0.4048,0.4870
131,04/29/20 06:00:01 AM,0.4048,0.4870
132,04/29/20 06:30:01 AM,0.4048,0.4870
133,04/29/20 07:00:01 AM,0.4048,0.4870
134,04/29/20 07:30:01 AM,0.4048,0.4870
135,04/29/20 08:00:01 AM,0.4048,0.4870
136,04/29/20 08:30:01 AM,0.4048,0.4870
137,04/29/20 09:00:01 AM,0.4048,0.4870
138,04/29/20 09:30:01 AM,0.4048,0.4862
139,04/29/20 10:00:01 AM,0.4048,0.4862
140,04/29/20 10:30:01 AM,0.4048,0.4870
141,04/29/20 11:00:01 AM,0.4048,0.4870
142,04/29/20 11:30:01 AM,0.4048,0.4862
143,04/29/20 12:00:01 PM,0.4048,0.4870
144,04/29/20 12:30:01 PM,0.4055,0.4870
145,04/29/20 01:00:01 PM,0.4055,0.4877
146,04/29/20 01:30:01 PM,0.4055,0.4877
147,04/29/20 02:00:01 PM,0.4055,0.4877
148,04/29/20 02:30:01 PM,0.4055,0.4877
149,04/29/20 03:00:01 PM,0.4055,0.4870
150,04/29/20 03:30:01 PM,0.4055,0.4870
151,04/29/20 04:00:01 PM,0.4048,0.4884
152,04/29/20 04:30:01 PM,0.4048,0.4870
153,04/29/20 05:00:01 PM,0.4048,0.4870
154,04/29/20 05:30:01 PM,0.4048,0.4870
155,04/29/20 06:00:01 PM,0.4048,0.4870
156,04/29/20 06:30:01 PM,0.4048,0.4877
157,04/29/20 07:00:01 PM,0.4048,0.4862
158,04/29/20 07:30:01 PM,0.4048,0.4862
159,04/29/20 08:00:01 PM,0.4048,0.4862
160,04/29/20 08:30:01 PM,0.4048,0.4870
161,04/29/20 09:00:01 PM,0.4048,0.4870
162,04/29/20 09:30:01 PM,0.4048,0.4870
163,04/29/20 10:00:01 PM,0.4048,0.4870
164,04/29/20 10:30:01 PM,0.4048,0.4870
165,04/29/20 11:00:01 PM,0.4048,0.4877
166,04/29/20 11:30:01 PM,0.4048,0.4877
167,04/30/20 12:00:01 AM,0.4048,0.4870
168,04/30/20 12:30:01 AM,0.4048,0.4877
169,04/30/20 01:00:01 AM,0.4048,0.4877
170,04/30/20 01:30:01 AM,0.4048,0.4877
171,04/30/20 02:00:01 AM,0.4048,0.4877
172,04/30/20 02:30:01 AM,0.4048,0.4870
173,04/30/20 03:00:01 AM,0.4048,0.4877
174,04/30/20 03:30:01 AM,0.4048,0.4877
175,04/30/20 04:00:01 AM,0.4048,0.4877
176,04/30/20 04:30:01 AM,0.4048,0.4870
177,04/30/20 05:00:01 AM,0.4048,0.4877
178,04/30/20 05:30:01 AM,0.4048,0.4877
179,04/30/20 06:00:01 AM,0.4048,0.4877
180,04/30/20 06:30:01 AM,0.4048,0.4877
181,04/30/20 07:00:01 AM,0.4048,0.4877
182,04/30/20 07:30:01 AM,0.4048,0.4870
183,04/30/20 08:00:01 AM,0.4048,0.4870
184,04/30/20 08:30:01 AM,0.4048,0.4870
185,04/30/20 09:00:01 AM,0.4048,0.4870
186,04/30/20 09:30:01 AM,0.4048,0.4870
187,04/30/20 10:00:01 AM,0.4048,0.4862
188,04/30/20 10:30:01 AM,0.4048,0.4862
189,04/30/20 11:00:01 AM,0.4048,0.4870
190,04/30/20 11:30:01 AM,0.4055,0.4870
191,04/30/20 12:00:01 PM,0.4048,0.4862
192,04/30/20 12:30:01 PM,0.4048,0.4870
193,04/30/20 01:00:01 PM,0.4055,0.4877
194,04/30/20 01:30:01 PM,0.4048,0.4870
195,04/30/20 02:00:01 PM,0.4048,0.4870
196,04/30/20 02:30:01 PM,0.4048,0.4870
197,04/30/20 03:00:01 PM,0.4055,0.4870
198,04/30/20 03:30:01 PM,0.4048,0.4877
199,04/30/20 04:00:01 PM,0.4048,0.4884
200,04/30/20 04:30:01 PM,0.4055,0.4877
201,04/30/20 05:00:01 PM,0.4055,0.4870
202,04/30/20 05:30:01 PM,0.4048,0.4870
203,04/30/20 06:00:01 PM,0.4048,0.4862
204,04/30/20 06:30:01 PM,0.4048,0.4870
205,04/30/20 07:00:01 PM,0.4048,0.4870
206,04/30/20 07:30:01 PM,0.4048,0.4870
207,04/30/20 08:00:01 PM,0.4048,0.4870
208,04/30/20 08:30:01 PM,0.4048,0.4870
209,04/30/20 09:00:01 PM,0.4048,0.4870
210,04/30/20 09:30:01 PM,0.4048,0.4870
211,04/30/20 10:00:01 PM,0.4048,0.4877
212,04/30/20 10:30:01 PM,0.4048,0.4877
213,04/30/20 11:00:01 PM,0.4048,0.4877
214,04/30/20 11:30:01 PM,0.4048,0.4877
215,05/01/20 12:00:01 AM,0.4048,0.4877
216,05/01/20 12:30:01 AM,0.4048,0.4877
217,05/01/20 01:00:01 AM,0.4041,0.4877
218,05/01/20 01:30:01 AM,0.4041,0.4870
219,05/01/20 02:00:01 AM,0.4048,0.4870
220,05/01/20 02:30:01 AM,0.4048,0.4862
221,05/01/20 03:00:01 AM,0.4048,0.4870
222,05/01/20 03:30:01 AM,0.4048,0.4862
223,05/01/20 04:00:01 AM,0.4048,0.4870
224,05/01/20 04:30:01 AM,0.4048,0.4862
225,05/01/20 05:00:01 AM,0.4048,0.4862
226,05/01/20 05:30:01 AM,0.4048,0.4862
227,05/01/20 06:00:01 AM,0.4048,0.4862
228,05/01/20 06:30:01 AM,0.4048,0.4862
229,05/01/20 07:00:01 AM,0.4048,0.4870
230,05/01/20 07:30:01 AM,0.4048,0.4862
231,05/01/20 08:00:01 AM,0.4048,0.4862
232,05/01/20 08:30:01 AM,0.4048,0.4870
233,05/01/20 09:00:01 AM,0.4048,0.4877
234,05/01/20 09:30:01 AM,0.4048,0.4870
235,05/01/20 10:00:01 AM,0.4055,0.4870
236,05/01/20 10:30:01 AM,0.4055,0.4862
237,05/01/20 11:00:01 AM,0.4055,0.4862
238,05/01/20 11:30:01 AM,0.4055,0.4870
239,05/01/20 12:00:01 PM,0.4048,0.4862
240,05/01/20 12:30:01 PM,0.4048,0.4870
241,05/01/20 01:00:01 PM,0.4055,0.4884
242,05/01/20 01:30:01 PM,0.4055,0.4870
243,05/01/20 02:00:01 PM,0.4055,0.4877
244,05/01/20 02:30:01 PM,0.4055,0.4877
245,05/01/20 03:00:01 PM,0.4048,0.4870
246,05/01/20 03:30:01 PM,0.4048,0.4877
247,05/01/20 04:00:01 PM,0.4048,0.4877
248,05/01/20 04:30:01 PM,0.4048,0.4870
249,05/01/20 05:00:01 PM,0.4048,0.4870
250,05/01/20 05:30:01 PM,0.4048,0.4870
251,05/01/20 06:00:01 PM,0.4055,0.4870
252,05/01/20 06:30:01 PM,0.4048,0.4870
253,05/01/20 07:00:01 PM,0.4048,0.4870
254,05/01/20 07:30:01 PM,0.4048,0.4870
255,05/01/20 08:00:01 PM,0.4048,0.4870
256,05/01/20 08:30:01 PM,0.4048,0.4877
257,05/01/20 09:00:01 PM,0.4048,0.4877
258,05/01/20 09:30:01 PM,0.4048,0.4877
259,05/01/20 10:00:01 PM,0.4048,0.4877
260,05/01/20 10:30:01 PM,0.4048,0.4877
261,05/01/20 11:00:01 PM,0.4048,0.4877
262,05/01/20 11:30:01 PM,0.4048,0.4877
263,05/02/20 12:00:01 AM,0.4048,0.4870
264,05/02/20 12:30:01 AM,0.4048,0.4870
265,05/02/20 01:00:01 AM,0.4048,0.4870
266,05/02/20 01:30:01 AM,0.4048,0.4870
267,05/02/20 02:00:01 AM,0.4048,0.4870
268,05/02/20 02:30:01 AM,0.4048,0.4870
269,05/02/20 03:00:01 AM,0.4048,0.4862
270,05/02/20 03:30:01 AM,0.4048,0.4870
271,05/02/20 04:00:01 AM,0.4048,0.4870
272,05/02/20 04:30:01 AM,0.4048,0.4862
273,05/02/20 05:00:01 AM,0.4048,0.4862
274,05/02/20 05:30:01 AM,0.4048,0.4870
275,05/02/20 06:00:01 AM,0.4048,0.4862
276,05/02/20 06:30:01 AM,0.4048,0.4862
277,05/02/20 07:00:01 AM,0.4048,0.4862
278,05/02/20 07:30:01 AM,0.4048,0.4870
279,05/02/20 08:00:01 AM,0.4048,0.4870
280,05/02/20 08:30:01 AM,0.4048,0.4870
281,05/02/20 09:00:01 AM,0.4048,0.4877
282,05/02/20 09:30:01 AM,0.4048,0.4870
283,05/02/20 10:00:01 AM,0.4048,0.4870
284,05/02/20 10:30:01 AM,0.4048,0.4862
285,05/02/20 11:00:01 AM,0.4048,0.4870
286,05/02/20 11:30:01 AM,0.4048,0.4870
287,05/02/20 12:00:01 PM,0.4048,0.4870
288,05/02/20 12:30:01 PM,0.4048,0.4870
289,05/02/20 01:00:01 PM,0.4048,0.4877
290,05/02/20 01:30:01 PM,0.4048,0.4870
291,05/02/20 02:00:01 PM,0.4048,0.4870
292,05/02/20 02:30:01 PM,0.4048,0.4870
293,05/02/20 03:00:01 PM,0.4048,0.4870
294,05/02/20 03:30:01 PM,0.4048,0.4870
295,05/02/20 04:00:01 PM,0.4048,0.4870
296,05/02/20 04:30:01 PM,0.4048,0.4870
297,05/02/20 05:00:01 PM,0.4048,0.4870
298,05/02/20 05:30:01 PM,0.4055,0.4870
299,05/02/20 06:00:01 PM,0.4048,0.4870
300,05/02/20 06:30:01 PM,0.4048,0.4870
301,05/02/20 07:00:01 PM,0.4048,0.4870
302,05/02/20 07:30:01 PM,0.4048,0.4870
303,05/02/20 08:00:01 PM,0.4048,0.4870
304,05/02/20 08:30:01 PM,0.4048,0.4877
305,05/02/20 09:00:01 PM,0.4048,0.4877
306,05/02/20 09:30:01 PM,0.4048,0.4877
307,05/02/20 10:00:01 PM,0.4055,0.4877
308,05/02/20 10:30:01 PM,0.4055,0.4877
309,05/02/20 11:00:01 PM,0.4048,0.4877
310,05/02/20 11:30:01 PM,0.4048,0.4877
311,05/03/20 12:00:01 AM,0.4048,0.4877
312,05/03/20 12:30:01 AM,0.4048,0.4877
313,05/03/20 01:00:01 AM,0.4048,0.4877
314,05/03/20 01:30:01 AM,0.4048,0.4877
315,05/03/20 02:00:01 AM,0.4048,0.4877
316,05/03/20 02:30:01 AM,0.4048,0.4877
317,05/03/20 03:00:01 AM,0.4048,0.4877
318,05/03/20 03:30:01 AM,0.4048,0.4877
319,05/03/20 04:00:01 AM,0.4048,0.4877
320,05/03/20 04:30:01 AM,0.4048,0.4877
321,05/03/20 05:00:01 AM,0.4048,0.4877
322,05/03/20 05:30:01 AM,0.4048,0.4877
323,05/03/20 06:00:01 AM,0.4048,0.4877
324,05/03/20 06:30:01 AM,0.4048,0.4877
325,05/03/20 07:00:01 AM,0.4048,0.4877
326,05/03/20 07:30:01 AM,0.4048,0.4877
327,05/03/20 08:00:01 AM,0.4048,0.4877
328,05/03/20 08:30:01 AM,0.4048,0.4877
329,05/03/20 09:00:01 AM,0.4048,0.4877
330,05/03/20 09:30:01 AM,0.4048,0.4877
331,05/03/20 10:00:01 AM,0.4055,0.4870
332,05/03/20 10:30:01 AM,0.4055,0.4870
333,05/03/20 11:00:01 AM,0.4055,0.4870
334,05/03/20 11:30:01 AM,0.4055,0.4870
335,05/03/20 12:00:01 PM,0.4048,0.4870
336,05/03/20 12:30:01 PM,0.4055,0.4870
337,05/03/20 01:00:01 PM,0.4055,0.4877
338,05/03/20 01:30:01 PM,0.4048,0.4877
339,05/03/20 02:00:01 PM,0.4048,0.4884
340,05/03/20 02:30:01 PM,0.4055,0.4877
341,05/03/20 03:00:01 PM,0.4055,0.4870
342,05/03/20 03:30:01 PM,0.4048,0.4870
343,05/03/20 04:00:01 PM,0.4048,0.4870
344,05/03/20 04:30:01 PM,0.4055,0.4870
345,05/03/20 05:00:01 PM,0.4055,0.4870
346,05/03/20 05:30:01 PM,0.4055,0.4870
347,05/03/20 06:00:01 PM,0.4055,0.4870
348,05/03/20 06:30:01 PM,0.4048,0.4870
349,05/03/20 07:00:01 PM,0.4048,0.4870
350,05/03/20 07:30:01 PM,0.4048,0.4870
351,05/03/20 08:00:01 PM,0.4048,0.4877
352,05/03/20 08:30:01 PM,0.4048,0.4877
353,05/03/20 09:00:01 PM,0.4048,0.4877
354,05/03/20 09:30:01 PM,0.4048,0.4877
355,05/03/20 10:00:01 PM,0.4048,0.4870
356,05/03/20 10:30:01 PM,0.4048,0.4870
357,05/03/20 11:00:01 PM,0.4048,0.4870
358,05/03/20 11:30:01 PM,0.4048,0.4870
359,05/04/20 12:00:01 AM,0.4048,0.4870
360,05/04/20 12:30:01 AM,0.4048,0.4870
361,05/04/20 01:00:01 AM,0.4048,0.4870
362,05/04/20 01:30:01 AM,0.4041,0.4870
363,05/04/20 02:00:01 AM,0.4048,0.4870
364,05/04/20 02:30:01 AM,0.4048,0.4870
365,05/04/20 03:00:01 AM,0.4041,0.4870
366,05/04/20 03:30:01 AM,0.4041,0.4870
367,05/04/20 04:00:01 AM,0.4048,0.4862
368,05/04/20 04:30:01 AM,0.4048,0.4862
369,05/04/20 05:00:01 AM,0.4048,0.4870
370,05/04/20 05:30:01 AM,0.4048,0.4870
371,05/04/20 06:00:01 AM,0.4048,0.4870
372,05/04/20 06:30:01 AM,0.4048,0.4870
373,05/04/20 07:00:01 AM,0.4048,0.4870
374,05/04/20 07:30:01 AM,0.4048,0.4870
375,05/04/20 08:00:01 AM,0.4055,0.4862
376,05/04/20 08:30:01 AM,0.4048,0.4870
377,05/04/20 09:00:01 AM,0.4048,0.4870
378,05/04/20 09:30:01 AM,0.4048,0.4877
379,05/04/20 10:00:01 AM,0.4048,0.4870
380,05/04/20 10:30:01 AM,0.4048,0.4870
381,05/04/20 11:00:01 AM,0.4055,0.4870
382,05/04/20 11:30:01 AM,0.4055,0.4870
383,05/04/20 12:00:01 PM,0.4055,0.4870
384,05/04/20 12:30:01 PM,0.4055,0.4877
385,05/04/20 01:00:01 PM,0.4055,0.4884
386,05/04/20 01:30:01 PM,0.4055,0.4870
387,05/04/20 02:00:01 PM,0.4055,0.4877
388,05/04/20 02:30:01 PM,0.4048,0.4877
389,05/04/20 03:00:01 PM,0.4055,0.4870
390,05/04/20 03:30:01 PM,0.4055,0.4877
391,05/04/20 04:00:01 PM,0.4055,0.4877
392,05/04/20 04:30:01 PM,0.4048,0.4877
393,05/04/20 05:00:01 PM,0.4055,0.4877
394,05/04/20 05:30:01 PM,0.4055,0.4870
395,05/04/20 06:00:01 PM,0.4055,0.4870
396,05/04/20 06:30:01 PM,0.4055,0.4870
397,05/04/20 07:00:01 PM,0.4055,0.4870
398,05/04/20 07:30:01 PM,0.4055,0.4870
399,05/04/20 08:00:01 PM,0.4048,0.4870
400,05/04/20 08:30:01 PM,0.4048,0.4877
401,05/04/20 09:00:01 PM,0.4048,0.4877
402,05/04/20 09:30:01 PM,0.4048,0.4877
403,05/04/20 10:00:01 PM,0.4048,0.4877
404,05/04/20 10:30:01 PM,0.4048,0.4877
405,05/04/20 11:00:01 PM,0.4048,0.4877
406,05/04/20 11:30:01 PM,0.4048,0.4870
407,05/05/20 12:00:01 AM,0.4048,0.4870
408,05/05/20 12:30:01 AM,0.4048,0.4870
409,05/05/20 01:00:01 AM,0.4048,0.4870
410,05/05/20 01:30:01 AM,0.4048,0.4870
411,05/05/20 02:00:01 AM,0.4048,0.4870
412,05/05/20 02:30:01 AM,0.4048,0.4870
413,05/05/20 03:00:01 AM,0.4048,0.4870
414,05/05/20 03:30:01 AM,0.4048,0.4870
415,05/05/20 04:00:01 AM,0.4048,0.4870
416,05/05/20 04:30:01 AM,0.4048,0.4870
417,05/05/20 05:00:01 AM,0.4048,0.4870
418,05/05/20 05:30:01 AM,0.4048,0.4870
419,05/05/20 06:00:01 AM,0.4048,0.4870
420,05/05/20 06:30:01 AM,0.4048,0.4870
421,05/05/20 07:00:01 AM,0.4048,0.4870
422,05/05/20 07:30:01 AM,0.4048,0.4870
423,05/05/20 08:00:01 AM,0.4048,0.4870
424,05/05/20 08:30:01 AM,0.4048,0.4870
425,05/05/20 09:00:01 AM,0.4055,0.4877
426,05/05/20 09:30:01 AM,0.4055,0.4870
427,05/05/20 10:00:01 AM,0.4055,0.4870
428,05/05/20 10:30:01 AM,0.4055,0.4877
429,05/05/20 11:00:01 AM,0.4055,0.4877
430,05/05/20 11:30:01 AM,0.4055,0.4877
431,05/05/20 12:00:01 PM,0.4055,0.4870
432,05/05/20 12:30:01 PM,0.4055,0.4877
433,05/05/20 01:00:01 PM,0.4055,0.4870
434,05/05/20 01:30:01 PM,0.4055,0.4884
435,05/05/20 02:00:01 PM,0.4055,0.4870
436,05/05/20 02:30:01 PM,0.4055,0.4877
437,05/05/20 03:00:01 PM,0.4055,0.4877
438,05/05/20 03:30:01 PM,0.4055,0.4877
439,05/05/20 04:00:01 PM,0.4055,0.4877
440,05/05/20 04:30:01 PM,0.4055,0.4884
441,05/05/20 05:00:01 PM,0.4048,0.4877
442,05/05/20 05:30:01 PM,0.4055,0.4877
443,05/05/20 06:00:01 PM,0.4055,0.4884
444,05/05/20 06:30:01 PM,0.4055,0.4884
445,05/05/20 07:00:01 PM,0.4055,0.4877
446,05/05/20 07:30:01 PM,0.4055,0.4877
447,05/05/20 08:00:01 PM,0.4048,0.4870
448,05/05/20 08:30:01 PM,0.4048,0.4870
449,05/05/20 09:00:01 PM,0.4055,0.4870
450,05/05/20 09:30:01 PM,0.4055,0.4877
451,05/05/20 10:00:01 PM,0.4048,0.4877
452,05/05/20 10:30:01 PM,0.4048,0.4877
453,05/05/20 11:00:01 PM,0.4048,0.4877
454,05/05/20 11:30:01 PM,0.4048,0.4877
455,05/06/20 12:00:01 AM,0.4048,0.4877
456,05/06/20 12:30:01 AM,0.4048,0.4877
457,05/06/20 01:00:01 AM,0.4048,0.4877
458,05/06/20 01:30:01 AM,0.4048,0.4877
459,05/06/20 02:00:01 AM,0.4048,0.4877
460,05/06/20 02:30:01 AM,0.4048,0.4877
461,05/06/20 03:00:01 AM,0.4048,0.4877
462,05/06/20 03:30:01 AM,0.4048,0.4870
463,05/06/20 04:00:01 AM,0.4048,0.4870
464,05/06/20 04:30:01 AM,0.4048,0.4870
465,05/06/20 05:00:01 AM,0.4048,0.4870
466,05/06/20 05:30:01 AM,0.4048,0.4870
467,05/06/20 06:00:01 AM,0.4048,0.4870
468,05/06/20 06:30:01 AM,0.4055,0.4870
469,05/06/20 07:00:01 AM,0.4048,0.4870
470,05/06/20 07:30:01 AM,0.4048,0.4870
471,05/06/20 08:00:01 AM,0.4048,0.4870
472,05/06/20 08:30:01 AM,0.4048,0.4877
473,05/06/20 09:00:01 AM,0.4048,0.4877
474,05/06/20 09:30:01 AM,0.4055,0.4870
475,05/06/20 10:00:01 AM,0.4055,0.4870
476,05/06/20 10:30:01 AM,0.4055,0.4877
477,05/06/20 11:00:01 AM,0.4055,0.4877
478,05/06/20 11:30:01 AM,0.4055,0.4884
479,05/06/20 12:00:01 PM,0.4048,0.4884
480,05/06/20 12:30:01 PM,0.4048,0.4877
481,05/06/20 01:00:01 PM,0.4055,0.4877
482,05/06/20 01:30:01 PM,0.4055,0.4884
483,05/06/20 02:00:01 PM,0.4055,0.4870
484,05/06/20 02:30:01 PM,0.4055,0.4877
485,05/06/20 03:00:01 PM,0.4055,0.4877
486,05/06/20 03:30:01 PM,0.4055,0.4884
487,05/06/20 04:00:01 PM,0.4055,0.4870
488,05/06/20 04:30:01 PM,0.4055,0.4877
489,05/06/20 05:00:01 PM,0.4055,0.4877
490,05/06/20 05:30:01 PM,0.4055,0.4877
491,05/06/20 06:00:01 PM,0.4055,0.4884
