"Plot Title: ChildsT3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20456140, LBL: childs trans 3 - 30 cm)","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20456142, LBL: childs trans 3 - 60 cm)"
1,07/08/19 01:30:01 PM,0.3461,0.4202
2,07/08/19 02:00:01 PM,0.3466,0.4195
3,07/08/19 02:30:01 PM,0.3471,0.4195
4,07/08/19 03:00:01 PM,0.3471,0.4195
5,07/08/19 03:30:01 PM,0.3476,0.4195
6,07/08/19 04:00:01 PM,0.3476,0.4181
7,07/08/19 04:30:01 PM,0.3481,0.4188
8,07/08/19 05:00:01 PM,0.3476,0.4195
9,07/08/19 05:30:01 PM,0.3481,0.4195
10,07/08/19 06:00:01 PM,0.3481,0.4195
11,07/08/19 06:30:01 PM,0.3481,0.4195
12,07/08/19 07:00:01 PM,0.3481,0.4188
13,07/08/19 07:30:01 PM,0.3486,0.4181
14,07/08/19 08:00:01 PM,0.3486,0.4188
15,07/08/19 08:30:01 PM,0.3486,0.4195
16,07/08/19 09:00:01 PM,0.3481,0.4188
17,07/08/19 09:30:01 PM,0.3490,0.4188
18,07/08/19 10:00:01 PM,0.3486,0.4188
19,07/08/19 10:30:01 PM,0.3490,0.4188
20,07/08/19 11:00:01 PM,0.3496,0.4188
21,07/08/19 11:30:01 PM,0.3486,0.4188
22,07/09/19 12:00:01 AM,0.3486,0.4188
23,07/09/19 12:30:01 AM,0.3496,0.4188
24,07/09/19 01:00:01 AM,0.3496,0.4188
25,07/09/19 01:30:01 AM,0.3496,0.4188
26,07/09/19 02:00:01 AM,0.3490,0.4188
27,07/09/19 02:30:01 AM,0.3490,0.4188
28,07/09/19 03:00:01 AM,0.3486,0.4188
29,07/09/19 03:30:01 AM,0.3490,0.4188
30,07/09/19 04:00:01 AM,0.3496,0.4188
31,07/09/19 04:30:01 AM,0.3496,0.4181
32,07/09/19 05:00:01 AM,0.3490,0.4188
33,07/09/19 05:30:01 AM,0.3490,0.4188
34,07/09/19 06:00:01 AM,0.3496,0.4174
35,07/09/19 06:30:01 AM,0.3496,0.4181
36,07/09/19 07:00:01 AM,0.3496,0.4188
37,07/09/19 07:30:01 AM,0.3490,0.4181
38,07/09/19 08:00:01 AM,0.3500,0.4174
39,07/09/19 08:30:01 AM,0.3496,0.4174
40,07/09/19 09:00:01 AM,0.3496,0.4174
41,07/09/19 09:30:01 AM,0.3496,0.4174
42,07/09/19 10:00:01 AM,0.3496,0.4181
43,07/09/19 10:30:01 AM,0.3490,0.4181
44,07/09/19 11:00:01 AM,0.3496,0.4174
45,07/09/19 11:30:01 AM,0.3490,0.4181
46,07/09/19 12:00:01 PM,0.3490,0.4181
47,07/09/19 12:30:01 PM,0.3490,0.4181
48,07/09/19 01:00:01 PM,0.3496,0.4181
49,07/09/19 01:30:01 PM,0.3490,0.4181
50,07/09/19 02:00:01 PM,0.3490,0.4181
51,07/09/19 02:30:01 PM,0.3496,-0.4737
52,07/09/19 03:00:01 PM,0.3490,0.4181
53,07/09/19 03:30:01 PM,0.3490,0.4181
54,07/09/19 04:00:01 PM,0.3490,0.4181
55,07/09/19 04:30:01 PM,0.3490,0.4188
56,07/09/19 05:00:01 PM,0.3490,0.4188
57,07/09/19 05:30:01 PM,0.3490,0.4181
58,07/09/19 06:00:01 PM,0.3490,0.4188
59,07/09/19 06:30:01 PM,0.3490,-0.4737
60,07/09/19 07:00:01 PM,0.3490,-0.0915
61,07/09/19 07:30:01 PM,0.3490,-0.4737
62,07/09/19 08:00:01 PM,0.3490,0.4141
63,07/09/19 08:30:01 PM,0.3496,-0.4737
64,07/09/19 09:00:01 PM,0.3500,0.4148
65,07/09/19 09:30:01 PM,0.3500,-0.4737
66,07/09/19 10:00:01 PM,0.3490,0.4121
67,07/09/19 10:30:01 PM,0.3496,-0.4737
68,07/09/19 11:00:01 PM,0.3496,0.4188
69,07/09/19 11:30:01 PM,0.3496,0.4188
70,07/10/19 12:00:01 AM,0.3500,0.4181
71,07/10/19 12:30:01 AM,0.3500,0.4188
72,07/10/19 01:00:01 AM,0.3500,0.4188
73,07/10/19 01:30:01 AM,0.3496,0.4181
74,07/10/19 02:00:01 AM,0.3496,0.4181
75,07/10/19 02:30:01 AM,0.3500,0.4181
76,07/10/19 03:00:01 AM,0.3500,0.4188
77,07/10/19 03:30:01 AM,0.3500,0.2169
78,07/10/19 04:00:01 AM,0.3496,0.4174
79,07/10/19 04:30:01 AM,0.3496,0.2881
80,07/10/19 05:00:01 AM,0.3496,0.4174
