"Plot Title: CHILDST2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456137, LBL: Childs transect 2 60 cm)","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456138, LBL: Childs transect 2 30 cm)"
1,05/02/21 09:00:01 AM,0.4114,0.4915
2,05/02/21 09:30:01 AM,0.4114,0.4899
3,05/02/21 10:00:01 AM,0.4114,0.4915
4,05/02/21 10:30:01 AM,0.4114,0.4899
5,05/02/21 11:00:01 AM,0.4114,0.4899
6,05/02/21 11:30:01 AM,0.4114,0.4899
7,05/02/21 12:00:01 PM,0.4107,0.4899
8,05/02/21 12:30:01 PM,0.4107,0.4915
9,05/02/21 01:00:01 PM,0.4107,0.4906
10,05/02/21 01:30:01 PM,0.4114,0.4899
11,05/02/21 02:00:01 PM,0.4107,0.4906
12,05/02/21 02:30:01 PM,0.4107,0.4906
13,05/02/21 03:00:01 PM,0.4107,0.4899
14,05/02/21 03:30:01 PM,0.4107,0.4915
15,05/02/21 04:00:01 PM,0.4107,0.4915
16,05/02/21 04:30:01 PM,0.4114,0.4899
17,05/02/21 05:00:01 PM,0.4107,0.4899
18,05/02/21 05:30:01 PM,0.4107,0.4899
19,05/02/21 06:00:01 PM,0.4107,0.4899
20,05/02/21 06:30:01 PM,0.4107,0.4899
21,05/02/21 07:00:01 PM,0.4107,0.4899
22,05/02/21 07:30:01 PM,0.4107,0.4899
23,05/02/21 08:00:01 PM,0.4107,0.4899
24,05/02/21 08:30:01 PM,0.4107,0.4899
25,05/02/21 09:00:01 PM,0.4107,0.4906
26,05/02/21 09:30:01 PM,0.4107,0.4906
27,05/02/21 10:00:01 PM,0.4102,0.4906
28,05/02/21 10:30:01 PM,0.4102,0.4906
29,05/02/21 11:00:01 PM,0.4102,0.4906
30,05/02/21 11:30:01 PM,0.4102,0.4899
31,05/03/21 12:00:01 AM,0.4107,0.4906
32,05/03/21 12:30:01 AM,0.4107,0.4899
33,05/03/21 01:00:01 AM,0.4107,0.4899
34,05/03/21 01:30:01 AM,0.4107,0.4899
35,05/03/21 02:00:01 AM,0.4102,0.4899
36,05/03/21 02:30:01 AM,0.4102,0.4899
37,05/03/21 03:00:01 AM,0.4107,0.4906
38,05/03/21 03:30:01 AM,0.4107,0.4899
39,05/03/21 04:00:01 AM,0.4107,0.4899
40,05/03/21 04:30:01 AM,0.4107,0.4899
41,05/03/21 05:00:01 AM,0.4107,0.4899
42,05/03/21 05:30:01 AM,0.4107,0.4899
43,05/03/21 06:00:01 AM,0.4107,0.4899
44,05/03/21 06:30:01 AM,0.4107,0.4899
45,05/03/21 07:00:01 AM,0.4107,0.4899
46,05/03/21 07:30:01 AM,0.4107,0.4899
47,05/03/21 08:00:01 AM,0.4107,0.4906
48,05/03/21 08:30:01 AM,0.4114,0.4906
49,05/03/21 09:00:01 AM,0.4107,0.4899
50,05/03/21 09:30:01 AM,0.4107,0.4899
51,05/03/21 10:00:01 AM,0.4107,0.4899
52,05/03/21 10:30:01 AM,0.4107,0.4915
53,05/03/21 11:00:01 AM,0.4114,0.4899
54,05/03/21 11:30:01 AM,0.4107,0.4899
55,05/03/21 12:00:01 PM,0.4107,0.4899
56,05/03/21 12:30:01 PM,0.4107,0.4915
57,05/03/21 01:00:01 PM,0.4107,0.4906
58,05/03/21 01:30:01 PM,0.4114,0.4915
59,05/03/21 02:00:01 PM,0.4114,0.4915
60,05/03/21 02:30:01 PM,0.4114,0.4915
61,05/03/21 03:00:01 PM,0.4107,0.4915
62,05/03/21 03:30:01 PM,0.4107,0.4906
63,05/03/21 04:00:01 PM,0.4107,0.4915
64,05/03/21 04:30:01 PM,0.4107,0.4915
65,05/03/21 05:00:01 PM,0.4107,0.4906
66,05/03/21 05:30:01 PM,0.4107,0.4915
67,05/03/21 06:00:01 PM,0.4107,0.4906
68,05/03/21 06:30:01 PM,0.4114,0.4915
69,05/03/21 07:00:01 PM,0.4107,0.4906
70,05/03/21 07:30:01 PM,0.4107,0.4906
71,05/03/21 08:00:01 PM,0.4107,0.4906
72,05/03/21 08:30:01 PM,0.4107,0.4899
73,05/03/21 09:00:01 PM,0.4107,0.4906
74,05/03/21 09:30:01 PM,0.4107,0.4899
75,05/03/21 10:00:01 PM,0.4107,0.4906
76,05/03/21 10:30:01 PM,0.4107,0.4906
77,05/03/21 11:00:01 PM,0.4107,0.4906
78,05/03/21 11:30:01 PM,0.4107,0.4906
79,05/04/21 12:00:01 AM,0.4107,0.4906
80,05/04/21 12:30:01 AM,0.4107,0.4899
81,05/04/21 01:00:01 AM,0.4107,0.4906
82,05/04/21 01:30:01 AM,0.4107,0.4899
83,05/04/21 02:00:01 AM,0.4107,0.4899
84,05/04/21 02:30:01 AM,0.4107,0.4899
85,05/04/21 03:00:01 AM,0.4107,0.4899
86,05/04/21 03:30:01 AM,0.4107,0.4899
87,05/04/21 04:00:01 AM,0.4102,0.4899
88,05/04/21 04:30:01 AM,0.4107,0.4899
89,05/04/21 05:00:01 AM,0.4107,0.4891
90,05/04/21 05:30:01 AM,0.4107,0.4899
91,05/04/21 06:00:01 AM,0.4107,0.4899
92,05/04/21 06:30:01 AM,0.4107,0.4899
93,05/04/21 07:00:01 AM,0.4107,0.4899
94,05/04/21 07:30:01 AM,0.4107,0.4899
95,05/04/21 08:00:01 AM,0.4107,0.4899
96,05/04/21 08:30:01 AM,0.4107,0.4906
97,05/04/21 09:00:01 AM,0.4107,0.4899
98,05/04/21 09:30:01 AM,0.4107,0.4899
99,05/04/21 10:00:01 AM,0.4114,0.4906
100,05/04/21 10:30:01 AM,0.4107,0.4906
101,05/04/21 11:00:01 AM,0.4107,0.4899
102,05/04/21 11:30:01 AM,0.4107,0.4915
103,05/04/21 12:00:01 PM,0.4114,0.4915
104,05/04/21 12:30:01 PM,0.4114,0.4915
105,05/04/21 01:00:01 PM,0.4121,0.4899
106,05/04/21 01:30:01 PM,0.4114,0.4906
107,05/04/21 02:00:01 PM,0.4121,0.4906
108,05/04/21 02:30:01 PM,0.4121,0.4906
109,05/04/21 03:00:01 PM,0.4114,0.4899
110,05/04/21 03:30:01 PM,0.4114,0.4906
111,05/04/21 04:00:01 PM,0.4114,0.4906
112,05/04/21 04:30:01 PM,0.4114,0.4906
113,05/04/21 05:00:01 PM,0.4114,0.4906
114,05/04/21 05:30:01 PM,0.4121,0.4906
115,05/04/21 06:00:01 PM,0.4114,0.4906
116,05/04/21 06:30:01 PM,0.4114,0.4915
117,05/04/21 07:00:01 PM,0.4114,0.4915
118,05/04/21 07:30:01 PM,0.4114,0.4899
119,05/04/21 08:00:01 PM,0.4114,0.4899
120,05/04/21 08:30:01 PM,0.4107,0.4899
121,05/04/21 09:00:01 PM,0.4107,0.4899
122,05/04/21 09:30:01 PM,0.4107,0.4906
123,05/04/21 10:00:01 PM,0.4114,0.4899
124,05/04/21 10:30:01 PM,0.4107,0.4899
125,05/04/21 11:00:01 PM,0.4114,0.4899
126,05/04/21 11:30:01 PM,0.4107,0.4899
127,05/05/21 12:00:01 AM,0.4114,0.4906
128,05/05/21 12:30:01 AM,0.4107,0.4906
129,05/05/21 01:00:01 AM,0.4114,0.4906
130,05/05/21 01:30:01 AM,0.4114,0.4906
131,05/05/21 02:00:01 AM,0.4107,0.4906
132,05/05/21 02:30:01 AM,0.4114,0.4906
133,05/05/21 03:00:01 AM,0.4107,0.4899
134,05/05/21 03:30:01 AM,0.4114,0.4899
135,05/05/21 04:00:01 AM,0.4107,0.4899
136,05/05/21 04:30:01 AM,0.4114,0.4899
137,05/05/21 05:00:01 AM,0.4107,0.4906
138,05/05/21 05:30:01 AM,0.4107,0.4899
139,05/05/21 06:00:01 AM,0.4107,0.4899
140,05/05/21 06:30:01 AM,0.4107,0.4899
141,05/05/21 07:00:01 AM,0.4107,0.4899
142,05/05/21 07:30:01 AM,0.4107,0.4899
143,05/05/21 08:00:01 AM,0.4114,0.4899
144,05/05/21 08:30:01 AM,0.4107,0.4906
145,05/05/21 09:00:01 AM,0.4107,0.4899
146,05/05/21 09:30:01 AM,0.4107,0.4899
147,05/05/21 10:00:01 AM,0.4114,0.4906
148,05/05/21 10:30:01 AM,0.4114,0.4915
149,05/05/21 11:00:01 AM,0.4114,0.4906
150,05/05/21 11:30:01 AM,0.4107,0.4899
151,05/05/21 12:00:01 PM,0.4114,0.4915
152,05/05/21 12:30:01 PM,0.4114,0.4915
153,05/05/21 01:00:01 PM,0.4114,0.4906
154,05/05/21 01:30:01 PM,0.4114,0.4906
155,05/05/21 02:00:01 PM,0.4114,0.4915
156,05/05/21 02:30:01 PM,0.4114,0.4906
157,05/05/21 03:00:01 PM,0.4114,0.4906
158,05/05/21 03:30:01 PM,0.4114,0.4906
159,05/05/21 04:00:01 PM,0.4114,0.4906
160,05/05/21 04:30:01 PM,0.4121,0.4915
161,05/05/21 05:00:01 PM,0.4114,0.4915
162,05/05/21 05:30:01 PM,0.4114,0.4906
163,05/05/21 06:00:01 PM,0.4114,0.4906
164,05/05/21 06:30:01 PM,0.4114,0.4906
165,05/05/21 07:00:01 PM,0.4107,0.4906
