"Plot Title: CHILDST3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20205245, SEN S/N: 20456140, LBL: childs trans 3- 30 cm)","Water Content, m³/m³ (LGR S/N: 20205245, SEN S/N: 20456142, LBL: childs trans 3- 60 cm)"
1,05/02/21 09:00:01 AM,0.4687,0.4155
2,05/02/21 09:30:01 AM,0.4680,0.4155
3,05/02/21 10:00:01 AM,0.4680,0.4155
4,05/02/21 10:30:01 AM,0.4687,0.4155
5,05/02/21 11:00:01 AM,0.4687,0.4148
6,05/02/21 11:30:01 AM,0.4680,0.4155
7,05/02/21 12:00:01 PM,0.4680,0.4062
8,05/02/21 12:30:01 PM,0.4680,0.4155
9,05/02/21 01:00:01 PM,0.4680,0.4155
10,05/02/21 01:30:01 PM,0.4680,0.4155
11,05/02/21 02:00:01 PM,0.4687,0.4148
12,05/02/21 02:30:01 PM,0.4680,0.4155
13,05/02/21 03:00:01 PM,0.4680,0.4141
14,05/02/21 03:30:01 PM,0.4687,-0.4737
15,05/02/21 04:00:01 PM,0.4687,0.4155
16,05/02/21 04:30:01 PM,0.4687,0.4155
17,05/02/21 05:00:01 PM,0.4687,-0.4737
18,05/02/21 05:30:01 PM,0.4680,0.4155
19,05/02/21 06:00:01 PM,0.4687,0.4155
20,05/02/21 06:30:01 PM,0.4687,0.4155
21,05/02/21 07:00:01 PM,0.4680,0.4155
22,05/02/21 07:30:01 PM,0.4672,0.4141
23,05/02/21 08:00:01 PM,0.4687,0.4155
24,05/02/21 08:30:01 PM,0.4680,0.4148
25,05/02/21 09:00:01 PM,0.4680,0.4155
26,05/02/21 09:30:01 PM,0.4687,0.4148
27,05/02/21 10:00:01 PM,0.4680,0.4148
28,05/02/21 10:30:01 PM,0.4680,0.4148
29,05/02/21 11:00:01 PM,0.4672,0.4148
30,05/02/21 11:30:01 PM,0.4680,0.4155
31,05/03/21 12:00:01 AM,0.4687,0.4148
32,05/03/21 12:30:01 AM,0.4687,0.4148
33,05/03/21 01:00:01 AM,0.4680,0.4148
34,05/03/21 01:30:01 AM,0.4680,0.4148
35,05/03/21 02:00:01 AM,0.4687,0.4148
36,05/03/21 02:30:01 AM,0.4680,0.4148
37,05/03/21 03:00:01 AM,0.4680,0.4148
38,05/03/21 03:30:01 AM,0.4687,0.4148
39,05/03/21 04:00:01 AM,0.4687,0.4148
40,05/03/21 04:30:01 AM,0.4687,0.4148
41,05/03/21 05:00:01 AM,0.4680,0.4148
42,05/03/21 05:30:01 AM,0.4680,0.4148
43,05/03/21 06:00:01 AM,0.4687,0.4148
44,05/03/21 06:30:01 AM,0.4687,0.4148
45,05/03/21 07:00:01 AM,0.4687,0.4148
46,05/03/21 07:30:01 AM,0.4687,0.4148
47,05/03/21 08:00:01 AM,0.4680,0.4155
48,05/03/21 08:30:01 AM,0.4680,0.4155
49,05/03/21 09:00:01 AM,0.4687,0.4155
50,05/03/21 09:30:01 AM,0.4680,0.4155
51,05/03/21 10:00:01 AM,0.4672,0.4148
52,05/03/21 10:30:01 AM,0.4680,0.4155
53,05/03/21 11:00:01 AM,0.4680,0.4155
54,05/03/21 11:30:01 AM,0.4680,0.4155
55,05/03/21 12:00:01 PM,0.4680,-0.4737
56,05/03/21 12:30:01 PM,0.4687,0.4148
57,05/03/21 01:00:01 PM,0.4680,0.4155
58,05/03/21 01:30:01 PM,0.4672,0.4141
59,05/03/21 02:00:01 PM,0.4680,0.1945
60,05/03/21 02:30:01 PM,0.4687,0.1826
61,05/03/21 03:00:01 PM,0.4680,0.4155
62,05/03/21 03:30:01 PM,0.4687,0.3939
63,05/03/21 04:00:01 PM,0.4680,0.4155
64,05/03/21 04:30:01 PM,0.4680,0.4155
65,05/03/21 05:00:01 PM,0.4687,0.4155
66,05/03/21 05:30:01 PM,0.4672,0.4148
67,05/03/21 06:00:01 PM,0.4680,0.4141
68,05/03/21 06:30:01 PM,0.4680,0.4155
69,05/03/21 07:00:01 PM,0.4680,0.4155
70,05/03/21 07:30:01 PM,0.4680,0.4155
71,05/03/21 08:00:01 PM,0.4687,0.4155
72,05/03/21 08:30:01 PM,0.4687,0.4148
73,05/03/21 09:00:01 PM,0.4680,0.4155
74,05/03/21 09:30:01 PM,0.4680,0.4148
75,05/03/21 10:00:01 PM,0.4680,0.4148
76,05/03/21 10:30:01 PM,0.4680,0.4148
77,05/03/21 11:00:01 PM,0.4672,0.4148
78,05/03/21 11:30:01 PM,0.4687,0.4155
79,05/04/21 12:00:01 AM,0.4680,0.4148
80,05/04/21 12:30:01 AM,0.4687,0.4148
81,05/04/21 01:00:01 AM,0.4680,0.4148
82,05/04/21 01:30:01 AM,0.4680,0.4148
83,05/04/21 02:00:01 AM,0.4672,0.4148
84,05/04/21 02:30:01 AM,0.4680,0.4148
85,05/04/21 03:00:01 AM,0.4680,0.4148
86,05/04/21 03:30:01 AM,0.4687,0.4148
87,05/04/21 04:00:01 AM,0.4687,0.4148
88,05/04/21 04:30:01 AM,0.4687,0.4148
89,05/04/21 05:00:01 AM,0.4680,0.4148
90,05/04/21 05:30:01 AM,0.4687,0.4148
91,05/04/21 06:00:01 AM,0.4680,0.4148
92,05/04/21 06:30:01 AM,0.4680,0.4155
93,05/04/21 07:00:01 AM,0.4672,0.4148
94,05/04/21 07:30:01 AM,0.4687,0.4148
95,05/04/21 08:00:01 AM,0.4687,0.4148
96,05/04/21 08:30:01 AM,0.4680,0.4148
97,05/04/21 09:00:01 AM,0.4680,0.4155
98,05/04/21 09:30:01 AM,0.4687,0.4155
99,05/04/21 10:00:01 AM,0.4680,0.4141
100,05/04/21 10:30:01 AM,0.4680,0.4148
101,05/04/21 11:00:01 AM,0.4687,-0.4737
102,05/04/21 11:30:01 AM,0.4687,0.4155
103,05/04/21 12:00:01 PM,0.4680,0.4155
104,05/04/21 12:30:01 PM,0.4680,0.4155
105,05/04/21 01:00:01 PM,0.4672,-0.4737
106,05/04/21 01:30:01 PM,0.4672,-0.4737
107,05/04/21 02:00:01 PM,0.4672,0.4155
108,05/04/21 02:30:01 PM,0.4672,0.4155
109,05/04/21 03:00:01 PM,0.4672,0.4155
110,05/04/21 03:30:01 PM,0.4687,0.4155
111,05/04/21 04:00:01 PM,0.4672,0.4155
112,05/04/21 04:30:01 PM,0.4672,0.4155
113,05/04/21 05:00:01 PM,0.4680,0.4155
114,05/04/21 05:30:01 PM,0.4680,0.4148
115,05/04/21 06:00:01 PM,0.4687,-0.4737
116,05/04/21 06:30:01 PM,0.4687,0.4155
117,05/04/21 07:00:01 PM,0.4672,0.4148
118,05/04/21 07:30:01 PM,0.4672,-0.4737
119,05/04/21 08:00:01 PM,0.4687,0.4155
120,05/04/21 08:30:01 PM,0.4680,0.4155
121,05/04/21 09:00:01 PM,0.4687,0.4155
122,05/04/21 09:30:01 PM,0.4680,0.4148
123,05/04/21 10:00:01 PM,0.4680,0.4148
124,05/04/21 10:30:01 PM,0.4680,0.4148
125,05/04/21 11:00:01 PM,0.4672,0.4155
126,05/04/21 11:30:01 PM,0.4687,0.4148
127,05/05/21 12:00:01 AM,0.4680,0.4155
128,05/05/21 12:30:01 AM,0.4680,0.4148
129,05/05/21 01:00:01 AM,0.4687,0.4148
130,05/05/21 01:30:01 AM,0.4680,0.4148
131,05/05/21 02:00:01 AM,0.4680,0.4148
132,05/05/21 02:30:01 AM,0.4680,0.4148
133,05/05/21 03:00:01 AM,0.4680,0.4148
134,05/05/21 03:30:01 AM,0.4680,0.4148
135,05/05/21 04:00:01 AM,0.4687,0.4148
136,05/05/21 04:30:01 AM,0.4687,0.4148
137,05/05/21 05:00:01 AM,0.4687,0.4148
138,05/05/21 05:30:01 AM,0.4687,0.4148
139,05/05/21 06:00:01 AM,0.4687,0.4148
140,05/05/21 06:30:01 AM,0.4687,0.4148
141,05/05/21 07:00:01 AM,0.4687,0.4148
142,05/05/21 07:30:01 AM,0.4687,0.4148
143,05/05/21 08:00:01 AM,0.4687,0.4148
144,05/05/21 08:30:01 AM,0.4687,0.4155
145,05/05/21 09:00:01 AM,0.4680,0.4148
146,05/05/21 09:30:01 AM,0.4694,0.4155
147,05/05/21 10:00:01 AM,0.4680,0.4155
148,05/05/21 10:30:01 AM,0.4687,0.4155
149,05/05/21 11:00:01 AM,0.4680,0.4155
150,05/05/21 11:30:01 AM,0.4680,0.4155
151,05/05/21 12:00:01 PM,0.4680,0.4135
152,05/05/21 12:30:01 PM,0.4680,0.2938
153,05/05/21 01:00:01 PM,0.4680,0.4148
154,05/05/21 01:30:01 PM,0.4687,0.4148
155,05/05/21 02:00:01 PM,0.4680,0.4155
156,05/05/21 02:30:01 PM,0.4672,0.4148
157,05/05/21 03:00:01 PM,0.4680,0.4155
158,05/05/21 03:30:01 PM,0.4680,0.4162
159,05/05/21 04:00:01 PM,0.4680,0.4148
160,05/05/21 04:30:01 PM,0.4672,0.4155
161,05/05/21 05:00:01 PM,0.4672,0.4141
162,05/05/21 05:30:01 PM,0.4672,0.4155
163,05/05/21 06:00:01 PM,0.4680,0.4141
164,05/05/21 06:30:01 PM,0.4680,0.4155
165,05/05/21 07:00:01 PM,0.4680,0.4155
166,05/05/21 07:30:01 PM,0.4680,0.4155
167,05/05/21 08:00:01 PM,0.4680,0.4155
168,05/05/21 08:30:01 PM,0.4680,0.4155
169,05/05/21 09:00:01 PM,0.4687,0.4148
170,05/05/21 09:30:01 PM,0.4687,0.4148
171,05/05/21 10:00:01 PM,0.4680,0.4155
172,05/05/21 10:30:01 PM,0.4680,0.4148
173,05/05/21 11:00:01 PM,0.4680,0.4148
174,05/05/21 11:30:01 PM,0.4680,0.4148
175,05/06/21 12:00:01 AM,0.4687,0.4148
176,05/06/21 12:30:01 AM,0.4680,0.4148
177,05/06/21 01:00:01 AM,0.4680,0.4148
178,05/06/21 01:30:01 AM,0.4687,0.4148
179,05/06/21 02:00:01 AM,0.4680,0.4148
180,05/06/21 02:30:01 AM,0.4680,0.4148
181,05/06/21 03:00:01 AM,0.4672,0.4148
182,05/06/21 03:30:01 AM,0.4680,0.4148
183,05/06/21 04:00:01 AM,0.4680,0.4148
184,05/06/21 04:30:01 AM,0.4687,0.4148
185,05/06/21 05:00:01 AM,0.4687,0.4148
186,05/06/21 05:30:01 AM,0.4680,0.4148
187,05/06/21 06:00:01 AM,0.4680,0.4148
188,05/06/21 06:30:01 AM,0.4680,0.4141
189,05/06/21 07:00:01 AM,0.4680,0.4148
190,05/06/21 07:30:01 AM,0.4687,0.4148
