Date,VWC_30cm_CHILDST2,VWC_30cm_CHILDST3,VWC_60cm_CHILDST2,VWC_60cm_CHILDST3
2019-07-08 13:30:00,NA,0.3461,NA,0.4202
2019-07-08 14:00:00,NA,0.3466,NA,0.4195
2019-07-08 14:30:00,NA,0.3471,NA,0.4195
2019-07-08 15:00:00,NA,0.3471,NA,0.4195
2019-07-08 15:30:00,NA,0.3476,NA,0.4195
2019-07-08 16:00:00,NA,0.3476,NA,0.4181
2019-07-08 16:30:00,NA,0.3481,NA,0.4188
2019-07-08 17:00:00,NA,0.3476,NA,0.4195
2019-07-08 17:30:00,NA,0.3481,NA,0.4195
2019-07-08 18:00:00,NA,0.3481,NA,0.4195
2019-07-08 18:30:00,NA,0.3481,NA,0.4195
2019-07-08 19:00:00,NA,0.3481,NA,0.4188
2019-07-08 19:30:00,NA,0.3486,NA,0.4181
2019-07-08 20:00:00,NA,0.3486,NA,0.4188
2019-07-08 20:30:00,NA,0.3486,NA,0.4195
2019-07-08 21:00:00,NA,0.3481,NA,0.4188
2019-07-08 21:30:00,NA,0.349,NA,0.4188
2019-07-08 22:00:00,NA,0.3486,NA,0.4188
2019-07-08 22:30:00,NA,0.349,NA,0.4188
2019-07-08 23:00:00,NA,0.3496,NA,0.4188
2019-07-08 23:30:00,NA,0.3486,NA,0.4188
2019-07-09 00:00:00,NA,0.3486,NA,0.4188
2019-07-09 00:30:00,NA,0.3496,NA,0.4188
2019-07-09 01:00:00,NA,0.3496,NA,0.4188
2019-07-09 01:30:00,NA,0.3496,NA,0.4188
2019-07-09 02:00:00,NA,0.349,NA,0.4188
2019-07-09 02:30:00,NA,0.349,NA,0.4188
2019-07-09 03:00:00,NA,0.3486,NA,0.4188
2019-07-09 03:30:00,NA,0.349,NA,0.4188
2019-07-09 04:00:00,NA,0.3496,NA,0.4188
2019-07-09 04:30:00,NA,0.3496,NA,0.4181
2019-07-09 05:00:00,NA,0.349,NA,0.4188
2019-07-09 05:30:00,NA,0.349,NA,0.4188
2019-07-09 06:00:00,NA,0.3496,NA,0.4174
2019-07-09 06:30:00,NA,0.3496,NA,0.4181
2019-07-09 07:00:00,NA,0.3496,NA,0.4188
2019-07-09 07:30:00,NA,0.349,NA,0.4181
2019-07-09 08:00:00,NA,0.35,NA,0.4174
2019-07-09 08:30:00,NA,0.3496,NA,0.4174
2019-07-09 09:00:00,NA,0.3496,NA,0.4174
2019-07-09 09:30:00,NA,0.3496,NA,0.4174
2019-07-09 10:00:00,NA,0.3496,NA,0.4181
2019-07-09 10:30:00,NA,0.349,NA,0.4181
2019-07-09 11:00:00,NA,0.3496,NA,0.4174
2019-07-09 11:30:00,NA,0.349,NA,0.4181
2019-07-09 12:00:00,NA,0.349,NA,0.4181
2019-07-09 12:30:00,NA,0.349,NA,0.4181
2019-07-09 13:00:00,NA,0.3496,NA,0.4181
2019-07-09 13:30:00,NA,0.349,NA,0.4181
2019-07-09 14:00:00,NA,0.349,NA,0.4181
2019-07-09 14:30:00,NA,0.3496,NA,-0.4737
2019-07-09 15:00:00,NA,0.349,NA,0.4181
2019-07-09 15:30:00,NA,0.349,NA,0.4181
2019-07-09 16:00:00,NA,0.349,NA,0.4181
2019-07-09 16:30:00,NA,0.349,NA,0.4188
2019-07-09 17:00:00,NA,0.349,NA,0.4188
2019-07-09 17:30:00,NA,0.349,NA,0.4181
2019-07-09 18:00:00,NA,0.349,NA,0.4188
2019-07-09 18:30:00,NA,0.349,NA,-0.4737
2019-07-09 19:00:00,NA,0.349,NA,-0.0915
2019-07-09 19:30:00,NA,0.349,NA,-0.4737
2019-07-09 20:00:00,NA,0.349,NA,0.4141
2019-07-09 20:30:00,NA,0.3496,NA,-0.4737
2019-07-09 21:00:00,NA,0.35,NA,0.4148
2019-07-09 21:30:00,NA,0.35,NA,-0.4737
2019-07-09 22:00:00,NA,0.349,NA,0.4121
2019-07-09 22:30:00,NA,0.3496,NA,-0.4737
2019-07-09 23:00:00,NA,0.3496,NA,0.4188
2019-07-09 23:30:00,NA,0.3496,NA,0.4188
2019-07-10 00:00:00,NA,0.35,NA,0.4181
2019-07-10 00:30:00,NA,0.35,NA,0.4188
2019-07-10 01:00:00,NA,0.35,NA,0.4188
2019-07-10 01:30:00,NA,0.3496,NA,0.4181
2019-07-10 02:00:00,NA,0.3496,NA,0.4181
2019-07-10 02:30:00,NA,0.35,NA,0.4181
2019-07-10 03:00:00,NA,0.35,NA,0.4188
2019-07-10 03:30:00,NA,0.35,NA,0.2169
2019-07-10 04:00:00,NA,0.3496,NA,0.4174
2019-07-10 04:30:00,NA,0.3496,NA,0.2881
2019-07-10 05:00:00,NA,0.3496,NA,0.4174
2019-07-10 05:30:00,NA,0.3496,NA,0.4174
2019-07-10 06:00:00,NA,0.35,NA,0.4174
2019-07-10 06:30:00,NA,0.35,NA,0.4174
2019-07-10 07:00:00,NA,0.3496,NA,0.4174
2019-07-10 07:30:00,NA,0.35,NA,0.3223
2019-07-10 08:00:00,NA,0.35,NA,0.4174
2019-07-10 08:30:00,NA,0.3496,NA,0.2759
2019-07-10 09:00:00,NA,0.35,NA,0.2874
2019-07-10 09:30:00,NA,0.35,NA,0.2914
2019-07-10 10:00:00,NA,0.3496,NA,0.4174
2019-07-10 10:30:00,NA,0.3496,NA,0.4188
2019-07-10 11:00:00,NA,0.35,NA,0.4188
2019-07-10 11:30:00,NA,0.35,NA,0.4188
2019-07-10 12:00:00,NA,0.3496,NA,0.4188
2019-07-10 12:30:00,NA,0.349,NA,0.4188
2019-07-10 13:00:00,NA,0.3496,NA,0.4188
2019-07-10 13:30:00,NA,0.3506,NA,0.4174
2019-07-10 14:00:00,NA,0.3496,NA,0.3125
2019-07-10 14:30:00,NA,0.35,NA,0.4195
2019-07-10 15:00:00,NA,0.3496,NA,0.4188
2019-07-10 15:30:00,NA,0.3496,NA,0.4188
2019-07-10 16:00:00,NA,0.35,NA,0.4195
2019-07-10 16:30:00,NA,0.3496,NA,0.4188
2019-07-10 17:00:00,NA,0.349,NA,0.4181
2019-07-10 17:30:00,NA,0.3496,NA,0.4174
2019-07-10 18:00:00,NA,0.35,NA,-0.4737
2019-07-10 18:30:00,NA,0.3496,NA,-0.4737
2019-07-10 19:00:00,NA,0.3496,NA,-0.4737
2019-07-10 19:30:00,NA,0.3496,NA,-0.4737
2019-07-10 20:00:00,NA,0.3496,NA,-0.4737
2019-07-10 20:30:00,NA,0.3496,NA,-0.4737
2019-07-10 21:00:00,NA,0.35,NA,0.4069
2019-07-10 21:30:00,NA,0.35,NA,-0.4737
2019-07-10 22:00:00,NA,0.3496,NA,0.4188
2019-07-10 22:30:00,NA,0.35,NA,0.4195
2019-07-10 23:00:00,NA,0.35,NA,0.4188
2019-07-10 23:30:00,NA,0.3496,NA,0.4195
2019-07-11 00:00:00,NA,0.35,NA,0.4181
2019-07-11 00:30:00,NA,0.35,NA,0.4188
2019-07-11 01:00:00,NA,0.35,NA,0.4188
2019-07-11 01:30:00,NA,0.35,NA,0.4188
2019-07-11 02:00:00,NA,0.3506,NA,0.4188
2019-07-11 02:30:00,NA,0.3496,NA,0.4188
2019-07-11 03:00:00,NA,0.3496,NA,0.4188
2019-07-11 03:30:00,NA,0.349,NA,0.4195
2019-07-11 04:00:00,NA,0.3506,NA,0.4174
2019-07-11 04:30:00,NA,0.3496,NA,0.3734
2019-07-11 05:00:00,NA,0.3506,NA,0.3734
2019-07-11 05:30:00,NA,0.3496,NA,0.3694
2019-07-11 06:00:00,NA,0.3496,NA,0.3758
2019-07-11 06:30:00,NA,0.3496,NA,0.3758
2019-07-11 07:00:00,NA,0.35,NA,0.3758
2019-07-11 07:30:00,NA,0.3506,NA,0.3622
2019-07-11 08:00:00,NA,0.3506,NA,0.4181
2019-07-11 08:30:00,NA,0.35,NA,0.4195
2019-07-11 09:00:00,NA,0.35,NA,0.4188
2019-07-11 09:30:00,NA,0.35,NA,0.4195
2019-07-11 10:00:00,NA,0.3506,NA,0.4188
2019-07-11 10:30:00,NA,0.35,NA,0.4188
2019-07-11 11:00:00,0.3187,0.3496,0.4095,0.4181
2019-07-11 11:30:00,NA,0.35,NA,0.359
2019-07-11 12:00:00,0.3168,0.35,0.4088,0.4181
2019-07-11 12:30:00,NA,0.35,NA,0.4195
2019-07-11 13:00:00,0.3171,0.35,0.4081,0.4195
2019-07-11 13:30:00,NA,0.3506,NA,0.4188
2019-07-11 14:00:00,0.3163,0.35,0.4074,0.4181
2019-07-11 14:30:00,NA,0.3506,NA,0.4181
2019-07-11 15:00:00,0.3163,0.3496,0.4081,0.4188
2019-07-11 15:30:00,NA,0.3496,NA,0.4195
2019-07-11 16:00:00,0.3168,0.35,0.4081,0.4188
2019-07-11 16:30:00,NA,0.3496,NA,0.4195
2019-07-11 17:00:00,0.3163,0.349,0.4074,0.4188
2019-07-11 17:30:00,NA,0.349,NA,0.4195
2019-07-11 18:00:00,0.3168,0.349,0.4088,0.4195
2019-07-11 18:30:00,NA,0.3496,NA,0.4188
2019-07-11 19:00:00,0.3168,0.349,0.4081,0.4195
2019-07-11 19:30:00,NA,0.349,NA,0.4195
2019-07-11 20:00:00,0.3163,0.349,0.4074,0.3578
2019-07-11 20:30:00,NA,0.349,NA,0.2087
2019-07-11 21:00:00,0.316,0.3496,0.4074,0.1859
2019-07-11 21:30:00,NA,0.35,NA,0.1994
2019-07-11 22:00:00,0.3163,0.35,0.4081,0.1945
2019-07-11 22:30:00,NA,0.3496,NA,0.2182
2019-07-11 23:00:00,0.3163,0.35,0.4074,0.2078
2019-07-11 23:30:00,NA,0.3506,NA,0.4174
2019-07-12 00:00:00,0.3163,0.3496,0.4074,-0.1227
2019-07-12 00:30:00,NA,0.35,NA,0.4195
2019-07-12 01:00:00,0.3168,0.3496,0.4081,0.4195
2019-07-12 01:30:00,NA,0.3496,NA,0.4188
2019-07-12 02:00:00,0.3168,0.3506,0.4074,0.4195
2019-07-12 02:30:00,NA,0.35,NA,0.4188
