"Plot Title: CHILDST2"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456137, LBL: Childs transect 2 60 cm)","Water Content, m³/m³ (LGR S/N: 20481498, SEN S/N: 20456138, LBL: Childs transect 2 30 cm)"
1,11/23/20 11:30:01 AM,0.3526,0.3077
2,11/23/20 12:00:01 PM,0.3521,0.3077
3,11/23/20 12:30:01 PM,0.3521,0.3077
4,11/23/20 01:00:01 PM,0.3521,0.3077
5,11/23/20 01:30:01 PM,0.3521,0.3077
6,11/23/20 02:00:01 PM,0.3521,0.3077
7,11/23/20 02:30:01 PM,0.3521,0.3077
8,11/23/20 03:00:01 PM,0.3521,0.3077
9,11/23/20 03:30:01 PM,0.3521,0.3077
10,11/23/20 04:00:01 PM,0.3516,0.3077
11,11/23/20 04:30:01 PM,0.3516,0.3077
12,11/23/20 05:00:01 PM,0.3516,0.3077
13,11/23/20 05:30:01 PM,0.3516,0.3072
14,11/23/20 06:00:01 PM,0.3516,0.3077
15,11/23/20 06:30:01 PM,0.3516,0.3072
16,11/23/20 07:00:01 PM,0.3516,0.3077
17,11/23/20 07:30:01 PM,0.3516,0.3072
18,11/23/20 08:00:01 PM,0.3516,0.3072
19,11/23/20 08:30:01 PM,0.3516,0.3072
20,11/23/20 09:00:01 PM,0.3511,0.3072
21,11/23/20 09:30:01 PM,0.3511,0.3072
22,11/23/20 10:00:01 PM,0.3511,0.3072
23,11/23/20 10:30:01 PM,0.3511,0.3072
24,11/23/20 11:00:01 PM,0.3511,0.3072
25,11/23/20 11:30:01 PM,0.3511,0.3072
26,11/24/20 12:00:01 AM,0.3511,0.3072
27,11/24/20 12:30:01 AM,0.3511,0.3072
28,11/24/20 01:00:01 AM,0.3511,0.3077
29,11/24/20 01:30:01 AM,0.3511,0.3072
30,11/24/20 02:00:01 AM,0.3506,0.3072
31,11/24/20 02:30:01 AM,0.3506,0.3072
32,11/24/20 03:00:01 AM,0.3506,0.3072
33,11/24/20 03:30:01 AM,0.3506,0.3077
34,11/24/20 04:00:01 AM,0.3506,0.3072
35,11/24/20 04:30:01 AM,0.3506,0.3072
36,11/24/20 05:00:01 AM,0.3506,0.3072
37,11/24/20 05:30:01 AM,0.3506,0.3072
38,11/24/20 06:00:01 AM,0.3500,0.3072
39,11/24/20 06:30:01 AM,0.3506,0.3072
40,11/24/20 07:00:01 AM,0.3500,0.3072
41,11/24/20 07:30:01 AM,0.3500,0.3069
42,11/24/20 08:00:01 AM,0.3500,0.3069
43,11/24/20 08:30:01 AM,0.3500,0.3072
44,11/24/20 09:00:01 AM,0.3500,0.3072
45,11/24/20 09:30:01 AM,0.3500,0.3077
46,11/24/20 10:00:01 AM,0.3500,0.3077
47,11/24/20 10:30:01 AM,0.3500,0.3072
48,11/24/20 11:00:01 AM,0.3500,0.3072
49,11/24/20 11:30:01 AM,0.3500,0.3072
50,11/24/20 12:00:01 PM,0.3500,0.3072
51,11/24/20 12:30:01 PM,0.3500,0.3072
52,11/24/20 01:00:01 PM,0.3496,0.3069
53,11/24/20 01:30:01 PM,0.3496,0.3069
54,11/24/20 02:00:01 PM,0.3496,0.3072
55,11/24/20 02:30:01 PM,0.3496,0.3069
56,11/24/20 03:00:01 PM,0.3496,0.3069
57,11/24/20 03:30:01 PM,0.3496,0.3069
58,11/24/20 04:00:01 PM,0.3496,0.3069
59,11/24/20 04:30:01 PM,0.3496,0.3069
60,11/24/20 05:00:01 PM,0.3496,0.3069
61,11/24/20 05:30:01 PM,0.3496,0.3069
62,11/24/20 06:00:01 PM,0.3490,0.3069
63,11/24/20 06:30:01 PM,0.3490,0.3066
64,11/24/20 07:00:01 PM,0.3490,0.3069
65,11/24/20 07:30:01 PM,0.3490,0.3069
66,11/24/20 08:00:01 PM,0.3490,0.3066
67,11/24/20 08:30:01 PM,0.3490,0.3066
68,11/24/20 09:00:01 PM,0.3490,0.3066
69,11/24/20 09:30:01 PM,0.3486,0.3066
70,11/24/20 10:00:01 PM,0.3486,0.3066
71,11/24/20 10:30:01 PM,0.3486,0.3066
72,11/24/20 11:00:01 PM,0.3490,0.3066
73,11/24/20 11:30:01 PM,0.3486,0.3066
74,11/25/20 12:00:01 AM,0.3486,0.3066
75,11/25/20 12:30:01 AM,0.3486,0.3069
76,11/25/20 01:00:01 AM,0.3486,0.3072
77,11/25/20 01:30:01 AM,0.3486,0.3069
78,11/25/20 02:00:01 AM,0.3486,0.3069
79,11/25/20 02:30:01 AM,0.3486,0.3069
80,11/25/20 03:00:01 AM,0.3481,0.3069
81,11/25/20 03:30:01 AM,0.3486,0.3069
82,11/25/20 04:00:01 AM,0.3486,0.3069
83,11/25/20 04:30:01 AM,0.3481,0.3069
84,11/25/20 05:00:01 AM,0.3486,0.3069
85,11/25/20 05:30:01 AM,0.3481,0.3072
86,11/25/20 06:00:01 AM,0.3481,0.3069
87,11/25/20 06:30:01 AM,0.3481,0.3069
88,11/25/20 07:00:01 AM,0.3481,0.3069
89,11/25/20 07:30:01 AM,0.3481,0.3066
90,11/25/20 08:00:01 AM,0.3481,0.3066
91,11/25/20 08:30:01 AM,0.3481,0.3066
92,11/25/20 09:00:01 AM,0.3476,0.3066
93,11/25/20 09:30:01 AM,0.3481,0.3066
94,11/25/20 10:00:01 AM,0.3476,0.3066
95,11/25/20 10:30:01 AM,0.3481,0.3066
96,11/25/20 11:00:01 AM,0.3476,0.3066
97,11/25/20 11:30:01 AM,0.3476,0.3066
98,11/25/20 12:00:01 PM,0.3476,0.3066
99,11/25/20 12:30:01 PM,0.3476,0.3066
100,11/25/20 01:00:01 PM,0.3476,0.3066
101,11/25/20 01:30:01 PM,0.3476,0.3066
102,11/25/20 02:00:01 PM,0.3476,0.3069
103,11/25/20 02:30:01 PM,0.3476,0.3066
104,11/25/20 03:00:01 PM,0.3471,0.3066
105,11/25/20 03:30:01 PM,0.3476,0.3066
106,11/25/20 04:00:01 PM,0.3471,0.3062
107,11/25/20 04:30:01 PM,0.3471,0.3062
108,11/25/20 05:00:01 PM,0.3471,0.3062
109,11/25/20 05:30:01 PM,0.3471,0.3062
110,11/25/20 06:00:01 PM,0.3471,0.3062
111,11/25/20 06:30:01 PM,0.3471,0.3062
112,11/25/20 07:00:01 PM,0.3466,0.3066
113,11/25/20 07:30:01 PM,0.3466,0.3062
114,11/25/20 08:00:01 PM,0.3466,0.3062
115,11/25/20 08:30:01 PM,0.3471,0.3062
116,11/25/20 09:00:01 PM,0.3471,0.3066
117,11/25/20 09:30:01 PM,0.3466,0.3066
118,11/25/20 10:00:01 PM,0.3466,0.3066
119,11/25/20 10:30:01 PM,0.3466,0.3062
120,11/25/20 11:00:01 PM,0.3466,0.3066
121,11/25/20 11:30:01 PM,0.3466,0.3066
122,11/26/20 12:00:01 AM,0.3466,0.3066
123,11/26/20 12:30:01 AM,0.3466,0.3066
124,11/26/20 01:00:01 AM,0.3466,0.3062
125,11/26/20 01:30:01 AM,0.3461,0.3062
126,11/26/20 02:00:01 AM,0.3466,0.3062
127,11/26/20 02:30:01 AM,0.3466,0.3062
128,11/26/20 03:00:01 AM,0.3466,0.3066
129,11/26/20 03:30:01 AM,0.3461,0.3066
130,11/26/20 04:00:01 AM,0.3461,0.3062
131,11/26/20 04:30:01 AM,0.3461,0.3062
132,11/26/20 05:00:01 AM,0.3461,0.3062
133,11/26/20 05:30:01 AM,0.3461,0.3066
134,11/26/20 06:00:01 AM,0.3461,0.3062
135,11/26/20 06:30:01 AM,0.3461,0.3058
136,11/26/20 07:00:01 AM,0.3461,0.3062
137,11/26/20 07:30:01 AM,0.3457,0.3058
138,11/26/20 08:00:01 AM,0.3457,0.3062
139,11/26/20 08:30:01 AM,0.3461,0.3062
140,11/26/20 09:00:01 AM,0.3461,0.3058
