"Plot Title: CHILDST3"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20205245, SEN S/N: 20456140, LBL: childs trans 3- 30 cm)","Water Content, m³/m³ (LGR S/N: 20205245, SEN S/N: 20456142, LBL: childs trans 3- 60 cm)"
1,11/23/20 11:30:01 AM,0.3408,0.3890
2,11/23/20 12:00:01 PM,0.3403,0.3890
3,11/23/20 12:30:01 PM,0.3399,0.3890
4,11/23/20 01:00:01 PM,0.3399,0.3890
5,11/23/20 01:30:01 PM,0.3408,0.3890
6,11/23/20 02:00:01 PM,0.3403,0.3883
7,11/23/20 02:30:01 PM,0.3408,0.3890
8,11/23/20 03:00:01 PM,0.3399,0.3890
9,11/23/20 03:30:01 PM,0.3408,0.3890
10,11/23/20 04:00:01 PM,0.3399,0.3883
11,11/23/20 04:30:01 PM,0.3403,0.3890
12,11/23/20 05:00:01 PM,0.3403,0.3883
13,11/23/20 05:30:01 PM,0.3403,0.3883
14,11/23/20 06:00:01 PM,0.3403,0.3883
15,11/23/20 06:30:01 PM,0.3408,0.3883
16,11/23/20 07:00:01 PM,0.3403,0.3883
17,11/23/20 07:30:01 PM,0.3403,0.3883
18,11/23/20 08:00:01 PM,0.3399,0.3883
19,11/23/20 08:30:01 PM,0.3399,0.3883
20,11/23/20 09:00:01 PM,0.3403,0.3883
21,11/23/20 09:30:01 PM,0.3403,0.3883
22,11/23/20 10:00:01 PM,0.3403,0.3883
23,11/23/20 10:30:01 PM,0.3403,0.3883
24,11/23/20 11:00:01 PM,0.3408,0.3883
25,11/23/20 11:30:01 PM,0.3399,0.3883
26,11/24/20 12:00:01 AM,0.3408,0.3883
27,11/24/20 12:30:01 AM,0.3399,0.3883
28,11/24/20 01:00:01 AM,0.3403,0.3883
29,11/24/20 01:30:01 AM,0.3399,0.3883
30,11/24/20 02:00:01 AM,0.3399,0.3883
31,11/24/20 02:30:01 AM,0.3399,0.3877
32,11/24/20 03:00:01 AM,0.3399,0.3883
33,11/24/20 03:30:01 AM,0.3403,0.3883
34,11/24/20 04:00:01 AM,0.3393,0.3883
35,11/24/20 04:30:01 AM,0.3403,0.3883
36,11/24/20 05:00:01 AM,0.3393,0.3877
37,11/24/20 05:30:01 AM,0.3399,0.3877
38,11/24/20 06:00:01 AM,0.3393,0.3877
39,11/24/20 06:30:01 AM,0.3399,0.3883
40,11/24/20 07:00:01 AM,0.3399,0.3877
41,11/24/20 07:30:01 AM,0.3399,0.3883
42,11/24/20 08:00:01 AM,0.3399,0.3883
43,11/24/20 08:30:01 AM,0.3403,0.3877
44,11/24/20 09:00:01 AM,0.3399,0.3877
45,11/24/20 09:30:01 AM,0.3399,0.3877
46,11/24/20 10:00:01 AM,0.3399,0.3883
47,11/24/20 10:30:01 AM,0.3399,0.3877
48,11/24/20 11:00:01 AM,0.3399,-0.2670
49,11/24/20 11:30:01 AM,0.3393,0.3877
50,11/24/20 12:00:01 PM,0.3393,0.3877
51,11/24/20 12:30:01 PM,0.3399,0.3877
52,11/24/20 01:00:01 PM,0.3393,0.3877
53,11/24/20 01:30:01 PM,0.3399,0.3872
54,11/24/20 02:00:01 PM,0.3399,0.3877
55,11/24/20 02:30:01 PM,0.3399,0.3877
56,11/24/20 03:00:01 PM,0.3399,0.3877
57,11/24/20 03:30:01 PM,0.3393,0.3872
58,11/24/20 04:00:01 PM,0.3393,0.3872
59,11/24/20 04:30:01 PM,0.3399,0.3877
60,11/24/20 05:00:01 PM,0.3399,0.3877
61,11/24/20 05:30:01 PM,0.3393,0.3877
62,11/24/20 06:00:01 PM,0.3393,0.3872
63,11/24/20 06:30:01 PM,0.3393,0.3877
64,11/24/20 07:00:01 PM,0.3393,0.3877
65,11/24/20 07:30:01 PM,0.3393,0.3877
66,11/24/20 08:00:01 PM,0.3393,0.3877
67,11/24/20 08:30:01 PM,0.3393,0.3872
68,11/24/20 09:00:01 PM,0.3393,0.3877
69,11/24/20 09:30:01 PM,0.3393,0.3872
70,11/24/20 10:00:01 PM,0.3399,0.3877
71,11/24/20 10:30:01 PM,0.3393,0.3872
72,11/24/20 11:00:01 PM,0.3399,0.3877
73,11/24/20 11:30:01 PM,0.3389,0.3872
74,11/25/20 12:00:01 AM,0.3393,0.3877
75,11/25/20 12:30:01 AM,0.3389,0.3872
76,11/25/20 01:00:01 AM,0.3393,0.3872
77,11/25/20 01:30:01 AM,0.3389,0.3872
78,11/25/20 02:00:01 AM,0.3399,0.3872
79,11/25/20 02:30:01 AM,0.3393,0.3872
80,11/25/20 03:00:01 AM,0.3393,0.3877
81,11/25/20 03:30:01 AM,0.3393,0.3872
82,11/25/20 04:00:01 AM,0.3393,0.3872
83,11/25/20 04:30:01 AM,0.3399,0.3877
84,11/25/20 05:00:01 AM,0.3393,0.3877
85,11/25/20 05:30:01 AM,0.3393,0.3872
86,11/25/20 06:00:01 AM,0.3389,0.3872
87,11/25/20 06:30:01 AM,0.3389,0.3872
88,11/25/20 07:00:01 AM,0.3393,0.3872
89,11/25/20 07:30:01 AM,0.3399,0.3872
