"Plot Title: ChildsT3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20205245, SEN S/N: 20456140, LBL: childs trans 3- 30 cm)","Water Content, m³/m³ (LGR S/N: 20205245, SEN S/N: 20456142, LBL: childs trans 3- 60 cm)"
1,08/16/20 06:00:01 PM,0.3240,0.3840
2,08/16/20 06:30:01 PM,0.3240,-0.4737
3,08/16/20 07:00:01 PM,0.3240,0.2736
4,08/16/20 07:30:01 PM,0.3235,0.3563
5,08/16/20 08:00:01 PM,0.3240,0.3834
6,08/16/20 08:30:01 PM,0.3240,0.3840
7,08/16/20 09:00:01 PM,0.3235,0.3840
8,08/16/20 09:30:01 PM,0.3235,0.3840
9,08/16/20 10:00:01 PM,0.3235,0.3840
10,08/16/20 10:30:01 PM,0.3235,0.3834
11,08/16/20 11:00:01 PM,0.3240,0.3834
12,08/16/20 11:30:01 PM,0.3235,0.3840
13,08/17/20 12:00:01 AM,0.3244,0.3834
14,08/17/20 12:30:01 AM,0.3235,0.3834
15,08/17/20 01:00:01 AM,0.3235,0.3834
16,08/17/20 01:30:01 AM,0.3235,0.3834
17,08/17/20 02:00:01 AM,0.3240,0.3834
18,08/17/20 02:30:01 AM,0.3240,0.3834
19,08/17/20 03:00:01 AM,0.3244,0.3834
20,08/17/20 03:30:01 AM,0.3235,0.3834
21,08/17/20 04:00:01 AM,0.3240,0.3834
22,08/17/20 04:30:01 AM,0.3240,0.3834
23,08/17/20 05:00:01 AM,0.3244,0.3834
24,08/17/20 05:30:01 AM,0.3240,0.3834
25,08/17/20 06:00:01 AM,0.3240,0.3834
26,08/17/20 06:30:01 AM,0.3235,0.3834
27,08/17/20 07:00:01 AM,0.3235,0.3834
28,08/17/20 07:30:01 AM,0.3240,0.3829
29,08/17/20 08:00:01 AM,0.3240,0.3834
30,08/17/20 08:30:01 AM,0.3240,0.3834
31,08/17/20 09:00:01 AM,0.3240,0.3834
32,08/17/20 09:30:01 AM,0.3240,0.3834
33,08/17/20 10:00:01 AM,0.3244,0.3829
34,08/17/20 10:30:01 AM,0.3235,0.3829
35,08/17/20 11:00:01 AM,0.3240,0.3834
36,08/17/20 11:30:01 AM,0.3240,0.3829
37,08/17/20 12:00:01 PM,0.3244,0.3834
38,08/17/20 12:30:01 PM,0.3244,-0.4737
39,08/17/20 01:00:01 PM,0.3240,0.3834
40,08/17/20 01:30:01 PM,0.3235,0.3840
41,08/17/20 02:00:01 PM,0.3240,0.3547
42,08/17/20 02:30:01 PM,0.3240,0.3834
43,08/17/20 03:00:01 PM,0.3235,0.3829
44,08/17/20 03:30:01 PM,0.3240,-0.4737
45,08/17/20 04:00:01 PM,0.3235,0.3829
46,08/17/20 04:30:01 PM,0.3235,0.3840
47,08/17/20 05:00:01 PM,0.3235,0.3834
48,08/17/20 05:30:01 PM,0.3235,-0.4737
49,08/17/20 06:00:01 PM,0.3240,0.3840
50,08/17/20 06:30:01 PM,0.3240,0.3834
51,08/17/20 07:00:01 PM,0.3235,0.3840
52,08/17/20 07:30:01 PM,0.3240,-0.4737
53,08/17/20 08:00:01 PM,0.3235,0.3834
54,08/17/20 08:30:01 PM,0.3235,0.3840
55,08/17/20 09:00:01 PM,0.3235,0.3834
56,08/17/20 09:30:01 PM,0.3235,0.3834
57,08/17/20 10:00:01 PM,0.3235,0.3829
58,08/17/20 10:30:01 PM,0.3235,0.3834
59,08/17/20 11:00:01 PM,0.3235,0.3834
60,08/17/20 11:30:01 PM,0.3240,0.3834
61,08/18/20 12:00:01 AM,0.3244,0.3834
62,08/18/20 12:30:01 AM,0.3235,0.3834
63,08/18/20 01:00:01 AM,0.3235,0.3834
64,08/18/20 01:30:01 AM,0.3240,0.3834
65,08/18/20 02:00:01 AM,0.3244,0.3834
66,08/18/20 02:30:01 AM,0.3244,0.3834
67,08/18/20 03:00:01 AM,0.3240,0.3834
68,08/18/20 03:30:01 AM,0.3235,0.3834
69,08/18/20 04:00:01 AM,0.3240,0.3834
70,08/18/20 04:30:01 AM,0.3240,0.3834
71,08/18/20 05:00:01 AM,0.3244,0.3834
72,08/18/20 05:30:01 AM,0.3240,0.3834
73,08/18/20 06:00:01 AM,0.3235,0.3834
74,08/18/20 06:30:01 AM,0.3235,0.3834
75,08/18/20 07:00:01 AM,0.3240,0.3834
76,08/18/20 07:30:01 AM,0.3235,0.3834
77,08/18/20 08:00:01 AM,0.3235,0.3834
78,08/18/20 08:30:01 AM,0.3235,0.3834
79,08/18/20 09:00:01 AM,0.3240,0.3834
80,08/18/20 09:30:01 AM,0.3244,0.3834
81,08/18/20 10:00:01 AM,0.3235,0.3834
82,08/18/20 10:30:01 AM,0.3240,0.3834
