"Plot Title: CM2SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684002, LBL: 30 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684005, LBL: 10 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684009, LBL: 1 M)"
1,07/07/20 05:00:01 PM,0.3040,0.1164,0.3133
2,07/07/20 05:30:01 PM,0.3037,0.1148,0.3133
3,07/07/20 06:00:01 PM,0.3037,0.1143,0.3136
4,07/07/20 06:30:01 PM,0.3037,0.1128,0.3133
5,07/07/20 07:00:01 PM,0.3037,0.1117,0.3133
6,07/07/20 07:30:01 PM,0.3037,0.1117,0.3133
7,07/07/20 08:00:01 PM,0.3037,0.1112,0.3125
8,07/07/20 08:30:01 PM,0.3037,0.1107,0.3128
9,07/07/20 09:00:01 PM,0.3037,0.1101,0.3128
10,07/07/20 09:30:01 PM,0.3033,0.1101,0.3125
11,07/07/20 10:00:01 PM,0.3033,0.1101,0.3125
12,07/07/20 10:30:01 PM,0.3033,0.1101,0.3125
13,07/07/20 11:00:01 PM,0.3033,0.1107,0.3125
14,07/07/20 11:30:01 PM,0.3033,0.1107,0.3125
15,07/08/20 12:00:01 AM,0.3033,0.1112,0.3125
16,07/08/20 12:30:01 AM,0.3033,0.1122,0.3125
17,07/08/20 01:00:01 AM,0.3033,0.1128,0.3121
18,07/08/20 01:30:01 AM,0.3033,0.1133,0.3048
19,07/08/20 02:00:01 AM,0.3033,0.1138,0.3121
20,07/08/20 02:30:01 AM,0.3033,0.1148,0.2355
21,07/08/20 03:00:01 AM,0.3033,0.1148,0.3121
22,07/08/20 03:30:01 AM,0.3029,0.1159,0.3121
23,07/08/20 04:00:01 AM,0.3033,0.1164,0.3121
24,07/08/20 04:30:01 AM,0.3029,0.1159,0.3121
25,07/08/20 05:00:01 AM,0.3033,0.1159,0.3121
26,07/08/20 05:30:01 AM,0.3029,0.1164,0.3121
27,07/08/20 06:00:01 AM,0.3029,0.1169,0.3118
28,07/08/20 06:30:01 AM,0.3029,0.1174,0.2660
29,07/08/20 07:00:01 AM,0.3029,0.1179,0.3118
30,07/08/20 07:30:01 AM,0.3029,0.1179,0.3110
31,07/08/20 08:00:01 AM,0.3029,0.1184,0.3113
32,07/08/20 08:30:01 AM,0.3029,0.1174,0.3118
33,07/08/20 09:00:01 AM,0.3029,0.1179,0.3118
34,07/08/20 09:30:01 AM,0.3029,0.1174,0.3118
35,07/08/20 10:00:01 AM,0.3029,0.1174,-0.4270
36,07/08/20 10:30:01 AM,0.3029,0.1164,0.3113
37,07/08/20 11:00:01 AM,0.3029,0.1159,0.1490
38,07/08/20 11:30:01 AM,0.3029,0.1159,0.3051
39,07/08/20 12:00:01 PM,0.3029,0.1153,0.3118
40,07/08/20 12:30:01 PM,0.3029,0.1148,-0.4737
41,07/08/20 01:00:01 PM,0.3029,0.1138,0.3118
42,07/08/20 01:30:01 PM,0.3029,0.1138,0.3118
43,07/08/20 02:00:01 PM,0.3029,0.1133,0.3118
44,07/08/20 02:30:01 PM,0.3029,0.1122,0.3113
45,07/08/20 03:00:01 PM,0.3029,0.1117,0.3118
46,07/08/20 03:30:01 PM,0.3029,0.1107,0.3118
47,07/08/20 04:00:01 PM,0.3029,0.1101,0.3118
48,07/08/20 04:30:01 PM,0.3029,0.1091,0.3118
49,07/08/20 05:00:01 PM,0.3026,0.1080,-0.1662
50,07/08/20 05:30:01 PM,0.3026,0.1075,0.3113
51,07/08/20 06:00:01 PM,0.3026,0.1053,0.3113
52,07/08/20 06:30:01 PM,0.3026,0.1053,0.3110
53,07/08/20 07:00:01 PM,0.3026,0.1036,0.3110
54,07/08/20 07:30:01 PM,0.3022,0.1036,0.3110
55,07/08/20 08:00:01 PM,0.3022,0.1025,0.3110
56,07/08/20 08:30:01 PM,0.3022,0.1025,0.3110
57,07/08/20 09:00:01 PM,0.3022,0.1020,0.3106
58,07/08/20 09:30:01 PM,0.3022,0.1014,0.3098
59,07/08/20 10:00:01 PM,0.3022,0.1014,0.3106
60,07/08/20 10:30:01 PM,0.3019,0.1014,0.3102
61,07/08/20 11:00:01 PM,0.3019,0.1014,0.3106
62,07/08/20 11:30:01 PM,0.3019,0.1009,0.3102
63,07/09/20 12:00:01 AM,0.3022,0.1014,0.3102
64,07/09/20 12:30:01 AM,0.3022,0.1020,0.3102
65,07/09/20 01:00:01 AM,0.3019,0.1020,0.3102
66,07/09/20 01:30:01 AM,0.3019,0.1025,0.3102
67,07/09/20 02:00:01 AM,0.3019,0.1031,0.3102
68,07/09/20 02:30:01 AM,0.3019,0.1031,0.3102
69,07/09/20 03:00:01 AM,0.3019,0.1036,0.3102
70,07/09/20 03:30:01 AM,0.3019,0.1042,0.3102
71,07/09/20 04:00:01 AM,0.3019,0.1047,0.3102
72,07/09/20 04:30:01 AM,0.3019,0.1053,0.3102
73,07/09/20 05:00:01 AM,0.3015,0.1058,0.3098
74,07/09/20 05:30:01 AM,0.3019,0.1064,0.3098
75,07/09/20 06:00:01 AM,0.3019,0.1064,0.3098
76,07/09/20 06:30:01 AM,0.3015,0.1069,0.3098
77,07/09/20 07:00:01 AM,0.3019,0.1075,0.3098
78,07/09/20 07:30:01 AM,0.3019,0.1080,0.3098
79,07/09/20 08:00:01 AM,0.3019,0.1085,0.3098
80,07/09/20 08:30:01 AM,0.3019,0.1080,0.3098
81,07/09/20 09:00:01 AM,0.3019,0.1080,0.3098
82,07/09/20 09:30:01 AM,0.3019,0.1080,0.3098
83,07/09/20 10:00:01 AM,0.3019,0.1075,0.3098
84,07/09/20 10:30:01 AM,0.3019,0.1069,0.3102
85,07/09/20 11:00:01 AM,0.3019,0.1064,0.3098
86,07/09/20 11:30:01 AM,0.3015,0.1064,-0.4270
87,07/09/20 12:00:01 PM,0.3015,0.1064,0.3098
88,07/09/20 12:30:01 PM,0.3015,0.1053,0.2498
89,07/09/20 01:00:01 PM,0.3015,0.1053,0.3098
90,07/09/20 01:30:01 PM,0.3015,0.1053,-0.4356
91,07/09/20 02:00:01 PM,0.3015,0.1047,0.3095
92,07/09/20 02:30:01 PM,0.3015,0.1036,0.3098
93,07/09/20 03:00:01 PM,0.3015,0.1031,0.3098
94,07/09/20 03:30:01 PM,0.3015,0.1025,0.3098
95,07/09/20 04:00:01 PM,0.3015,0.1014,0.3095
96,07/09/20 04:30:01 PM,0.3015,0.1003,0.3098
97,07/09/20 05:00:01 PM,0.3015,0.0992,0.3095
98,07/09/20 05:30:01 PM,0.3011,0.0981,0.3092
99,07/09/20 06:00:01 PM,0.3011,0.0981,-0.4270
100,07/09/20 06:30:01 PM,0.3015,0.0969,0.3092
101,07/09/20 07:00:01 PM,0.3011,0.0955,0.3087
102,07/09/20 07:30:01 PM,0.3011,0.0955,0.3087
103,07/09/20 08:00:01 PM,0.3011,0.0943,0.3092
104,07/09/20 08:30:01 PM,0.3011,0.0937,0.3087
105,07/09/20 09:00:01 PM,0.3008,0.0932,0.3092
106,07/09/20 09:30:01 PM,0.3008,0.0932,0.3087
107,07/09/20 10:00:01 PM,0.3008,0.0926,0.3087
108,07/09/20 10:30:01 PM,0.3008,0.0926,0.3087
109,07/09/20 11:00:01 PM,0.3008,0.0932,0.3087
110,07/09/20 11:30:01 PM,0.3008,0.0926,0.3087
111,07/10/20 12:00:01 AM,0.3008,0.0932,0.3084
112,07/10/20 12:30:01 AM,0.3008,0.0926,0.3084
113,07/10/20 01:00:01 AM,0.3008,0.0926,0.3084
114,07/10/20 01:30:01 AM,0.3008,0.0937,0.3084
115,07/10/20 02:00:01 AM,0.3005,0.0937,0.3084
116,07/10/20 02:30:01 AM,0.3008,0.0937,0.3084
117,07/10/20 03:00:01 AM,0.3008,0.0943,0.3084
118,07/10/20 03:30:01 AM,0.3008,0.0955,0.3084
119,07/10/20 04:00:01 AM,0.3005,0.0955,0.3084
120,07/10/20 04:30:01 AM,0.3008,0.0955,0.3080
121,07/10/20 05:00:01 AM,0.3005,0.0961,0.3080
122,07/10/20 05:30:01 AM,0.3008,0.0963,0.3080
123,07/10/20 06:00:01 AM,0.3005,0.0969,0.3080
124,07/10/20 06:30:01 AM,0.3005,0.0969,0.3080
125,07/10/20 07:00:01 AM,0.3005,0.0981,0.3080
126,07/10/20 07:30:01 AM,0.3005,0.0981,0.3080
127,07/10/20 08:00:01 AM,0.3008,0.0981,0.3080
128,07/10/20 08:30:01 AM,0.3005,0.0986,0.3084
129,07/10/20 09:00:01 AM,0.3005,0.0992,0.3080
130,07/10/20 09:30:01 AM,0.3008,0.0992,0.3080
131,07/10/20 10:00:01 AM,0.3005,0.0986,0.3080
132,07/10/20 10:30:01 AM,0.3005,0.0981,0.3084
133,07/10/20 11:00:01 AM,0.3005,0.0975,0.3084
134,07/10/20 11:30:01 AM,0.3005,0.0969,0.3084
135,07/10/20 12:00:01 PM,0.3005,0.0963,0.3080
136,07/10/20 12:30:01 PM,0.3005,0.0963,0.3084
137,07/10/20 01:00:01 PM,0.3005,0.0969,0.3084
138,07/10/20 01:30:01 PM,0.3005,0.0963,0.3080
139,07/10/20 02:00:01 PM,0.3005,0.0963,0.3080
140,07/10/20 02:30:01 PM,0.3005,0.0961,0.3080
141,07/10/20 03:00:01 PM,0.3005,0.0955,0.3080
142,07/10/20 03:30:01 PM,0.3001,0.0949,0.3080
143,07/10/20 04:00:01 PM,0.3001,0.0937,0.3080
144,07/10/20 04:30:01 PM,0.3005,0.0937,0.3080
145,07/10/20 05:00:01 PM,0.3001,0.0920,0.3077
146,07/10/20 05:30:01 PM,0.3001,0.0914,0.3080
147,07/10/20 06:00:01 PM,0.3001,0.0902,0.3080
148,07/10/20 06:30:01 PM,0.3001,0.0893,0.3077
149,07/10/20 07:00:01 PM,0.2997,0.0881,0.3077
150,07/10/20 07:30:01 PM,0.2997,0.0881,0.3077
151,07/10/20 08:00:01 PM,0.2997,0.0869,0.3072
152,07/10/20 08:30:01 PM,0.2997,0.0863,0.3072
153,07/10/20 09:00:01 PM,0.2997,0.0857,0.3069
154,07/10/20 09:30:01 PM,0.2997,0.0850,0.3069
155,07/10/20 10:00:01 PM,0.2997,0.0850,0.3069
156,07/10/20 10:30:01 PM,0.2994,0.0844,0.3069
157,07/10/20 11:00:01 PM,0.2997,0.0844,0.3069
158,07/10/20 11:30:01 PM,0.2997,0.0844,0.3069
159,07/11/20 12:00:01 AM,0.2994,0.0844,0.3066
160,07/11/20 12:30:01 AM,0.2997,0.0850,0.3066
161,07/11/20 01:00:01 AM,0.2994,0.0850,0.3069
162,07/11/20 01:30:01 AM,0.2994,0.0850,0.3066
163,07/11/20 02:00:01 AM,0.2994,0.0857,0.3069
164,07/11/20 02:30:01 AM,0.2994,0.0857,0.3069
165,07/11/20 03:00:01 AM,0.2994,0.0863,0.3066
166,07/11/20 03:30:01 AM,0.2990,0.0875,0.3066
167,07/11/20 04:00:01 AM,0.2994,0.0875,0.3062
168,07/11/20 04:30:01 AM,0.2994,0.0881,0.3066
169,07/11/20 05:00:01 AM,0.2990,0.0887,0.3066
170,07/11/20 05:30:01 AM,0.2990,0.0887,0.3066
171,07/11/20 06:00:01 AM,0.2990,0.0893,0.3066
172,07/11/20 06:30:01 AM,0.2990,0.0896,0.3066
173,07/11/20 07:00:01 AM,0.2990,0.0896,0.3066
174,07/11/20 07:30:01 AM,0.2994,0.0902,0.3062
175,07/11/20 08:00:01 AM,0.2994,0.0902,0.3066
176,07/11/20 08:30:01 AM,0.2990,0.0908,0.3062
177,07/11/20 09:00:01 AM,0.2990,0.0908,0.3062
178,07/11/20 09:30:01 AM,0.2990,0.0908,0.3062
179,07/11/20 10:00:01 AM,0.2994,0.0914,0.3066
180,07/11/20 10:30:01 AM,0.2990,0.0908,0.3066
181,07/11/20 11:00:01 AM,0.2994,0.0902,0.3066
182,07/11/20 11:30:01 AM,0.2990,0.0896,0.3066
183,07/11/20 12:00:01 PM,0.2990,0.0896,0.3066
184,07/11/20 12:30:01 PM,0.2990,0.0893,0.3066
185,07/11/20 01:00:01 PM,0.2990,0.0896,0.3066
186,07/11/20 01:30:01 PM,0.2990,0.0896,0.3062
187,07/11/20 02:00:01 PM,0.2990,0.0893,0.3062
188,07/11/20 02:30:01 PM,0.2990,0.0887,0.3062
189,07/11/20 03:00:01 PM,0.2990,0.0887,0.3062
190,07/11/20 03:30:01 PM,0.2990,0.0875,0.3062
191,07/11/20 04:00:01 PM,0.2990,0.0869,0.3062
192,07/11/20 04:30:01 PM,0.2987,0.0863,0.3062
193,07/11/20 05:00:01 PM,0.2987,0.0850,0.3058
194,07/11/20 05:30:01 PM,0.2987,0.0841,0.3058
195,07/11/20 06:00:01 PM,0.2987,0.0829,0.3058
196,07/11/20 06:30:01 PM,0.2987,0.0816,0.3062
