"Plot Title: CM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538929, LBL: 1 meter)","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538930, LBL: 30 cm)","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538931, LBL: 10 cm)"
1,09/09/21 08:30:01 AM,-0.0025,-0.4737,0.1542
2,09/09/21 09:00:01 AM,-0.0019,-0.4737,0.1542
3,09/09/21 09:30:01 AM,-0.0008,-0.4737,0.1547
4,09/09/21 10:00:01 AM,0.0013,-0.4737,0.1542
5,09/09/21 10:30:01 AM,0.0029,-0.4737,0.1547
6,09/09/21 11:00:01 AM,0.0050,-0.4737,0.1542
7,09/09/21 11:30:01 AM,0.0071,-0.4737,0.1547
8,09/09/21 12:00:01 PM,0.0087,-0.4737,0.1551
9,09/09/21 12:30:01 PM,0.0107,-0.4737,0.1558
10,09/09/21 01:00:01 PM,0.0122,-0.4737,0.1558
11,09/09/21 01:30:01 PM,0.0137,-0.4737,0.1558
12,09/09/21 02:00:01 PM,0.0152,-0.4737,0.1558
13,09/09/21 02:30:01 PM,0.0166,-0.4691,0.1562
14,09/09/21 03:00:01 PM,0.0166,-0.4443,0.1566
15,09/09/21 03:30:01 PM,0.0176,-0.3918,0.1566
16,09/09/21 04:00:01 PM,0.0176,-0.4737,0.1566
17,09/09/21 04:30:01 PM,0.0176,-0.4737,0.1562
18,09/09/21 05:00:01 PM,0.0176,-0.4737,0.1562
19,09/09/21 05:30:01 PM,0.0166,-0.4737,0.1566
20,09/09/21 06:00:01 PM,0.0161,-0.4737,0.1558
21,09/09/21 06:30:01 PM,0.0147,-0.4737,0.1558
22,09/09/21 07:00:01 PM,0.0137,-0.4737,0.1562
23,09/09/21 07:30:01 PM,0.0122,-0.4737,0.1562
24,09/09/21 08:00:01 PM,0.0107,-0.4737,0.1558
25,09/09/21 08:30:01 PM,0.0097,-0.4737,0.1551
26,09/09/21 09:00:01 PM,0.0081,-0.4737,0.1558
27,09/09/21 09:30:01 PM,0.0071,-0.4737,0.1558
28,09/09/21 10:00:01 PM,0.0066,-0.4737,0.1551
29,09/09/21 10:30:01 PM,0.0056,-0.4737,0.1551
30,09/09/21 11:00:01 PM,0.0050,-0.4737,0.1551
31,09/09/21 11:30:01 PM,0.0040,-0.4737,0.1551
32,09/10/21 12:00:01 AM,0.0040,-0.4737,0.1547
33,09/10/21 12:30:01 AM,0.0040,-0.4737,0.1542
34,09/10/21 01:00:01 AM,0.0029,-0.4737,0.1547
35,09/10/21 01:30:01 AM,0.0040,-0.4737,0.1547
36,09/10/21 02:00:01 AM,0.0040,-0.4737,0.1551
37,09/10/21 02:30:01 AM,0.0040,-0.4737,0.1547
38,09/10/21 03:00:01 AM,0.0029,-0.4737,0.1547
39,09/10/21 03:30:01 AM,0.0029,-0.4737,0.1547
40,09/10/21 04:00:01 AM,0.0029,-0.4737,0.1547
41,09/10/21 04:30:01 AM,0.0040,-0.4737,0.1547
42,09/10/21 05:00:01 AM,0.0029,-0.4737,0.1547
43,09/10/21 05:30:01 AM,0.0029,-0.4737,0.1542
44,09/10/21 06:00:01 AM,0.0029,-0.4737,0.1551
45,09/10/21 06:30:01 AM,0.0071,-0.4737,0.1551
46,09/10/21 07:00:01 AM,0.0071,-0.4737,0.1551
47,09/10/21 07:30:01 AM,0.0066,-0.4737,0.1551
48,09/10/21 08:00:01 AM,0.0056,-0.4737,0.1551
49,09/10/21 08:30:01 AM,0.0050,-0.4737,0.1547
50,09/10/21 09:00:01 AM,0.0040,-0.4737,0.1551
51,09/10/21 09:30:01 AM,0.0040,-0.4737,0.1551
52,09/10/21 10:00:01 AM,0.0056,-0.4737,0.1551
53,09/10/21 10:30:01 AM,0.0056,-0.4737,0.1558
54,09/10/21 11:00:01 AM,0.0071,-0.4737,0.1547
55,09/10/21 11:30:01 AM,0.0081,-0.4737,0.1551
56,09/10/21 12:00:01 PM,0.0087,-0.4737,0.1551
57,09/10/21 12:30:01 PM,0.0107,-0.4737,0.1558
58,09/10/21 01:00:01 PM,0.0122,-0.4737,0.1558
59,09/10/21 01:30:01 PM,0.0137,-0.4737,0.1558
60,09/10/21 02:00:01 PM,0.0147,-0.4737,0.1562
61,09/10/21 02:30:01 PM,0.0152,-0.4737,0.1562
62,09/10/21 03:00:01 PM,0.0161,-0.4737,0.1566
63,09/10/21 03:30:01 PM,0.0161,-0.4737,0.1558
64,09/10/21 04:00:01 PM,0.0161,-0.4737,0.1566
65,09/10/21 04:30:01 PM,0.0161,-0.4737,0.1566
66,09/10/21 05:00:01 PM,0.0161,-0.4737,0.1562
67,09/10/21 05:30:01 PM,0.0152,-0.4737,0.1562
68,09/10/21 06:00:01 PM,0.0147,-0.4737,0.1558
