"Plot Title: CM2SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 21088752, SEN S/N: 20684002, 30CM)","Water Content, m³/m³ (LGR S/N: 21088752, SEN S/N: 20684005, 10 CM)","Water Content, m³/m³ (LGR S/N: 21088752, SEN S/N: 20684009, 1M)"
1,09/09/21 09:00:01 AM,0.2020,0.0107,0.1652
2,09/09/21 09:30:01 AM,0.2020,0.0107,0.1652
3,09/09/21 10:00:01 AM,0.2020,0.0112,0.1652
4,09/09/21 10:30:01 AM,0.2026,0.0112,0.1642
5,09/09/21 11:00:01 AM,0.2020,0.0122,0.1642
6,09/09/21 11:30:01 AM,0.2020,0.0127,0.1638
7,09/09/21 12:00:01 PM,0.2020,0.0127,0.1642
8,09/09/21 12:30:01 PM,0.2020,0.0137,0.1638
9,09/09/21 01:00:01 PM,0.2020,0.0137,0.1638
10,09/09/21 01:30:01 PM,0.2020,0.0147,0.1634
