Date,VWC_10cm_CM1SM,VWC_10cm_CM2SM,VWC_10cm_CMSM3,VWC_10cm_CMSM4,VWC_30cm_CM1SM,VWC_30cm_CM2SM,VWC_30cm_CMSM3,VWC_30cm_CMSM4,VWC_1m_CM1SM,VWC_1m_CM2SM,VWC_1m_CMSM3,VWC_1m_CMSM4,WY
2019-07-13,0.344,NA,NA,0.234,0.371,NA,NA,0.289,NA,NA,NA,0.276,2019
2019-07-20,0.313,NA,0.279,0.217,0.352,NA,0.261,0.287,0.252,NA,0.241,0.271,2019
2019-07-27,0.303,NA,0.263,0.192,0.339,NA,0.257,0.284,0.211,NA,0.204,0.266,2019
2019-08-03,0.282,NA,0.234,0.165,0.326,NA,0.247,0.282,0.133,NA,0.188,0.262,2019
2019-08-10,0.259,NA,0.206,0.152,0.317,NA,0.236,0.279,0.084,NA,0.18,0.259,2019
2019-08-17,0.233,NA,0.174,0.135,0.309,NA,0.214,0.276,0.04,NA,0.176,0.257,2019
2019-08-24,0.215,NA,0.144,0.119,0.297,NA,0.187,0.272,0.014,NA,0.172,0.255,2019
2019-08-31,0.203,NA,0.125,0.108,0.28,NA,0.164,0.266,NA,NA,0.168,0.254,2019
2019-09-07,0.193,NA,0.116,0.105,0.268,NA,0.149,0.259,NA,NA,0.164,0.252,2019
2019-09-14,0.253,NA,0.214,0.219,0.295,NA,0.175,0.269,0.023,NA,0.16,0.251,2019
2019-09-21,0.293,NA,0.27,0.251,0.322,NA,0.232,0.291,0.058,NA,0.158,0.25,2019
2019-09-28,0.293,NA,0.275,0.258,0.313,NA,0.229,0.286,0.072,NA,0.158,0.249,2019
2019-10-05,0.291,NA,0.27,0.245,0.31,NA,0.233,0.284,0.081,NA,0.156,0.25,2020
2019-10-12,0.288,NA,0.263,0.236,0.307,NA,0.231,0.283,0.083,NA,0.155,0.25,2020
2019-10-19,0.286,NA,0.264,0.23,0.305,NA,0.23,0.282,0.082,NA,0.154,0.251,2020
2019-10-26,0.284,NA,0.259,0.226,0.303,NA,0.229,0.28,0.079,NA,0.153,0.25,2020
2019-11-02,0.282,NA,0.255,0.223,0.301,NA,0.227,0.279,0.071,NA,0.153,0.251,2020
2019-11-09,0.281,NA,0.252,0.22,0.3,NA,0.223,0.278,0.063,NA,0.152,0.25,2020
2019-11-16,0.279,NA,0.249,0.217,0.299,NA,0.223,0.277,0.055,NA,0.152,0.25,2020
2019-11-23,0.277,NA,0.246,0.214,0.297,NA,0.224,0.277,0.049,NA,0.152,0.25,2020
2019-11-30,0.3,NA,0.287,0.234,0.336,NA,0.268,0.28,0.071,NA,0.158,0.25,2020
2019-12-07,0.328,0.282,0.306,0.302,0.362,0.318,0.28,0.312,0.116,0.231,0.181,0.261,2020
2019-12-14,0.327,0.274,0.298,0.29,0.349,0.312,0.27,0.307,0.134,0.226,0.177,0.265,2020
2019-12-21,0.326,0.275,0.299,0.288,0.345,0.312,0.271,0.305,0.152,0.219,0.173,0.263,2020
2019-12-28,0.325,0.273,0.297,0.29,0.342,0.311,0.268,0.306,0.158,0.222,0.171,0.262,2020
2020-01-04,0.326,0.277,0.297,0.292,0.343,0.314,0.271,0.308,0.162,0.229,0.17,0.262,2020
2020-01-11,0.323,0.271,0.295,0.284,0.339,0.309,0.267,0.304,0.166,0.23,0.169,0.261,2020
2020-01-18,0.327,0.276,0.3,0.291,0.341,0.314,0.27,0.303,0.181,0.228,0.167,0.26,2020
2020-01-25,0.343,0.29,0.313,0.31,0.361,0.328,0.286,0.321,0.202,0.346,0.345,0.378,2020
2020-02-01,0.333,0.481,0.332,0.319,0.353,0.466,0.438,0.421,0.168,0.416,0.41,0.439,2020
2020-02-08,0.334,0.502,0.379,0.339,0.395,0.479,0.47,0.424,0.205,0.418,0.291,0.434,2020
2020-02-15,0.346,0.504,0.399,0.339,0.409,0.482,0.446,0.421,0.238,0.419,0.272,0.43,2020
2020-02-22,0.349,0.511,0.393,0.331,0.412,0.488,0.427,0.395,0.252,0.426,0.267,0.429,2020
2020-02-29,0.35,NA,0.379,0.322,0.415,NA,0.421,0.383,0.259,NA,0.273,0.429,2020
2020-03-07,0.348,NA,0.371,0.315,0.417,NA,0.417,0.349,0.263,NA,0.276,0.43,2020
2020-03-14,0.348,NA,0.366,0.311,0.418,NA,0.394,0.338,0.273,NA,0.282,0.429,2020
2020-03-21,0.356,NA,0.473,0.331,0.424,NA,0.394,0.358,0.291,NA,0.296,0.431,2020
2020-03-28,0.399,NA,0.494,0.418,0.428,NA,0.394,0.365,0.299,NA,0.322,0.432,2020
2020-04-04,0.457,NA,0.499,0.463,0.431,NA,0.403,0.375,0.374,NA,0.296,0.433,2020
2020-04-11,0.47,NA,0.5,0.468,0.434,NA,0.409,0.381,0.405,NA,0.314,0.437,2020
2020-04-18,0.467,NA,0.5,0.427,0.436,NA,0.413,0.378,0.4,NA,0.344,0.441,2020
2020-04-25,0.435,0.42,0.454,0.347,0.437,0.441,0.408,0.368,0.392,0.439,0.313,0.444,2020
2020-05-02,0.407,0.31,0.232,0.325,0.438,0.439,0.412,0.335,0.385,0.448,0.353,0.446,2020
2020-05-09,0.391,0.299,0.243,0.314,0.435,0.417,0.396,0.324,0.373,0.445,0.388,0.446,2020
2020-05-16,0.398,0.321,0.391,0.324,0.438,0.445,0.383,0.341,0.383,0.442,0.425,0.448,2020
2020-05-23,0.38,0.319,0.24,0.309,0.409,0.397,0.369,0.322,0.367,0.418,0.43,0.448,2020
2020-05-30,0.364,0.388,0.217,0.297,0.386,NA,0.322,0.314,0.35,0.18,0.388,0.447,2020
2020-06-06,0.348,0.406,0.205,0.288,0.371,NA,0.299,0.31,0.331,0.267,0.328,0.442,2020
2020-06-13,0.327,0.414,0.194,0.276,0.356,0.31,0.289,0.307,0.302,0.49,0.328,0.36,2020
2020-06-20,0.276,0.364,0.159,0.224,0.336,0.329,0.278,0.302,0.197,0.181,0.304,0.319,2020
2020-06-27,0.229,0.563,0.111,0.179,0.307,0.341,0.267,0.296,0.117,0.234,0.233,0.307,2020
2020-07-04,0.214,0.375,0.078,0.15,0.28,0.331,0.255,0.289,0.091,0.281,0.205,0.298,2020
2020-07-11,0.204,0.066,NA,0.126,0.266,0.295,NA,0.28,0.074,0.302,NA,0.291,2020
