"Plot Title: CM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538929, LBL: 1 meter)","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538930, LBL: 30 cm)","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538931, LBL: 10 cm)"
1,07/10/19 06:00:01 PM,-0.1517,0.3890,0.3758
2,07/10/19 06:30:01 PM,-0.1549,0.3890,0.3751
3,07/10/19 07:00:01 PM,-0.1561,0.3890,0.3746
4,07/10/19 07:30:01 PM,-0.1572,0.3883,0.3746
5,07/10/19 08:00:01 PM,-0.1594,0.3877,0.3746
6,07/10/19 08:30:01 PM,-0.1616,0.3877,0.3740
7,07/10/19 09:00:01 PM,-0.1616,0.3877,0.3746
8,07/10/19 09:30:01 PM,-0.1628,0.3877,0.3746
9,07/10/19 10:00:01 PM,-0.1639,0.3883,0.3746
10,07/10/19 10:30:01 PM,-0.1650,0.3877,0.3746
11,07/10/19 11:00:01 PM,-0.1650,0.3883,0.3746
12,07/10/19 11:30:01 PM,-0.1662,0.3883,0.3746
13,07/11/19 12:00:01 AM,-0.1662,0.3883,0.3746
14,07/11/19 12:30:01 AM,-0.1662,0.3877,0.3740
15,07/11/19 01:00:01 AM,-0.1662,0.3877,0.3740
16,07/11/19 01:30:01 AM,-0.1650,0.3877,0.3740
17,07/11/19 02:00:01 AM,-0.1650,0.3883,0.3740
18,07/11/19 02:30:01 AM,-0.1650,0.3877,0.3746
19,07/11/19 03:00:01 AM,-0.1650,0.3877,0.3746
20,07/11/19 03:30:01 AM,-0.1639,0.3877,0.3740
21,07/11/19 04:00:01 AM,-0.1639,0.3877,0.3751
22,07/11/19 04:30:01 AM,-0.1628,0.3877,0.3746
23,07/11/19 05:00:01 AM,-0.1616,0.3877,0.3746
24,07/11/19 05:30:01 AM,-0.1616,0.3872,0.3746
25,07/11/19 06:00:01 AM,-0.1605,0.3877,0.3751
26,07/11/19 06:30:01 AM,-0.1605,0.3877,0.3751
27,07/11/19 07:00:01 AM,-0.1594,0.3872,0.3746
28,07/11/19 07:30:01 AM,-0.1594,0.3872,0.3751
29,07/11/19 08:00:01 AM,-0.1549,0.3883,0.3758
30,07/11/19 08:30:01 AM,-0.1538,0.3877,0.3758
31,07/11/19 09:00:01 AM,-0.1517,0.3877,0.3758
32,07/11/19 09:30:01 AM,-0.1561,0.3877,0.3758
33,07/11/19 10:00:01 AM,-0.1473,0.3872,0.3758
34,07/11/19 10:30:01 AM,-0.1441,0.3872,0.3758
35,07/11/19 11:00:01 AM,-0.1420,0.3865,0.3751
36,07/11/19 11:30:01 AM,-0.1410,0.3877,0.3758
37,07/11/19 12:00:01 PM,-0.1410,0.3872,0.3751
38,07/11/19 12:30:01 PM,-0.1399,0.3872,0.3746
39,07/11/19 01:00:01 PM,-0.1410,0.3865,0.3746
40,07/11/19 01:30:01 PM,-0.1410,0.3865,0.3740
41,07/11/19 02:00:01 PM,-0.1420,0.3865,0.3729
42,07/11/19 02:30:01 PM,-0.1420,0.3865,0.3729
43,07/11/19 03:00:01 PM,-0.1441,0.3865,0.3722
44,07/11/19 03:30:01 PM,-0.1441,0.3865,0.3722
45,07/11/19 04:00:01 PM,-0.1452,0.3859,0.3722
46,07/11/19 04:30:01 PM,-0.1452,0.3859,0.3716
47,07/11/19 05:00:01 PM,-0.1484,0.3859,0.3711
48,07/11/19 05:30:01 PM,-0.1517,0.3865,0.3716
49,07/11/19 06:00:01 PM,-0.1528,0.3859,0.3716
50,07/11/19 06:30:01 PM,-0.1561,0.3859,0.3711
51,07/11/19 07:00:01 PM,-0.1594,0.3859,0.3711
52,07/11/19 07:30:01 PM,-0.1605,0.3854,0.3699
53,07/11/19 08:00:01 PM,-0.1616,0.3854,0.3705
54,07/11/19 08:30:01 PM,-0.1639,0.3854,0.3699
55,07/11/19 09:00:01 PM,-0.1650,0.3854,0.3699
56,07/11/19 09:30:01 PM,-0.1662,0.3847,0.3705
57,07/11/19 10:00:01 PM,-0.1685,0.3854,0.3699
58,07/11/19 10:30:01 PM,-0.1696,0.3854,0.3699
59,07/11/19 11:00:01 PM,-0.1696,0.3847,0.3699
60,07/11/19 11:30:01 PM,-0.1696,0.3854,0.3705
61,07/12/19 12:00:01 AM,-0.1696,0.3847,0.3699
62,07/12/19 12:30:01 AM,-0.1696,0.3847,0.3699
63,07/12/19 01:00:01 AM,-0.1696,0.3847,0.3699
64,07/12/19 01:30:01 AM,-0.1696,0.3854,0.3699
65,07/12/19 02:00:01 AM,-0.1685,0.3854,0.3699
66,07/12/19 02:30:01 AM,-0.1685,0.3847,0.3699
67,07/12/19 03:00:01 AM,-0.1685,0.3847,0.3699
68,07/12/19 03:30:01 AM,-0.1662,0.3847,0.3699
69,07/12/19 04:00:01 AM,-0.1662,0.3854,0.3699
70,07/12/19 04:30:01 AM,-0.1650,0.3847,0.3699
71,07/12/19 05:00:01 AM,-0.1639,0.3840,0.3699
72,07/12/19 05:30:01 AM,-0.1639,0.3840,0.3699
73,07/12/19 06:00:01 AM,-0.1639,0.3840,0.3699
74,07/12/19 06:30:01 AM,-0.1628,0.3847,0.3705
75,07/12/19 07:00:01 AM,-0.1616,0.3854,0.3705
76,07/12/19 07:30:01 AM,-0.1605,0.3847,0.3705
77,07/12/19 08:00:01 AM,-0.1572,0.3847,0.3705
78,07/12/19 08:30:01 AM,-0.1549,0.3840,0.3705
79,07/12/19 09:00:01 AM,-0.1549,0.3840,0.3711
80,07/12/19 09:30:01 AM,-0.1594,0.3847,0.3711
81,07/12/19 10:00:01 AM,-0.1517,0.3840,0.3711
82,07/12/19 10:30:01 AM,-0.1473,0.3840,0.3705
83,07/12/19 11:00:01 AM,-0.1452,0.3847,0.3705
84,07/12/19 11:30:01 AM,-0.1420,0.3840,0.3699
85,07/12/19 12:00:01 PM,-0.1441,0.3847,0.3694
86,07/12/19 12:30:01 PM,-0.1441,0.3847,0.3694
87,07/12/19 01:00:01 PM,-0.1441,0.3847,0.3688
88,07/12/19 01:30:01 PM,-0.1452,0.3840,0.3683
89,07/12/19 02:00:01 PM,-0.1452,0.3834,0.3683
90,07/12/19 02:30:01 PM,-0.1463,0.3834,0.3677
91,07/12/19 03:00:01 PM,-0.1441,0.3834,0.3671
92,07/12/19 03:30:01 PM,-0.1473,0.3834,0.3666
93,07/12/19 04:00:01 PM,-0.1484,0.3829,0.3660
94,07/12/19 04:30:01 PM,-0.1495,0.3829,0.3660
95,07/12/19 05:00:01 PM,-0.1517,0.3822,0.3660
96,07/12/19 05:30:01 PM,-0.1528,0.3822,0.3660
97,07/12/19 06:00:01 PM,-0.1538,0.3816,0.3660
98,07/12/19 06:30:01 PM,-0.1594,0.3829,0.3655
99,07/12/19 07:00:01 PM,-0.1605,0.3822,0.3649
100,07/12/19 07:30:01 PM,-0.1616,0.3822,0.3655
101,07/12/19 08:00:01 PM,-0.1628,0.3822,0.3649
102,07/12/19 08:30:01 PM,-0.1650,0.3816,0.3655
103,07/12/19 09:00:01 PM,-0.1662,0.3816,0.3649
104,07/12/19 09:30:01 PM,-0.1685,0.3822,0.3649
105,07/12/19 10:00:01 PM,-0.1696,0.3816,0.3649
106,07/12/19 10:30:01 PM,-0.1708,0.3816,0.3649
107,07/12/19 11:00:01 PM,-0.1708,0.3816,0.3643
108,07/12/19 11:30:01 PM,-0.1708,0.3822,0.3649
109,07/13/19 12:00:01 AM,-0.1719,0.3816,0.3649
110,07/13/19 12:30:01 AM,-0.1719,0.3816,0.3649
111,07/13/19 01:00:01 AM,-0.1708,0.3811,0.3643
112,07/13/19 01:30:01 AM,-0.1708,0.3811,0.3643
113,07/13/19 02:00:01 AM,-0.1708,0.3816,0.3643
114,07/13/19 02:30:01 AM,-0.1708,0.3816,0.3643
115,07/13/19 03:00:01 AM,-0.1708,0.3816,0.3649
116,07/13/19 03:30:01 AM,-0.1696,0.3816,0.3643
117,07/13/19 04:00:01 AM,-0.1696,0.3811,0.3638
118,07/13/19 04:30:01 AM,-0.1696,0.3811,0.3643
119,07/13/19 05:00:01 AM,-0.1662,0.3811,0.3649
120,07/13/19 05:30:01 AM,-0.1650,0.3804,0.3643
121,07/13/19 06:00:01 AM,-0.1639,0.3811,0.3643
122,07/13/19 06:30:01 AM,-0.1639,0.3811,0.3649
123,07/13/19 07:00:01 AM,-0.1616,0.3811,0.3655
124,07/13/19 07:30:01 AM,-0.1616,0.3811,0.3655
125,07/13/19 08:00:01 AM,-0.1605,0.3811,0.3655
126,07/13/19 08:30:01 AM,-0.1572,0.3811,0.3655
127,07/13/19 09:00:01 AM,-0.1572,0.3804,0.3660
128,07/13/19 09:30:01 AM,-0.1616,0.3811,0.3660
129,07/13/19 10:00:01 AM,-0.1538,0.3804,0.3655
130,07/13/19 10:30:01 AM,-0.1495,0.3816,0.3655
131,07/13/19 11:00:01 AM,-0.1473,0.3811,0.3649
132,07/13/19 11:30:01 AM,-0.1463,0.3811,0.3643
133,07/13/19 12:00:01 PM,-0.1463,0.3804,0.3643
134,07/13/19 12:30:01 PM,-0.1463,0.3811,0.3643
135,07/13/19 01:00:01 PM,-0.1473,0.3804,0.3632
136,07/13/19 01:30:01 PM,-0.1473,0.3804,0.3632
137,07/13/19 02:00:01 PM,-0.1473,0.3804,0.3622
138,07/13/19 02:30:01 PM,-0.1473,0.3804,0.3622
139,07/13/19 03:00:01 PM,-0.1473,0.3804,0.3611
140,07/13/19 03:30:01 PM,-0.1495,0.3798,0.3611
141,07/13/19 04:00:01 PM,-0.1517,0.3798,0.3611
142,07/13/19 04:30:01 PM,-0.1528,0.3798,0.3605
143,07/13/19 05:00:01 PM,-0.1538,0.3798,0.3605
144,07/13/19 05:30:01 PM,-0.1561,0.3798,0.3600
145,07/13/19 06:00:01 PM,-0.1572,0.3798,0.3605
146,07/13/19 06:30:01 PM,-0.1616,0.3793,0.3600
147,07/13/19 07:00:01 PM,-0.1616,0.3787,0.3600
148,07/13/19 07:30:01 PM,-0.1639,0.3793,0.3594
149,07/13/19 08:00:01 PM,-0.1685,0.3793,0.3594
150,07/13/19 08:30:01 PM,-0.1696,0.3793,0.3594
151,07/13/19 09:00:01 PM,-0.1708,0.3793,0.3594
152,07/13/19 09:30:01 PM,-0.1719,0.3787,0.3594
153,07/13/19 10:00:01 PM,-0.1731,0.3787,0.3590
154,07/13/19 10:30:01 PM,-0.1731,0.3787,0.3594
155,07/13/19 11:00:01 PM,-0.1743,0.3787,0.3590
156,07/13/19 11:30:01 PM,-0.1743,0.3780,0.3590
157,07/14/19 12:00:01 AM,-0.1743,0.3780,0.3594
158,07/14/19 12:30:01 AM,-0.1755,0.3787,0.3590
159,07/14/19 01:00:01 AM,-0.1755,0.3787,0.3590
160,07/14/19 01:30:01 AM,-0.1755,0.3787,0.3590
161,07/14/19 02:00:01 AM,-0.1755,0.3787,0.3584
162,07/14/19 02:30:01 AM,-0.1755,0.3780,0.3584
163,07/14/19 03:00:01 AM,-0.1755,0.3780,0.3590
164,07/14/19 03:30:01 AM,-0.1755,0.3780,0.3590
165,07/14/19 04:00:01 AM,-0.1755,0.3780,0.3590
166,07/14/19 04:30:01 AM,-0.1755,0.3775,0.3590
167,07/14/19 05:00:01 AM,-0.1755,0.3780,0.3594
168,07/14/19 05:30:01 AM,-0.1743,0.3780,0.3590
169,07/14/19 06:00:01 AM,-0.1743,0.3780,0.3594
170,07/14/19 06:30:01 AM,-0.1743,0.3780,0.3590
171,07/14/19 07:00:01 AM,-0.1731,0.3780,0.3590
172,07/14/19 07:30:01 AM,-0.1719,0.3780,0.3594
173,07/14/19 08:00:01 AM,-0.1708,0.3780,0.3594
174,07/14/19 08:30:01 AM,-0.1662,0.3780,0.3600
175,07/14/19 09:00:01 AM,-0.1605,0.3780,0.3605
176,07/14/19 09:30:01 AM,-0.1639,0.3780,0.3600
177,07/14/19 10:00:01 AM,-0.1549,0.3780,0.3594
178,07/14/19 10:30:01 AM,-0.1528,0.3775,0.3590
179,07/14/19 11:00:01 AM,-0.1517,0.3780,0.3590
180,07/14/19 11:30:01 AM,-0.1484,0.3775,0.3590
181,07/14/19 12:00:01 PM,-0.1484,0.3775,0.3578
182,07/14/19 12:30:01 PM,-0.1484,0.3775,0.3578
183,07/14/19 01:00:01 PM,-0.1495,0.3769,0.3573
184,07/14/19 01:30:01 PM,-0.1495,0.3769,0.3563
185,07/14/19 02:00:01 PM,-0.1517,0.3769,0.3557
186,07/14/19 02:30:01 PM,-0.1517,0.3769,0.3557
187,07/14/19 03:00:01 PM,-0.1538,0.3769,0.3553
188,07/14/19 03:30:01 PM,-0.1538,0.3769,0.3547
189,07/14/19 04:00:01 PM,-0.1549,0.3769,0.3542
190,07/14/19 04:30:01 PM,-0.1561,0.3769,0.3542
191,07/14/19 05:00:01 PM,-0.1572,0.3762,0.3547
192,07/14/19 05:30:01 PM,-0.1605,0.3762,0.3537
193,07/14/19 06:00:01 PM,-0.1616,0.3762,0.3537
194,07/14/19 06:30:01 PM,-0.1650,0.3762,0.3531
195,07/14/19 07:00:01 PM,-0.1639,0.3758,0.3531
196,07/14/19 07:30:01 PM,-0.1685,0.3758,0.3531
197,07/14/19 08:00:01 PM,-0.1696,0.3758,0.3531
198,07/14/19 08:30:01 PM,-0.1708,0.3758,0.3531
199,07/14/19 09:00:01 PM,-0.1731,0.3751,0.3531
200,07/14/19 09:30:01 PM,-0.1731,0.3751,0.3526
201,07/14/19 10:00:01 PM,-0.1743,0.3751,0.3526
202,07/14/19 10:30:01 PM,-0.1743,0.3751,0.3531
203,07/14/19 11:00:01 PM,-0.1755,0.3758,0.3526
204,07/14/19 11:30:01 PM,-0.1755,0.3751,0.3526
205,07/15/19 12:00:01 AM,-0.1755,0.3758,0.3531
206,07/15/19 12:30:01 AM,-0.1778,0.3751,0.3526
207,07/15/19 01:00:01 AM,-0.1755,0.3751,0.3526
208,07/15/19 01:30:01 AM,-0.1778,0.3751,0.3526
209,07/15/19 02:00:01 AM,-0.1778,0.3751,0.3526
210,07/15/19 02:30:01 AM,-0.1778,0.3751,0.3526
211,07/15/19 03:00:01 AM,-0.1778,0.3751,0.3526
212,07/15/19 03:30:01 AM,-0.1755,0.3751,0.3526
213,07/15/19 04:00:01 AM,-0.1755,0.3751,0.3526
214,07/15/19 04:30:01 AM,-0.1743,0.3758,0.3526
215,07/15/19 05:00:01 AM,-0.1743,0.3751,0.3531
216,07/15/19 05:30:01 AM,-0.1743,0.3746,0.3526
217,07/15/19 06:00:01 AM,-0.1731,0.3751,0.3526
218,07/15/19 06:30:01 AM,-0.1731,0.3746,0.3526
219,07/15/19 07:00:01 AM,-0.1708,0.3746,0.3526
