"Plot Title: CM2SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684002, LBL: 30 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684005, LBL: 10 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684009, LBL: 1 M)"
1,04/26/20 11:00:01 AM,0.4810,0.5066,0.4437
2,04/26/20 11:30:01 AM,0.4802,0.5066,0.4437
3,04/26/20 12:00:01 PM,0.4802,0.5066,0.4437
4,04/26/20 12:30:01 PM,0.4802,0.5066,0.4437
5,04/26/20 01:00:01 PM,0.4795,0.5059,0.4437
6,04/26/20 01:30:01 PM,0.4802,0.5059,0.4437
7,04/26/20 02:00:01 PM,0.4795,0.5051,0.4437
8,04/26/20 02:30:01 PM,0.4401,0.5059,0.4423
9,04/26/20 03:00:01 PM,0.4401,0.5051,0.4408
10,04/26/20 03:30:01 PM,0.4401,0.5059,0.4408
11,04/26/20 04:00:01 PM,0.4401,0.5059,0.4408
12,04/26/20 04:30:01 PM,0.4394,0.5051,0.4408
13,04/26/20 05:00:01 PM,0.4401,0.5066,0.4408
14,04/26/20 05:30:01 PM,0.4394,0.5066,0.4401
15,04/26/20 06:00:01 PM,0.4394,0.5066,0.4401
16,04/26/20 06:30:01 PM,0.4394,0.5059,0.4332
17,04/26/20 07:00:01 PM,0.4394,0.5059,0.4423
18,04/26/20 07:30:01 PM,0.4394,0.5059,0.4423
19,04/26/20 08:00:01 PM,0.4394,0.5051,0.4423
20,04/26/20 08:30:01 PM,0.4394,0.5059,0.4423
21,04/26/20 09:00:01 PM,0.4387,0.5059,0.4423
22,04/26/20 09:30:01 PM,0.4387,0.5059,0.4423
23,04/26/20 10:00:01 PM,0.4394,0.5059,0.4408
24,04/26/20 10:30:01 PM,0.4394,0.5059,0.3638
25,04/26/20 11:00:01 PM,0.4394,0.5059,0.4408
26,04/26/20 11:30:01 PM,0.4394,0.5059,0.3638
27,04/27/20 12:00:01 AM,0.4394,0.5059,0.4416
28,04/27/20 12:30:01 AM,0.4394,0.5059,0.4423
29,04/27/20 01:00:01 AM,0.4394,0.5051,0.4423
30,04/27/20 01:30:01 AM,0.4394,0.5059,0.4423
31,04/27/20 02:00:01 AM,0.4394,0.5059,0.4416
32,04/27/20 02:30:01 AM,0.4394,0.5051,0.4423
33,04/27/20 03:00:01 AM,0.4401,0.5051,0.4423
34,04/27/20 03:30:01 AM,0.4394,0.5051,0.4423
35,04/27/20 04:00:01 AM,0.4401,0.5059,0.4423
36,04/27/20 04:30:01 AM,0.4401,0.5059,0.4416
37,04/27/20 05:00:01 AM,0.4394,0.5059,0.4423
38,04/27/20 05:30:01 AM,0.4394,0.5059,0.4423
39,04/27/20 06:00:01 AM,0.4394,0.5051,0.4423
40,04/27/20 06:30:01 AM,0.4394,0.5051,0.4416
41,04/27/20 07:00:01 AM,0.4394,0.5059,0.4423
42,04/27/20 07:30:01 AM,0.4394,0.5059,0.4430
43,04/27/20 08:00:01 AM,0.4394,0.5059,0.4430
44,04/27/20 08:30:01 AM,0.4401,0.5066,0.4430
45,04/27/20 09:00:01 AM,0.4401,0.5059,0.4423
46,04/27/20 09:30:01 AM,0.4401,0.5066,0.4408
47,04/27/20 10:00:01 AM,0.4401,0.5066,0.3412
48,04/27/20 10:30:01 AM,0.4401,0.5066,0.4408
49,04/27/20 11:00:01 AM,0.4401,0.5074,-0.3569
50,04/27/20 11:30:01 AM,0.4401,0.5066,0.4408
51,04/27/20 12:00:01 PM,0.4401,0.5081,-0.3226
52,04/27/20 12:30:01 PM,0.4401,0.5074,0.4408
53,04/27/20 01:00:01 PM,0.4401,0.5081,-0.4737
54,04/27/20 01:30:01 PM,0.4401,0.5081,0.4408
55,04/27/20 02:00:01 PM,0.4408,0.5081,-0.4737
56,04/27/20 02:30:01 PM,0.4401,0.5081,-0.4737
57,04/27/20 03:00:01 PM,0.4401,0.5081,-0.4737
58,04/27/20 03:30:01 PM,0.4408,0.5081,-0.4737
59,04/27/20 04:00:01 PM,0.4401,0.5081,-0.4737
60,04/27/20 04:30:01 PM,0.4408,0.5081,0.4401
61,04/27/20 05:00:01 PM,0.4408,0.5081,-0.4737
62,04/27/20 05:30:01 PM,0.4408,0.5091,0.4437
63,04/27/20 06:00:01 PM,0.4416,0.5081,0.4437
64,04/27/20 06:30:01 PM,0.4408,0.5091,0.4437
65,04/27/20 07:00:01 PM,0.4408,0.5081,0.4430
66,04/27/20 07:30:01 PM,0.4408,0.5081,0.4430
67,04/27/20 08:00:01 PM,0.4408,0.5081,-0.4737
68,04/27/20 08:30:01 PM,0.4408,0.5074,0.3274
69,04/27/20 09:00:01 PM,0.4408,0.5081,0.4408
70,04/27/20 09:30:01 PM,0.4408,0.5074,0.4430
71,04/27/20 10:00:01 PM,0.4416,0.5081,0.4430
72,04/27/20 10:30:01 PM,0.4408,0.5074,0.4430
73,04/27/20 11:00:01 PM,0.4408,0.5081,0.4430
74,04/27/20 11:30:01 PM,0.4416,0.5081,0.4430
75,04/28/20 12:00:01 AM,0.4408,0.5074,0.4430
76,04/28/20 12:30:01 AM,0.4416,0.5081,0.4430
77,04/28/20 01:00:01 AM,0.4416,0.5074,0.4423
78,04/28/20 01:30:01 AM,0.4416,0.5074,0.4423
79,04/28/20 02:00:01 AM,0.4408,0.5074,0.4430
80,04/28/20 02:30:01 AM,0.4408,0.5074,0.4430
81,04/28/20 03:00:01 AM,0.4416,0.5074,0.4430
82,04/28/20 03:30:01 AM,0.4416,0.5074,0.4430
83,04/28/20 04:00:01 AM,0.4416,0.5074,0.4430
84,04/28/20 04:30:01 AM,0.4416,0.5074,0.4423
