"Plot Title: CM2SM"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684002, LBL: 30 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684005, LBL: 10 CM)","Water Content, m³/m³ (LGR S/N: 20418942, SEN S/N: 20684009, LBL: 1 M)"
1,12/08/19 04:00:01 PM,0.3223,0.2868,0.2425
2,12/08/19 04:30:01 PM,0.3223,0.2864,0.2421
3,12/08/19 05:00:01 PM,0.3223,0.2857,0.2418
4,12/08/19 05:30:01 PM,0.3219,0.2853,0.2414
5,12/08/19 06:00:01 PM,0.3219,0.2850,0.2410
6,12/08/19 06:30:01 PM,0.3216,0.2847,0.2410
7,12/08/19 07:00:01 PM,0.3216,0.2844,0.2410
8,12/08/19 07:30:01 PM,0.3211,0.2840,0.2406
9,12/08/19 08:00:01 PM,0.3207,0.2840,0.2406
10,12/08/19 08:30:01 PM,0.3204,0.2837,0.2406
11,12/08/19 09:00:01 PM,0.3204,0.2834,0.2406
12,12/08/19 09:30:01 PM,0.3199,0.2834,0.2406
13,12/08/19 10:00:01 PM,0.3195,0.2830,0.2403
14,12/08/19 10:30:01 PM,0.3195,0.2827,0.2403
15,12/08/19 11:00:01 PM,0.3192,0.2827,0.2403
16,12/08/19 11:30:01 PM,0.3192,0.2824,0.2403
17,12/09/19 12:00:01 AM,0.3187,0.2821,0.2399
18,12/09/19 12:30:01 AM,0.3187,0.2817,0.2399
19,12/09/19 01:00:01 AM,0.3183,0.2817,0.2403
20,12/09/19 01:30:01 AM,0.3183,0.2813,0.2399
21,12/09/19 02:00:01 AM,0.3178,0.2810,0.2399
22,12/09/19 02:30:01 AM,0.3175,0.2806,0.2399
23,12/09/19 03:00:01 AM,0.3175,0.2806,0.2394
24,12/09/19 03:30:01 AM,0.3171,0.2803,0.2394
25,12/09/19 04:00:01 AM,0.3171,0.2800,0.2394
26,12/09/19 04:30:01 AM,0.3171,0.2796,0.2394
27,12/09/19 05:00:01 AM,0.3168,0.2793,0.2390
28,12/09/19 05:30:01 AM,0.3168,0.2790,0.2390
29,12/09/19 06:00:01 AM,0.3168,0.2786,0.2387
30,12/09/19 06:30:01 AM,0.3163,0.2783,0.2390
31,12/09/19 07:00:01 AM,0.3163,0.2783,0.2387
32,12/09/19 07:30:01 AM,0.3160,0.2780,0.2383
33,12/09/19 08:00:01 AM,0.3160,0.2776,0.2383
34,12/09/19 08:30:01 AM,0.3160,0.2773,0.2383
35,12/09/19 09:00:01 AM,0.3156,0.2773,0.2383
36,12/09/19 09:30:01 AM,0.3156,0.2770,0.2383
37,12/09/19 10:00:01 AM,0.3156,0.2766,0.2383
38,12/09/19 10:30:01 AM,0.3151,0.2766,0.2379
39,12/09/19 11:00:01 AM,0.3151,0.2766,0.2374
40,12/09/19 11:30:01 AM,0.3148,0.2763,0.2047
41,12/09/19 12:00:01 PM,0.3148,0.2763,0.2374
42,12/09/19 12:30:01 PM,0.3148,0.2763,0.2371
43,12/09/19 01:00:01 PM,0.3148,0.2763,0.2371
44,12/09/19 01:30:01 PM,0.3148,0.2766,0.1699
45,12/09/19 02:00:01 PM,0.3148,0.2773,0.1514
46,12/09/19 02:30:01 PM,0.3148,0.2793,0.1523
47,12/09/19 03:00:01 PM,0.3148,0.2813,0.1470
48,12/09/19 03:30:01 PM,0.3151,0.2824,0.1648
49,12/09/19 04:00:01 PM,0.3156,0.2824,0.2363
50,12/09/19 04:30:01 PM,0.3163,0.2824,0.2358
51,12/09/19 05:00:01 PM,0.3168,0.2821,0.2358
52,12/09/19 05:30:01 PM,0.3171,0.2821,0.2358
53,12/09/19 06:00:01 PM,0.3171,0.2817,0.2355
54,12/09/19 06:30:01 PM,0.3171,0.2813,0.2355
55,12/09/19 07:00:01 PM,0.3171,0.2810,0.2355
56,12/09/19 07:30:01 PM,0.3175,0.2806,0.2351
57,12/09/19 08:00:01 PM,0.3175,0.2806,0.2351
58,12/09/19 08:30:01 PM,0.3171,0.2800,0.2347
59,12/09/19 09:00:01 PM,0.3171,0.2800,0.2347
60,12/09/19 09:30:01 PM,0.3171,0.2796,0.2347
61,12/09/19 10:00:01 PM,0.3171,0.2793,0.2347
62,12/09/19 10:30:01 PM,0.3171,0.2790,0.2347
63,12/09/19 11:00:01 PM,0.3168,0.2786,0.2339
64,12/09/19 11:30:01 PM,0.3168,0.2786,0.2344
65,12/10/19 12:00:01 AM,0.3163,0.2780,0.2339
66,12/10/19 12:30:01 AM,0.3163,0.2780,0.2339
67,12/10/19 01:00:01 AM,0.3160,0.2776,0.1412
68,12/10/19 01:30:01 AM,0.3160,0.2773,0.2323
69,12/10/19 02:00:01 AM,0.3160,0.2770,0.2339
70,12/10/19 02:30:01 AM,0.3160,0.2770,0.2335
71,12/10/19 03:00:01 AM,0.3156,0.2766,0.2339
72,12/10/19 03:30:01 AM,0.3156,0.2763,0.2330
73,12/10/19 04:00:01 AM,0.3151,0.2763,0.2335
74,12/10/19 04:30:01 AM,0.3151,0.2759,0.2335
75,12/10/19 05:00:01 AM,0.3151,0.2759,0.2335
76,12/10/19 05:30:01 AM,0.3148,0.2756,0.2330
77,12/10/19 06:00:01 AM,0.3148,0.2753,0.2330
78,12/10/19 06:30:01 AM,0.3148,0.2753,0.2335
79,12/10/19 07:00:01 AM,0.3144,0.2749,0.2330
80,12/10/19 07:30:01 AM,0.3144,0.2749,0.2330
81,12/10/19 08:00:01 AM,0.3144,0.2746,0.2330
82,12/10/19 08:30:01 AM,0.3144,0.2746,0.2330
83,12/10/19 09:00:01 AM,0.3140,0.2743,0.2330
84,12/10/19 09:30:01 AM,0.3144,0.2743,0.1709
85,12/10/19 10:00:01 AM,0.3140,0.2743,0.2330
86,12/10/19 10:30:01 AM,0.3140,0.2739,0.2327
87,12/10/19 11:00:01 AM,0.3140,0.2739,0.2327
88,12/10/19 11:30:01 AM,0.3140,0.2739,0.2327
89,12/10/19 12:00:01 PM,0.3136,0.2739,0.2327
90,12/10/19 12:30:01 PM,0.3136,0.2739,0.1752
91,12/10/19 01:00:01 PM,0.3136,0.2739,0.2327
92,12/10/19 01:30:01 PM,0.3136,0.2739,0.2323
93,12/10/19 02:00:01 PM,0.3136,0.2743,0.1681
94,12/10/19 02:30:01 PM,0.3136,0.2753,0.1876
95,12/10/19 03:00:01 PM,0.3136,0.2763,0.1932
96,12/10/19 03:30:01 PM,0.3133,0.2776,0.2323
97,12/10/19 04:00:01 PM,0.3136,0.2783,0.2323
98,12/10/19 04:30:01 PM,0.3136,0.2790,0.2323
