"Plot Title: CMSM3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20154563, LBL: CMSM3 1 m)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20652824, LBL: CMSM3 10 cm)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20658013, LBL: CMSM3 30 cm)"
1,09/05/19 10:00:01 AM,0.1673,0.1209,0.1596
2,09/05/19 10:30:01 AM,0.1666,0.1219,0.1585
3,09/05/19 11:00:01 AM,0.1666,0.1214,0.1596
4,09/05/19 11:30:01 AM,0.1666,0.1204,0.1596
5,09/05/19 12:00:01 PM,0.1659,0.1204,0.1596
6,09/05/19 12:30:01 PM,0.1666,0.1214,0.1585
7,09/05/19 01:00:01 PM,0.1666,0.1224,0.1585
8,09/05/19 01:30:01 PM,0.1666,0.1204,0.1585
9,09/05/19 02:00:01 PM,0.1666,0.1224,0.1590
10,09/05/19 02:30:01 PM,0.1666,0.1229,0.1570
11,09/05/19 03:00:01 PM,0.1659,0.1219,0.1585
12,09/05/19 03:30:01 PM,0.1659,0.1214,0.1581
13,09/05/19 04:00:01 PM,0.1666,0.1219,0.1581
14,09/05/19 04:30:01 PM,0.1666,0.1229,0.1570
15,09/05/19 05:00:01 PM,0.1659,0.1229,0.1581
16,09/05/19 05:30:01 PM,0.1659,0.1229,0.1577
17,09/05/19 06:00:01 PM,0.1659,0.1229,0.1577
18,09/05/19 06:30:01 PM,0.1659,0.1219,0.1585
19,09/05/19 07:00:01 PM,0.1659,0.1214,0.1585
20,09/05/19 07:30:01 PM,0.1659,0.1229,0.1566
21,09/05/19 08:00:01 PM,0.1659,0.1214,0.1577
22,09/05/19 08:30:01 PM,0.1659,0.1209,0.1585
23,09/05/19 09:00:01 PM,0.1659,0.1194,0.1590
24,09/05/19 09:30:01 PM,0.1659,0.1204,0.1570
25,09/05/19 10:00:01 PM,0.1652,0.1199,0.1570
26,09/05/19 10:30:01 PM,0.1652,0.1199,0.1570
27,09/05/19 11:00:01 PM,0.1659,0.1194,0.1577
28,09/05/19 11:30:01 PM,0.1659,0.1204,0.1570
29,09/06/19 12:00:01 AM,0.1659,0.1204,0.1566
30,09/06/19 12:30:01 AM,0.1652,0.1189,0.1570
31,09/06/19 01:00:01 AM,0.1652,0.1189,0.1570
32,09/06/19 01:30:01 AM,0.1652,0.1189,0.1577
33,09/06/19 02:00:01 AM,0.1652,0.1194,0.1562
34,09/06/19 02:30:01 AM,0.1659,0.1189,0.1570
35,09/06/19 03:00:01 AM,0.1652,0.1184,0.1570
36,09/06/19 03:30:01 AM,0.1652,0.1189,0.1570
37,09/06/19 04:00:01 AM,0.1652,0.1184,0.1570
38,09/06/19 04:30:01 AM,0.1659,0.1189,0.1566
39,09/06/19 05:00:01 AM,0.1652,0.1194,0.1558
40,09/06/19 05:30:01 AM,0.1652,0.1184,0.1570
41,09/06/19 06:00:01 AM,0.1652,0.1184,0.1566
42,09/06/19 06:30:01 AM,0.1652,0.1184,0.1570
43,09/06/19 07:00:01 AM,0.1652,0.1189,0.1566
44,09/06/19 07:30:01 AM,0.1652,0.1184,0.1566
45,09/06/19 08:00:01 AM,0.1652,0.1184,0.1570
46,09/06/19 08:30:01 AM,0.1652,0.1189,0.1570
47,09/06/19 09:00:01 AM,0.1652,0.1194,0.1570
48,09/06/19 09:30:01 AM,0.1659,0.1204,0.1566
49,09/06/19 10:00:01 AM,0.1652,0.1204,0.1570
50,09/06/19 10:30:01 AM,0.1659,0.1204,0.1566
51,09/06/19 11:00:01 AM,0.1652,0.1204,0.1562
52,09/06/19 11:30:01 AM,0.1659,0.1204,0.1558
53,09/06/19 12:00:01 PM,0.1659,0.1194,0.1566
54,09/06/19 12:30:01 PM,0.1659,0.1194,0.1566
55,09/06/19 01:00:01 PM,0.1659,0.1184,0.1570
56,09/06/19 01:30:01 PM,0.1659,0.1194,0.1562
57,09/06/19 02:00:01 PM,0.1659,0.1199,0.1551
58,09/06/19 02:30:01 PM,0.1652,0.1194,0.1551
59,09/06/19 03:00:01 PM,0.1652,0.1204,0.1558
60,09/06/19 03:30:01 PM,0.1659,0.1194,0.1551
61,09/06/19 04:00:01 PM,0.1659,0.1209,0.1542
62,09/06/19 04:30:01 PM,0.1659,0.1199,0.1551
63,09/06/19 05:00:01 PM,0.1652,0.1194,0.1558
64,09/06/19 05:30:01 PM,0.1659,0.1199,0.1551
65,09/06/19 06:00:01 PM,0.1652,0.1184,0.1570
66,09/06/19 06:30:01 PM,0.1652,0.1199,0.1551
67,09/06/19 07:00:01 PM,0.1652,0.1199,0.1551
68,09/06/19 07:30:01 PM,0.1644,0.1189,0.1558
69,09/06/19 08:00:01 PM,0.1644,0.1184,0.1551
70,09/06/19 08:30:01 PM,0.1652,0.1194,0.1542
71,09/06/19 09:00:01 PM,0.1652,0.1189,0.1542
72,09/06/19 09:30:01 PM,0.1652,0.1184,0.1542
73,09/06/19 10:00:01 PM,0.1652,0.1174,0.1547
74,09/06/19 10:30:01 PM,0.1652,0.1184,0.1542
75,09/06/19 11:00:01 PM,0.1644,0.1174,0.1547
76,09/06/19 11:30:01 PM,0.1644,0.1169,0.1551
77,09/07/19 12:00:01 AM,0.1644,0.1169,0.1551
78,09/07/19 12:30:01 AM,0.1644,0.1169,0.1547
79,09/07/19 01:00:01 AM,0.1652,0.1174,0.1542
80,09/07/19 01:30:01 AM,0.1652,0.1164,0.1547
81,09/07/19 02:00:01 AM,0.1652,0.1174,0.1547
82,09/07/19 02:30:01 AM,0.1644,0.1169,0.1542
83,09/07/19 03:00:01 AM,0.1644,0.1169,0.1542
84,09/07/19 03:30:01 AM,0.1644,0.1169,0.1542
85,09/07/19 04:00:01 AM,0.1644,0.1174,0.1542
86,09/07/19 04:30:01 AM,0.1644,0.1169,0.1542
87,09/07/19 05:00:01 AM,0.1644,0.1179,0.1538
88,09/07/19 05:30:01 AM,0.1644,0.1174,0.1542
89,09/07/19 06:00:01 AM,0.1652,0.1179,0.1542
90,09/07/19 06:30:01 AM,0.1644,0.1169,0.1542
91,09/07/19 07:00:01 AM,0.1644,0.1179,0.1542
92,09/07/19 07:30:01 AM,0.1644,0.1179,0.1542
93,09/07/19 08:00:01 AM,0.1644,0.1179,0.1542
94,09/07/19 08:30:01 AM,0.1652,0.1179,0.1547
95,09/07/19 09:00:01 AM,0.1652,0.1194,0.1538
96,09/07/19 09:30:01 AM,0.1652,0.1189,0.1547
97,09/07/19 10:00:01 AM,0.1652,0.1184,0.1547
