"Plot Title: CMSM3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20154563, LBL: CM3SM 1 m)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20652824, LBL: CM3SM 10 cm)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20658013, LBL: CM3SM 30 cm)"
1,07/20/19 11:30:01 AM,0.2690,0.2844,0.2553
2,07/20/19 12:00:01 PM,0.2690,0.2840,0.2560
3,07/20/19 12:30:01 PM,0.2690,0.2840,0.2564
4,07/20/19 01:00:01 PM,0.2690,0.2844,0.2567
5,07/20/19 01:30:01 PM,0.2683,0.2840,0.2571
6,07/20/19 02:00:01 PM,0.2683,0.2844,0.2571
7,07/20/19 02:30:01 PM,0.2676,0.2847,0.2575
8,07/20/19 03:00:01 PM,0.2676,0.2847,0.2579
9,07/20/19 03:30:01 PM,0.2676,0.2847,0.2579
10,07/20/19 04:00:01 PM,0.2668,0.2847,0.2579
11,07/20/19 04:30:01 PM,0.2668,0.2844,0.2582
12,07/20/19 05:00:01 PM,0.2668,0.2844,0.2582
13,07/20/19 05:30:01 PM,0.2668,0.2844,0.2585
14,07/20/19 06:00:01 PM,0.2661,0.2844,0.2585
15,07/20/19 06:30:01 PM,0.2661,0.2847,0.2585
16,07/20/19 07:00:01 PM,0.2661,0.2844,0.2589
17,07/20/19 07:30:01 PM,0.2654,0.2837,0.2589
18,07/20/19 08:00:01 PM,0.2654,0.2837,0.2589
19,07/20/19 08:30:01 PM,0.2654,0.2827,0.2589
20,07/20/19 09:00:01 PM,0.2654,0.2824,0.2592
21,07/20/19 09:30:01 PM,0.2647,0.2824,0.2592
22,07/20/19 10:00:01 PM,0.2647,0.2824,0.2589
23,07/20/19 10:30:01 PM,0.2639,0.2827,0.2592
24,07/20/19 11:00:01 PM,0.2639,0.2824,0.2592
25,07/20/19 11:30:01 PM,0.2632,0.2824,0.2596
26,07/21/19 12:00:01 AM,0.2632,0.2821,0.2596
27,07/21/19 12:30:01 AM,0.2625,0.2821,0.2596
28,07/21/19 01:00:01 AM,0.2625,0.2821,0.2596
29,07/21/19 01:30:01 AM,0.2625,0.2821,0.2596
30,07/21/19 02:00:01 AM,0.2618,0.2821,0.2604
31,07/21/19 02:30:01 AM,0.2618,0.2824,0.2596
32,07/21/19 03:00:01 AM,0.2618,0.2824,0.2600
33,07/21/19 03:30:01 AM,0.2618,0.2824,0.2600
34,07/21/19 04:00:01 AM,0.2618,0.2824,0.2604
35,07/21/19 04:30:01 AM,0.2618,0.2827,0.2604
36,07/21/19 05:00:01 AM,0.2610,0.2827,0.2607
37,07/21/19 05:30:01 AM,0.2610,0.2830,0.2604
38,07/21/19 06:00:01 AM,0.2610,0.2834,0.2604
39,07/21/19 06:30:01 AM,0.2610,0.2834,0.2604
40,07/21/19 07:00:01 AM,0.2603,0.2834,0.2604
