"Plot Title: CM2SM"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20684002, LBL: 30CM)","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20684005, LBL: 10 CM)","Water Content, m³/m³ (LGR S/N: 20418941, SEN S/N: 20684009, LBL: 1M)"
1,11/23/20 10:00:01 AM,0.3151,0.2430,0.1479
2,11/23/20 10:30:01 AM,0.3151,0.2425,0.1479
3,11/23/20 11:00:01 AM,0.3148,0.2425,0.1479
4,11/23/20 11:30:01 AM,0.3148,0.2425,0.1484
5,11/23/20 12:00:01 PM,0.3148,0.2430,0.1484
6,11/23/20 12:30:01 PM,0.3151,0.2430,0.1484
7,11/23/20 01:00:01 PM,0.3148,0.2430,0.1479
8,11/23/20 01:30:01 PM,0.3151,0.2430,0.1484
9,11/23/20 02:00:01 PM,0.3148,0.2430,0.1484
10,11/23/20 02:30:01 PM,0.3148,0.2430,0.1484
11,11/23/20 03:00:01 PM,0.3148,0.2430,0.1479
12,11/23/20 03:30:01 PM,0.3148,0.2430,0.1479
13,11/23/20 04:00:01 PM,0.3148,0.2425,0.1484
14,11/23/20 04:30:01 PM,0.3148,0.2425,0.1479
15,11/23/20 05:00:01 PM,0.3144,0.2425,0.1484
16,11/23/20 05:30:01 PM,0.3144,0.2421,0.1475
17,11/23/20 06:00:01 PM,0.3144,0.2421,0.1475
18,11/23/20 06:30:01 PM,0.3144,0.2421,0.1475
19,11/23/20 07:00:01 PM,0.3144,0.2421,0.1479
20,11/23/20 07:30:01 PM,0.3144,0.2418,0.1479
21,11/23/20 08:00:01 PM,0.3144,0.2418,0.1479
22,11/23/20 08:30:01 PM,0.3144,0.2418,0.1479
23,11/23/20 09:00:01 PM,0.3144,0.2418,0.1479
24,11/23/20 09:30:01 PM,0.3144,0.2418,0.1479
25,11/23/20 10:00:01 PM,0.3144,0.2418,0.1479
26,11/23/20 10:30:01 PM,0.3144,0.2414,0.1479
27,11/23/20 11:00:01 PM,0.3144,0.2414,0.1484
28,11/23/20 11:30:01 PM,0.3144,0.2414,0.1479
29,11/24/20 12:00:01 AM,0.3144,0.2410,0.1479
30,11/24/20 12:30:01 AM,0.3140,0.2410,0.1479
31,11/24/20 01:00:01 AM,0.3140,0.2410,0.1479
32,11/24/20 01:30:01 AM,0.3140,0.2410,0.1484
33,11/24/20 02:00:01 AM,0.3140,0.2410,0.1484
34,11/24/20 02:30:01 AM,0.3140,0.2410,0.1484
35,11/24/20 03:00:01 AM,0.3140,0.2406,0.1484
36,11/24/20 03:30:01 AM,0.3140,0.2406,0.1484
37,11/24/20 04:00:01 AM,0.3140,0.2406,0.1484
38,11/24/20 04:30:01 AM,0.3140,0.2406,0.1484
39,11/24/20 05:00:01 AM,0.3140,0.2406,0.1484
40,11/24/20 05:30:01 AM,0.3140,0.2406,0.1490
41,11/24/20 06:00:01 AM,0.3140,0.2406,0.1490
42,11/24/20 06:30:01 AM,0.3140,0.2403,0.1490
43,11/24/20 07:00:01 AM,0.3140,0.2403,0.1484
44,11/24/20 07:30:01 AM,0.3140,0.2403,0.1490
45,11/24/20 08:00:01 AM,0.3140,0.2403,0.1484
46,11/24/20 08:30:01 AM,0.3140,0.2403,0.1490
47,11/24/20 09:00:01 AM,0.3140,0.2403,0.1484
48,11/24/20 09:30:01 AM,0.3140,0.2403,0.1342
49,11/24/20 10:00:01 AM,0.3140,0.2403,0.1361
50,11/24/20 10:30:01 AM,0.3140,0.2399,0.1326
51,11/24/20 11:00:01 AM,0.3140,0.2403,0.1224
52,11/24/20 11:30:01 AM,0.3140,0.2403,0.1047
53,11/24/20 12:00:01 PM,0.3140,0.2403,0.0841
54,11/24/20 12:30:01 PM,0.3140,0.2403,0.0607
55,11/24/20 01:00:01 PM,0.3140,0.2406,0.1490
56,11/24/20 01:30:01 PM,0.3140,0.2406,0.1405
57,11/24/20 02:00:01 PM,0.3140,0.2406,0.1495
58,11/24/20 02:30:01 PM,0.3136,0.2410,0.1495
59,11/24/20 03:00:01 PM,0.3136,0.2410,0.1495
60,11/24/20 03:30:01 PM,0.3136,0.2406,0.1490
61,11/24/20 04:00:01 PM,0.3136,0.2406,0.1490
62,11/24/20 04:30:01 PM,0.3136,0.2403,0.1495
63,11/24/20 05:00:01 PM,0.3136,0.2403,0.1495
64,11/24/20 05:30:01 PM,0.3136,0.2403,0.1495
65,11/24/20 06:00:01 PM,0.3136,0.2403,0.1479
66,11/24/20 06:30:01 PM,0.3133,0.2399,0.1490
67,11/24/20 07:00:01 PM,0.3133,0.2403,0.1490
68,11/24/20 07:30:01 PM,0.3133,0.2403,0.1495
69,11/24/20 08:00:01 PM,0.3133,0.2403,0.1495
70,11/24/20 08:30:01 PM,0.3133,0.2399,0.1495
