Date,VWC_10cm_CM1SM,VWC_10cm_CM2SM,VWC_10cm_CMSM3,VWC_10cm_CMSM4,VWC_30cm_CM1SM,VWC_30cm_CM2SM,VWC_30cm_CMSM3,VWC_30cm_CMSM4,VWC_1m_CM1SM,VWC_1m_CM2SM,VWC_1m_CMSM3,VWC_1m_CMSM4,WY
2019-07-12,0.35,NA,NA,0.236,0.374,NA,NA,0.289,NA,NA,NA,0.277,2019
2019-07-19,0.315,NA,0.28,0.22,0.354,NA,0.261,0.288,0.254,NA,0.244,0.272,2019
2019-07-26,0.305,NA,0.266,0.196,0.341,NA,0.258,0.285,0.219,NA,0.208,0.267,2019
2019-08-02,0.286,NA,0.239,0.169,0.328,NA,0.249,0.282,0.145,NA,0.19,0.262,2019
2019-08-09,0.263,NA,0.209,0.153,0.318,NA,0.238,0.279,0.089,NA,0.181,0.259,2019
2019-08-16,0.236,NA,0.179,0.137,0.31,NA,0.218,0.276,0.046,NA,0.176,0.257,2019
2019-08-23,0.217,NA,0.148,0.121,0.299,NA,0.191,0.273,0.016,NA,0.173,0.255,2019
2019-08-30,0.204,NA,0.127,0.11,0.282,NA,0.167,0.267,0.006,NA,0.169,0.254,2019
2019-09-06,0.194,NA,0.116,0.104,0.269,NA,0.15,0.26,NA,NA,0.164,0.252,2019
2019-09-13,0.238,NA,0.191,0.197,0.285,NA,0.161,0.263,0.018,NA,0.16,0.251,2019
2019-09-20,0.294,NA,0.272,0.255,0.325,NA,0.235,0.292,0.054,NA,0.158,0.25,2019
2019-09-27,0.292,NA,0.273,0.256,0.314,NA,0.228,0.287,0.07,NA,0.158,0.249,2019
2019-10-04,0.292,NA,0.271,0.248,0.31,NA,0.234,0.285,0.08,NA,0.156,0.25,2020
2019-10-11,0.289,NA,0.264,0.237,0.307,NA,0.232,0.283,0.083,NA,0.155,0.25,2020
2019-10-18,0.287,NA,0.264,0.231,0.305,NA,0.23,0.282,0.082,NA,0.154,0.251,2020
2019-10-25,0.285,NA,0.26,0.227,0.303,NA,0.229,0.28,0.08,NA,0.153,0.251,2020
2019-11-01,0.282,NA,0.255,0.223,0.301,NA,0.228,0.279,0.073,NA,0.153,0.251,2020
2019-11-08,0.281,NA,0.252,0.22,0.3,NA,0.224,0.278,0.064,NA,0.152,0.25,2020
2019-11-15,0.279,NA,0.249,0.217,0.299,NA,0.223,0.277,0.056,NA,0.152,0.25,2020
2019-11-22,0.277,NA,0.246,0.215,0.297,NA,0.224,0.277,0.05,NA,0.152,0.25,2020
2019-11-29,0.294,NA,0.279,0.223,0.327,NA,0.26,0.279,0.064,NA,0.156,0.25,2020
2019-12-06,0.325,0.282,0.304,0.3,0.361,0.318,0.28,0.308,0.111,0.229,0.179,0.259,2020
