"Plot Title: CMSM3"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20154563, LBL: CMSM3 1 m)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20652824, LBL: CMSM3 10 cm)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20658013, LBL: CMSM3 30 cm)"
1,11/23/20 10:30:01 AM,0.1361,0.1450,0.2615
2,11/23/20 11:00:01 AM,0.1368,0.1450,0.2615
3,11/23/20 11:30:01 AM,0.1376,0.1455,0.2615
4,11/23/20 12:00:01 PM,0.1368,0.1470,0.2615
5,11/23/20 12:30:01 PM,0.1368,0.1475,0.2615
6,11/23/20 01:00:01 PM,0.1368,0.1484,0.2615
7,11/23/20 01:30:01 PM,0.1376,0.1490,0.2615
8,11/23/20 02:00:01 PM,0.1368,0.1503,0.2615
9,11/23/20 02:30:01 PM,0.1368,0.1503,0.2615
10,11/23/20 03:00:01 PM,0.1376,0.1503,0.2615
11,11/23/20 03:30:01 PM,0.1376,0.1503,0.2611
12,11/23/20 04:00:01 PM,0.1368,0.1495,0.2615
13,11/23/20 04:30:01 PM,0.1376,0.1499,0.2611
14,11/23/20 05:00:01 PM,0.1376,0.1495,0.2611
15,11/23/20 05:30:01 PM,0.1368,0.1484,0.2604
16,11/23/20 06:00:01 PM,0.1368,0.1490,0.2592
17,11/23/20 06:30:01 PM,0.1376,0.1490,0.2596
18,11/23/20 07:00:01 PM,0.1376,0.1479,0.2560
19,11/23/20 07:30:01 PM,0.1376,0.1475,0.2553
20,11/23/20 08:00:01 PM,0.1376,0.1475,0.2553
21,11/23/20 08:30:01 PM,0.1376,0.1470,0.2550
22,11/23/20 09:00:01 PM,0.1376,0.1470,0.2546
23,11/23/20 09:30:01 PM,0.1376,0.1470,0.2546
24,11/23/20 10:00:01 PM,0.1376,0.1459,0.2542
25,11/23/20 10:30:01 PM,0.1376,0.1459,0.2542
26,11/23/20 11:00:01 PM,0.1376,0.1455,0.2542
27,11/23/20 11:30:01 PM,0.1376,0.1450,0.2538
28,11/24/20 12:00:01 AM,0.1376,0.1450,0.2542
29,11/24/20 12:30:01 AM,0.1376,0.1450,0.2542
30,11/24/20 01:00:01 AM,0.1376,0.1446,0.2542
31,11/24/20 01:30:01 AM,0.1376,0.1450,0.2542
32,11/24/20 02:00:01 AM,0.1376,0.1446,0.2542
33,11/24/20 02:30:01 AM,0.1376,0.1446,0.2542
34,11/24/20 03:00:01 AM,0.1376,0.1446,0.2534
35,11/24/20 03:30:01 AM,0.1383,0.1441,0.2532
36,11/24/20 04:00:01 AM,0.1383,0.1434,0.2532
37,11/24/20 04:30:01 AM,0.1383,0.1430,0.2532
38,11/24/20 05:00:01 AM,0.1383,0.1430,0.2532
