"Plot Title: CM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538929, LBL: 1 meter)","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538930, LBL: 30 cm)","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538931, LBL: 10 cm)"
1,04/26/20 11:00:01 AM,0.3939,0.4373,0.4565
2,04/26/20 11:30:01 AM,0.3939,0.4367,0.4565
3,04/26/20 12:00:01 PM,0.3934,0.4373,0.4565
4,04/26/20 12:30:01 PM,0.3934,0.4367,0.4565
5,04/26/20 01:00:01 PM,0.3934,0.4373,0.4565
6,04/26/20 01:30:01 PM,0.3927,0.4373,0.4565
7,04/26/20 02:00:01 PM,0.3927,0.4373,0.4557
8,04/26/20 02:30:01 PM,0.3927,0.4367,0.4565
9,04/26/20 03:00:01 PM,0.3934,0.4373,0.4565
10,04/26/20 03:30:01 PM,0.3927,0.4373,0.4557
11,04/26/20 04:00:01 PM,0.3927,0.4373,0.4565
12,04/26/20 04:30:01 PM,0.3934,0.4373,0.4565
13,04/26/20 05:00:01 PM,0.3927,0.4373,0.4565
14,04/26/20 05:30:01 PM,0.3927,0.4373,0.4565
15,04/26/20 06:00:01 PM,0.3920,0.4367,0.4557
16,04/26/20 06:30:01 PM,0.3920,0.4360,0.4557
17,04/26/20 07:00:01 PM,0.3920,0.4367,0.4557
18,04/26/20 07:30:01 PM,0.3915,0.4367,0.4557
19,04/26/20 08:00:01 PM,0.3920,0.4367,0.4550
20,04/26/20 08:30:01 PM,0.3915,0.4367,0.4557
21,04/26/20 09:00:01 PM,0.3915,0.4367,0.4550
22,04/26/20 09:30:01 PM,0.3915,0.4367,0.4557
23,04/26/20 10:00:01 PM,0.3909,0.4367,0.4557
24,04/26/20 10:30:01 PM,0.3909,0.4373,0.4550
25,04/26/20 11:00:01 PM,0.3902,0.4367,0.4543
26,04/26/20 11:30:01 PM,0.3902,0.4367,0.4543
27,04/27/20 12:00:01 AM,0.3902,0.4367,0.4543
28,04/27/20 12:30:01 AM,0.3902,0.4373,0.4543
29,04/27/20 01:00:01 AM,0.3909,0.4373,0.4543
30,04/27/20 01:30:01 AM,0.3902,0.4373,0.4550
31,04/27/20 02:00:01 AM,0.3902,0.4373,0.4543
32,04/27/20 02:30:01 AM,0.3909,0.4373,0.4543
33,04/27/20 03:00:01 AM,0.3909,0.4373,0.4543
34,04/27/20 03:30:01 AM,0.3909,0.4367,0.4543
35,04/27/20 04:00:01 AM,0.3909,0.4367,0.4543
36,04/27/20 04:30:01 AM,0.3915,0.4373,0.4543
37,04/27/20 05:00:01 AM,0.3909,0.4373,0.4543
38,04/27/20 05:30:01 AM,0.3909,0.4373,0.4543
39,04/27/20 06:00:01 AM,0.3909,0.4373,0.4543
40,04/27/20 06:30:01 AM,0.3909,0.4373,0.4550
41,04/27/20 07:00:01 AM,0.3909,0.4373,0.4543
42,04/27/20 07:30:01 AM,0.3909,0.4367,0.4543
