Date,VWC_10cm_CM1SM,VWC_10cm_CM2SM,VWC_10cm_CMSM3,VWC_10cm_CMSM4,VWC_30cm_CM1SM,VWC_30cm_CM2SM,VWC_30cm_CMSM3,VWC_30cm_CMSM4,VWC_1m_CM1SM,VWC_1m_CM2SM,VWC_1m_CMSM3,VWC_1m_CMSM4
2019-07-10 10:30:00,NA,NA,NA,0.2344,NA,NA,NA,0.2868,NA,NA,NA,0.2722
2019-07-10 11:00:00,NA,NA,NA,0.2347,NA,NA,NA,0.2871,NA,NA,NA,0.2729
2019-07-10 11:30:00,NA,NA,NA,0.2355,NA,NA,NA,0.2874,NA,NA,NA,0.2732
2019-07-10 12:00:00,NA,NA,NA,0.2358,NA,NA,NA,0.2874,NA,NA,NA,0.2739
2019-07-10 12:30:00,NA,NA,NA,0.2363,NA,NA,NA,0.2874,NA,NA,NA,0.2743
2019-07-10 13:00:00,NA,NA,NA,0.2367,NA,NA,NA,0.2874,NA,NA,NA,0.2746
2019-07-10 13:30:00,NA,NA,NA,0.2371,NA,NA,NA,0.2877,NA,NA,NA,0.2749
2019-07-10 14:00:00,NA,NA,NA,0.2379,NA,NA,NA,0.2877,NA,NA,NA,0.2753
2019-07-10 14:30:00,NA,NA,NA,0.2383,NA,NA,NA,0.2881,NA,NA,NA,0.2753
2019-07-10 15:00:00,NA,NA,NA,0.2387,NA,NA,NA,0.2877,NA,NA,NA,0.2756
2019-07-10 15:30:00,NA,NA,NA,0.239,NA,NA,NA,0.2881,NA,NA,NA,0.2759
2019-07-10 16:00:00,NA,NA,NA,0.239,NA,NA,NA,0.2881,NA,NA,NA,0.2763
2019-07-10 16:30:00,NA,NA,NA,0.2394,NA,NA,NA,0.2881,NA,NA,NA,0.2766
2019-07-10 17:00:00,NA,NA,NA,0.239,NA,NA,NA,0.2881,NA,NA,NA,0.2766
2019-07-10 17:30:00,NA,NA,NA,0.239,NA,NA,NA,0.2884,NA,NA,NA,0.2766
2019-07-10 18:00:00,0.3758,NA,NA,0.239,0.389,NA,NA,0.2884,-0.1517,NA,NA,0.277
2019-07-10 18:30:00,0.3751,NA,NA,0.2394,0.389,NA,NA,0.2884,-0.1549,NA,NA,0.277
2019-07-10 19:00:00,0.3746,NA,NA,0.239,0.389,NA,NA,0.2884,-0.1561,NA,NA,0.277
2019-07-10 19:30:00,0.3746,NA,NA,0.2399,0.3883,NA,NA,0.2884,-0.1572,NA,NA,0.2773
2019-07-10 20:00:00,0.3746,NA,NA,0.239,0.3877,NA,NA,0.2884,-0.1594,NA,NA,0.2773
2019-07-10 20:30:00,0.374,NA,NA,0.2387,0.3877,NA,NA,0.2884,-0.1616,NA,NA,0.2773
2019-07-10 21:00:00,0.3746,NA,NA,0.239,0.3877,NA,NA,0.2884,-0.1616,NA,NA,0.2773
2019-07-10 21:30:00,0.3746,NA,NA,0.239,0.3877,NA,NA,0.2884,-0.1628,NA,NA,0.2776
2019-07-10 22:00:00,0.3746,NA,NA,0.2387,0.3883,NA,NA,0.2884,-0.1639,NA,NA,0.2776
2019-07-10 22:30:00,0.3746,NA,NA,0.2387,0.3877,NA,NA,0.2884,-0.165,NA,NA,0.2776
2019-07-10 23:00:00,0.3746,NA,NA,0.239,0.3883,NA,NA,0.2887,-0.165,NA,NA,0.2776
2019-07-10 23:30:00,0.3746,NA,NA,0.2387,0.3883,NA,NA,0.2887,-0.1662,NA,NA,0.2776
2019-07-11 00:00:00,0.3746,NA,NA,0.2387,0.3883,NA,NA,0.2887,-0.1662,NA,NA,0.278
2019-07-11 00:30:00,0.374,NA,NA,0.2387,0.3877,NA,NA,0.2887,-0.1662,NA,NA,0.278
2019-07-11 01:00:00,0.374,NA,NA,0.2387,0.3877,NA,NA,0.2887,-0.1662,NA,NA,0.278
2019-07-11 01:30:00,0.374,NA,NA,0.2387,0.3877,NA,NA,0.289,-0.165,NA,NA,0.278
2019-07-11 02:00:00,0.374,NA,NA,0.2387,0.3883,NA,NA,0.2887,-0.165,NA,NA,0.2783
2019-07-11 02:30:00,0.3746,NA,NA,0.239,0.3877,NA,NA,0.2887,-0.165,NA,NA,0.2783
2019-07-11 03:00:00,0.3746,NA,NA,0.2394,0.3877,NA,NA,0.2887,-0.165,NA,NA,0.2783
2019-07-11 03:30:00,0.374,NA,NA,0.2394,0.3877,NA,NA,0.2887,-0.1639,NA,NA,0.2783
2019-07-11 04:00:00,0.3751,NA,NA,0.2399,0.3877,NA,NA,0.289,-0.1639,NA,NA,0.2783
2019-07-11 04:30:00,0.3746,NA,NA,0.2403,0.3877,NA,NA,0.289,-0.1628,NA,NA,0.2783
2019-07-11 05:00:00,0.3746,NA,NA,0.2406,0.3877,NA,NA,0.2887,-0.1616,NA,NA,0.2783
2019-07-11 05:30:00,0.3746,NA,NA,0.241,0.3872,NA,NA,0.289,-0.1616,NA,NA,0.2783
2019-07-11 06:00:00,0.3751,NA,NA,0.241,0.3877,NA,NA,0.289,-0.1605,NA,NA,0.2786
2019-07-11 06:30:00,0.3751,NA,NA,0.2414,0.3877,NA,NA,0.289,-0.1605,NA,NA,0.2786
2019-07-11 07:00:00,0.3746,NA,NA,0.2414,0.3872,NA,NA,0.289,-0.1594,NA,NA,0.2786
2019-07-11 07:30:00,0.3751,NA,NA,0.2418,0.3872,NA,NA,0.289,-0.1594,NA,NA,0.2786
2019-07-11 08:00:00,0.3758,NA,NA,0.2418,0.3883,NA,NA,0.2895,-0.1549,NA,NA,0.2786
2019-07-11 08:30:00,0.3758,NA,NA,0.2425,0.3877,NA,NA,0.2895,-0.1538,NA,NA,0.279
2019-07-11 09:00:00,0.3758,NA,NA,0.2421,0.3877,NA,NA,0.2895,-0.1517,NA,NA,0.2786
2019-07-11 09:30:00,0.3758,NA,NA,0.2425,0.3877,NA,NA,0.289,-0.1561,NA,NA,0.279
2019-07-11 10:00:00,0.3758,NA,NA,0.2425,0.3872,NA,NA,0.2895,-0.1473,NA,NA,0.279
2019-07-11 10:30:00,0.3758,NA,NA,0.243,0.3872,NA,NA,0.2895,-0.1441,NA,NA,0.279
2019-07-11 11:00:00,0.3751,NA,NA,0.2421,0.3865,NA,NA,0.2895,-0.142,NA,NA,0.279
2019-07-11 11:30:00,0.3758,NA,NA,0.2418,0.3877,NA,NA,0.2895,-0.141,NA,NA,0.279
2019-07-11 12:00:00,0.3751,NA,NA,0.2418,0.3872,NA,NA,0.2895,-0.141,NA,NA,0.279
2019-07-11 12:30:00,0.3746,NA,NA,0.2418,0.3872,NA,NA,0.2895,-0.1399,NA,NA,0.279
2019-07-11 13:00:00,0.3746,NA,NA,0.2414,0.3865,NA,NA,0.2895,-0.141,NA,NA,0.279
2019-07-11 13:30:00,0.374,NA,NA,0.2414,0.3865,NA,NA,0.2895,-0.141,NA,NA,0.279
2019-07-11 14:00:00,0.3729,NA,NA,0.2414,0.3865,NA,NA,0.2895,-0.142,NA,NA,0.279
2019-07-11 14:30:00,0.3729,NA,NA,0.2414,0.3865,NA,NA,0.2895,-0.142,NA,NA,0.279
2019-07-11 15:00:00,0.3722,NA,NA,0.2414,0.3865,NA,NA,0.289,-0.1441,NA,NA,0.279
2019-07-11 15:30:00,0.3722,NA,NA,0.241,0.3865,NA,NA,0.289,-0.1441,NA,NA,0.279
2019-07-11 16:00:00,0.3722,NA,NA,0.2414,0.3859,NA,NA,0.289,-0.1452,NA,NA,0.279
2019-07-11 16:30:00,0.3716,NA,NA,0.2414,0.3859,NA,NA,0.289,-0.1452,NA,NA,0.279
2019-07-11 17:00:00,0.3711,NA,NA,0.2414,0.3859,NA,NA,0.289,-0.1484,NA,NA,0.279
2019-07-11 17:30:00,0.3716,NA,NA,0.241,0.3865,NA,NA,0.289,-0.1517,NA,NA,0.279
2019-07-11 18:00:00,0.3716,NA,NA,0.241,0.3859,NA,NA,0.289,-0.1528,NA,NA,0.2793
2019-07-11 18:30:00,0.3711,NA,NA,0.241,0.3859,NA,NA,0.289,-0.1561,NA,NA,0.279
2019-07-11 19:00:00,0.3711,NA,NA,0.2406,0.3859,NA,NA,0.2895,-0.1594,NA,NA,0.279
2019-07-11 19:30:00,0.3699,NA,NA,0.2406,0.3854,NA,NA,0.2895,-0.1605,NA,NA,0.279
2019-07-11 20:00:00,0.3705,NA,NA,0.2406,0.3854,NA,NA,0.289,-0.1616,NA,NA,0.279
2019-07-11 20:30:00,0.3699,NA,NA,0.2406,0.3854,NA,NA,0.289,-0.1639,NA,NA,0.279
2019-07-11 21:00:00,0.3699,NA,NA,0.2406,0.3854,NA,NA,0.289,-0.165,NA,NA,0.279
2019-07-11 21:30:00,0.3705,NA,NA,0.2406,0.3847,NA,NA,0.289,-0.1662,NA,NA,0.279
2019-07-11 22:00:00,0.3699,NA,NA,0.2406,0.3854,NA,NA,0.2895,-0.1685,NA,NA,0.279
2019-07-11 22:30:00,0.3699,NA,NA,0.2399,0.3854,NA,NA,0.2895,-0.1696,NA,NA,0.279
2019-07-11 23:00:00,0.3699,NA,NA,0.2399,0.3847,NA,NA,0.2895,-0.1696,NA,NA,0.279
2019-07-11 23:30:00,0.3705,NA,NA,0.2399,0.3854,NA,NA,0.2895,-0.1696,NA,NA,0.279
2019-07-12 00:00:00,0.3699,NA,NA,0.2394,0.3847,NA,NA,0.2895,-0.1696,NA,NA,0.279
2019-07-12 00:30:00,0.3699,NA,NA,0.2394,0.3847,NA,NA,0.2895,-0.1696,NA,NA,0.279
2019-07-12 01:00:00,0.3699,NA,NA,0.2394,0.3847,NA,NA,0.2895,-0.1696,NA,NA,0.2786
2019-07-12 01:30:00,0.3699,NA,NA,0.2394,0.3854,NA,NA,0.2895,-0.1696,NA,NA,0.2786
2019-07-12 02:00:00,0.3699,NA,NA,0.2394,0.3854,NA,NA,0.2895,-0.1685,NA,NA,0.279
2019-07-12 02:30:00,0.3699,NA,NA,0.2394,0.3847,NA,NA,0.2898,-0.1685,NA,NA,0.279
2019-07-12 03:00:00,0.3699,NA,NA,0.2399,0.3847,NA,NA,0.2898,-0.1685,NA,NA,0.2786
2019-07-12 03:30:00,0.3699,NA,NA,0.2399,0.3847,NA,NA,0.2895,-0.1662,NA,NA,0.2786
2019-07-12 04:00:00,0.3699,NA,NA,0.2399,0.3854,NA,NA,0.2895,-0.1662,NA,NA,0.2786
2019-07-12 04:30:00,0.3699,NA,NA,0.2403,0.3847,NA,NA,0.2895,-0.165,NA,NA,0.279
2019-07-12 05:00:00,0.3699,NA,NA,0.2403,0.384,NA,NA,0.2895,-0.1639,NA,NA,0.279
2019-07-12 05:30:00,0.3699,NA,NA,0.2406,0.384,NA,NA,0.2895,-0.1639,NA,NA,0.279
2019-07-12 06:00:00,0.3699,NA,NA,0.2406,0.384,NA,NA,0.2895,-0.1639,NA,NA,0.279
2019-07-12 06:30:00,0.3705,NA,NA,0.241,0.3847,NA,NA,0.2895,-0.1628,NA,NA,0.279
2019-07-12 07:00:00,0.3705,NA,NA,0.2414,0.3854,NA,NA,0.2895,-0.1616,NA,NA,0.279
2019-07-12 07:30:00,0.3705,NA,NA,0.2414,0.3847,NA,NA,0.2895,-0.1605,NA,NA,0.279
2019-07-12 08:00:00,0.3705,NA,NA,0.2418,0.3847,NA,NA,0.2898,-0.1572,NA,NA,0.279
2019-07-12 08:30:00,0.3705,NA,NA,0.2418,0.384,NA,NA,0.2895,-0.1549,NA,NA,0.2793
2019-07-12 09:00:00,0.3711,NA,NA,0.2418,0.384,NA,NA,0.2898,-0.1549,NA,NA,0.2793
2019-07-12 09:30:00,0.3711,NA,NA,0.2418,0.3847,NA,NA,0.2898,-0.1594,NA,NA,0.2793
2019-07-12 10:00:00,0.3711,NA,NA,0.2421,0.384,NA,NA,0.2898,-0.1517,NA,NA,0.279
2019-07-12 10:30:00,0.3705,NA,NA,0.2421,0.384,NA,NA,0.2898,-0.1473,NA,NA,0.2793
2019-07-12 11:00:00,0.3705,NA,NA,0.2421,0.3847,NA,NA,0.2898,-0.1452,NA,NA,0.2793
2019-07-12 11:30:00,0.3699,NA,NA,0.2421,0.384,NA,NA,0.2895,-0.142,NA,NA,0.2793
2019-07-12 12:00:00,0.3694,NA,NA,0.2418,0.3847,NA,NA,0.2895,-0.1441,NA,NA,0.279
2019-07-12 12:30:00,0.3694,NA,NA,0.2414,0.3847,NA,NA,0.2895,-0.1441,NA,NA,0.279
2019-07-12 13:00:00,0.3688,NA,NA,0.2414,0.3847,NA,NA,0.2895,-0.1441,NA,NA,0.279
2019-07-12 13:30:00,0.3683,NA,NA,0.2414,0.384,NA,NA,0.2898,-0.1452,NA,NA,0.2793
2019-07-12 14:00:00,0.3683,NA,NA,0.241,0.3834,NA,NA,0.2898,-0.1452,NA,NA,0.279
2019-07-12 14:30:00,0.3677,NA,NA,0.2406,0.3834,NA,NA,0.2898,-0.1463,NA,NA,0.279
2019-07-12 15:00:00,0.3671,NA,NA,0.2406,0.3834,NA,NA,0.2895,-0.1441,NA,NA,0.2793
2019-07-12 15:30:00,0.3666,NA,NA,0.2406,0.3834,NA,NA,0.2895,-0.1473,NA,NA,0.279
2019-07-12 16:00:00,0.366,NA,NA,0.2403,0.3829,NA,NA,0.2895,-0.1484,NA,NA,0.2786
2019-07-12 16:30:00,0.366,NA,NA,0.2406,0.3829,NA,NA,0.2895,-0.1495,NA,NA,0.279
2019-07-12 17:00:00,0.366,NA,NA,0.2406,0.3822,NA,NA,0.2895,-0.1517,NA,NA,0.279
2019-07-12 17:30:00,0.366,NA,NA,0.2403,0.3822,NA,NA,0.2898,-0.1528,NA,NA,0.279
2019-07-12 18:00:00,0.366,NA,NA,0.2399,0.3816,NA,NA,0.2898,-0.1538,NA,NA,0.279
2019-07-12 18:30:00,0.3655,NA,NA,0.2399,0.3829,NA,NA,0.2898,-0.1594,NA,NA,0.2786
2019-07-12 19:00:00,0.3649,NA,NA,0.2403,0.3822,NA,NA,0.2898,-0.1605,NA,NA,0.2786
2019-07-12 19:30:00,0.3655,NA,NA,0.2403,0.3822,NA,NA,0.2898,-0.1616,NA,NA,0.279
2019-07-12 20:00:00,0.3649,NA,NA,0.2399,0.3822,NA,NA,0.2898,-0.1628,NA,NA,0.279
2019-07-12 20:30:00,0.3655,NA,NA,0.2399,0.3816,NA,NA,0.2901,-0.165,NA,NA,0.279
2019-07-12 21:00:00,0.3649,NA,NA,0.2394,0.3816,NA,NA,0.2898,-0.1662,NA,NA,0.279
2019-07-12 21:30:00,0.3649,NA,NA,0.2394,0.3822,NA,NA,0.2898,-0.1685,NA,NA,0.2786
2019-07-12 22:00:00,0.3649,NA,NA,0.239,0.3816,NA,NA,0.2898,-0.1696,NA,NA,0.2786
2019-07-12 22:30:00,0.3649,NA,NA,0.2387,0.3816,NA,NA,0.2895,-0.1708,NA,NA,0.2786
2019-07-12 23:00:00,0.3643,NA,NA,0.239,0.3816,NA,NA,0.2898,-0.1708,NA,NA,0.2786
2019-07-12 23:30:00,0.3649,NA,NA,0.2387,0.3822,NA,NA,0.2901,-0.1708,NA,NA,0.2786
2019-07-13 00:00:00,0.3649,NA,NA,0.2383,0.3816,NA,NA,0.2901,-0.1719,NA,NA,0.2786
2019-07-13 00:30:00,0.3649,NA,NA,0.2383,0.3816,NA,NA,0.2898,-0.1719,NA,NA,0.2786
2019-07-13 01:00:00,0.3643,NA,NA,0.2383,0.3811,NA,NA,0.2901,-0.1708,NA,NA,0.2783
2019-07-13 01:30:00,0.3643,NA,NA,0.2379,0.3811,NA,NA,0.2901,-0.1708,NA,NA,0.2786
2019-07-13 02:00:00,0.3643,NA,NA,0.2379,0.3816,NA,NA,0.2898,-0.1708,NA,NA,0.2786
