"Plot Title: CM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538929, LBL: 1 meter)","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538930, LBL: 30 cm)","Water Content, m³/m³ (LGR S/N: 20541051, SEN S/N: 20538931, LBL: 10 cm)"
1,07/06/21 08:00:01 AM,0.0421,-0.4737,0.1866
2,07/06/21 08:30:01 AM,0.0425,-0.4737,0.1862
3,07/06/21 09:00:01 AM,0.0442,-0.4737,0.1862
4,07/06/21 09:30:01 AM,0.0446,-0.4737,0.1862
5,07/06/21 10:00:01 AM,0.0454,-0.4737,0.1862
6,07/06/21 10:30:01 AM,0.0474,-0.4737,0.1872
7,07/06/21 11:00:01 AM,0.0490,-0.4737,0.1866
8,07/06/21 11:30:01 AM,0.0501,-0.4737,0.1872
9,07/06/21 12:00:01 PM,0.0528,-0.4737,0.1866
10,07/06/21 12:30:01 PM,0.0544,-0.4737,0.1862
11,07/06/21 01:00:01 PM,0.0555,-0.4737,0.1862
12,07/06/21 01:30:01 PM,0.0570,-0.4737,0.1862
13,07/06/21 02:00:01 PM,0.0588,-0.4737,0.1859
14,07/06/21 02:30:01 PM,0.0599,-0.4737,0.1859
15,07/06/21 03:00:01 PM,0.0599,-0.4737,0.1859
16,07/06/21 03:30:01 PM,0.0614,-0.4737,0.1859
17,07/06/21 04:00:01 PM,0.0614,-0.4737,0.1859
18,07/06/21 04:30:01 PM,0.0621,-0.4737,0.1859
19,07/06/21 05:00:01 PM,0.0621,-0.4101,0.1859
20,07/06/21 05:30:01 PM,0.0614,-0.3587,0.1853
21,07/06/21 06:00:01 PM,0.0599,-0.4143,0.1849
22,07/06/21 06:30:01 PM,0.0588,-0.4737,0.1849
23,07/06/21 07:00:01 PM,0.0570,-0.4737,0.1853
24,07/06/21 07:30:01 PM,0.0555,-0.4737,0.1853
25,07/06/21 08:00:01 PM,0.0536,-0.4737,0.1853
26,07/06/21 08:30:01 PM,0.0517,-0.4737,0.1853
27,07/06/21 09:00:01 PM,0.0501,-0.4737,0.1853
28,07/06/21 09:30:01 PM,0.0490,-0.4737,0.1853
29,07/06/21 10:00:01 PM,0.0482,-0.4737,0.1853
30,07/06/21 10:30:01 PM,0.0474,-0.4737,0.1853
31,07/06/21 11:00:01 PM,0.0462,-0.4737,0.1849
32,07/06/21 11:30:01 PM,0.0454,-0.4737,0.1849
33,07/07/21 12:00:01 AM,0.0446,-0.4737,0.1849
34,07/07/21 12:30:01 AM,0.0442,-0.4737,0.1849
35,07/07/21 01:00:01 AM,0.0434,-0.4737,0.1849
36,07/07/21 01:30:01 AM,0.0421,-0.4737,0.1849
37,07/07/21 02:00:01 AM,0.0413,-0.4737,0.1849
38,07/07/21 02:30:01 AM,0.0413,-0.4737,0.1849
39,07/07/21 03:00:01 AM,0.0405,-0.4737,0.1849
40,07/07/21 03:30:01 AM,0.0405,-0.4737,0.1849
41,07/07/21 04:00:01 AM,0.0401,-0.4737,0.1849
42,07/07/21 04:30:01 AM,0.0392,-0.4737,0.1849
43,07/07/21 05:00:01 AM,0.0392,-0.4737,0.1849
44,07/07/21 05:30:01 AM,0.0384,-0.4737,0.1849
45,07/07/21 06:00:01 AM,0.0375,-0.4737,0.1843
46,07/07/21 06:30:01 AM,0.0375,-0.4737,0.1843
47,07/07/21 07:00:01 AM,0.0384,-0.4737,0.1843
48,07/07/21 07:30:01 AM,0.0384,-0.4737,0.1849
49,07/07/21 08:00:01 AM,0.0392,-0.4737,0.1849
50,07/07/21 08:30:01 AM,0.0392,-0.4737,0.1853
51,07/07/21 09:00:01 AM,0.0413,-0.4737,0.1849
52,07/07/21 09:30:01 AM,0.0413,-0.4737,0.1853
53,07/07/21 10:00:01 AM,0.0434,-0.4737,0.1853
54,07/07/21 10:30:01 AM,0.0446,-0.4737,0.1859
55,07/07/21 11:00:01 AM,0.0462,-0.4737,0.1853
56,07/07/21 11:30:01 AM,0.0482,-0.4737,0.1859
57,07/07/21 12:00:01 PM,0.0501,-0.4737,0.1853
58,07/07/21 12:30:01 PM,0.0521,-0.4737,0.1853
59,07/07/21 01:00:01 PM,0.0544,-0.4737,0.1853
