"Plot Title: CM2SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 21088752, SEN S/N: 20684002, 30CM)","Water Content, m³/m³ (LGR S/N: 21088752, SEN S/N: 20684005, 10 CM)","Water Content, m³/m³ (LGR S/N: 21088752, SEN S/N: 20684009, 1M)"
1,07/06/21 08:30:01 AM,0.2374,0.0371,0.2857
2,07/06/21 09:00:01 AM,0.2374,0.0375,0.2853
3,07/06/21 09:30:01 AM,0.2379,0.0375,0.2853
4,07/06/21 10:00:01 AM,0.2374,0.0375,0.2853
5,07/06/21 10:30:01 AM,0.2374,0.0375,0.2857
6,07/06/21 11:00:01 AM,0.2374,0.0392,0.2853
7,07/06/21 11:30:01 AM,0.2371,0.0392,0.2850
8,07/06/21 12:00:01 PM,0.2371,0.0401,0.2131
9,07/06/21 12:30:01 PM,0.2367,0.0405,0.2853
10,07/06/21 01:00:01 PM,0.2367,0.0405,0.2853
11,07/06/21 01:30:01 PM,0.2363,0.0405,0.2853
12,07/06/21 02:00:01 PM,0.2358,0.0421,0.2853
13,07/06/21 02:30:01 PM,0.2358,0.0421,0.2850
14,07/06/21 03:00:01 PM,0.2351,0.0425,0.2850
15,07/06/21 03:30:01 PM,0.2355,0.0425,0.2850
16,07/06/21 04:00:01 PM,0.2351,0.0425,0.2850
17,07/06/21 04:30:01 PM,0.2347,0.0425,0.1990
18,07/06/21 05:00:01 PM,0.2344,0.0425,0.2850
19,07/06/21 05:30:01 PM,0.2347,0.0425,0.2850
20,07/06/21 06:00:01 PM,0.2344,0.0421,0.2850
21,07/06/21 06:30:01 PM,0.2344,0.0413,0.2850
22,07/06/21 07:00:01 PM,0.2344,0.0413,-0.4600
23,07/06/21 07:30:01 PM,0.2344,0.0401,-0.4600
24,07/06/21 08:00:01 PM,0.2344,0.0401,-0.4600
25,07/06/21 08:30:01 PM,0.2344,0.0392,-0.4577
26,07/06/21 09:00:01 PM,0.2347,0.0384,0.2844
27,07/06/21 09:30:01 PM,0.2347,0.0375,-0.4737
28,07/06/21 10:00:01 PM,0.2347,0.0375,0.2844
29,07/06/21 10:30:01 PM,0.2344,0.0371,-0.4645
30,07/06/21 11:00:01 PM,0.2347,0.0371,0.2847
