"Plot Title: CMSM4"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541052, SEN S/N: 20538925, LBL: CMSM4 1 M)","Water Content, m³/m³ (LGR S/N: 20541052, SEN S/N: 20538926, LBL: CMSM4 30 CM)","Water Content, m³/m³ (LGR S/N: 20541052, SEN S/N: 20538927, LBL: CMSM4 10 CM)"
1,07/06/21 09:30:01 AM,0.2813,0.2190,0.0986
2,07/06/21 10:00:01 AM,0.2817,0.2190,0.0992
3,07/06/21 10:30:01 AM,0.2813,0.2190,0.0992
4,07/06/21 11:00:01 AM,0.2813,0.2190,0.0998
5,07/06/21 11:30:01 AM,0.2813,0.2190,0.0998
6,07/06/21 12:00:01 PM,0.2810,0.2190,0.0998
7,07/06/21 12:30:01 PM,0.2813,0.2182,0.0992
8,07/06/21 01:00:01 PM,0.2813,0.2182,0.1003
9,07/06/21 01:30:01 PM,0.2813,0.2182,0.1003
10,07/06/21 02:00:01 PM,0.2810,0.2177,0.1003
11,07/06/21 02:30:01 PM,0.2810,0.2177,0.1003
12,07/06/21 03:00:01 PM,0.2810,0.2177,0.1003
13,07/06/21 03:30:01 PM,0.2810,0.2174,0.1009
14,07/06/21 04:00:01 PM,0.2810,0.2174,0.1009
15,07/06/21 04:30:01 PM,0.2810,0.2169,0.1009
16,07/06/21 05:00:01 PM,0.2810,0.2169,0.1003
17,07/06/21 05:30:01 PM,0.2810,0.2169,0.1009
18,07/06/21 06:00:01 PM,0.2810,0.2169,0.1009
19,07/06/21 06:30:01 PM,0.2810,0.2169,0.1009
20,07/06/21 07:00:01 PM,0.2810,0.2169,0.1003
21,07/06/21 07:30:01 PM,0.2806,0.2164,0.1009
22,07/06/21 08:00:01 PM,0.2806,0.2164,0.0998
23,07/06/21 08:30:01 PM,0.2806,0.2169,0.1003
24,07/06/21 09:00:01 PM,0.2806,0.2169,0.0998
25,07/06/21 09:30:01 PM,0.2806,0.2164,0.0998
26,07/06/21 10:00:01 PM,0.2810,0.2164,0.0998
27,07/06/21 10:30:01 PM,0.2810,0.2164,0.0992
28,07/06/21 11:00:01 PM,0.2806,0.2164,0.0986
29,07/06/21 11:30:01 PM,0.2806,0.2164,0.0986
30,07/07/21 12:00:01 AM,0.2806,0.2164,0.0981
31,07/07/21 12:30:01 AM,0.2806,0.2169,0.0981
32,07/07/21 01:00:01 AM,0.2810,0.2164,0.0975
33,07/07/21 01:30:01 AM,0.2806,0.2164,0.0975
34,07/07/21 02:00:01 AM,0.2806,0.2164,0.0981
35,07/07/21 02:30:01 AM,0.2806,0.2164,0.0975
36,07/07/21 03:00:01 AM,0.2806,0.2164,0.0975
37,07/07/21 03:30:01 AM,0.2806,0.2164,0.0975
38,07/07/21 04:00:01 AM,0.2806,0.2164,0.0969
39,07/07/21 04:30:01 AM,0.2806,0.2164,0.0969
40,07/07/21 05:00:01 AM,0.2806,0.2164,0.0969
41,07/07/21 05:30:01 AM,0.2806,0.2161,0.0969
42,07/07/21 06:00:01 AM,0.2806,0.2164,0.0963
43,07/07/21 06:30:01 AM,0.2806,0.2164,0.0963
44,07/07/21 07:00:01 AM,0.2806,0.2164,0.0969
45,07/07/21 07:30:01 AM,0.2806,0.2164,0.0969
