"Plot Title: MMSM4"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20175819, LBL: MMSM4 30 cm)","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20683998, LBL: MMSM4 10 cm)","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20684007, LBL: MMSM4 75 cm)"
1,04/25/20 03:00:01 PM,0.3925,0.3171,0.5091
2,04/25/20 03:30:01 PM,0.3918,0.3171,0.5081
3,04/25/20 04:00:01 PM,0.3918,0.3171,0.5081
4,04/25/20 04:30:01 PM,0.3918,0.3168,0.5081
5,04/25/20 05:00:01 PM,0.3911,0.3171,0.5091
6,04/25/20 05:30:01 PM,0.3903,0.3168,0.5081
7,04/25/20 06:00:01 PM,0.3903,0.3171,0.5081
8,04/25/20 06:30:01 PM,0.3903,0.3168,0.5081
9,04/25/20 07:00:01 PM,0.3896,0.3168,0.5081
10,04/25/20 07:30:01 PM,0.3896,0.3168,0.5081
11,04/25/20 08:00:01 PM,0.3896,0.3168,0.5081
12,04/25/20 08:30:01 PM,0.3889,0.3168,0.5081
13,04/25/20 09:00:01 PM,0.3881,0.3168,0.5081
14,04/25/20 09:30:01 PM,0.3874,0.3163,0.5081
15,04/25/20 10:00:01 PM,0.3874,0.3168,0.5074
16,04/25/20 10:30:01 PM,0.3874,0.3168,0.5081
17,04/25/20 11:00:01 PM,0.3874,0.3168,0.5081
18,04/25/20 11:30:01 PM,0.3867,0.3163,0.5081
19,04/26/20 12:00:01 AM,0.3867,0.3163,0.5081
20,04/26/20 12:30:01 AM,0.3867,0.3168,0.5074
21,04/26/20 01:00:01 AM,0.3867,0.3168,0.5081
22,04/26/20 01:30:01 AM,0.3867,0.3168,0.5081
23,04/26/20 02:00:01 AM,0.3860,0.3168,0.5074
24,04/26/20 02:30:01 AM,0.3860,0.3168,0.5081
25,04/26/20 03:00:01 AM,0.3860,0.3171,0.5074
26,04/26/20 03:30:01 AM,0.3860,0.3171,0.5081
27,04/26/20 04:00:01 AM,0.3852,0.3175,0.5074
28,04/26/20 04:30:01 AM,0.3852,0.3175,0.5074
29,04/26/20 05:00:01 AM,0.3852,0.3175,0.5074
30,04/26/20 05:30:01 AM,0.3852,0.3178,0.5074
31,04/26/20 06:00:01 AM,0.3845,0.3178,0.5081
32,04/26/20 06:30:01 AM,0.3845,0.3183,0.5081
33,04/26/20 07:00:01 AM,0.3845,0.3183,0.5074
34,04/26/20 07:30:01 AM,0.3838,0.3183,0.5081
35,04/26/20 08:00:01 AM,0.3838,0.3187,0.5081
36,04/26/20 08:30:01 AM,0.3838,0.3187,0.5081
37,04/26/20 09:00:01 AM,0.3838,0.3192,0.5081
38,04/26/20 09:30:01 AM,0.3831,0.3192,0.5091
39,04/26/20 10:00:01 AM,0.3831,0.3187,0.5091
40,04/26/20 10:30:01 AM,0.3809,0.3187,0.5091
41,04/26/20 11:00:01 AM,0.3802,0.3187,0.5091
42,04/26/20 11:30:01 AM,0.3802,0.3183,0.5091
43,04/26/20 12:00:01 PM,0.3802,0.3178,0.5091
44,04/26/20 12:30:01 PM,0.3794,0.3178,0.5091
45,04/26/20 01:00:01 PM,0.3794,0.3175,0.5081
46,04/26/20 01:30:01 PM,0.3787,0.3171,0.5091
47,04/26/20 02:00:01 PM,0.3787,0.3163,0.5091
48,04/26/20 02:30:01 PM,0.3780,0.3160,0.5091
49,04/26/20 03:00:01 PM,0.3780,0.3160,0.5091
50,04/26/20 03:30:01 PM,0.3773,0.3160,0.5091
51,04/26/20 04:00:01 PM,0.3773,0.3160,0.5091
52,04/26/20 04:30:01 PM,0.3765,0.3160,0.5091
53,04/26/20 05:00:01 PM,0.3758,0.3160,0.5091
54,04/26/20 05:30:01 PM,0.3758,0.3160,0.5091
55,04/26/20 06:00:01 PM,0.3751,0.3160,0.5091
56,04/26/20 06:30:01 PM,0.3743,0.3160,0.5091
57,04/26/20 07:00:01 PM,0.3743,0.3156,0.5091
58,04/26/20 07:30:01 PM,0.3736,0.3156,0.5081
59,04/26/20 08:00:01 PM,0.3729,0.3156,0.5081
60,04/26/20 08:30:01 PM,0.3729,0.3156,0.5081
61,04/26/20 09:00:01 PM,0.3722,0.3156,0.5081
62,04/26/20 09:30:01 PM,0.3722,0.3156,0.5081
63,04/26/20 10:00:01 PM,0.3714,0.3156,0.5081
64,04/26/20 10:30:01 PM,0.3714,0.3156,0.5081
65,04/26/20 11:00:01 PM,0.3707,0.3156,0.5081
66,04/26/20 11:30:01 PM,0.3707,0.3151,0.5081
67,04/27/20 12:00:01 AM,0.3707,0.3151,0.5081
68,04/27/20 12:30:01 AM,0.3700,0.3151,0.5081
69,04/27/20 01:00:01 AM,0.3700,0.3151,0.5081
70,04/27/20 01:30:01 AM,0.3700,0.3156,0.5081
71,04/27/20 02:00:01 AM,0.3693,0.3156,0.5081
72,04/27/20 02:30:01 AM,0.3693,0.3156,0.5081
73,04/27/20 03:00:01 AM,0.3693,0.3156,0.5081
74,04/27/20 03:30:01 AM,0.3693,0.3160,0.5081
75,04/27/20 04:00:01 AM,0.3693,0.3160,0.5081
76,04/27/20 04:30:01 AM,0.3685,0.3160,0.5081
77,04/27/20 05:00:01 AM,0.3693,0.3163,0.5081
78,04/27/20 05:30:01 AM,0.3685,0.3163,0.5081
79,04/27/20 06:00:01 AM,0.3685,0.3168,0.5081
80,04/27/20 06:30:01 AM,0.3685,0.3168,0.5081
81,04/27/20 07:00:01 AM,0.3678,0.3168,0.5081
82,04/27/20 07:30:01 AM,0.3678,0.3171,0.5091
83,04/27/20 08:00:01 AM,0.3671,0.3171,0.5091
84,04/27/20 08:30:01 AM,0.3671,0.3171,0.5091
85,04/27/20 09:00:01 AM,0.3671,0.3171,0.5091
86,04/27/20 09:30:01 AM,0.3671,0.3171,0.5091
87,04/27/20 10:00:01 AM,0.3664,0.3171,0.5091
88,04/27/20 10:30:01 AM,0.3664,0.3171,0.5098
89,04/27/20 11:00:01 AM,0.3664,0.3168,0.5091
90,04/27/20 11:30:01 AM,0.3649,0.3168,0.5091
91,04/27/20 12:00:01 PM,0.3649,0.3163,0.5091
92,04/27/20 12:30:01 PM,0.3642,0.3160,0.5091
93,04/27/20 01:00:01 PM,0.3642,0.3156,0.5091
94,04/27/20 01:30:01 PM,0.3642,0.3151,0.5091
95,04/27/20 02:00:01 PM,0.3627,0.3148,0.5091
96,04/27/20 02:30:01 PM,0.3620,0.3148,0.5091
97,04/27/20 03:00:01 PM,0.3613,0.3148,0.5098
98,04/27/20 03:30:01 PM,0.3605,0.3148,0.5081
99,04/27/20 04:00:01 PM,0.3605,0.3148,0.5091
100,04/27/20 04:30:01 PM,0.3605,0.3148,0.5091
101,04/27/20 05:00:01 PM,0.3598,0.3144,0.5091
102,04/27/20 05:30:01 PM,0.3591,0.3144,0.5098
103,04/27/20 06:00:01 PM,0.3584,0.3148,0.5091
104,04/27/20 06:30:01 PM,0.3584,0.3144,0.5091
105,04/27/20 07:00:01 PM,0.3576,0.3144,0.5091
106,04/27/20 07:30:01 PM,0.3576,0.3144,0.5091
107,04/27/20 08:00:01 PM,0.3569,0.3144,0.5091
108,04/27/20 08:30:01 PM,0.3569,0.3144,0.5091
109,04/27/20 09:00:01 PM,0.3569,0.3144,0.5091
110,04/27/20 09:30:01 PM,0.3562,0.3144,0.5091
111,04/27/20 10:00:01 PM,0.3555,0.3140,0.5081
112,04/27/20 10:30:01 PM,0.3555,0.3140,0.5091
113,04/27/20 11:00:01 PM,0.3555,0.3140,0.5091
114,04/27/20 11:30:01 PM,0.3555,0.3140,0.5091
115,04/28/20 12:00:01 AM,0.3555,0.3140,0.5091
116,04/28/20 12:30:01 AM,0.3547,0.3140,0.5091
117,04/28/20 01:00:01 AM,0.3555,0.3140,0.5081
118,04/28/20 01:30:01 AM,0.3569,0.3140,0.5081
119,04/28/20 02:00:01 AM,0.3540,0.3144,0.5091
120,04/28/20 02:30:01 AM,0.3533,0.3144,0.5081
121,04/28/20 03:00:01 AM,0.3533,0.3144,0.5081
122,04/28/20 03:30:01 AM,0.3533,0.3148,0.5091
123,04/28/20 04:00:01 AM,0.3533,0.3148,0.5091
124,04/28/20 04:30:01 AM,0.3533,0.3151,0.5091
125,04/28/20 05:00:01 AM,0.3533,0.3151,0.5091
126,04/28/20 05:30:01 AM,0.3526,0.3151,0.5081
127,04/28/20 06:00:01 AM,0.3518,0.3156,0.5091
128,04/28/20 06:30:01 AM,0.3518,0.3156,0.5091
129,04/28/20 07:00:01 AM,0.3518,0.3156,0.5081
