"Plot Title: MMSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 10759123, LBL: MMSM5 1 m)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20456141, LBL: MMSM5 30 cm)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20652825, LBL: MMSM5 10 cm)"
1,04/25/20 03:30:01 PM,0.4983,0.3486,0.3746
2,04/25/20 04:00:01 PM,0.4974,0.3486,0.3740
3,04/25/20 04:30:01 PM,0.4983,0.3486,0.3751
4,04/25/20 05:00:01 PM,0.4983,0.3481,0.3751
5,04/25/20 05:30:01 PM,0.4983,0.3481,0.3751
6,04/25/20 06:00:01 PM,0.4983,0.3481,0.3746
7,04/25/20 06:30:01 PM,0.4983,0.3481,0.3746
8,04/25/20 07:00:01 PM,0.4983,0.3476,0.3746
9,04/25/20 07:30:01 PM,0.4983,0.3476,0.3746
10,04/25/20 08:00:01 PM,0.4983,0.3476,0.3746
11,04/25/20 08:30:01 PM,0.4983,0.3476,0.3740
12,04/25/20 09:00:01 PM,0.4983,0.3471,0.3740
13,04/25/20 09:30:01 PM,0.4983,0.3471,0.3740
14,04/25/20 10:00:01 PM,0.4983,0.3471,0.3740
15,04/25/20 10:30:01 PM,0.4983,0.3466,0.3740
16,04/25/20 11:00:01 PM,0.4983,0.3466,0.3740
17,04/25/20 11:30:01 PM,0.4974,0.3466,0.3740
18,04/26/20 12:00:01 AM,0.4974,0.3466,0.3740
19,04/26/20 12:30:01 AM,0.4983,0.3466,0.3740
20,04/26/20 01:00:01 AM,0.4983,0.3466,0.3740
21,04/26/20 01:30:01 AM,0.4983,0.3466,0.3740
22,04/26/20 02:00:01 AM,0.4983,0.3466,0.3740
23,04/26/20 02:30:01 AM,0.4983,0.3466,0.3740
24,04/26/20 03:00:01 AM,0.4983,0.3466,0.3740
25,04/26/20 03:30:01 AM,0.4974,0.3466,0.3740
26,04/26/20 04:00:01 AM,0.4974,0.3461,0.3740
27,04/26/20 04:30:01 AM,0.4974,0.3461,0.3734
28,04/26/20 05:00:01 AM,0.4974,0.3461,0.3734
29,04/26/20 05:30:01 AM,0.4974,0.3461,0.3734
30,04/26/20 06:00:01 AM,0.4974,0.3457,0.3734
31,04/26/20 06:30:01 AM,0.4974,0.3461,0.3734
32,04/26/20 07:00:01 AM,0.4974,0.3461,0.3734
33,04/26/20 07:30:01 AM,0.4983,0.3461,0.3734
34,04/26/20 08:00:01 AM,0.4983,0.3457,0.3734
35,04/26/20 08:30:01 AM,0.4983,0.3461,0.3734
36,04/26/20 09:00:01 AM,0.4983,0.3461,0.3729
37,04/26/20 09:30:01 AM,0.4983,0.3461,0.3729
38,04/26/20 10:00:01 AM,0.4983,0.3461,0.3722
39,04/26/20 10:30:01 AM,0.4983,0.3461,0.3722
40,04/26/20 11:00:01 AM,0.4983,0.3457,0.3716
41,04/26/20 11:30:01 AM,0.4983,0.3457,0.3716
42,04/26/20 12:00:01 PM,0.4983,0.3451,0.3716
43,04/26/20 12:30:01 PM,0.4983,0.3447,0.3716
44,04/26/20 01:00:01 PM,0.4983,0.3451,0.3716
45,04/26/20 01:30:01 PM,0.4983,0.3451,0.3711
46,04/26/20 02:00:01 PM,0.4990,0.3451,0.3705
47,04/26/20 02:30:01 PM,0.4990,0.3447,0.3711
48,04/26/20 03:00:01 PM,0.4983,0.3447,0.3705
49,04/26/20 03:30:01 PM,0.4983,0.3437,0.3705
50,04/26/20 04:00:01 PM,0.4983,0.3437,0.3705
51,04/26/20 04:30:01 PM,0.4983,0.3432,0.3705
52,04/26/20 05:00:01 PM,0.4983,0.3437,0.3705
53,04/26/20 05:30:01 PM,0.4983,0.3432,0.3705
54,04/26/20 06:00:01 PM,0.4983,0.3427,0.3699
55,04/26/20 06:30:01 PM,0.4983,0.3432,0.3699
56,04/26/20 07:00:01 PM,0.4983,0.3427,0.3705
57,04/26/20 07:30:01 PM,0.4983,0.3427,0.3705
