"Plot Title: MM2SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20683999, LBL: 10 cm)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20684001, LBL: 30 cm)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20684008, LBL: 75)"
1,09/09/21 04:30:01 PM,0.0850,0.2029,0.2550
2,09/09/21 05:00:01 PM,0.0850,0.2035,0.2550
3,09/09/21 05:30:01 PM,0.0850,0.2035,0.2550
4,09/09/21 06:00:01 PM,0.0850,0.2035,0.2550
5,09/09/21 06:30:01 PM,0.0850,0.2035,0.2550
6,09/09/21 07:00:01 PM,0.0844,0.2035,0.2550
7,09/09/21 07:30:01 PM,0.0841,0.2035,0.2550
8,09/09/21 08:00:01 PM,0.0835,0.2035,0.2546
9,09/09/21 08:30:01 PM,0.0829,0.2035,0.2546
10,09/09/21 09:00:01 PM,0.0822,0.2035,0.2546
11,09/09/21 09:30:01 PM,0.0816,0.2035,0.2546
12,09/09/21 10:00:01 PM,0.0810,0.2029,0.2546
13,09/09/21 10:30:01 PM,0.0810,0.2029,0.2546
14,09/09/21 11:00:01 PM,0.0803,0.2029,0.2546
15,09/09/21 11:30:01 PM,0.0797,0.2035,0.2546
16,09/10/21 12:00:01 AM,0.0797,0.2029,0.2546
17,09/10/21 12:30:01 AM,0.0797,0.2035,0.2546
18,09/10/21 01:00:01 AM,0.0794,0.2035,0.2546
19,09/10/21 01:30:01 AM,0.0794,0.2035,0.2546
20,09/10/21 02:00:01 AM,0.0787,0.2035,0.2546
21,09/10/21 02:30:01 AM,0.0787,0.2035,0.2546
22,09/10/21 03:00:01 AM,0.0787,0.2029,0.2546
23,09/10/21 03:30:01 AM,0.0787,0.2029,0.2546
24,09/10/21 04:00:01 AM,0.0781,0.2029,0.2546
25,09/10/21 04:30:01 AM,0.0781,0.2029,0.2546
26,09/10/21 05:00:01 AM,0.0781,0.2029,0.2546
27,09/10/21 05:30:01 AM,0.0781,0.2029,0.2546
28,09/10/21 06:00:01 AM,0.0781,0.2035,0.2546
29,09/10/21 06:30:01 AM,0.0781,0.2035,0.2546
30,09/10/21 07:00:01 AM,0.0781,0.2035,0.2546
31,09/10/21 07:30:01 AM,0.0781,0.2035,0.2546
32,09/10/21 08:00:01 AM,0.0781,0.2035,0.2546
33,09/10/21 08:30:01 AM,0.0781,0.2035,0.2546
34,09/10/21 09:00:01 AM,0.0781,0.2035,0.2546
35,09/10/21 09:30:01 AM,0.0781,0.2035,0.2546
36,09/10/21 10:00:01 AM,0.0781,0.2035,0.2546
37,09/10/21 10:30:01 AM,0.0781,0.2035,0.2546
38,09/10/21 11:00:01 AM,0.0787,0.2035,0.2546
39,09/10/21 11:30:01 AM,0.0787,0.2035,0.2546
40,09/10/21 12:00:01 PM,0.0794,0.2035,0.2550
41,09/10/21 12:30:01 PM,0.0794,0.2035,0.2550
42,09/10/21 01:00:01 PM,0.0797,0.2035,0.2550
43,09/10/21 01:30:01 PM,0.0803,0.2035,0.2550
44,09/10/21 02:00:01 PM,0.0810,0.2035,0.2550
45,09/10/21 02:30:01 PM,0.0816,0.2035,0.2550
46,09/10/21 03:00:01 PM,0.0829,0.2035,0.2550
47,09/10/21 03:30:01 PM,0.0835,0.2035,0.2550
48,09/10/21 04:00:01 PM,0.0835,0.2035,0.2550
49,09/10/21 04:30:01 PM,0.0841,0.2035,0.2550
50,09/10/21 05:00:01 PM,0.0841,0.2035,0.2550
51,09/10/21 05:30:01 PM,0.0841,0.2035,0.2550
52,09/10/21 06:00:01 PM,0.0841,0.2035,0.2550
53,09/10/21 06:30:01 PM,0.0841,0.2035,0.2550
54,09/10/21 07:00:01 PM,0.0835,0.2035,0.2546
55,09/10/21 07:30:01 PM,0.0835,0.2035,0.2546
56,09/10/21 08:00:01 PM,0.0829,0.2035,0.2546
57,09/10/21 08:30:01 PM,0.0822,0.2035,0.2546
58,09/10/21 09:00:01 PM,0.0816,0.2029,0.2546
59,09/10/21 09:30:01 PM,0.0810,0.2029,0.2546
60,09/10/21 10:00:01 PM,0.0810,0.2029,0.2546
61,09/10/21 10:30:01 PM,0.0803,0.2029,0.2546
62,09/10/21 11:00:01 PM,0.0803,0.2029,0.2546
63,09/10/21 11:30:01 PM,0.0797,0.2029,0.2546
64,09/11/21 12:00:01 AM,0.0794,0.2029,0.2542
65,09/11/21 12:30:01 AM,0.0794,0.2029,0.2542
66,09/11/21 01:00:01 AM,0.0794,0.2029,0.2546
67,09/11/21 01:30:01 AM,0.0787,0.2029,0.2546
68,09/11/21 02:00:01 AM,0.0787,0.2029,0.2542
69,09/11/21 02:30:01 AM,0.0781,0.2029,0.2546
70,09/11/21 03:00:01 AM,0.0781,0.2029,0.2546
71,09/11/21 03:30:01 AM,0.0781,0.2026,0.2542
72,09/11/21 04:00:01 AM,0.0775,0.2029,0.2542
73,09/11/21 04:30:01 AM,0.0775,0.2026,0.2542
74,09/11/21 05:00:01 AM,0.0775,0.2029,0.2542
75,09/11/21 05:30:01 AM,0.0768,0.2029,0.2542
76,09/11/21 06:00:01 AM,0.0768,0.2026,0.2542
77,09/11/21 06:30:01 AM,0.0768,0.2026,0.2542
78,09/11/21 07:00:01 AM,0.0768,0.2026,0.2542
79,09/11/21 07:30:01 AM,0.0768,0.2026,0.2546
80,09/11/21 08:00:01 AM,0.0768,0.2029,0.2546
81,09/11/21 08:30:01 AM,0.0768,0.2026,0.2546
82,09/11/21 09:00:01 AM,0.0775,0.2026,0.2546
83,09/11/21 09:30:01 AM,0.0781,0.2026,0.2546
84,09/11/21 10:00:01 AM,0.0787,0.2026,0.2546
85,09/11/21 10:30:01 AM,0.0794,0.2026,0.2550
