"Plot Title: MMSM3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446554, SEN S/N: 20684003, LBL: MMSM3 10 cm)","Water Content, m³/m³ (LGR S/N: 20446554, SEN S/N: 20684006, LBL: MMSM3 30 cm)"
1,09/09/21 05:00:01 PM,0.1718,0.2557
2,09/09/21 05:30:01 PM,0.1714,0.2557
3,09/09/21 06:00:01 PM,0.1714,0.2553
4,09/09/21 06:30:01 PM,0.1714,0.2557
5,09/09/21 07:00:01 PM,0.1714,0.2553
6,09/09/21 07:30:01 PM,0.1709,0.2550
7,09/09/21 08:00:01 PM,0.1703,0.2550
8,09/09/21 08:30:01 PM,0.1703,0.2550
9,09/09/21 09:00:01 PM,0.1703,0.2553
10,09/09/21 09:30:01 PM,0.1703,0.2550
11,09/09/21 10:00:01 PM,0.1703,-0.4737
12,09/09/21 10:30:01 PM,0.1703,-0.4737
13,09/09/21 11:00:01 PM,0.1699,-0.4737
14,09/09/21 11:30:01 PM,0.1699,-0.4737
15,09/10/21 12:00:01 AM,0.1699,-0.4737
16,09/10/21 12:30:01 AM,0.1699,-0.4737
17,09/10/21 01:00:01 AM,0.1699,-0.4737
18,09/10/21 01:30:01 AM,0.1699,-0.4737
19,09/10/21 02:00:01 AM,0.1699,-0.4737
20,09/10/21 02:30:01 AM,0.1699,-0.4737
21,09/10/21 03:00:01 AM,0.1699,-0.4737
22,09/10/21 03:30:01 AM,0.1699,-0.4737
23,09/10/21 04:00:01 AM,0.1699,-0.4737
24,09/10/21 04:30:01 AM,0.1699,-0.4737
25,09/10/21 05:00:01 AM,0.1699,-0.4737
26,09/10/21 05:30:01 AM,0.1699,-0.4737
27,09/10/21 06:00:01 AM,0.1699,-0.4737
28,09/10/21 06:30:01 AM,0.1699,-0.4737
29,09/10/21 07:00:01 AM,0.1699,-0.4737
30,09/10/21 07:30:01 AM,0.1699,-0.4737
31,09/10/21 08:00:01 AM,0.1699,-0.4737
32,09/10/21 08:30:01 AM,0.1699,-0.4737
33,09/10/21 09:00:01 AM,0.1699,-0.4737
34,09/10/21 09:30:01 AM,0.1699,-0.4737
35,09/10/21 10:00:01 AM,0.1699,-0.4737
36,09/10/21 10:30:01 AM,0.1703,-0.4737
37,09/10/21 11:00:01 AM,0.1703,-0.4737
38,09/10/21 11:30:01 AM,0.1703,-0.4737
39,09/10/21 12:00:01 PM,0.1703,-0.4737
40,09/10/21 12:30:01 PM,0.1709,-0.4737
41,09/10/21 01:00:01 PM,0.1709,-0.4737
42,09/10/21 01:30:01 PM,0.1709,-0.4737
43,09/10/21 02:00:01 PM,0.1709,-0.4737
44,09/10/21 02:30:01 PM,0.1709,-0.4737
45,09/10/21 03:00:01 PM,0.1709,-0.4737
46,09/10/21 03:30:01 PM,0.1709,-0.4737
47,09/10/21 04:00:01 PM,0.1709,-0.4737
48,09/10/21 04:30:01 PM,0.1709,-0.4737
49,09/10/21 05:00:01 PM,0.1709,-0.4737
50,09/10/21 05:30:01 PM,0.1709,-0.4737
51,09/10/21 06:00:01 PM,0.1703,-0.4737
52,09/10/21 06:30:01 PM,0.1703,-0.4737
53,09/10/21 07:00:01 PM,0.1703,-0.4737
54,09/10/21 07:30:01 PM,0.1699,-0.4737
55,09/10/21 08:00:01 PM,0.1699,-0.4737
56,09/10/21 08:30:01 PM,0.1699,-0.4737
57,09/10/21 09:00:01 PM,0.1699,-0.4737
58,09/10/21 09:30:01 PM,0.1695,-0.4737
59,09/10/21 10:00:01 PM,0.1695,-0.4737
60,09/10/21 10:30:01 PM,0.1695,-0.4737
61,09/10/21 11:00:01 PM,0.1695,-0.4737
62,09/10/21 11:30:01 PM,0.1695,-0.4737
63,09/11/21 12:00:01 AM,0.1695,-0.4737
64,09/11/21 12:30:01 AM,0.1695,-0.4737
65,09/11/21 01:00:01 AM,0.1695,-0.4737
66,09/11/21 01:30:01 AM,0.1695,-0.4737
67,09/11/21 02:00:01 AM,0.1689,-0.4737
68,09/11/21 02:30:01 AM,0.1689,-0.4737
69,09/11/21 03:00:01 AM,0.1689,-0.4737
70,09/11/21 03:30:01 AM,0.1695,-0.4737
71,09/11/21 04:00:01 AM,0.1695,-0.4737
72,09/11/21 04:30:01 AM,0.1695,-0.4737
73,09/11/21 05:00:01 AM,0.1695,-0.4737
74,09/11/21 05:30:01 AM,0.1695,-0.4737
75,09/11/21 06:00:01 AM,0.1695,-0.4737
76,09/11/21 06:30:01 AM,0.1695,-0.4737
77,09/11/21 07:00:01 AM,0.1695,-0.4737
78,09/11/21 07:30:01 AM,0.1695,-0.4737
79,09/11/21 08:00:01 AM,0.1695,-0.4737
80,09/11/21 08:30:01 AM,0.1699,-0.4737
81,09/11/21 09:00:01 AM,0.1699,-0.4737
82,09/11/21 09:30:01 AM,0.1699,-0.4737
83,09/11/21 10:00:01 AM,0.1699,0.2550
84,09/11/21 10:30:01 AM,0.1703,0.2550
85,09/11/21 11:00:01 AM,0.1703,0.2550
86,09/11/21 11:30:01 AM,0.1709,0.2550
87,09/11/21 12:00:01 PM,0.1709,0.2550
88,09/11/21 12:30:01 PM,0.1714,0.2550
89,09/11/21 01:00:01 PM,0.1714,0.2550
90,09/11/21 01:30:01 PM,0.1718,0.2553
91,09/11/21 02:00:01 PM,0.1718,0.2553
92,09/11/21 02:30:01 PM,0.1718,0.2553
93,09/11/21 03:00:01 PM,0.1718,0.2553
94,09/11/21 03:30:01 PM,0.1718,0.2553
95,09/11/21 04:00:01 PM,0.1718,0.2550
96,09/11/21 04:30:01 PM,0.1718,0.2550
97,09/11/21 05:00:01 PM,0.1718,0.2553
98,09/11/21 05:30:01 PM,0.1718,0.2550
99,09/11/21 06:00:01 PM,0.1718,0.2550
100,09/11/21 06:30:01 PM,0.1718,0.2550
101,09/11/21 07:00:01 PM,0.1718,0.2550
102,09/11/21 07:30:01 PM,0.1714,0.2550
103,09/11/21 08:00:01 PM,0.1714,0.2550
104,09/11/21 08:30:01 PM,0.1714,0.2550
105,09/11/21 09:00:01 PM,0.1709,0.2546
106,09/11/21 09:30:01 PM,0.1709,0.2550
107,09/11/21 10:00:01 PM,0.1709,0.2546
108,09/11/21 10:30:01 PM,0.1709,0.2546
109,09/11/21 11:00:01 PM,0.1709,0.2550
110,09/11/21 11:30:01 PM,0.1709,0.2550
111,09/12/21 12:00:01 AM,0.1709,0.2550
112,09/12/21 12:30:01 AM,0.1709,0.2550
113,09/12/21 01:00:01 AM,0.1709,0.2546
114,09/12/21 01:30:01 AM,0.1709,0.2546
115,09/12/21 02:00:01 AM,0.1709,0.2550
116,09/12/21 02:30:01 AM,0.1709,0.2546
117,09/12/21 03:00:01 AM,0.1703,0.2546
118,09/12/21 03:30:01 AM,0.1709,0.2546
119,09/12/21 04:00:01 AM,0.1709,0.2546
120,09/12/21 04:30:01 AM,0.1709,0.2546
121,09/12/21 05:00:01 AM,0.1709,0.2546
122,09/12/21 05:30:01 AM,0.1709,0.2546
123,09/12/21 06:00:01 AM,0.1709,0.2546
124,09/12/21 06:30:01 AM,0.1709,0.2546
125,09/12/21 07:00:01 AM,0.1709,0.2546
126,09/12/21 07:30:01 AM,0.1709,0.2546
127,09/12/21 08:00:01 AM,0.1709,0.2546
128,09/12/21 08:30:01 AM,0.1714,0.2550
129,09/12/21 09:00:01 AM,0.1714,0.2550
130,09/12/21 09:30:01 AM,0.1714,0.2550
131,09/12/21 10:00:01 AM,0.1718,0.2550
132,09/12/21 10:30:01 AM,0.1718,0.2550
133,09/12/21 11:00:01 AM,0.1724,0.2550
134,09/12/21 11:30:01 AM,0.1724,0.2550
135,09/12/21 12:00:01 PM,0.1728,0.2550
136,09/12/21 12:30:01 PM,0.1728,0.2550
137,09/12/21 01:00:01 PM,0.1728,0.2550
138,09/12/21 01:30:01 PM,0.1728,0.2550
139,09/12/21 02:00:01 PM,0.1732,0.2550
140,09/12/21 02:30:01 PM,0.1732,0.2550
141,09/12/21 03:00:01 PM,0.1732,0.2550
142,09/12/21 03:30:01 PM,0.1732,0.2550
143,09/12/21 04:00:01 PM,0.1732,0.2550
