"Plot Title: MMSM4"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20175819, LBL: MMSM4 30 cm)","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20683998, LBL: MMSM4 10 cm)","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20684007, LBL: MMSM4 75 cm)"
1,09/09/21 11:00:01 AM,0.1412,0.1434,0.2211
2,09/09/21 11:30:01 AM,0.1412,0.1441,0.2211
3,09/09/21 12:00:01 PM,0.1412,0.1446,0.2211
4,09/09/21 12:30:01 PM,0.1419,0.1446,0.2211
5,09/09/21 01:00:01 PM,0.1412,0.1446,0.2211
6,09/09/21 01:30:01 PM,0.1412,0.1450,0.2211
7,09/09/21 02:00:01 PM,0.1412,0.1450,0.2211
8,09/09/21 02:30:01 PM,0.1412,0.1450,0.2211
9,09/09/21 03:00:01 PM,0.1412,0.1455,0.2211
10,09/09/21 03:30:01 PM,0.1412,0.1455,0.2211
11,09/09/21 04:00:01 PM,0.1412,0.1455,0.2211
12,09/09/21 04:30:01 PM,0.1412,0.1455,0.2211
13,09/09/21 05:00:01 PM,0.1412,0.1455,0.2211
14,09/09/21 05:30:01 PM,0.1412,0.1455,0.2208
15,09/09/21 06:00:01 PM,0.1412,0.1450,0.2208
16,09/09/21 06:30:01 PM,0.1412,0.1450,0.2208
17,09/09/21 07:00:01 PM,0.1412,0.1450,0.2208
18,09/09/21 07:30:01 PM,0.1412,0.1446,0.2208
19,09/09/21 08:00:01 PM,0.1412,0.1446,0.2208
20,09/09/21 08:30:01 PM,0.1412,0.1446,0.2208
21,09/09/21 09:00:01 PM,0.1412,0.1441,0.2208
22,09/09/21 09:30:01 PM,0.1412,0.1441,0.2208
23,09/09/21 10:00:01 PM,0.1412,0.1434,0.2208
24,09/09/21 10:30:01 PM,0.1412,0.1434,0.2208
25,09/09/21 11:00:01 PM,0.1412,0.1434,0.2208
26,09/09/21 11:30:01 PM,0.1412,0.1430,0.2208
27,09/10/21 12:00:01 AM,0.1412,0.1430,0.2208
28,09/10/21 12:30:01 AM,0.1412,0.1430,0.2203
29,09/10/21 01:00:01 AM,0.1412,0.1430,0.2208
30,09/10/21 01:30:01 AM,0.1412,0.1430,0.2208
31,09/10/21 02:00:01 AM,0.1412,0.1430,0.2208
32,09/10/21 02:30:01 AM,0.1412,0.1430,0.2208
33,09/10/21 03:00:01 AM,0.1412,0.1430,0.2208
34,09/10/21 03:30:01 AM,0.1412,0.1430,0.2208
35,09/10/21 04:00:01 AM,0.1412,0.1430,0.2208
36,09/10/21 04:30:01 AM,0.1412,0.1425,0.2203
37,09/10/21 05:00:01 AM,0.1412,0.1425,0.2203
38,09/10/21 05:30:01 AM,0.1412,0.1425,0.2208
39,09/10/21 06:00:01 AM,0.1412,0.1430,0.2208
40,09/10/21 06:30:01 AM,0.1412,0.1430,0.2208
41,09/10/21 07:00:01 AM,0.1412,0.1430,0.2208
42,09/10/21 07:30:01 AM,0.1412,0.1430,0.2203
43,09/10/21 08:00:01 AM,0.1412,0.1430,0.2203
44,09/10/21 08:30:01 AM,0.1412,0.1430,0.2208
45,09/10/21 09:00:01 AM,0.1412,0.1430,0.2208
46,09/10/21 09:30:01 AM,0.1412,0.1430,0.2203
47,09/10/21 10:00:01 AM,0.1419,0.1430,0.2208
48,09/10/21 10:30:01 AM,0.1412,0.1430,0.2208
49,09/10/21 11:00:01 AM,0.1412,0.1430,0.2208
50,09/10/21 11:30:01 AM,0.1412,0.1430,0.2208
51,09/10/21 12:00:01 PM,0.1412,0.1434,0.2208
52,09/10/21 12:30:01 PM,0.1412,0.1434,0.2208
53,09/10/21 01:00:01 PM,0.1412,0.1434,0.2208
54,09/10/21 01:30:01 PM,0.1412,0.1434,0.2208
55,09/10/21 02:00:01 PM,0.1419,0.1434,0.2208
56,09/10/21 02:30:01 PM,0.1419,0.1434,0.2208
57,09/10/21 03:00:01 PM,0.1419,0.1434,0.2208
58,09/10/21 03:30:01 PM,0.1419,0.1434,0.2208
59,09/10/21 04:00:01 PM,0.1419,0.1441,0.2208
60,09/10/21 04:30:01 PM,0.1412,0.1441,0.2208
61,09/10/21 05:00:01 PM,0.1412,0.1441,0.2208
62,09/10/21 05:30:01 PM,0.1412,0.1441,0.2208
63,09/10/21 06:00:01 PM,0.1412,0.1446,0.2208
64,09/10/21 06:30:01 PM,0.1412,0.1441,0.2208
65,09/10/21 07:00:01 PM,0.1412,0.1441,0.2208
66,09/10/21 07:30:01 PM,0.1412,0.1441,0.2208
67,09/10/21 08:00:01 PM,0.1412,0.1434,0.2203
68,09/10/21 08:30:01 PM,0.1412,0.1434,0.2203
69,09/10/21 09:00:01 PM,0.1412,0.1430,0.2203
70,09/10/21 09:30:01 PM,0.1412,0.1430,0.2203
71,09/10/21 10:00:01 PM,0.1412,0.1430,0.2203
72,09/10/21 10:30:01 PM,0.1412,0.1430,0.2203
73,09/10/21 11:00:01 PM,0.1412,0.1430,0.2203
74,09/10/21 11:30:01 PM,0.1412,0.1425,0.2203
75,09/11/21 12:00:01 AM,0.1412,0.1425,0.2203
76,09/11/21 12:30:01 AM,0.1412,0.1425,0.2203
77,09/11/21 01:00:01 AM,0.1412,0.1425,0.2203
78,09/11/21 01:30:01 AM,0.1412,0.1425,0.2203
79,09/11/21 02:00:01 AM,0.1412,0.1425,0.2203
80,09/11/21 02:30:01 AM,0.1412,0.1425,0.2203
81,09/11/21 03:00:01 AM,0.1412,0.1421,0.2203
82,09/11/21 03:30:01 AM,0.1412,0.1421,0.2203
83,09/11/21 04:00:01 AM,0.1412,0.1421,0.2203
84,09/11/21 04:30:01 AM,0.1412,0.1421,0.2203
85,09/11/21 05:00:01 AM,0.1412,0.1421,0.2203
86,09/11/21 05:30:01 AM,0.1412,0.1421,0.2203
87,09/11/21 06:00:01 AM,0.1412,0.1421,0.2203
88,09/11/21 06:30:01 AM,0.1412,0.1421,0.2203
89,09/11/21 07:00:01 AM,0.1412,0.1421,0.2203
90,09/11/21 07:30:01 AM,0.1412,0.1421,0.2203
91,09/11/21 08:00:01 AM,0.1412,0.1421,0.2208
92,09/11/21 08:30:01 AM,0.1412,0.1425,0.2208
93,09/11/21 09:00:01 AM,0.1412,0.1425,0.2208
94,09/11/21 09:30:01 AM,0.1412,0.1425,0.2208
95,09/11/21 10:00:01 AM,0.1412,0.1430,0.2208
96,09/11/21 10:30:01 AM,0.1412,0.1430,0.2208
97,09/11/21 11:00:01 AM,0.1412,0.1434,0.2208
98,09/11/21 11:30:01 AM,0.1412,0.1441,0.2208
99,09/11/21 12:00:01 PM,0.1412,0.1446,0.2208
100,09/11/21 12:30:01 PM,0.1412,0.1446,0.2208
101,09/11/21 01:00:01 PM,0.1412,0.1446,0.2208
102,09/11/21 01:30:01 PM,0.1412,0.1446,0.2208
103,09/11/21 02:00:01 PM,0.1412,0.1450,0.2211
104,09/11/21 02:30:01 PM,0.1412,0.1450,0.2211
105,09/11/21 03:00:01 PM,0.1412,0.1450,0.2211
106,09/11/21 03:30:01 PM,0.1412,0.1455,0.2208
107,09/11/21 04:00:01 PM,0.1412,0.1455,0.2211
108,09/11/21 04:30:01 PM,0.1412,0.1459,0.2211
109,09/11/21 05:00:01 PM,0.1412,0.1459,0.2208
110,09/11/21 05:30:01 PM,0.1412,0.1459,0.2208
111,09/11/21 06:00:01 PM,0.1412,0.1459,0.2208
112,09/11/21 06:30:01 PM,0.1412,0.1459,0.2208
113,09/11/21 07:00:01 PM,0.1405,0.1459,0.2208
114,09/11/21 07:30:01 PM,0.1412,0.1459,0.2208
115,09/11/21 08:00:01 PM,0.1405,0.1455,0.2208
116,09/11/21 08:30:01 PM,0.1405,0.1455,0.2203
