"Plot Title: MMSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 10759123, LBL: MMSM5 1 m)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20175820, LBL: mmsm5 30 cm)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20652825, LBL: MMSM5 10 cm)"
1,09/09/21 11:00:01 AM,0.2208,-0.2336,0.1169
2,09/09/21 11:30:01 AM,0.2208,-0.2430,0.1179
3,09/09/21 12:00:01 PM,0.2211,-0.2379,0.1184
4,09/09/21 12:30:01 PM,0.2208,-0.2445,0.1184
5,09/09/21 01:00:01 PM,0.2208,-0.2401,0.1189
6,09/09/21 01:30:01 PM,0.2208,-0.2430,0.1194
7,09/09/21 02:00:01 PM,0.2211,-0.2510,0.1199
8,09/09/21 02:30:01 PM,0.2208,-0.2452,0.1204
9,09/09/21 03:00:01 PM,0.2208,-0.2430,0.1209
10,09/09/21 03:30:01 PM,0.2208,-0.2401,0.1214
11,09/09/21 04:00:01 PM,0.2203,-0.2503,0.1214
12,09/09/21 04:30:01 PM,0.2208,-0.2445,0.1219
13,09/09/21 05:00:01 PM,0.2208,-0.2452,0.1219
14,09/09/21 05:30:01 PM,0.2208,-0.2438,0.1219
15,09/09/21 06:00:01 PM,0.2203,-0.2416,0.1219
16,09/09/21 06:30:01 PM,0.2203,-0.2387,0.1219
17,09/09/21 07:00:01 PM,0.2203,-0.2314,0.1214
18,09/09/21 07:30:01 PM,0.2203,-0.2438,0.1214
19,09/09/21 08:00:01 PM,0.2203,-0.2329,0.1209
20,09/09/21 08:30:01 PM,0.2203,-0.2350,0.1209
21,09/09/21 09:00:01 PM,0.2203,-0.2343,0.1204
22,09/09/21 09:30:01 PM,0.2203,-0.2423,0.1199
23,09/09/21 10:00:01 PM,0.2203,-0.2321,0.1194
24,09/09/21 10:30:01 PM,0.2198,-0.2350,0.1194
25,09/09/21 11:00:01 PM,0.2198,-0.2379,0.1189
26,09/09/21 11:30:01 PM,0.2203,-0.2408,0.1184
