"Plot Title: MM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759115, LBL: MM1SM 30 cm)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759121, LBL: MM1SM 1 m)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20652823, LBL: MM1SM 10 cm)"
1,07/07/20 11:00:01 AM,0.2546,0.7184,0.2219
2,07/07/20 11:30:01 AM,0.2538,0.7184,0.2216
3,07/07/20 12:00:01 PM,0.2528,0.7184,0.2211
4,07/07/20 12:30:01 PM,0.2520,0.7184,0.2211
5,07/07/20 01:00:01 PM,0.2509,0.7184,0.2211
6,07/07/20 01:30:01 PM,0.2502,0.7184,0.2208
7,07/07/20 02:00:01 PM,0.2498,0.7184,0.2208
8,07/07/20 02:30:01 PM,0.2494,0.7184,0.2203
9,07/07/20 03:00:01 PM,0.2490,0.7184,0.2203
10,07/07/20 03:30:01 PM,0.2487,0.7184,0.2203
11,07/07/20 04:00:01 PM,0.2487,0.7184,0.2203
12,07/07/20 04:30:01 PM,0.2483,0.7184,0.2203
13,07/07/20 05:00:01 PM,0.2479,0.7184,0.2198
14,07/07/20 05:30:01 PM,0.2475,0.7184,0.2203
15,07/07/20 06:00:01 PM,0.2471,0.7184,0.2198
16,07/07/20 06:30:01 PM,0.2468,0.7184,0.2198
17,07/07/20 07:00:01 PM,0.2471,0.7184,0.2203
18,07/07/20 07:30:01 PM,0.2468,0.7184,0.2198
19,07/07/20 08:00:01 PM,0.2468,0.7184,0.2198
20,07/07/20 08:30:01 PM,0.2464,0.7184,0.2198
21,07/07/20 09:00:01 PM,0.2464,0.7184,0.2198
22,07/07/20 09:30:01 PM,0.2464,0.7184,0.2198
23,07/07/20 10:00:01 PM,0.2468,0.7184,0.2198
24,07/07/20 10:30:01 PM,0.2468,0.7184,0.2198
25,07/07/20 11:00:01 PM,0.2468,0.7184,0.2198
26,07/07/20 11:30:01 PM,0.2471,0.7184,0.2195
27,07/08/20 12:00:01 AM,0.2468,0.7184,0.2198
28,07/08/20 12:30:01 AM,0.2471,0.7184,0.2195
29,07/08/20 01:00:01 AM,0.2471,0.7184,0.2198
30,07/08/20 01:30:01 AM,0.2471,0.7184,0.2195
31,07/08/20 02:00:01 AM,0.2471,0.7184,0.2195
32,07/08/20 02:30:01 AM,0.2471,0.7184,0.2195
33,07/08/20 03:00:01 AM,0.2471,0.7184,0.2195
34,07/08/20 03:30:01 AM,0.2471,0.7184,0.2195
35,07/08/20 04:00:01 AM,0.2471,0.7184,0.2195
36,07/08/20 04:30:01 AM,0.2471,0.7184,0.2195
37,07/08/20 05:00:01 AM,0.2475,0.7184,0.2198
38,07/08/20 05:30:01 AM,0.2471,0.7184,0.2198
39,07/08/20 06:00:01 AM,0.2475,0.7184,0.2198
40,07/08/20 06:30:01 AM,0.2475,0.7184,0.2198
41,07/08/20 07:00:01 AM,0.2471,0.7184,0.2198
42,07/08/20 07:30:01 AM,0.2475,0.7184,0.2198
43,07/08/20 08:00:01 AM,0.2479,0.7184,0.2198
44,07/08/20 08:30:01 AM,0.2479,0.7184,0.2198
45,07/08/20 09:00:01 AM,0.2475,0.7184,0.2198
46,07/08/20 09:30:01 AM,0.2479,0.7184,0.2198
47,07/08/20 10:00:01 AM,0.2475,0.7184,0.2203
48,07/08/20 10:30:01 AM,0.2468,0.7184,0.2203
49,07/08/20 11:00:01 AM,0.2460,0.7184,0.2198
50,07/08/20 11:30:01 AM,0.2452,0.7184,0.2198
51,07/08/20 12:00:01 PM,0.2449,0.7184,0.2198
52,07/08/20 12:30:01 PM,0.2441,0.7184,0.2195
53,07/08/20 01:00:01 PM,0.2434,0.7184,0.2190
54,07/08/20 01:30:01 PM,0.2425,0.7184,0.2190
55,07/08/20 02:00:01 PM,0.2421,0.7184,0.2190
56,07/08/20 02:30:01 PM,0.2414,0.7184,0.2190
57,07/08/20 03:00:01 PM,0.2410,0.7184,0.2190
58,07/08/20 03:30:01 PM,0.2410,0.7184,0.2185
59,07/08/20 04:00:01 PM,0.2406,0.7184,0.2185
60,07/08/20 04:30:01 PM,0.2399,0.7184,0.2185
61,07/08/20 05:00:01 PM,0.2394,0.7184,0.2185
62,07/08/20 05:30:01 PM,0.2394,0.7184,0.2185
63,07/08/20 06:00:01 PM,0.2390,0.7184,0.2185
64,07/08/20 06:30:01 PM,0.2387,0.7184,0.2182
65,07/08/20 07:00:01 PM,0.2390,0.7184,0.2182
66,07/08/20 07:30:01 PM,0.2390,0.7184,0.2182
67,07/08/20 08:00:01 PM,0.2390,0.7184,0.2182
68,07/08/20 08:30:01 PM,0.2383,0.7184,0.2182
69,07/08/20 09:00:01 PM,0.2387,0.7184,0.2185
70,07/08/20 09:30:01 PM,0.2387,0.7184,0.2182
