"Plot Title: MM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759115, LBL: MM1SM 30 cm)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759121, LBL: MM1SM 1 m)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20652823, LBL: MM1SM 10 cm)"
1,07/22/19 10:30:01 AM,0.3211,0.3775,0.1843
2,07/22/19 11:00:01 AM,0.3211,0.3775,0.1849
3,07/22/19 11:30:01 AM,0.3211,0.3769,0.1849
4,07/22/19 12:00:01 PM,0.3211,0.3775,0.1853
5,07/22/19 12:30:01 PM,0.3211,0.3769,0.1859
6,07/22/19 01:00:01 PM,0.3207,0.3775,0.1862
7,07/22/19 01:30:01 PM,0.3207,0.3775,0.1866
8,07/22/19 02:00:01 PM,0.3207,0.3769,0.1872
9,07/22/19 02:30:01 PM,0.3207,0.3769,0.1881
10,07/22/19 03:00:01 PM,0.3207,0.3762,0.1885
11,07/22/19 03:30:01 PM,0.3207,0.3762,0.1885
12,07/22/19 04:00:01 PM,0.3207,0.3762,0.1891
13,07/22/19 04:30:01 PM,0.3207,0.3762,0.1891
14,07/22/19 05:00:01 PM,0.3204,0.3758,0.1891
15,07/22/19 05:30:01 PM,0.3207,0.3762,0.1891
16,07/22/19 06:00:01 PM,0.3207,0.3758,0.1891
17,07/22/19 06:30:01 PM,0.3207,0.3758,0.1885
18,07/22/19 07:00:01 PM,0.3204,0.3758,0.1891
19,07/22/19 07:30:01 PM,0.3207,0.3758,0.1885
20,07/22/19 08:00:01 PM,0.3207,0.3758,0.1885
21,07/22/19 08:30:01 PM,0.3204,0.3751,0.1885
22,07/22/19 09:00:01 PM,0.3204,0.3758,0.1885
23,07/22/19 09:30:01 PM,0.3204,0.3751,0.1881
24,07/22/19 10:00:01 PM,0.3204,0.3758,0.1881
25,07/22/19 10:30:01 PM,0.3204,0.3751,0.1876
26,07/22/19 11:00:01 PM,0.3204,0.3751,0.1872
27,07/22/19 11:30:01 PM,0.3204,0.3751,0.1872
28,07/23/19 12:00:01 AM,0.3199,0.3751,0.1872
29,07/23/19 12:30:01 AM,0.3204,0.3746,0.1866
30,07/23/19 01:00:01 AM,0.3199,0.3751,0.1862
31,07/23/19 01:30:01 AM,0.3204,0.3751,0.1862
32,07/23/19 02:00:01 AM,0.3199,0.3751,0.1862
