"Plot Title: MM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759115, LBL: MM1SM 30 cm)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759121, LBL: MM1SM 1 m)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20652823, LBL: MM1SM 10 cm)"
1,04/25/20 05:00:01 PM,0.5091,0.7184,0.3600
2,04/25/20 05:30:01 PM,0.5081,0.7184,0.3600
3,04/25/20 06:00:01 PM,0.5091,0.7184,0.3594
4,04/25/20 06:30:01 PM,0.5081,0.7184,0.3594
5,04/25/20 07:00:01 PM,0.5091,0.7184,0.3594
6,04/25/20 07:30:01 PM,0.5091,0.7184,0.3594
7,04/25/20 08:00:01 PM,0.5081,0.7184,0.3594
8,04/25/20 08:30:01 PM,0.5074,0.7184,0.3594
9,04/25/20 09:00:01 PM,0.5074,0.7184,0.3594
10,04/25/20 09:30:01 PM,0.5074,0.7184,0.3594
11,04/25/20 10:00:01 PM,0.5074,0.7184,0.3594
12,04/25/20 10:30:01 PM,0.5074,0.7184,0.3590
13,04/25/20 11:00:01 PM,0.5074,0.7184,0.3590
14,04/25/20 11:30:01 PM,0.5074,0.7184,0.3590
15,04/26/20 12:00:01 AM,0.5074,0.7184,0.3590
16,04/26/20 12:30:01 AM,0.5066,0.7184,0.3590
17,04/26/20 01:00:01 AM,0.5074,0.7184,0.3590
18,04/26/20 01:30:01 AM,0.5081,0.7184,0.3590
19,04/26/20 02:00:01 AM,0.5081,0.7184,0.3584
20,04/26/20 02:30:01 AM,0.5081,0.7184,0.3590
21,04/26/20 03:00:01 AM,0.5081,0.7184,0.3590
22,04/26/20 03:30:01 AM,0.5081,0.7184,0.3590
23,04/26/20 04:00:01 AM,0.5081,0.7184,0.3594
24,04/26/20 04:30:01 AM,0.5074,0.7184,0.3594
25,04/26/20 05:00:01 AM,0.5081,0.7184,0.3594
26,04/26/20 05:30:01 AM,0.5074,0.7184,0.3594
27,04/26/20 06:00:01 AM,0.5081,0.7184,0.3594
28,04/26/20 06:30:01 AM,0.5081,0.7184,0.3600
29,04/26/20 07:00:01 AM,0.5081,0.7184,0.3600
30,04/26/20 07:30:01 AM,0.5081,0.7184,0.3600
31,04/26/20 08:00:01 AM,0.5081,0.7184,0.3605
32,04/26/20 08:30:01 AM,0.5091,0.7184,0.3605
33,04/26/20 09:00:01 AM,0.5081,0.7184,0.3605
34,04/26/20 09:30:01 AM,0.5091,0.7184,0.3605
35,04/26/20 10:00:01 AM,0.5091,0.7184,0.3605
36,04/26/20 10:30:01 AM,0.5091,0.7184,0.3605
37,04/26/20 11:00:01 AM,0.5091,0.7184,0.3611
38,04/26/20 11:30:01 AM,0.5081,0.7184,0.3611
39,04/26/20 12:00:01 PM,0.5091,0.7184,0.3600
40,04/26/20 12:30:01 PM,0.5081,0.7184,0.3600
41,04/26/20 01:00:01 PM,0.5091,0.7184,0.3600
42,04/26/20 01:30:01 PM,0.5081,0.7184,0.3600
43,04/26/20 02:00:01 PM,0.5081,0.7184,0.3594
44,04/26/20 02:30:01 PM,0.5074,0.7184,0.3584
45,04/26/20 03:00:01 PM,0.5081,0.7184,0.3584
46,04/26/20 03:30:01 PM,0.5081,0.7184,0.3578
47,04/26/20 04:00:01 PM,0.5081,0.7184,0.3573
48,04/26/20 04:30:01 PM,0.5074,0.7184,0.3573
49,04/26/20 05:00:01 PM,0.5081,0.7184,0.3573
50,04/26/20 05:30:01 PM,0.5074,0.7184,0.3573
51,04/26/20 06:00:01 PM,0.5074,0.7184,0.3568
52,04/26/20 06:30:01 PM,0.5074,0.7184,0.3568
53,04/26/20 07:00:01 PM,0.5059,0.7184,0.3568
54,04/26/20 07:30:01 PM,0.5066,0.7184,0.3563
55,04/26/20 08:00:01 PM,0.5066,0.7184,0.3563
56,04/26/20 08:30:01 PM,0.5066,0.7184,0.3563
57,04/26/20 09:00:01 PM,0.5059,0.7184,0.3563
58,04/26/20 09:30:01 PM,0.5059,0.7184,0.3563
59,04/26/20 10:00:01 PM,0.5059,0.7184,0.3557
60,04/26/20 10:30:01 PM,0.5059,0.7184,0.3557
61,04/26/20 11:00:01 PM,0.5051,0.7184,0.3557
62,04/26/20 11:30:01 PM,0.5059,0.7184,0.3557
63,04/27/20 12:00:01 AM,0.5059,0.7184,0.3557
64,04/27/20 12:30:01 AM,0.5059,0.7184,0.3553
65,04/27/20 01:00:01 AM,0.5059,0.7184,0.3557
66,04/27/20 01:30:01 AM,0.5059,0.7184,0.3557
67,04/27/20 02:00:01 AM,0.5051,0.7184,0.3563
68,04/27/20 02:30:01 AM,0.5051,0.7184,0.3563
69,04/27/20 03:00:01 AM,0.5066,0.7184,0.3563
