"Plot Title: MMSM4"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20175819, LBL: MMSM4 30 cm)","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20683998, LBL: MMSM4 10 cm)","Water Content, m³/m³ (LGR S/N: 20446555, SEN S/N: 20684007, LBL: MMSM4 75 cm)"
1,12/10/19 11:30:01 AM,0.2690,0.3066,0.3011
2,12/10/19 12:00:01 PM,0.2690,0.3066,0.3011
3,12/10/19 12:30:01 PM,0.2683,0.3066,0.3011
4,12/10/19 01:00:01 PM,0.2683,0.3066,0.3011
5,12/10/19 01:30:01 PM,0.2683,0.3066,0.3011
6,12/10/19 02:00:01 PM,0.2683,0.3066,0.3011
7,12/10/19 02:30:01 PM,0.2676,0.3066,0.3011
8,12/10/19 03:00:01 PM,0.2676,0.3066,0.3011
9,12/10/19 03:30:01 PM,0.2676,0.3066,0.3011
10,12/10/19 04:00:01 PM,0.2676,0.3066,0.3008
11,12/10/19 04:30:01 PM,0.2668,0.3066,0.3008
12,12/10/19 05:00:01 PM,0.2668,0.3066,0.3008
13,12/10/19 05:30:01 PM,0.2668,0.3066,0.3008
14,12/10/19 06:00:01 PM,0.2668,0.3066,0.3008
15,12/10/19 06:30:01 PM,0.2668,0.3066,0.3008
16,12/10/19 07:00:01 PM,0.2661,0.3066,0.3008
17,12/10/19 07:30:01 PM,0.2661,0.3066,0.3008
18,12/10/19 08:00:01 PM,0.2661,0.3066,0.3008
19,12/10/19 08:30:01 PM,0.2661,0.3066,0.3008
20,12/10/19 09:00:01 PM,0.2661,0.3066,0.3008
21,12/10/19 09:30:01 PM,0.2661,0.3066,0.3005
22,12/10/19 10:00:01 PM,0.2661,0.3069,0.3005
23,12/10/19 10:30:01 PM,0.2661,0.3069,0.3005
24,12/10/19 11:00:01 PM,0.2661,0.3069,0.3008
25,12/10/19 11:30:01 PM,0.2661,0.3069,0.3008
26,12/11/19 12:00:01 AM,0.2661,0.3069,0.3005
27,12/11/19 12:30:01 AM,0.2661,0.3072,0.3005
28,12/11/19 01:00:01 AM,0.2661,0.3072,0.3005
29,12/11/19 01:30:01 AM,0.2661,0.3072,0.3005
30,12/11/19 02:00:01 AM,0.2661,0.3072,0.3005
31,12/11/19 02:30:01 AM,0.2661,0.3072,0.3008
32,12/11/19 03:00:01 AM,0.2668,0.3072,0.3005
33,12/11/19 03:30:01 AM,0.2668,0.3072,0.3005
34,12/11/19 04:00:01 AM,0.2676,0.3077,0.3008
35,12/11/19 04:30:01 AM,0.2676,0.3077,0.3005
36,12/11/19 05:00:01 AM,0.2676,0.3077,0.3005
37,12/11/19 05:30:01 AM,0.2676,0.3077,0.3005
38,12/11/19 06:00:01 AM,0.2683,0.3077,0.3005
39,12/11/19 06:30:01 AM,0.2683,0.3077,0.3005
40,12/11/19 07:00:01 AM,0.2683,0.3077,0.3005
41,12/11/19 07:30:01 AM,0.2683,0.3077,0.3005
42,12/11/19 08:00:01 AM,0.2683,0.3077,0.3005
43,12/11/19 08:30:01 AM,0.2690,0.3077,0.3005
44,12/11/19 09:00:01 AM,0.2690,0.3077,0.3005
45,12/11/19 09:30:01 AM,0.2683,0.3077,0.3005
46,12/11/19 10:00:01 AM,0.2690,0.3077,0.3005
47,12/11/19 10:30:01 AM,0.2690,0.3077,0.3005
48,12/11/19 11:00:01 AM,0.2690,0.3077,0.3005
49,12/11/19 11:30:01 AM,0.2683,0.3077,0.3001
50,12/11/19 12:00:01 PM,0.2690,0.3077,0.3001
51,12/11/19 12:30:01 PM,0.2683,0.3077,0.3001
52,12/11/19 01:00:01 PM,0.2690,0.3077,0.3001
53,12/11/19 01:30:01 PM,0.2690,0.3080,0.3001
54,12/11/19 02:00:01 PM,0.2690,0.3080,0.3001
55,12/11/19 02:30:01 PM,0.2690,0.3084,0.3001
56,12/11/19 03:00:01 PM,0.2698,0.3084,0.3001
57,12/11/19 03:30:01 PM,0.2705,0.3087,0.3001
58,12/11/19 04:00:01 PM,0.2719,0.3092,0.3001
59,12/11/19 04:30:01 PM,0.2741,0.3098,0.2997
60,12/11/19 05:00:01 PM,0.2756,0.3106,0.2997
61,12/11/19 05:30:01 PM,0.2770,0.3113,0.3001
62,12/11/19 06:00:01 PM,0.2777,0.3121,0.3001
63,12/11/19 06:30:01 PM,0.2792,0.3133,0.3001
64,12/11/19 07:00:01 PM,0.2799,0.3144,0.3001
65,12/11/19 07:30:01 PM,0.2814,0.3156,0.3001
66,12/11/19 08:00:01 PM,0.2828,0.3171,0.3005
67,12/11/19 08:30:01 PM,0.2836,0.3183,0.3005
68,12/11/19 09:00:01 PM,0.2850,0.3195,0.3008
69,12/11/19 09:30:01 PM,0.2857,0.3204,0.3008
70,12/11/19 10:00:01 PM,0.2857,0.3207,0.3011
71,12/11/19 10:30:01 PM,0.2857,0.3207,0.3015
72,12/11/19 11:00:01 PM,0.2857,0.3211,0.3015
73,12/11/19 11:30:01 PM,0.2857,0.3211,0.3019
74,12/12/19 12:00:01 AM,0.2857,0.3216,0.3022
75,12/12/19 12:30:01 AM,0.2857,0.3219,0.3026
76,12/12/19 01:00:01 AM,0.2857,0.3219,0.3026
77,12/12/19 01:30:01 AM,0.2857,0.3219,0.3029
78,12/12/19 02:00:01 AM,0.2857,0.3219,0.3033
79,12/12/19 02:30:01 AM,0.2857,0.3219,0.3033
80,12/12/19 03:00:01 AM,0.2857,0.3216,0.3037
81,12/12/19 03:30:01 AM,0.2850,0.3211,0.3040
82,12/12/19 04:00:01 AM,0.2850,0.3211,0.3043
83,12/12/19 04:30:01 AM,0.2843,0.3207,0.3043
84,12/12/19 05:00:01 AM,0.2843,0.3204,0.3043
85,12/12/19 05:30:01 AM,0.2843,0.3199,0.3048
86,12/12/19 06:00:01 AM,0.2836,0.3199,0.3048
87,12/12/19 06:30:01 AM,0.2828,0.3195,0.3048
88,12/12/19 07:00:01 AM,0.2828,0.3192,0.3048
89,12/12/19 07:30:01 AM,0.2821,0.3192,0.3051
90,12/12/19 08:00:01 AM,0.2821,0.3187,0.3048
91,12/12/19 08:30:01 AM,0.2814,0.3187,0.3051
92,12/12/19 09:00:01 AM,0.2814,0.3183,0.3051
93,12/12/19 09:30:01 AM,0.2806,0.3183,0.3051
94,12/12/19 10:00:01 AM,0.2806,0.3178,0.3048
95,12/12/19 10:30:01 AM,0.2806,0.3178,0.3048
96,12/12/19 11:00:01 AM,0.2799,0.3178,0.3048
97,12/12/19 11:30:01 AM,0.2799,0.3178,0.3048
98,12/12/19 12:00:01 PM,0.2792,0.3178,0.3048
99,12/12/19 12:30:01 PM,0.2792,0.3178,0.3048
100,12/12/19 01:00:01 PM,0.2792,0.3178,0.3048
101,12/12/19 01:30:01 PM,0.2792,0.3178,0.3048
102,12/12/19 02:00:01 PM,0.2792,0.3183,0.3048
103,12/12/19 02:30:01 PM,0.2792,0.3183,0.3048
104,12/12/19 03:00:01 PM,0.2792,0.3178,0.3048
105,12/12/19 03:30:01 PM,0.2792,0.3183,0.3048
