"Plot Title: MMSM5"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 10759123, LBL: MMSM5 1 m)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20456141, LBL: MMSM5 30 cm)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20652825, LBL: MMSM5 10 cm)"
1,12/10/19 11:00:01 AM,0.3317,0.3072,0.3084
2,12/10/19 11:30:01 AM,0.3317,0.3072,0.3084
3,12/10/19 12:00:01 PM,0.3317,0.3072,0.3084
4,12/10/19 12:30:01 PM,0.3317,0.3069,0.3084
5,12/10/19 01:00:01 PM,0.3317,0.3069,0.3087
6,12/10/19 01:30:01 PM,0.3312,0.3069,0.3087
7,12/10/19 02:00:01 PM,0.3317,0.3069,0.3092
8,12/10/19 02:30:01 PM,0.3312,0.3069,0.3092
9,12/10/19 03:00:01 PM,0.3312,0.3066,0.3095
10,12/10/19 03:30:01 PM,0.3312,0.3069,0.3098
11,12/10/19 04:00:01 PM,0.3312,0.3069,0.3102
12,12/10/19 04:30:01 PM,0.3308,0.3069,0.3106
13,12/10/19 05:00:01 PM,0.3308,0.3069,0.3106
14,12/10/19 05:30:01 PM,0.3308,0.3069,0.3110
15,12/10/19 06:00:01 PM,0.3308,0.3069,0.3110
16,12/10/19 06:30:01 PM,0.3308,0.3066,0.3110
17,12/10/19 07:00:01 PM,0.3308,0.3066,0.3110
18,12/10/19 07:30:01 PM,0.3308,0.3066,0.3113
19,12/10/19 08:00:01 PM,0.3304,0.3069,0.3113
20,12/10/19 08:30:01 PM,0.3304,0.3066,0.3113
21,12/10/19 09:00:01 PM,0.3304,0.3069,0.3113
22,12/10/19 09:30:01 PM,0.3304,0.3069,0.3113
23,12/10/19 10:00:01 PM,0.3304,0.3069,0.3113
24,12/10/19 10:30:01 PM,0.3299,0.3066,0.3121
25,12/10/19 11:00:01 PM,0.3299,0.3069,0.3128
26,12/10/19 11:30:01 PM,0.3299,0.3069,0.3133
27,12/11/19 12:00:01 AM,0.3299,0.3072,0.3136
28,12/11/19 12:30:01 AM,0.3299,0.3069,0.3144
29,12/11/19 01:00:01 AM,0.3299,0.3072,0.3144
30,12/11/19 01:30:01 AM,0.3299,0.3080,0.3148
31,12/11/19 02:00:01 AM,0.3295,0.3080,0.3148
32,12/11/19 02:30:01 AM,0.3295,0.3080,0.3148
33,12/11/19 03:00:01 AM,0.3295,0.3080,0.3148
34,12/11/19 03:30:01 AM,0.3295,0.3087,0.3148
35,12/11/19 04:00:01 AM,0.3295,0.3087,0.3148
36,12/11/19 04:30:01 AM,0.3295,0.3087,0.3148
37,12/11/19 05:00:01 AM,0.3295,0.3087,0.3148
38,12/11/19 05:30:01 AM,0.3295,0.3092,0.3144
39,12/11/19 06:00:01 AM,0.3290,0.3092,0.3144
40,12/11/19 06:30:01 AM,0.3290,0.3092,0.3144
41,12/11/19 07:00:01 AM,0.3290,0.3092,0.3144
42,12/11/19 07:30:01 AM,0.3290,0.3087,0.3144
43,12/11/19 08:00:01 AM,0.3290,0.3087,0.3144
44,12/11/19 08:30:01 AM,0.3290,0.3092,0.3140
45,12/11/19 09:00:01 AM,0.3290,0.3092,0.3140
46,12/11/19 09:30:01 AM,0.3290,0.3092,0.3140
47,12/11/19 10:00:01 AM,0.3290,0.3092,0.3140
48,12/11/19 10:30:01 AM,0.3290,0.3092,0.3140
49,12/11/19 11:00:01 AM,0.3290,0.3092,0.3140
50,12/11/19 11:30:01 AM,0.3290,0.3092,0.3144
51,12/11/19 12:00:01 PM,0.3290,0.3092,0.3148
52,12/11/19 12:30:01 PM,0.3290,0.3092,0.3156
53,12/11/19 01:00:01 PM,0.3290,0.3092,0.3163
54,12/11/19 01:30:01 PM,0.3290,0.3095,0.3171
55,12/11/19 02:00:01 PM,0.3290,0.3095,0.3192
56,12/11/19 02:30:01 PM,0.3290,0.3113,0.3216
57,12/11/19 03:00:01 PM,0.3290,0.3148,0.3240
58,12/11/19 03:30:01 PM,0.3290,0.3171,0.3261
59,12/11/19 04:00:01 PM,0.3290,0.3171,0.3261
