"Plot Title: MMSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 10759123, LBL: MMSM5 1 m)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20456141, LBL: MMSM5 30 cm)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20652825, LBL: MMSM5 10 cm)"
1,09/04/19 02:00:01 PM,0.2182,0.1807,0.0949
2,09/04/19 02:30:01 PM,0.2185,0.1813,0.0955
3,09/04/19 03:00:01 PM,0.2182,0.1813,0.0961
4,09/04/19 03:30:01 PM,0.2185,0.1813,0.0961
5,09/04/19 04:00:01 PM,0.2185,0.1813,0.0963
6,09/04/19 04:30:01 PM,0.2182,0.1807,0.0963
7,09/04/19 05:00:01 PM,0.2185,0.1807,0.0969
8,09/04/19 05:30:01 PM,0.2182,0.1813,0.0969
9,09/04/19 06:00:01 PM,0.2185,0.1807,0.0969
10,09/04/19 06:30:01 PM,0.2182,0.1813,0.0969
11,09/04/19 07:00:01 PM,0.2182,0.1807,0.0969
12,09/04/19 07:30:01 PM,0.2177,0.1813,0.0963
13,09/04/19 08:00:01 PM,0.2182,0.1813,0.0963
14,09/04/19 08:30:01 PM,0.2177,0.1813,0.0961
15,09/04/19 09:00:01 PM,0.2182,0.1813,0.0955
16,09/04/19 09:30:01 PM,0.2182,0.1813,0.0955
17,09/04/19 10:00:01 PM,0.2182,0.1813,0.0949
18,09/04/19 10:30:01 PM,0.2182,0.1813,0.0949
19,09/04/19 11:00:01 PM,0.2182,0.1813,0.0943
20,09/04/19 11:30:01 PM,0.2182,0.1813,0.0943
21,09/05/19 12:00:01 AM,0.2182,0.1813,0.0937
22,09/05/19 12:30:01 AM,0.2182,0.1813,0.0937
23,09/05/19 01:00:01 AM,0.2182,0.1813,0.0937
24,09/05/19 01:30:01 AM,0.2182,0.1813,0.0932
25,09/05/19 02:00:01 AM,0.2182,0.1813,0.0932
26,09/05/19 02:30:01 AM,0.2182,0.1813,0.0926
27,09/05/19 03:00:01 AM,0.2182,0.1813,0.0926
28,09/05/19 03:30:01 AM,0.2182,0.1813,0.0926
29,09/05/19 04:00:01 AM,0.2182,0.1813,0.0920
30,09/05/19 04:30:01 AM,0.2182,0.1813,0.0920
31,09/05/19 05:00:01 AM,0.2182,0.1813,0.0914
32,09/05/19 05:30:01 AM,0.2182,0.1807,0.0914
33,09/05/19 06:00:01 AM,0.2182,0.1813,0.0914
34,09/05/19 06:30:01 AM,0.2182,0.1813,0.0914
35,09/05/19 07:00:01 AM,0.2182,0.1813,0.0908
36,09/05/19 07:30:01 AM,0.2185,0.1813,0.0908
37,09/05/19 08:00:01 AM,0.2185,0.1813,0.0908
38,09/05/19 08:30:01 AM,0.2185,0.1813,0.0908
39,09/05/19 09:00:01 AM,0.2190,0.1807,0.0908
40,09/05/19 09:30:01 AM,0.2190,0.1813,0.0914
41,09/05/19 10:00:01 AM,0.2190,0.1813,0.0914
42,09/05/19 10:30:01 AM,0.2190,0.1813,0.0920
43,09/05/19 11:00:01 AM,0.2190,0.1813,0.0926
44,09/05/19 11:30:01 AM,0.2185,0.1813,0.0932
45,09/05/19 12:00:01 PM,0.2190,0.1813,0.0937
46,09/05/19 12:30:01 PM,0.2185,0.1813,0.0943
47,09/05/19 01:00:01 PM,0.2185,0.1807,0.0943
