"Plot Title: MM1SM"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759115, LBL: MM1SM 30 cm)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759121, LBL: MM1SM 1 m)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20652823, LBL: MM1SM 10 cm)"
1,11/23/20 08:00:01 AM,0.3051,0.7184,0.2966
2,11/23/20 08:30:01 AM,0.3051,0.7184,0.2966
3,11/23/20 09:00:01 AM,0.3051,0.7184,0.2966
4,11/23/20 09:30:01 AM,0.3051,0.7184,0.2966
5,11/23/20 10:00:01 AM,0.3051,0.7184,0.2966
6,11/23/20 10:30:01 AM,0.3051,0.7184,0.2966
7,11/23/20 11:00:01 AM,0.3051,0.7184,0.2970
8,11/23/20 11:30:01 AM,0.3051,0.7184,0.2973
9,11/23/20 12:00:01 PM,0.3051,0.7184,0.2976
10,11/23/20 12:30:01 PM,0.3051,0.7184,0.2976
11,11/23/20 01:00:01 PM,0.3048,0.7184,0.2976
12,11/23/20 01:30:01 PM,0.3040,0.7184,0.2979
13,11/23/20 02:00:01 PM,0.3040,0.7184,0.2979
14,11/23/20 02:30:01 PM,0.3040,0.7184,0.2984
15,11/23/20 03:00:01 PM,0.3040,0.7184,0.2984
16,11/23/20 03:30:01 PM,0.3040,0.7184,0.2984
17,11/23/20 04:00:01 PM,0.3040,0.7184,0.2984
18,11/23/20 04:30:01 PM,0.3040,0.7184,0.2984
19,11/23/20 05:00:01 PM,0.3040,0.7184,0.2984
20,11/23/20 05:30:01 PM,0.3040,0.7184,0.2984
21,11/23/20 06:00:01 PM,0.3040,0.7184,0.2984
22,11/23/20 06:30:01 PM,0.3040,0.7184,0.2979
23,11/23/20 07:00:01 PM,0.3037,0.7184,0.2979
24,11/23/20 07:30:01 PM,0.3040,0.7184,0.2979
25,11/23/20 08:00:01 PM,0.3040,0.7184,0.2979
26,11/23/20 08:30:01 PM,0.3040,0.7184,0.2976
27,11/23/20 09:00:01 PM,0.3040,0.7184,0.2976
28,11/23/20 09:30:01 PM,0.3040,0.7184,0.2973
29,11/23/20 10:00:01 PM,0.3037,0.7184,0.2973
30,11/23/20 10:30:01 PM,0.3040,0.7184,0.2973
31,11/23/20 11:00:01 PM,0.3040,0.7184,0.2973
32,11/23/20 11:30:01 PM,0.3040,0.7184,0.2970
33,11/24/20 12:00:01 AM,0.3040,0.7184,0.2970
34,11/24/20 12:30:01 AM,0.3037,0.7184,0.2970
35,11/24/20 01:00:01 AM,0.3037,0.7184,0.2966
36,11/24/20 01:30:01 AM,0.3037,0.7184,0.2966
37,11/24/20 02:00:01 AM,0.3037,0.7184,0.2966
38,11/24/20 02:30:01 AM,0.3037,0.7184,0.2966
39,11/24/20 03:00:01 AM,0.3037,0.7184,0.2963
40,11/24/20 03:30:01 AM,0.3037,0.7184,0.2963
41,11/24/20 04:00:01 AM,0.3037,0.7184,0.2963
42,11/24/20 04:30:01 AM,0.3037,0.7184,0.2963
43,11/24/20 05:00:01 AM,0.3037,0.7184,0.2963
