"Plot Title: MMSM3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446554, SEN S/N: 20684000, LBL: MMSM3 100 cm)","Water Content, m³/m³ (LGR S/N: 20446554, SEN S/N: 20684003, LBL: MMSM3 10 cm)","Water Content, m³/m³ (LGR S/N: 20446554, SEN S/N: 20684006, LBL: MMSM3 30 cm)"
1,05/01/21 06:00:01 PM,0.5201,0.3128,0.3952
2,05/01/21 06:30:01 PM,0.5193,0.3125,0.3952
3,05/01/21 07:00:01 PM,0.5193,0.3128,0.3952
4,05/01/21 07:30:01 PM,0.5193,0.3128,0.3934
5,05/01/21 08:00:01 PM,0.5178,0.3133,0.3927
6,05/01/21 08:30:01 PM,0.5178,0.3133,0.3927
7,05/01/21 09:00:01 PM,0.5178,0.3133,0.3920
8,05/01/21 09:30:01 PM,0.5178,0.3136,0.3902
9,05/01/21 10:00:01 PM,0.5178,0.3136,0.3902
10,05/01/21 10:30:01 PM,0.5185,0.3136,0.3895
11,05/01/21 11:00:01 PM,0.5185,0.3136,0.3890
12,05/01/21 11:30:01 PM,0.5185,0.3136,0.3883
13,05/02/21 12:00:01 AM,0.5185,0.3136,0.3883
14,05/02/21 12:30:01 AM,0.5185,0.3140,0.3877
15,05/02/21 01:00:01 AM,0.5185,0.3140,0.3877
16,05/02/21 01:30:01 AM,0.5185,0.3144,0.3877
17,05/02/21 02:00:01 AM,0.5185,0.3144,0.3872
18,05/02/21 02:30:01 AM,0.5185,0.3144,0.3872
19,05/02/21 03:00:01 AM,0.5185,0.3144,0.3865
20,05/02/21 03:30:01 AM,0.5185,0.3144,0.3865
21,05/02/21 04:00:01 AM,0.5185,0.3148,0.3859
22,05/02/21 04:30:01 AM,0.5185,0.3148,0.3847
23,05/02/21 05:00:01 AM,0.5185,0.3151,0.3847
24,05/02/21 05:30:01 AM,0.5185,0.3151,0.3847
25,05/02/21 06:00:01 AM,0.5185,0.3156,0.3840
26,05/02/21 06:30:01 AM,0.5185,0.3156,0.3840
27,05/02/21 07:00:01 AM,0.5185,0.3160,0.3840
28,05/02/21 07:30:01 AM,0.5185,0.3160,0.3840
29,05/02/21 08:00:01 AM,0.5193,0.3160,0.3840
30,05/02/21 08:30:01 AM,0.5185,0.3163,0.3840
31,05/02/21 09:00:01 AM,0.5193,0.3163,0.3840
32,05/02/21 09:30:01 AM,0.5193,0.3160,0.3834
33,05/02/21 10:00:01 AM,0.5193,0.3160,0.3834
34,05/02/21 10:30:01 AM,0.5193,0.3156,0.3834
35,05/02/21 11:00:01 AM,0.5193,0.3156,0.3834
36,05/02/21 11:30:01 AM,0.5193,0.3151,0.3829
37,05/02/21 12:00:01 PM,0.5201,0.3148,0.3829
38,05/02/21 12:30:01 PM,0.5201,0.3144,0.3829
39,05/02/21 01:00:01 PM,0.5193,0.3140,0.3829
40,05/02/21 01:30:01 PM,0.5185,0.3140,0.3829
41,05/02/21 02:00:01 PM,0.5193,0.3128,0.3822
42,05/02/21 02:30:01 PM,0.5201,0.3125,0.3822
43,05/02/21 03:00:01 PM,0.5201,0.3121,0.3822
44,05/02/21 03:30:01 PM,0.5201,0.3118,0.3816
45,05/02/21 04:00:01 PM,0.5201,0.3118,0.3816
46,05/02/21 04:30:01 PM,0.5193,0.3118,0.3816
47,05/02/21 05:00:01 PM,0.5201,0.3113,0.3811
48,05/02/21 05:30:01 PM,0.5201,0.3113,0.3798
49,05/02/21 06:00:01 PM,0.5193,0.3113,0.3804
50,05/02/21 06:30:01 PM,0.5193,0.3113,0.3804
51,05/02/21 07:00:01 PM,0.5201,0.3113,0.3798
52,05/02/21 07:30:01 PM,0.5193,0.3113,0.3793
53,05/02/21 08:00:01 PM,0.5185,0.3113,0.3793
54,05/02/21 08:30:01 PM,0.5185,0.3118,0.3787
55,05/02/21 09:00:01 PM,0.5185,0.3118,0.3787
56,05/02/21 09:30:01 PM,0.5185,0.3118,0.3787
57,05/02/21 10:00:01 PM,0.5185,0.3118,0.3780
58,05/02/21 10:30:01 PM,0.5185,0.3121,0.3780
59,05/02/21 11:00:01 PM,0.5185,0.3121,0.3775
60,05/02/21 11:30:01 PM,0.5185,0.3125,0.3775
61,05/03/21 12:00:01 AM,0.5193,0.3125,0.3775
62,05/03/21 12:30:01 AM,0.5193,0.3128,0.3775
63,05/03/21 01:00:01 AM,0.5193,0.3128,0.3769
64,05/03/21 01:30:01 AM,0.5193,0.3133,0.3769
65,05/03/21 02:00:01 AM,0.5193,0.3136,0.3769
66,05/03/21 02:30:01 AM,0.5185,0.3136,0.3769
67,05/03/21 03:00:01 AM,0.5185,0.3140,0.3762
68,05/03/21 03:30:01 AM,0.5193,0.3140,0.3762
