"Plot Title: MMSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 10759123, LBL: MMSM5 1 m)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20175820, LBL: mmsm5 30 cm)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20652825, LBL: MMSM5 10 cm)"
1,05/01/21 04:30:01 PM,0.4952,-0.1283,0.3638
2,05/01/21 05:00:01 PM,0.4944,-0.1334,0.3638
3,05/01/21 05:30:01 PM,0.4944,-0.1341,0.3638
4,05/01/21 06:00:01 PM,0.4944,-0.1588,0.3638
5,05/01/21 06:30:01 PM,0.4944,-0.1551,0.3638
6,05/01/21 07:00:01 PM,0.4937,-0.1508,0.3643
7,05/01/21 07:30:01 PM,0.4944,-0.1602,0.3638
8,05/01/21 08:00:01 PM,0.4937,-0.1697,0.3643
9,05/01/21 08:30:01 PM,0.4937,-0.1762,0.3643
10,05/01/21 09:00:01 PM,0.4937,-0.1392,0.3643
11,05/01/21 09:30:01 PM,0.4937,-0.1334,0.3643
12,05/01/21 10:00:01 PM,0.4937,-0.0927,0.3638
13,05/01/21 10:30:01 PM,0.4937,-0.0992,0.3643
14,05/01/21 11:00:01 PM,0.4937,-0.1159,0.3643
15,05/01/21 11:30:01 PM,0.4937,-0.1072,0.3643
16,05/02/21 12:00:01 AM,0.4937,-0.0890,0.3643
17,05/02/21 12:30:01 AM,0.4937,-0.0840,0.3643
18,05/02/21 01:00:01 AM,0.4937,-0.0970,0.3643
19,05/02/21 01:30:01 AM,0.4937,-0.1058,0.3638
20,05/02/21 02:00:01 AM,0.4930,-0.1196,0.3638
21,05/02/21 02:30:01 AM,0.4937,-0.1421,0.3643
22,05/02/21 03:00:01 AM,0.4930,-0.1384,0.3638
23,05/02/21 03:30:01 AM,0.4930,-0.1450,0.3638
24,05/02/21 04:00:01 AM,0.4930,-0.1442,0.3638
25,05/02/21 04:30:01 AM,0.4930,-0.1239,0.3638
26,05/02/21 05:00:01 AM,0.4930,-0.1312,0.3638
27,05/02/21 05:30:01 AM,0.4930,0.2814,0.3638
28,05/02/21 06:00:01 AM,0.4930,0.2814,0.3638
29,05/02/21 06:30:01 AM,0.4930,0.2814,0.3638
30,05/02/21 07:00:01 AM,0.4930,0.2814,0.3638
31,05/02/21 07:30:01 AM,0.4937,0.2814,0.3643
32,05/02/21 08:00:01 AM,0.4944,0.2806,0.3643
33,05/02/21 08:30:01 AM,0.4944,0.2814,0.3643
34,05/02/21 09:00:01 AM,0.4944,0.2814,0.3643
35,05/02/21 09:30:01 AM,0.4944,0.2814,0.3632
36,05/02/21 10:00:01 AM,0.4930,0.2806,0.3638
37,05/02/21 10:30:01 AM,0.4937,0.2814,0.3632
38,05/02/21 11:00:01 AM,0.4944,0.2828,0.3632
39,05/02/21 11:30:01 AM,0.4944,0.0395,0.3632
40,05/02/21 12:00:01 PM,0.4944,0.0003,0.3628
41,05/02/21 12:30:01 PM,0.4944,0.0046,0.3628
42,05/02/21 01:00:01 PM,0.4930,0.0134,0.3628
43,05/02/21 01:30:01 PM,0.4944,0.0214,0.3622
44,05/02/21 02:00:01 PM,0.4944,0.0163,0.3622
45,05/02/21 02:30:01 PM,0.4937,0.0301,0.3622
46,05/02/21 03:00:01 PM,0.4944,0.0272,0.3616
47,05/02/21 03:30:01 PM,0.4937,0.0221,0.3616
48,05/02/21 04:00:01 PM,0.4944,-0.0193,0.3611
49,05/02/21 04:30:01 PM,0.4930,-0.0033,0.3611
50,05/02/21 05:00:01 PM,0.4937,0.0243,0.3611
51,05/02/21 05:30:01 PM,0.4930,-0.0157,0.3605
52,05/02/21 06:00:01 PM,0.4930,-0.0251,0.3605
53,05/02/21 06:30:01 PM,0.4930,-0.0382,0.3605
54,05/02/21 07:00:01 PM,0.4930,-0.0491,0.3605
55,05/02/21 07:30:01 PM,0.4930,-0.0121,0.3605
56,05/02/21 08:00:01 PM,0.4930,-0.0527,0.3605
57,05/02/21 08:30:01 PM,0.4930,-0.0200,0.3605
58,05/02/21 09:00:01 PM,0.4930,-0.0658,0.3605
59,05/02/21 09:30:01 PM,0.4930,-0.0658,0.3605
60,05/02/21 10:00:01 PM,0.4930,-0.0869,0.3605
61,05/02/21 10:30:01 PM,0.4930,-0.1116,0.3605
62,05/02/21 11:00:01 PM,0.4930,-0.1341,0.3605
