Date,VWC_30cm_MM1SM,VWC_10cm_MM1SM,VWC_30cm_MMSM3,VWC_30cm_MMSM4,VWC_30cm_MMSM9.2,VWC_10cm_MMSM5,VWC_30cm_MMSM5,VWC_1m_MM1SM,VWC_1m_MMSM5,VWC_10cm_MMSM2,VWC_10cm_MMSM3,VWC_10cm_MMSM4,VWC_30cm_MMSM2,VWC_1m_MMSM3,VWC_75cm_MMSM2,VWC_75cm_MMSM4,WY
2019-04-26,0.507,NA,NA,0.478,0.277,NA,0.482,0.505,0.515,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-03,0.507,NA,NA,0.477,0.278,NA,0.483,0.503,0.515,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-10,0.508,NA,NA,0.475,0.278,NA,0.481,0.507,0.514,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-17,0.507,NA,NA,0.474,0.278,NA,0.478,0.498,0.513,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-24,0.508,NA,NA,0.474,0.278,NA,0.473,0.51,0.512,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-31,0.526,NA,NA,0.472,0.278,NA,0.463,0.516,0.511,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-07,0.567,NA,NA,0.467,0.278,NA,0.451,0.517,0.508,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-14,0.554,NA,NA,0.349,0.278,NA,0.38,0.509,0.505,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-21,NA,NA,NA,0.286,0.278,NA,0.329,0.518,0.5,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-28,NA,NA,NA,0.257,0.278,NA,0.311,NA,0.494,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-05,NA,NA,NA,0.233,0.278,NA,0.299,NA,0.485,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-12,NA,NA,NA,0.195,0.278,NA,0.275,NA,0.401,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-19,0.319,0.187,NA,0.156,0.278,0.124,0.218,0.372,0.345,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-26,0.311,0.179,0.663,0.147,NA,0.122,0.197,0.373,0.326,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-02,0.293,0.167,0.558,0.145,NA,0.113,0.192,NA,0.312,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-09,0.269,0.154,0.447,0.143,NA,0.108,0.19,NA,0.294,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-16,0.24,0.139,0.437,0.143,NA,0.103,0.188,NA,0.252,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-23,0.223,0.126,0.43,0.142,NA,0.099,0.185,NA,0.225,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-30,0.212,0.118,0.374,0.141,NA,0.095,0.182,NA,0.219,NA,NA,NA,NA,NA,NA,NA,2019
2019-09-06,0.204,0.112,0.228,NA,NA,0.092,0.18,NA,0.218,NA,0.17,NA,NA,0.168,NA,NA,2019
2019-09-13,0.203,0.121,0.232,NA,NA,0.188,0.18,NA,0.22,NA,0.197,NA,NA,0.193,NA,NA,2019
2019-09-20,0.205,0.213,0.236,NA,NA,0.273,0.184,NA,0.224,NA,0.275,NA,NA,0.207,NA,NA,2019
2019-09-27,0.207,0.212,0.241,NA,NA,0.261,0.192,NA,0.227,NA,0.263,NA,NA,0.212,NA,NA,2019
2019-10-04,0.209,0.214,0.244,NA,NA,0.257,0.195,NA,0.229,NA,0.258,NA,NA,0.216,NA,NA,2020
2019-10-11,0.21,0.21,0.247,NA,NA,0.249,0.198,NA,0.229,NA,0.253,NA,NA,0.219,NA,NA,2020
2019-10-18,0.211,0.206,0.248,NA,NA,0.243,0.201,NA,0.23,NA,0.248,NA,NA,0.222,NA,NA,2020
2019-10-25,0.213,0.205,0.25,NA,NA,0.239,0.205,NA,0.23,NA,0.244,NA,NA,0.223,NA,NA,2020
