"Plot Title: MMSM3"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20446554, SEN S/N: 20684000, LBL: MMSM3 100 cm)","Water Content, m³/m³ (LGR S/N: 20446554, SEN S/N: 20684003, LBL: MMSM3 10 cm)","Water Content, m³/m³ (LGR S/N: 20446554, SEN S/N: 20684006, LBL: MMSM3 30 cm)"
1,11/23/20 08:30:01 AM,0.2639,0.2997,0.3102
2,11/23/20 09:00:01 AM,0.2639,0.2994,0.3106
3,11/23/20 09:30:01 AM,0.2639,0.2997,0.3102
4,11/23/20 10:00:01 AM,0.2639,0.2994,0.3106
5,11/23/20 10:30:01 AM,0.2639,0.2997,0.3102
6,11/23/20 11:00:01 AM,0.2639,0.2997,0.3106
7,11/23/20 11:30:01 AM,0.2639,0.2997,0.3102
8,11/23/20 12:00:01 PM,0.2642,0.2997,0.3106
9,11/23/20 12:30:01 PM,0.2642,0.2997,0.3106
10,11/23/20 01:00:01 PM,0.2639,0.2997,0.3106
11,11/23/20 01:30:01 PM,0.2642,0.3001,0.3106
12,11/23/20 02:00:01 PM,0.2642,0.3001,0.3106
13,11/23/20 02:30:01 PM,0.2642,0.3001,0.3102
14,11/23/20 03:00:01 PM,0.2642,0.3001,0.3106
15,11/23/20 03:30:01 PM,0.2642,0.3001,0.3102
16,11/23/20 04:00:01 PM,0.2639,0.3001,0.3098
17,11/23/20 04:30:01 PM,0.2635,0.3001,0.3102
18,11/23/20 05:00:01 PM,0.2635,0.2997,0.3098
19,11/23/20 05:30:01 PM,0.2635,0.2997,0.3098
20,11/23/20 06:00:01 PM,0.2635,0.2997,0.3098
21,11/23/20 06:30:01 PM,0.2635,0.2997,0.3098
22,11/23/20 07:00:01 PM,0.2635,0.2997,0.3098
23,11/23/20 07:30:01 PM,0.2635,0.2997,0.3098
24,11/23/20 08:00:01 PM,0.2635,0.2997,0.3098
25,11/23/20 08:30:01 PM,0.2635,0.2994,0.3098
26,11/23/20 09:00:01 PM,0.2635,0.2994,0.3098
27,11/23/20 09:30:01 PM,0.2635,0.2994,0.3095
28,11/23/20 10:00:01 PM,0.2635,0.2997,0.3095
29,11/23/20 10:30:01 PM,0.2635,0.2994,0.3095
30,11/23/20 11:00:01 PM,0.2635,0.2994,0.3098
