"Plot Title: MM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759115, LBL: MM1SM 30 cm)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759121, LBL: MM1SM 1 m)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20652823, LBL: MM1SM 10 cm)"
1,07/10/20 02:00:01 PM,0.2282,0.7184,0.2035
2,07/10/20 02:30:01 PM,0.2274,0.7184,0.2035
3,07/10/20 03:00:01 PM,0.2274,0.7184,0.2029
4,07/10/20 03:30:01 PM,0.2274,0.7184,0.2029
5,07/10/20 04:00:01 PM,0.2274,0.7184,0.2029
6,07/10/20 04:30:01 PM,0.2269,0.7184,0.2029
7,07/10/20 05:00:01 PM,0.2266,0.7184,0.2029
8,07/10/20 05:30:01 PM,0.2266,0.7184,0.2029
9,07/10/20 06:00:01 PM,0.2262,0.7184,0.2029
10,07/10/20 06:30:01 PM,0.2262,0.7184,0.2029
11,07/10/20 07:00:01 PM,0.2262,0.7184,0.2029
12,07/10/20 07:30:01 PM,0.2257,0.7184,0.2026
13,07/10/20 08:00:01 PM,0.2257,0.7184,0.2026
14,07/10/20 08:30:01 PM,0.2254,0.7184,0.2026
15,07/10/20 09:00:01 PM,0.2254,0.7184,0.2020
16,07/10/20 09:30:01 PM,0.2254,0.7184,0.2020
17,07/10/20 10:00:01 PM,0.2257,0.7184,0.2020
18,07/10/20 10:30:01 PM,0.2257,0.7184,0.2020
19,07/10/20 11:00:01 PM,0.2257,0.7184,0.2020
20,07/10/20 11:30:01 PM,0.2257,0.7184,0.2020
21,07/11/20 12:00:01 AM,0.2257,0.7184,0.2020
22,07/11/20 12:30:01 AM,0.2257,0.7184,0.2020
23,07/11/20 01:00:01 AM,0.2257,0.7184,0.2017
24,07/11/20 01:30:01 AM,0.2257,0.7184,0.2017
25,07/11/20 02:00:01 AM,0.2262,0.7184,0.2012
26,07/11/20 02:30:01 AM,0.2262,0.7184,0.2017
27,07/11/20 03:00:01 AM,0.2257,0.7184,0.2012
28,07/11/20 03:30:01 AM,0.2257,0.7184,0.2012
29,07/11/20 04:00:01 AM,0.2257,0.7184,0.2012
30,07/11/20 04:30:01 AM,0.2257,0.7184,0.2017
31,07/11/20 05:00:01 AM,0.2262,0.7184,0.2017
32,07/11/20 05:30:01 AM,0.2262,0.7184,0.2017
33,07/11/20 06:00:01 AM,0.2262,0.7184,0.2020
34,07/11/20 06:30:01 AM,0.2257,0.7184,0.2020
35,07/11/20 07:00:01 AM,0.2262,0.7184,0.2020
36,07/11/20 07:30:01 AM,0.2266,0.7184,0.2020
37,07/11/20 08:00:01 AM,0.2266,0.7184,0.2020
38,07/11/20 08:30:01 AM,0.2266,0.7184,0.2026
39,07/11/20 09:00:01 AM,0.2266,0.7184,0.2026
40,07/11/20 09:30:01 AM,0.2269,0.7184,0.2026
41,07/11/20 10:00:01 AM,0.2266,0.7184,0.2029
42,07/11/20 10:30:01 AM,0.2262,0.7184,0.2026
43,07/11/20 11:00:01 AM,0.2257,0.7184,0.2026
44,07/11/20 11:30:01 AM,0.2249,0.7184,0.2026
45,07/11/20 12:00:01 PM,0.2245,0.7184,0.2026
46,07/11/20 12:30:01 PM,0.2237,0.7184,0.2020
47,07/11/20 01:00:01 PM,0.2232,0.7184,0.2020
48,07/11/20 01:30:01 PM,0.2229,0.7184,0.2020
49,07/11/20 02:00:01 PM,0.2219,0.7184,0.2026
50,07/11/20 02:30:01 PM,0.2216,0.7184,0.2026
51,07/11/20 03:00:01 PM,0.2216,0.7184,0.2026
52,07/11/20 03:30:01 PM,0.2216,0.7184,0.2029
53,07/11/20 04:00:01 PM,0.2219,0.7184,0.2029
54,07/11/20 04:30:01 PM,0.2216,0.7184,0.2026
55,07/11/20 05:00:01 PM,0.2211,0.7184,0.2020
56,07/11/20 05:30:01 PM,0.2208,0.7184,0.2026
57,07/11/20 06:00:01 PM,0.2208,0.7184,0.2026
58,07/11/20 06:30:01 PM,0.2208,0.7184,0.2026
59,07/11/20 07:00:01 PM,0.2208,0.7184,0.2026
60,07/11/20 07:30:01 PM,0.2208,0.7184,0.2026
61,07/11/20 08:00:01 PM,0.2203,0.7184,0.2020
62,07/11/20 08:30:01 PM,0.2203,0.7184,0.2020
63,07/11/20 09:00:01 PM,0.2203,0.7184,0.2017
64,07/11/20 09:30:01 PM,0.2208,0.7184,0.2017
65,07/11/20 10:00:01 PM,0.2208,0.7184,0.2020
66,07/11/20 10:30:01 PM,0.2208,0.7184,0.2017
67,07/11/20 11:00:01 PM,0.2208,0.7184,0.2017
68,07/11/20 11:30:01 PM,0.2208,0.7184,0.2017
69,07/12/20 12:00:01 AM,0.2208,0.7184,0.2017
70,07/12/20 12:30:01 AM,0.2208,0.7184,0.2012
71,07/12/20 01:00:01 AM,0.2208,0.7184,0.2012
72,07/12/20 01:30:01 AM,0.2208,0.7184,0.2008
73,07/12/20 02:00:01 AM,0.2211,0.7184,0.2008
74,07/12/20 02:30:01 AM,0.2208,0.7184,0.2008
75,07/12/20 03:00:01 AM,0.2208,0.7184,0.2008
76,07/12/20 03:30:01 AM,0.2208,0.7184,0.2008
77,07/12/20 04:00:01 AM,0.2208,0.7184,0.2008
78,07/12/20 04:30:01 AM,0.2211,0.7184,0.2008
79,07/12/20 05:00:01 AM,0.2211,0.7184,0.2008
80,07/12/20 05:30:01 AM,0.2211,0.7184,0.2008
81,07/12/20 06:00:01 AM,0.2211,0.7184,0.2012
82,07/12/20 06:30:01 AM,0.2211,0.7184,0.2012
83,07/12/20 07:00:01 AM,0.2211,0.7184,0.2012
84,07/12/20 07:30:01 AM,0.2211,0.7184,0.2012
85,07/12/20 08:00:01 AM,0.2216,0.7184,0.2017
86,07/12/20 08:30:01 AM,0.2211,0.7184,0.2012
87,07/12/20 09:00:01 AM,0.2216,0.7184,0.2017
88,07/12/20 09:30:01 AM,0.2216,0.7184,0.2012
89,07/12/20 10:00:01 AM,0.2216,0.7184,0.2012
90,07/12/20 10:30:01 AM,0.2211,0.7184,0.2017
91,07/12/20 11:00:01 AM,0.2208,0.7184,0.2017
92,07/12/20 11:30:01 AM,0.2203,0.7184,0.2017
93,07/12/20 12:00:01 PM,0.2198,0.7184,0.2012
94,07/12/20 12:30:01 PM,0.2195,0.7184,0.2012
95,07/12/20 01:00:01 PM,0.2185,0.7184,0.2017
96,07/12/20 01:30:01 PM,0.2182,0.7184,0.2017
97,07/12/20 02:00:01 PM,0.2174,0.7184,0.2017
98,07/12/20 02:30:01 PM,0.2177,0.7184,0.2020
99,07/12/20 03:00:01 PM,0.2177,0.7184,0.2020
100,07/12/20 03:30:01 PM,0.2177,0.7184,0.2026
101,07/12/20 04:00:01 PM,0.2177,0.7184,0.2020
102,07/12/20 04:30:01 PM,0.2169,0.7184,0.2020
103,07/12/20 05:00:01 PM,0.2169,0.7184,0.2020
104,07/12/20 05:30:01 PM,0.2164,0.7184,0.2020
105,07/12/20 06:00:01 PM,0.2164,0.7184,0.2017
106,07/12/20 06:30:01 PM,0.2164,0.7184,0.2017
107,07/12/20 07:00:01 PM,0.2164,0.7184,0.2017
108,07/12/20 07:30:01 PM,0.2164,0.7184,0.2017
109,07/12/20 08:00:01 PM,0.2164,0.7184,0.2012
110,07/12/20 08:30:01 PM,0.2161,0.7184,0.2012
111,07/12/20 09:00:01 PM,0.2161,0.7184,0.2012
112,07/12/20 09:30:01 PM,0.2161,0.7184,0.2012
113,07/12/20 10:00:01 PM,0.2161,0.7184,0.2012
114,07/12/20 10:30:01 PM,0.2164,0.7184,0.2008
115,07/12/20 11:00:01 PM,0.2164,0.7184,0.2012
116,07/12/20 11:30:01 PM,0.2164,0.7184,0.2008
117,07/13/20 12:00:01 AM,0.2164,0.7184,0.2008
118,07/13/20 12:30:01 AM,0.2164,0.7184,0.2003
119,07/13/20 01:00:01 AM,0.2164,0.7184,0.2003
120,07/13/20 01:30:01 AM,0.2169,0.7184,0.2003
121,07/13/20 02:00:01 AM,0.2169,0.7184,0.2008
122,07/13/20 02:30:01 AM,0.2164,0.7184,0.2003
