Date,VWC_30cm_MM1SM,VWC_10cm_MM1SM,VWC_30cm_MMSM3,VWC_30cm_MMSM4,VWC_30cm_MMSM9.2,VWC_10cm_MMSM5,VWC_30cm_MMSM5,VWC_1m_MM1SM,VWC_1m_MMSM5,VWC_10cm_MMSM2,VWC_10cm_MMSM3,VWC_10cm_MMSM4,VWC_30cm_MMSM2,VWC_1m_MMSM3,VWC_75cm_MMSM2,VWC_75cm_MMSM4
2019-04-25 11:00:00,0.5066,NA,NA,0.4782,NA,NA,0.4795,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 11:30:00,0.5066,NA,NA,0.4782,NA,NA,0.481,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 12:00:00,0.5066,NA,NA,0.4782,0.26165,NA,0.481,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 12:30:00,0.5074,NA,NA,0.4782,0.26118,NA,0.481,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 13:00:00,0.5066,NA,NA,0.4782,0.26118,NA,0.481,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 13:30:00,0.5074,NA,NA,0.4782,0.26013,NA,0.4817,0.5145,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 14:00:00,0.5074,NA,NA,0.4775,0.26004,NA,0.4802,0.5145,0.5145,NA,NA,NA,NA,NA,NA,NA
2019-04-25 14:30:00,0.5074,NA,NA,0.4782,0.25966,NA,0.481,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 15:00:00,0.5074,NA,NA,0.4782,0.25937,NA,0.4802,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 15:30:00,0.5074,NA,NA,0.4782,0.25947,NA,0.481,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 16:00:00,0.5066,NA,NA,0.4782,0.25966,NA,0.4802,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 16:30:00,0.5066,NA,NA,0.4782,0.26013,NA,0.481,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 17:00:00,0.5066,NA,NA,0.4782,0.2607,NA,0.481,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 17:30:00,0.5074,NA,NA,0.4782,0.26146,NA,0.4802,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 18:00:00,0.5074,NA,NA,0.4782,0.26222,NA,0.4802,0.5153,0.516,NA,NA,NA,NA,NA,NA,NA
2019-04-25 18:30:00,0.5074,NA,NA,0.4775,0.26318,NA,0.481,0.5153,0.5145,NA,NA,NA,NA,NA,NA,NA
2019-04-25 19:00:00,0.5066,NA,NA,0.4782,0.26508,NA,0.481,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 19:30:00,0.5066,NA,NA,0.4782,0.26727,NA,0.481,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 20:00:00,0.5066,NA,NA,0.4782,0.26936,NA,0.481,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 20:30:00,0.5066,NA,NA,0.4782,0.27098,NA,0.481,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 21:00:00,0.5066,NA,NA,0.4782,0.27241,NA,0.481,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 21:30:00,0.5066,NA,NA,0.4782,0.27364,NA,0.4802,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 22:00:00,0.5066,NA,NA,0.4782,0.27469,NA,0.4802,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 22:30:00,0.5066,NA,NA,0.4782,0.27564,NA,0.481,0.516,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 23:00:00,0.5066,NA,NA,0.4782,0.2765,NA,0.481,0.516,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-25 23:30:00,0.5066,NA,NA,0.4782,0.27735,NA,0.481,0.5153,0.5153,NA,NA,NA,NA,NA,NA,NA
2019-04-26 00:00:00,0.5066,NA,NA,0.4782,0.27792,NA,0.481,0.516,0.5153,NA,NA,NA,NA,NA,NA,NA
