"Plot Title: MM1SM"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759115, LBL: MM1SM 30 cm)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 10759121, LBL: MM1SM 1 m)","Water Content, m³/m³ (LGR S/N: 20645949, SEN S/N: 20652823, LBL: MM1SM 10 cm)"
1,07/05/21 07:30:01 PM,0.1939,0.7184,0.1932
2,07/05/21 08:00:01 PM,0.1939,0.7184,0.1932
3,07/05/21 08:30:01 PM,0.1945,0.7184,0.1932
4,07/05/21 09:00:01 PM,0.1935,0.7184,0.1926
5,07/05/21 09:30:01 PM,0.1935,0.7184,0.1926
6,07/05/21 10:00:01 PM,0.1935,0.7184,0.1923
7,07/05/21 10:30:01 PM,0.1935,0.7184,0.1923
8,07/05/21 11:00:01 PM,0.1935,0.7184,0.1923
9,07/05/21 11:30:01 PM,0.1935,0.7184,0.1917
10,07/06/21 12:00:01 AM,0.1935,0.7184,0.1917
11,07/06/21 12:30:01 AM,0.1935,0.7184,0.1917
12,07/06/21 01:00:01 AM,0.1935,0.7184,0.1913
13,07/06/21 01:30:01 AM,0.1935,0.7184,0.1917
14,07/06/21 02:00:01 AM,0.1935,0.7184,0.1913
15,07/06/21 02:30:01 AM,0.1935,0.7184,0.1913
16,07/06/21 03:00:01 AM,0.1935,0.7184,0.1913
17,07/06/21 03:30:01 AM,0.1935,0.7184,0.1908
18,07/06/21 04:00:01 AM,0.1935,0.7184,0.1908
19,07/06/21 04:30:01 AM,0.1935,0.7184,0.1908
20,07/06/21 05:00:01 AM,0.1935,0.7184,0.1908
21,07/06/21 05:30:01 AM,0.1935,0.7184,0.1904
22,07/06/21 06:00:01 AM,0.1935,0.7184,0.1904
23,07/06/21 06:30:01 AM,0.1935,0.7184,0.1904
24,07/06/21 07:00:01 AM,0.1935,0.7184,0.1904
25,07/06/21 07:30:01 AM,0.1935,0.7184,0.1904
26,07/06/21 08:00:01 AM,0.1939,0.7184,0.1904
27,07/06/21 08:30:01 AM,0.1939,0.7184,0.1904
28,07/06/21 09:00:01 AM,0.1939,0.7184,0.1908
29,07/06/21 09:30:01 AM,0.1939,0.7184,0.1904
30,07/06/21 10:00:01 AM,0.1945,0.7184,0.1904
31,07/06/21 10:30:01 AM,0.1939,0.7184,0.1908
32,07/06/21 11:00:01 AM,0.1939,0.7184,0.1908
33,07/06/21 11:30:01 AM,0.1939,0.7184,0.1908
34,07/06/21 12:00:01 PM,0.1939,0.7184,0.1908
35,07/06/21 12:30:01 PM,0.1939,0.7184,0.1913
36,07/06/21 01:00:01 PM,0.1939,0.7184,0.1917
37,07/06/21 01:30:01 PM,0.1939,0.7184,0.1917
38,07/06/21 02:00:01 PM,0.1935,0.7184,0.1917
39,07/06/21 02:30:01 PM,0.1935,0.7184,0.1923
40,07/06/21 03:00:01 PM,0.1935,0.7184,0.1917
41,07/06/21 03:30:01 PM,0.1935,0.7184,0.1923
42,07/06/21 04:00:01 PM,0.1935,0.7184,0.1917
43,07/06/21 04:30:01 PM,0.1935,0.7184,0.1923
44,07/06/21 05:00:01 PM,0.1935,0.7184,0.1917
45,07/06/21 05:30:01 PM,0.1935,0.7184,0.1917
46,07/06/21 06:00:01 PM,0.1935,0.7184,0.1923
47,07/06/21 06:30:01 PM,0.1935,0.7184,0.1917
48,07/06/21 07:00:01 PM,0.1935,0.7184,0.1917
49,07/06/21 07:30:01 PM,0.1932,0.7184,0.1917
50,07/06/21 08:00:01 PM,0.1932,0.7184,0.1917
51,07/06/21 08:30:01 PM,0.1932,0.7184,0.1913
52,07/06/21 09:00:01 PM,0.1932,0.7184,0.1913
53,07/06/21 09:30:01 PM,0.1932,0.7184,0.1908
54,07/06/21 10:00:01 PM,0.1932,0.7184,0.1908
55,07/06/21 10:30:01 PM,0.1932,0.7184,0.1908
56,07/06/21 11:00:01 PM,0.1932,0.7184,0.1904
57,07/06/21 11:30:01 PM,0.1932,0.7184,0.1904
58,07/07/21 12:00:01 AM,0.1932,0.7184,0.1904
