"Plot Title: MMSM2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418943, SEN S/N: 20683999, LBL: MMSM2 10 cm)","Water Content, m³/m³ (LGR S/N: 20418943, SEN S/N: 20684001, LBL: MMSM2 30 cm)","Water Content, m³/m³ (LGR S/N: 20418943, SEN S/N: 20684008, LBL: MMSM2 75 cm)"
1,07/06/21 10:00:01 AM,0.1058,0.2182,0.2607
2,07/06/21 10:30:01 AM,0.1064,0.2182,0.2604
3,07/06/21 11:00:01 AM,0.1069,0.2185,0.2604
4,07/06/21 11:30:01 AM,0.1075,0.2185,0.2604
5,07/06/21 12:00:01 PM,0.1075,0.2182,0.2600
6,07/06/21 12:30:01 PM,0.1080,0.2182,0.2604
7,07/06/21 01:00:01 PM,0.1085,0.2182,0.2600
8,07/06/21 01:30:01 PM,0.1091,0.2182,0.2600
9,07/06/21 02:00:01 PM,0.1101,0.2177,0.2596
10,07/06/21 02:30:01 PM,0.1101,0.2174,0.2596
11,07/06/21 03:00:01 PM,0.1107,0.2177,0.2600
12,07/06/21 03:30:01 PM,0.1107,0.2177,0.2592
13,07/06/21 04:00:01 PM,0.1107,0.2174,0.2592
14,07/06/21 04:30:01 PM,0.1112,0.2174,0.2596
15,07/06/21 05:00:01 PM,0.1107,0.2177,0.2596
16,07/06/21 05:30:01 PM,0.1107,0.2182,0.2596
17,07/06/21 06:00:01 PM,0.1101,0.2182,0.2596
18,07/06/21 06:30:01 PM,0.1101,0.2182,0.2592
19,07/06/21 07:00:01 PM,0.1096,0.2177,0.2592
20,07/06/21 07:30:01 PM,0.1096,0.2182,0.2592
21,07/06/21 08:00:01 PM,0.1085,0.2182,0.2592
22,07/06/21 08:30:01 PM,0.1075,0.2177,0.2589
23,07/06/21 09:00:01 PM,0.1069,0.2182,0.2589
24,07/06/21 09:30:01 PM,0.1064,0.2182,0.2592
25,07/06/21 10:00:01 PM,0.1053,0.2182,0.2592
26,07/06/21 10:30:01 PM,0.1053,0.2182,0.2592
27,07/06/21 11:00:01 PM,0.1053,0.2182,0.2592
28,07/06/21 11:30:01 PM,0.1047,0.2177,0.2596
29,07/07/21 12:00:01 AM,0.1042,0.2177,0.2592
30,07/07/21 12:30:01 AM,0.1036,0.2177,0.2592
31,07/07/21 01:00:01 AM,0.1036,0.2182,0.2592
32,07/07/21 01:30:01 AM,0.1036,0.2177,0.2592
