"Plot Title: MMSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 10759123, LBL: MMSM5 1 m)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20175820, LBL: mmsm5 30 cm)","Water Content, m³/m³ (LGR S/N: 20446556, SEN S/N: 20652825, LBL: MMSM5 10 cm)"
1,07/05/21 07:00:01 PM,0.2347,-0.1377,0.1421
2,07/05/21 07:30:01 PM,0.2347,0.2574,0.1416
3,07/05/21 08:00:01 PM,0.2347,-0.1145,0.1412
4,07/05/21 08:30:01 PM,0.2347,-0.1791,0.1405
5,07/05/21 09:00:01 PM,0.2344,0.1797,0.1400
6,07/05/21 09:30:01 PM,0.2344,0.2400,0.1391
7,07/05/21 10:00:01 PM,0.2339,-0.1464,0.1387
8,07/05/21 10:30:01 PM,0.2339,-0.1072,0.1382
9,07/05/21 11:00:01 PM,0.2344,-0.0767,0.1382
10,07/05/21 11:30:01 PM,0.2339,-0.2358,0.1375
11,07/06/21 12:00:01 AM,0.2344,-0.1624,0.1370
12,07/06/21 12:30:01 AM,0.2339,-0.0760,0.1370
13,07/06/21 01:00:01 AM,0.2344,-0.0970,0.1366
14,07/06/21 01:30:01 AM,0.2344,-0.1777,0.1366
15,07/06/21 02:00:01 AM,0.2339,-0.0571,0.1361
16,07/06/21 02:30:01 AM,0.2344,-0.0578,0.1361
17,07/06/21 03:00:01 AM,0.2344,0.1790,0.1357
18,07/06/21 03:30:01 AM,0.2344,0.1826,0.1357
19,07/06/21 04:00:01 AM,0.2344,-0.1188,0.1357
20,07/06/21 04:30:01 AM,0.2344,-0.0411,0.1352
21,07/06/21 05:00:01 AM,0.2344,-0.0651,0.1352
22,07/06/21 05:30:01 AM,0.2344,-0.0353,0.1352
23,07/06/21 06:00:01 AM,0.2344,-0.0353,0.1352
24,07/06/21 06:30:01 AM,0.2344,-0.0702,0.1347
25,07/06/21 07:00:01 AM,0.2344,-0.0782,0.1352
26,07/06/21 07:30:01 AM,0.2344,-0.0854,0.1347
27,07/06/21 08:00:01 AM,0.2347,-0.1283,0.1352
28,07/06/21 08:30:01 AM,0.2347,-0.0128,0.1352
29,07/06/21 09:00:01 AM,0.2347,-0.1275,0.1357
30,07/06/21 09:30:01 AM,0.2344,-0.0556,0.1361
31,07/06/21 10:00:01 AM,0.2344,-0.1573,0.1361
