Date,VWC_30cm_MM1SM,VWC_10cm_MM1SM,VWC_30cm_MMSM3,VWC_30cm_MMSM4,VWC_30cm_MMSM9.2,VWC_10cm_MMSM5,VWC_30cm_MMSM5,VWC_1m_MM1SM,VWC_1m_MMSM5,VWC_10cm_MMSM2,VWC_10cm_MMSM3,VWC_10cm_MMSM4,VWC_30cm_MMSM2,VWC_1m_MMSM3,VWC_75cm_MMSM2,VWC_75cm_MMSM4,WY
2019-04-27,0.507,NA,NA,0.478,0.277,NA,0.482,0.503,0.515,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-04,0.507,NA,NA,0.476,0.278,NA,0.483,0.504,0.515,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-11,0.508,NA,NA,0.475,0.278,NA,0.481,0.505,0.514,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-18,0.507,NA,NA,0.474,0.278,NA,0.477,0.5,0.513,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-25,0.509,NA,NA,0.473,0.278,NA,0.471,0.511,0.512,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-01,0.533,NA,NA,0.472,0.278,NA,0.461,0.516,0.51,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-08,0.569,NA,NA,0.457,0.278,NA,0.449,0.517,0.508,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-15,0.543,NA,NA,0.335,0.278,NA,0.366,0.508,0.504,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-22,NA,NA,NA,0.281,0.278,NA,0.326,NA,0.5,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-29,NA,NA,NA,0.254,0.278,NA,0.309,NA,0.493,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-06,NA,NA,NA,0.229,0.278,NA,0.298,NA,0.482,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-13,NA,NA,NA,0.187,0.278,NA,0.267,NA,0.385,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-20,0.318,0.186,NA,0.154,0.278,0.125,0.211,0.372,0.34,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-27,0.309,0.177,0.654,0.147,NA,0.121,0.196,0.374,0.324,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-03,0.289,0.165,0.537,0.145,NA,0.112,0.192,NA,0.309,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-10,0.265,0.152,0.444,0.143,NA,0.107,0.19,NA,0.29,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-17,0.237,0.136,0.434,0.143,NA,0.102,0.187,NA,0.246,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-24,0.221,0.125,0.428,0.142,NA,0.098,0.184,NA,0.224,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-31,0.211,0.117,0.347,0.141,NA,0.094,0.182,NA,0.219,NA,0.175,NA,NA,0.152,NA,NA,2019
2019-09-07,0.204,0.112,0.229,NA,NA,0.093,0.18,NA,0.218,NA,0.169,NA,NA,0.172,NA,NA,2019
2019-09-14,0.203,0.135,0.233,NA,NA,0.216,0.181,NA,0.221,NA,0.214,NA,NA,0.196,NA,NA,2019
2019-09-21,0.205,0.213,0.236,NA,NA,0.268,0.185,NA,0.225,NA,0.272,NA,NA,0.208,NA,NA,2019
2019-09-28,0.207,0.214,0.242,NA,NA,0.262,0.193,NA,0.227,NA,0.263,NA,NA,0.212,NA,NA,2019
2019-10-05,0.209,0.213,0.244,NA,NA,0.256,0.195,NA,0.229,NA,0.258,NA,NA,0.217,NA,NA,2020
2019-10-12,0.21,0.209,0.247,NA,NA,0.248,0.198,NA,0.229,NA,0.252,NA,NA,0.22,NA,NA,2020
2019-10-19,0.211,0.206,0.249,NA,NA,0.243,0.201,NA,0.23,NA,0.248,NA,NA,0.222,NA,NA,2020
2019-10-26,0.214,0.206,0.251,NA,NA,0.238,0.207,NA,0.23,NA,0.244,NA,NA,0.223,NA,NA,2020
2019-11-02,0.216,0.201,0.253,NA,NA,0.234,0.209,NA,0.232,NA,0.24,NA,NA,0.225,NA,NA,2020
2019-11-09,0.214,0.193,0.253,NA,NA,0.228,0.209,NA,0.233,NA,0.233,NA,NA,0.225,NA,NA,2020
2019-11-16,0.214,0.191,0.255,NA,NA,0.221,0.21,NA,0.232,NA,0.226,NA,NA,0.224,NA,NA,2020
