"TOA5","SoilvueRC2","CR300","22811","CR300.Std.10.01","CPU:RCSM2_CR300_May2021.CR300","43469","RCSM2_avg"
"TIMESTAMP","RECORD","VWC_5cm_Avg","Ka_5cm_Avg","T_5cm_Avg","BulkEC_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","T_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","T_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","T_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","T_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","T_50cm_Avg","BulkEC_50cm_Avg","VWC_60cm_Avg","Ka_60cm_Avg","T_60cm_Avg","BulkEC_60cm_Avg","VWC_75cm_Avg","Ka_75cm_Avg","T_75cm_Avg","BulkEC_75cm_Avg","VWC_100cm_Avg","Ka_100cm_Avg","T_100cm_Avg","BulkEC_100cm_Avg"
"TS","RN","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-05-01 10:30:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021-05-01 11:00:00",1,0.09,6.419,2.809,0.001,0.061,3.747,2.147,0,0.098,7.04,1.815,0.003,0.095,6.85,1.76,0.002,0.094,6.738,1.697,0.001,0.087,6.187,1.664,0,0.081,5.607,1.603,0.001,0.096,6.872,1.502,0.003,0.085,6.009,1.182,0.007
"2021-05-01 11:30:00",2,0.539,38.52,16.85,0.008,0.364,22.48,12.88,0,0.587,42.24,10.89,0.017,0.572,41.1,10.56,0.01,0.564,40.43,10.18,0.006,0.52,37.12,9.99,0,0.484,33.64,9.62,0.007,0.574,41.23,9.01,0.02,0.508,36.06,7.092,0.041
"2021-05-01 12:00:00",3,0.533,38.1,16.84,0.008,0.356,21.85,12.85,0,0.582,41.84,10.76,0.016,0.569,40.85,10.4,0.01,0.56,40.11,10.02,0.005,0.514,36.5,9.8,0,0.475,32.72,9.41,0.006,0.572,41.09,8.8,0.018,0.508,36.08,6.951,0.04
"2021-05-01 12:30:00",4,0.507,35.99,16.8,0.007,0.316,18.67,12.68,0,0.556,39.87,10.12,0.013,0.553,39.64,9.64,0.008,0.539,38.54,9.21,0,0.482,33.37,8.84,0,0.428,28.11,8.35,0,0.563,40.37,7.719,0.01,0.509,36.22,6.246,0.033
"2021-05-01 13:00:00",5,0.504,35.67,16.87,0.007,0.312,18.38,12.71,0,0.553,39.62,10.08,0.012,0.55,39.38,9.57,0.008,0.537,38.35,9.14,0,0.476,32.78,8.76,0,0.42,27.43,8.26,0,0.562,40.33,7.625,0.01,0.509,36.19,6.191,0.033
"2021-05-01 13:30:00",6,0.488,34.07,17.21,0.005,0.293,16.95,12.86,0,0.537,38.39,9.9,0.01,0.534,38.13,9.25,0.004,0.524,37.4,8.8,0,0.446,29.81,8.37,0,0.382,24.02,7.824,0,0.56,40.16,7.154,0.011,0.507,36.05,5.918,0.031
"2021-05-01 14:00:00",7,0.485,33.72,17.29,0.005,0.289,16.71,12.92,0,0.535,38.25,9.89,0.01,0.531,37.93,9.21,0.003,0.521,37.18,8.76,0,0.443,29.53,8.33,0,0.378,23.71,7.775,0,0.559,40.09,7.106,0.011,0.506,35.93,5.884,0.031
