"Plot Title: RCSM3_temp"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20418944, SEN S/N: 20684004, LBL: RCSM3_temp_30cm)","Water Content, m³/m³ (LGR S/N: 20418944, SEN S/N: 21077014, LBL: RCSM3_temp_70cm)"
1,12/08/21 11:00:01 AM,0.3403,0.2647
2,12/08/21 11:30:01 AM,0.3403,0.2654
3,12/08/21 12:00:01 PM,0.3403,0.2647
4,12/08/21 12:30:01 PM,0.3403,0.2647
5,12/08/21 01:00:01 PM,0.3403,0.2647
6,12/08/21 01:30:01 PM,0.3403,0.2647
7,12/08/21 02:00:01 PM,0.3399,0.2647
8,12/08/21 02:30:01 PM,0.3403,0.2647
9,12/08/21 03:00:01 PM,0.3399,0.2654
10,12/08/21 03:30:01 PM,0.3399,0.2647
11,12/08/21 04:00:01 PM,0.3403,0.2647
12,12/08/21 04:30:01 PM,0.3403,0.2654
13,12/08/21 05:00:01 PM,0.3399,0.2654
14,12/08/21 05:30:01 PM,0.3399,0.2647
15,12/08/21 06:00:01 PM,0.3399,0.2654
16,12/08/21 06:30:01 PM,0.3403,0.2647
17,12/08/21 07:00:01 PM,0.3403,0.2647
18,12/08/21 07:30:01 PM,0.3403,0.2647
19,12/08/21 08:00:01 PM,0.3403,0.2654
20,12/08/21 08:30:01 PM,0.3403,0.2654
21,12/08/21 09:00:01 PM,0.3403,0.2654
22,12/08/21 09:30:01 PM,0.3403,0.2654
23,12/08/21 10:00:01 PM,0.3399,0.2654
24,12/08/21 10:30:01 PM,0.3403,0.2647
25,12/08/21 11:00:01 PM,0.3403,0.2647
26,12/08/21 11:30:01 PM,0.3403,0.2654
27,12/09/21 12:00:01 AM,0.3403,0.2654
28,12/09/21 12:30:01 AM,0.3403,0.2647
29,12/09/21 01:00:01 AM,0.3399,0.2639
30,12/09/21 01:30:01 AM,0.3403,0.2639
31,12/09/21 02:00:01 AM,0.3399,0.2639
32,12/09/21 02:30:01 AM,0.3393,0.2639
33,12/09/21 03:00:01 AM,0.3393,0.2639
34,12/09/21 03:30:01 AM,0.3393,0.2647
35,12/09/21 04:00:01 AM,0.3393,0.2639
36,12/09/21 04:30:01 AM,0.3393,0.2639
37,12/09/21 05:00:01 AM,0.3393,0.2647
38,12/09/21 05:30:01 AM,0.3393,0.2647
39,12/09/21 06:00:01 AM,0.3393,0.2639
40,12/09/21 06:30:01 AM,0.3389,0.2639
41,12/09/21 07:00:01 AM,0.3393,0.2647
42,12/09/21 07:30:01 AM,0.3393,0.2647
43,12/09/21 08:00:01 AM,0.3393,0.2647
44,12/09/21 08:30:01 AM,0.3393,0.2647
45,12/09/21 09:00:01 AM,0.3393,0.2647
46,12/09/21 09:30:01 AM,0.3393,0.2647
47,12/09/21 10:00:01 AM,0.3399,0.2647
48,12/09/21 10:30:01 AM,0.3399,0.2639
49,12/09/21 11:00:01 AM,0.3399,0.2647
50,12/09/21 11:30:01 AM,0.3399,0.2647
51,12/09/21 12:00:01 PM,0.3399,0.2647
52,12/09/21 12:30:01 PM,0.3399,0.2647
53,12/09/21 01:00:01 PM,0.3399,0.2647
54,12/09/21 01:30:01 PM,0.3399,0.2647
55,12/09/21 02:00:01 PM,0.3399,0.2647
56,12/09/21 02:30:01 PM,0.3399,0.2647
57,12/09/21 03:00:01 PM,0.3399,0.2647
58,12/09/21 03:30:01 PM,0.3399,0.2647
59,12/09/21 04:00:01 PM,0.3399,0.2647
60,12/09/21 04:30:01 PM,0.3399,0.2647
61,12/09/21 05:00:01 PM,0.3399,0.2647
62,12/09/21 05:30:01 PM,0.3399,0.2647
63,12/09/21 06:00:01 PM,0.3403,0.2647
64,12/09/21 06:30:01 PM,0.3403,0.2647
65,12/09/21 07:00:01 PM,0.3403,0.2647
66,12/09/21 07:30:01 PM,0.3403,0.2647
67,12/09/21 08:00:01 PM,0.3399,0.2647
