"Plot Title: RCSM5"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM5 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM5 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM5 10 CM)"
1,12/08/21 11:00:01 AM,0.3490,0.4222,0.3537
2,12/08/21 11:30:01 AM,0.3496,0.4222,0.3531
3,12/08/21 12:00:01 PM,0.3496,0.4222,0.3542
4,12/08/21 12:30:01 PM,0.3496,0.4222,0.3537
5,12/08/21 01:00:01 PM,0.3496,0.4222,0.3542
6,12/08/21 01:30:01 PM,0.3496,0.4222,0.3531
7,12/08/21 02:00:01 PM,0.3496,0.4222,0.3537
8,12/08/21 02:30:01 PM,0.3496,0.4222,0.3542
9,12/08/21 03:00:01 PM,0.3496,0.4222,0.3542
10,12/08/21 03:30:01 PM,0.3500,0.4222,0.3537
11,12/08/21 04:00:01 PM,0.3496,0.4222,0.3542
12,12/08/21 04:30:01 PM,0.3496,0.4222,0.3531
13,12/08/21 05:00:01 PM,0.3496,0.4222,0.3542
14,12/08/21 05:30:01 PM,0.3496,0.4222,0.3537
15,12/08/21 06:00:01 PM,0.3496,0.4222,0.3542
16,12/08/21 06:30:01 PM,0.3496,0.4222,0.3542
17,12/08/21 07:00:01 PM,0.3496,0.4222,0.3531
18,12/08/21 07:30:01 PM,0.3496,0.4222,0.3542
19,12/08/21 08:00:01 PM,0.3496,0.4222,0.3542
20,12/08/21 08:30:01 PM,0.3496,0.4222,0.3542
21,12/08/21 09:00:01 PM,0.3496,0.4229,0.3542
22,12/08/21 09:30:01 PM,0.3496,0.4222,0.3542
23,12/08/21 10:00:01 PM,0.3496,0.4222,0.3542
24,12/08/21 10:30:01 PM,0.3496,0.4222,0.3537
25,12/08/21 11:00:01 PM,0.3496,0.4222,0.3542
26,12/08/21 11:30:01 PM,0.3496,0.4222,0.3531
27,12/09/21 12:00:01 AM,0.3496,0.4222,0.3531
28,12/09/21 12:30:01 AM,0.3496,0.4222,0.3542
29,12/09/21 01:00:01 AM,0.3496,0.4222,0.3542
30,12/09/21 01:30:01 AM,0.3496,0.4222,0.3542
31,12/09/21 02:00:01 AM,0.3496,0.4222,0.3542
32,12/09/21 02:30:01 AM,0.3496,0.4222,0.3542
33,12/09/21 03:00:01 AM,0.3496,0.4222,0.3542
34,12/09/21 03:30:01 AM,0.3496,0.4222,0.3537
35,12/09/21 04:00:01 AM,0.3496,0.4222,0.3531
36,12/09/21 04:30:01 AM,0.3496,0.4222,0.3542
37,12/09/21 05:00:01 AM,0.3496,0.4222,0.3531
38,12/09/21 05:30:01 AM,0.3496,0.4222,0.3542
