"TOA5","CR1000","CR1000","91760","CR1000.Std.32.03","CPU:CR1000_SoilVUEOnly.CR1","4114","Soil"
"TIMESTAMP","RECORD","VWC_5cm","Ka_5cm","T_5cm","BulkEC_5cm","VWC_10cm","Ka_10cm","T_10cm","BulkEC_10cm","VWC_20cm","Ka_20cm","T_20cm","BulkEC_20cm","VWC_30cm","Ka_30cm","T_30cm","BulkEC_30cm","VWC_40cm","Ka_40cm","T_40cm","BulkEC_40cm","VWC_50cm","Ka_50cm","T_50cm","BulkEC_50cm","VWC_60cm","Ka_60cm","T_60cm","BulkEC_60cm","VWC_75cm","Ka_75cm","T_75cm","BulkEC_75cm","VWC_100cm","Ka_100cm","T_100cm","BulkEC_100cm"
"TS","RN","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-08-17 08:00:00",0,0,2.264,15.31,0,0.033,3.355,17.44,0,0.038,3.518,18.8,0,0.058,4.217,18.8,0,0.02,2.967,18.24,0,0.073,4.777,17.59,0,0.083,5.153,16.7,0,0.014,2.772,15.48,0,0,1.093,13.8,0
"2020-08-17 08:30:00",1,0,2.264,15.31,0,0.033,3.355,17.44,0,0.038,3.518,18.8,0,0.058,4.217,18.8,0,0.02,2.967,18.24,0,0.073,4.777,17.59,0,0.083,5.153,16.7,0,0.014,2.772,15.48,0,0,1.093,13.8,0
"2020-08-17 09:00:00",2,0,2.315,16.7,0,0.033,3.367,17.46,0,0.035,3.427,18.67,0,0.058,4.228,18.69,0,0.02,2.959,18.24,0,0.075,4.84,17.59,0,0.078,4.981,16.72,0,0.012,2.722,15.5,0,0,1.093,13.8,0
"2020-08-17 09:30:00",3,0,2.315,16.7,0,0.033,3.367,17.46,0,0.035,3.427,18.67,0,0.058,4.228,18.69,0,0.02,2.959,18.24,0,0.075,4.84,17.59,0,0.078,4.981,16.72,0,0.012,2.722,15.5,0,0,1.093,13.8,0
"2020-08-17 10:00:00",4,0.003,2.474,17.41,0,0.031,3.288,17.64,0,0.04,3.607,18.59,0,0.057,4.201,18.67,0,0.021,2.983,18.19,0,0.076,4.897,17.54,0,0.085,5.255,16.72,0,0.012,2.732,15.53,0,0,1.137,13.77,0
"2020-08-17 10:30:00",5,0.003,2.474,17.41,0,0.031,3.288,17.64,0,0.04,3.607,18.59,0,0.057,4.201,18.67,0,0.021,2.983,18.19,0,0.076,4.897,17.54,0,0.085,5.255,16.72,0,0.012,2.732,15.53,0,0,1.137,13.77,0
"2020-08-17 11:00:00",6,0.004,2.492,18.3,0,0.028,3.202,17.8,0,0.036,3.479,18.51,0,0.057,4.186,18.59,0,0.021,2.978,18.17,0,0.072,4.725,17.54,0,0.083,5.156,16.72,0,0.017,2.861,15.5,0,0,1.1,13.77,0
"2020-08-17 11:30:00",7,0.004,2.492,18.3,0,0.028,3.202,17.8,0,0.036,3.479,18.51,0,0.057,4.186,18.59,0,0.021,2.978,18.17,0,0.072,4.725,17.54,0,0.083,5.156,16.72,0,0.017,2.861,15.5,0,0,1.1,13.77,0
