"Plot Title: 20541053"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538920, LBL: RCSM1 1m)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538921, LBL: RCSM1 10cm)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538928, LBL: RCSM1 30cm)"
1,07/06/20 09:30:01 AM,0.2925,0.2112,0.1724
2,07/06/20 10:00:01 AM,0.2925,0.2112,0.1724
3,07/06/20 10:30:01 AM,0.2925,0.2117,0.1718
4,07/06/20 11:00:01 AM,0.2925,0.2109,0.1718
5,07/06/20 11:30:01 AM,0.2922,0.2109,0.1718
6,07/06/20 12:00:01 PM,0.2925,0.2109,0.1724
7,07/06/20 12:30:01 PM,0.2925,0.2100,0.1732
8,07/06/20 01:00:01 PM,0.2922,0.2100,0.1728
9,07/06/20 01:30:01 PM,0.2922,0.2095,0.1738
10,07/06/20 02:00:01 PM,0.2922,0.2095,0.1738
11,07/06/20 02:30:01 PM,0.2922,0.2095,0.1732
12,07/06/20 03:00:01 PM,0.2922,0.2095,0.1732
13,07/06/20 03:30:01 PM,0.2922,0.2092,0.1738
14,07/06/20 04:00:01 PM,0.2922,0.2095,0.1738
15,07/06/20 04:30:01 PM,0.2922,0.2092,0.1738
16,07/06/20 05:00:01 PM,0.2922,0.2100,0.1732
17,07/06/20 05:30:01 PM,0.2922,0.2092,0.1728
18,07/06/20 06:00:01 PM,0.2922,0.2095,0.1724
19,07/06/20 06:30:01 PM,0.2922,0.2095,0.1732
20,07/06/20 07:00:01 PM,0.2922,0.2087,0.1728
21,07/06/20 07:30:01 PM,0.2922,0.2087,0.1724
22,07/06/20 08:00:01 PM,0.2922,0.2083,0.1728
23,07/06/20 08:30:01 PM,0.2919,0.2083,0.1718
24,07/06/20 09:00:01 PM,0.2922,0.2083,0.1718
25,07/06/20 09:30:01 PM,0.2922,0.2083,0.1714
26,07/06/20 10:00:01 PM,0.2919,0.2083,0.1714
27,07/06/20 10:30:01 PM,0.2922,0.2087,0.1709
28,07/06/20 11:00:01 PM,-0.4737,0.2087,0.1709
29,07/06/20 11:30:01 PM,-0.4737,0.2087,0.1699
30,07/07/20 12:00:01 AM,-0.4737,0.2087,0.1699
31,07/07/20 12:30:01 AM,-0.4737,0.2087,0.1699
32,07/07/20 01:00:01 AM,-0.4737,0.2087,0.1699
33,07/07/20 01:30:01 AM,-0.4737,0.2083,0.1703
34,07/07/20 02:00:01 AM,-0.4737,0.2087,0.1699
35,07/07/20 02:30:01 AM,-0.4737,0.2078,0.1699
36,07/07/20 03:00:01 AM,-0.4737,0.2083,0.1695
37,07/07/20 03:30:01 AM,-0.4737,0.2070,0.1699
38,07/07/20 04:00:01 AM,-0.4737,0.2087,0.1695
39,07/07/20 04:30:01 AM,-0.4737,0.2083,0.1695
40,07/07/20 05:00:01 AM,-0.4737,0.2083,0.1689
41,07/07/20 05:30:01 AM,-0.4737,0.2083,0.1689
42,07/07/20 06:00:01 AM,-0.4737,0.2083,0.1689
43,07/07/20 06:30:01 AM,-0.4737,0.2083,0.1689
44,07/07/20 07:00:01 AM,-0.4737,0.2078,0.1685
45,07/07/20 07:30:01 AM,-0.4737,0.2078,0.1689
46,07/07/20 08:00:01 AM,0.2919,0.2083,0.1689
47,07/07/20 08:30:01 AM,0.2919,0.2083,0.1695
48,07/07/20 09:00:01 AM,0.2919,0.2083,0.1689
49,07/07/20 09:30:01 AM,0.2922,0.2078,0.1695
50,07/07/20 10:00:01 AM,0.2922,0.2083,0.1695
51,07/07/20 10:30:01 AM,0.2922,0.2078,0.1689
52,07/07/20 11:00:01 AM,0.2922,0.2078,0.1695
53,07/07/20 11:30:01 AM,0.2922,0.2073,0.1695
54,07/07/20 12:00:01 PM,0.2922,0.2078,0.1699
55,07/07/20 12:30:01 PM,0.2919,0.2070,0.1699
56,07/07/20 01:00:01 PM,0.2919,0.2070,0.1709
57,07/07/20 01:30:01 PM,0.2922,0.2073,0.1714
58,07/07/20 02:00:01 PM,0.2919,0.2073,0.1709
59,07/07/20 02:30:01 PM,0.2919,0.2073,0.1714
60,07/07/20 03:00:01 PM,0.2922,0.2064,0.1714
61,07/07/20 03:30:01 PM,0.2919,0.2064,0.1718
62,07/07/20 04:00:01 PM,0.2922,0.2064,0.1714
63,07/07/20 04:30:01 PM,0.2922,0.2064,0.1714
64,07/07/20 05:00:01 PM,0.2922,0.2064,0.1718
65,07/07/20 05:30:01 PM,0.2922,0.2061,0.1714
66,07/07/20 06:00:01 PM,0.2922,0.2061,0.1714
67,07/07/20 06:30:01 PM,0.2922,0.2061,0.1709
68,07/07/20 07:00:01 PM,0.2922,0.2064,0.1709
69,07/07/20 07:30:01 PM,0.2922,0.2056,0.1703
