"TOA5","cr30","CR300","16518","CR300.Std.08.01","CPU:SoilVUE_program.CR300","38324","Thirty_Min"
"TIMESTAMP","RECORD","VWC_5cm_Avg","Ka_5cm_Avg","T_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","T_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","T_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","T_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","T_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","T_50cm_Avg","BulkEC_50cm_Avg","VWC_60cm_Avg","Ka_60cm_Avg","T_60cm_Avg","BulkEC_60cm_Avg","VWC_75cm_Avg","Ka_75cm_Avg","T_75cm_Avg","BulkEC_75cm_Avg","VWC_100cm_Avg","Ka_100cm_Avg","T_100cm_Avg","BulkEC_100cm_Avg"
"TS","RN","m^3/m^3","unitless","Deg C","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-12-09 13:30:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-12-09 14:00:00",1,0.043,3.708,0.01,0.122,6.869,0.201,0,0.455,30.71,0.701,0,0.352,21.47,1.492,0,0.371,23.08,2.173,0,0.258,14.54,2.72,0,0.187,10.15,3.35,0,0.811,62.21,4.104,0,0.646,47.47,5.268,0
"2019-12-09 14:30:00",2,0.043,3.708,0.01,0.122,6.869,0.201,0,0.455,30.71,0.701,0,0.352,21.47,1.492,0,0.371,23.08,2.173,0,0.258,14.54,2.72,0,0.187,10.15,3.35,0,0.811,62.21,4.104,0,0.646,47.47,5.268,0
"2019-12-09 15:00:00",3,0.046,3.802,0.01,0.123,6.892,0.182,0,0.449,30.19,0.797,0,0.353,21.6,1.512,0,0.371,23.06,2.212,0,0.257,14.5,2.74,0,0.188,10.25,3.389,0,0.779,59.14,4.143,0,0.648,47.68,5.268,0
"2019-12-09 15:30:00",4,0.046,3.802,0.01,0.123,6.892,0.182,0,0.449,30.19,0.797,0,0.353,21.6,1.512,0,0.371,23.06,2.212,0,0.257,14.5,2.74,0,0.188,10.25,3.389,0,0.779,59.14,4.143,0,0.648,47.68,5.268,0
"2019-12-09 16:00:00",5,0.042,3.675,-0.009,0.119,6.712,0.144,0,0.449,30.16,0.758,0,0.35,21.38,1.531,0,0.369,22.96,2.153,0,0.258,14.52,2.74,0,0.186,10.13,3.429,0,0.684,50.75,4.223,0,0.643,47.27,5.288,0
"2019-12-09 16:30:00",6,0.042,3.675,-0.009,0.119,6.712,0.144,0,0.449,30.16,0.758,0,0.35,21.38,1.531,0,0.369,22.96,2.153,0,0.258,14.52,2.74,0,0.186,10.13,3.429,0,0.684,50.75,4.223,0,0.643,47.27,5.288,0
"2019-12-09 17:00:00",7,0.045,3.774,-0.048,0.125,6.967,0.201,0,0.452,30.47,0.739,0,0.356,21.8,1.512,0,0.372,23.17,2.231,0,0.254,14.29,2.799,0,0.185,10.07,3.449,0,0.518,37.17,4.183,0,0.643,47.26,5.288,0
"2019-12-09 17:30:00",8,0.045,3.774,-0.048,0.125,6.967,0.201,0,0.452,30.47,0.739,0,0.356,21.8,1.512,0,0.372,23.17,2.231,0,0.254,14.29,2.799,0,0.185,10.07,3.449,0,0.518,37.17,4.183,0,0.643,47.26,5.288,0
"2019-12-09 18:00:00",9,0.037,3.513,-0.124,0.119,6.725,0.144,0,0.447,29.93,0.778,0,0.351,21.46,1.492,0,0.371,23.1,2.231,0,0.263,14.86,2.799,0,0.186,10.11,3.449,0,0.393,25,4.243,0,0.645,47.43,5.308,0
"2019-12-09 18:30:00",10,0.037,3.513,-0.124,0.119,6.725,0.144,0,0.447,29.93,0.778,0,0.351,21.46,1.492,0,0.371,23.1,2.231,0,0.263,14.86,2.799,0,0.186,10.11,3.449,0,0.393,25,4.243,0,0.645,47.43,5.308,0
"2019-12-09 19:00:00",11,0.043,3.685,-0.181,0.121,6.782,0.182,0,0.443,29.59,0.816,0,0.353,21.63,1.512,0,0.374,23.34,2.251,0,0.256,14.37,2.779,0,0.187,10.17,3.449,0,0.47,32.17,4.263,0,0.644,47.36,5.329,0
"2019-12-09 19:30:00",12,0.043,3.685,-0.181,0.121,6.782,0.182,0,0.443,29.59,0.816,0,0.353,21.63,1.512,0,0.374,23.34,2.251,0,0.256,14.37,2.779,0,0.187,10.17,3.449,0,0.47,32.17,4.263,0,0.644,47.36,5.329,0
"2019-12-09 20:00:00",13,0.037,3.508,-0.258,0.12,6.765,0.163,0,0.443,29.53,0.797,0,0.353,21.56,1.512,0,0.372,23.21,2.27,0,0.259,14.59,2.818,0,0.186,10.08,3.449,0,0.402,25.74,4.223,0,0.646,47.54,5.329,0
"2019-12-09 20:30:00",14,0.037,3.508,-0.258,0.12,6.765,0.163,0,0.443,29.53,0.797,0,0.353,21.56,1.512,0,0.372,23.21,2.27,0,0.259,14.59,2.818,0,0.186,10.08,3.449,0,0.402,25.74,4.223,0,0.646,47.54,5.329,0
"2019-12-09 21:00:00",15,0.037,3.506,-0.391,0.121,6.785,0.182,0,0.445,29.75,0.758,0,0.355,21.72,1.55,0,0.369,22.96,2.231,0,0.261,14.71,2.779,0,0.186,10.11,3.409,0,0.33,19.75,4.263,0,0.647,47.55,5.349,0
"2019-12-09 21:30:00",16,0.037,3.506,-0.391,0.121,6.785,0.182,0,0.445,29.75,0.758,0,0.355,21.72,1.55,0,0.369,22.96,2.231,0,0.261,14.71,2.779,0,0.186,10.11,3.409,0,0.33,19.75,4.263,0,0.647,47.55,5.349,0
