"Plot Title: RCSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM5 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM5 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM5 10 CM)"
1,07/06/20 10:30:01 AM,0.3769,0.4572,0.3934
2,07/06/20 11:00:01 AM,0.3775,0.4572,0.3939
3,07/06/20 11:30:01 AM,0.3775,0.4572,0.3927
4,07/06/20 12:00:01 PM,0.3775,0.4572,0.3934
5,07/06/20 12:30:01 PM,0.3769,0.4572,0.3927
6,07/06/20 01:00:01 PM,0.3769,0.4572,0.3939
7,07/06/20 01:30:01 PM,0.3775,0.4572,0.3939
8,07/06/20 02:00:01 PM,0.3775,0.4572,0.3934
9,07/06/20 02:30:01 PM,0.3775,0.4572,0.3934
10,07/06/20 03:00:01 PM,0.3769,0.4572,0.3927
11,07/06/20 03:30:01 PM,0.3769,0.4572,0.3927
12,07/06/20 04:00:01 PM,0.3775,0.4572,0.3939
13,07/06/20 04:30:01 PM,0.3775,0.4572,0.3927
14,07/06/20 05:00:01 PM,0.3769,0.4572,0.3934
15,07/06/20 05:30:01 PM,0.3769,0.4572,0.3927
16,07/06/20 06:00:01 PM,0.3769,0.4572,0.3927
17,07/06/20 06:30:01 PM,0.3769,0.4565,0.3927
18,07/06/20 07:00:01 PM,0.3769,0.4565,0.3927
19,07/06/20 07:30:01 PM,0.3769,0.4557,0.3920
20,07/06/20 08:00:01 PM,0.3769,0.4557,0.3934
21,07/06/20 08:30:01 PM,0.3769,0.4572,0.3920
22,07/06/20 09:00:01 PM,0.3775,0.4565,0.3920
23,07/06/20 09:30:01 PM,0.3769,0.4572,0.3920
24,07/06/20 10:00:01 PM,0.3775,0.4565,0.3920
25,07/06/20 10:30:01 PM,0.3769,0.4565,0.3927
26,07/06/20 11:00:01 PM,0.3769,0.4565,0.3927
27,07/06/20 11:30:01 PM,0.3775,0.4565,0.3920
28,07/07/20 12:00:01 AM,0.3775,0.4565,0.3927
29,07/07/20 12:30:01 AM,0.3769,0.4565,0.3920
30,07/07/20 01:00:01 AM,0.3775,0.4565,0.3927
31,07/07/20 01:30:01 AM,0.3769,0.4565,0.3920
32,07/07/20 02:00:01 AM,0.3769,0.4565,0.3927
33,07/07/20 02:30:01 AM,0.3775,0.4565,0.3915
34,07/07/20 03:00:01 AM,0.3769,0.4565,0.3920
35,07/07/20 03:30:01 AM,0.3769,0.4565,0.3920
36,07/07/20 04:00:01 AM,0.3775,0.4565,0.3915
37,07/07/20 04:30:01 AM,0.3769,0.4565,0.3920
38,07/07/20 05:00:01 AM,0.3769,0.4565,0.3915
39,07/07/20 05:30:01 AM,0.3769,0.4565,0.3915
40,07/07/20 06:00:01 AM,0.3769,0.4565,0.3915
41,07/07/20 06:30:01 AM,0.3769,0.4565,0.3920
42,07/07/20 07:00:01 AM,0.3769,0.4565,0.3915
43,07/07/20 07:30:01 AM,0.3769,0.4565,0.3915
44,07/07/20 08:00:01 AM,0.3775,0.4565,0.3920
45,07/07/20 08:30:01 AM,0.3769,0.4565,0.3927
46,07/07/20 09:00:01 AM,0.3769,0.4572,0.3927
47,07/07/20 09:30:01 AM,0.3769,0.4565,0.3920
48,07/07/20 10:00:01 AM,0.3769,0.4557,0.3927
49,07/07/20 10:30:01 AM,0.3769,0.4565,0.3920
50,07/07/20 11:00:01 AM,0.3775,0.4572,0.3927
51,07/07/20 11:30:01 AM,0.3769,0.4565,0.3927
52,07/07/20 12:00:01 PM,0.3769,0.4572,0.3927
53,07/07/20 12:30:01 PM,0.3775,0.4572,0.3920
54,07/07/20 01:00:01 PM,0.3769,0.4565,0.3927
55,07/07/20 01:30:01 PM,0.3769,0.4565,0.3927
56,07/07/20 02:00:01 PM,0.3775,0.4565,0.3920
57,07/07/20 02:30:01 PM,0.3769,0.4565,0.3920
58,07/07/20 03:00:01 PM,0.3769,0.4565,0.3920
59,07/07/20 03:30:01 PM,0.3769,0.4565,0.3915
60,07/07/20 04:00:01 PM,0.3769,0.4565,0.3920
61,07/07/20 04:30:01 PM,0.3769,0.4557,0.3920
62,07/07/20 05:00:01 PM,0.3769,0.4557,0.3915
63,07/07/20 05:30:01 PM,0.3769,0.4557,0.3920
64,07/07/20 06:00:01 PM,0.3769,0.4557,0.3927
65,07/07/20 06:30:01 PM,0.3769,0.4557,0.3927
66,07/07/20 07:00:01 PM,0.3769,0.4557,0.3927
67,07/07/20 07:30:01 PM,0.3769,0.4557,0.3927
68,07/07/20 08:00:01 PM,0.3769,0.4557,0.3927
69,07/07/20 08:30:01 PM,0.3769,0.4557,0.3920
70,07/07/20 09:00:01 PM,0.3769,0.4557,0.3927
71,07/07/20 09:30:01 PM,0.3769,0.4557,0.3920
72,07/07/20 10:00:01 PM,0.3769,0.4557,0.3927
73,07/07/20 10:30:01 PM,0.3769,0.4557,0.3920
74,07/07/20 11:00:01 PM,0.3769,0.4557,0.3927
75,07/07/20 11:30:01 PM,0.3769,0.4557,0.3920
76,07/08/20 12:00:01 AM,0.3769,0.4557,0.3927
77,07/08/20 12:30:01 AM,0.3769,0.4557,0.3920
78,07/08/20 01:00:01 AM,0.3769,0.4557,0.3920
79,07/08/20 01:30:01 AM,0.3769,0.4550,0.3920
80,07/08/20 02:00:01 AM,0.3769,0.4557,0.3920
81,07/08/20 02:30:01 AM,0.3769,0.4557,0.3915
82,07/08/20 03:00:01 AM,0.3769,0.4550,0.3920
83,07/08/20 03:30:01 AM,0.3769,0.4550,0.3915
84,07/08/20 04:00:01 AM,0.3769,0.4550,0.3927
85,07/08/20 04:30:01 AM,0.3769,0.4557,0.3915
86,07/08/20 05:00:01 AM,0.3769,0.4557,0.3915
87,07/08/20 05:30:01 AM,0.3775,0.4557,0.3915
88,07/08/20 06:00:01 AM,0.3762,0.4557,0.3915
89,07/08/20 06:30:01 AM,0.3769,0.4550,0.3915
90,07/08/20 07:00:01 AM,0.3769,0.4550,0.3920
91,07/08/20 07:30:01 AM,0.3769,0.4550,0.3920
92,07/08/20 08:00:01 AM,0.3769,0.4557,0.3920
93,07/08/20 08:30:01 AM,0.3769,0.4557,0.3920
94,07/08/20 09:00:01 AM,0.3769,0.4557,0.3915
