"Plot Title: 20541053"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538921, LBL: RCSM1 10cm)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 20538928, LBL: RCSM1 30cm)","Water Content, m³/m³ (LGR S/N: 20541053, SEN S/N: 21077016, LBL: RCSM1 1 m)"
1,09/09/21 02:00:01 PM,0.1596,0.1075,0.2218
2,09/09/21 02:30:01 PM,0.1596,0.1080,0.2218
3,09/09/21 03:00:01 PM,0.1590,0.1085,0.2211
4,09/09/21 03:30:01 PM,0.1590,0.1085,0.2211
5,09/09/21 04:00:01 PM,0.1590,0.1085,0.2211
6,09/09/21 04:30:01 PM,0.1590,0.1085,0.2211
7,09/09/21 05:00:01 PM,0.1590,0.1085,0.2211
8,09/09/21 05:30:01 PM,0.1590,0.1085,0.2211
9,09/09/21 06:00:01 PM,0.1590,0.1085,0.2211
10,09/09/21 06:30:01 PM,0.1596,0.1085,0.2211
11,09/09/21 07:00:01 PM,0.1590,0.1085,0.2211
12,09/09/21 07:30:01 PM,0.1590,0.1080,0.2211
13,09/09/21 08:00:01 PM,0.1590,0.1080,0.2211
14,09/09/21 08:30:01 PM,0.1590,0.1075,0.2211
15,09/09/21 09:00:01 PM,0.1585,0.1069,0.2211
16,09/09/21 09:30:01 PM,0.1590,0.1069,0.2211
17,09/09/21 10:00:01 PM,0.1590,0.1069,0.2211
18,09/09/21 10:30:01 PM,0.1585,0.1064,0.2211
19,09/09/21 11:00:01 PM,0.1590,0.1064,0.2211
20,09/09/21 11:30:01 PM,0.1590,0.1064,0.2211
21,09/10/21 12:00:01 AM,0.1590,0.1058,0.2211
22,09/10/21 12:30:01 AM,0.1590,0.1058,0.2211
23,09/10/21 01:00:01 AM,0.1585,0.1058,0.2211
24,09/10/21 01:30:01 AM,0.1590,0.1058,0.2211
25,09/10/21 02:00:01 AM,0.1590,0.1058,0.2211
26,09/10/21 02:30:01 AM,0.1585,0.1053,0.2211
27,09/10/21 03:00:01 AM,0.1585,0.1053,0.2211
28,09/10/21 03:30:01 AM,0.1590,0.1053,0.2211
29,09/10/21 04:00:01 AM,0.1590,0.1053,0.2211
30,09/10/21 04:30:01 AM,0.1590,0.1053,0.2211
31,09/10/21 05:00:01 AM,0.1590,0.1053,0.2211
