"Plot Title: RCSM3_temp"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20418944, SEN S/N: 20684004, LBL: RCSM3_temp_30cm)","Water Content, m³/m³ (LGR S/N: 20418944, SEN S/N: 21077014, LBL: RCSM3_temp_70cm)"
1,09/09/21 02:00:01 PM,0.1981,0.1920
2,09/09/21 02:30:01 PM,0.1976,0.1913
3,09/09/21 03:00:01 PM,0.1972,0.1913
4,09/09/21 03:30:01 PM,0.1699,0.1913
5,09/09/21 04:00:01 PM,0.1746,0.1913
6,09/09/21 04:30:01 PM,0.1972,0.1913
7,09/09/21 05:00:01 PM,0.1976,0.1913
8,09/09/21 05:30:01 PM,0.1976,0.1913
9,09/09/21 06:00:01 PM,0.1976,0.1913
10,09/09/21 06:30:01 PM,0.1976,0.1913
11,09/09/21 07:00:01 PM,-0.2090,0.1913
12,09/09/21 07:30:01 PM,-0.1863,0.1913
13,09/09/21 08:00:01 PM,0.1967,0.1913
14,09/09/21 08:30:01 PM,0.1967,0.1913
15,09/09/21 09:00:01 PM,0.1972,0.1913
16,09/09/21 09:30:01 PM,0.1967,0.1913
17,09/09/21 10:00:01 PM,0.1967,0.1913
18,09/09/21 10:30:01 PM,0.1967,0.1913
19,09/09/21 11:00:01 PM,0.1967,0.1913
20,09/09/21 11:30:01 PM,0.1967,0.1913
21,09/10/21 12:00:01 AM,0.1967,0.1913
22,09/10/21 12:30:01 AM,0.1967,0.1913
23,09/10/21 01:00:01 AM,0.1972,0.1913
24,09/10/21 01:30:01 AM,0.1967,0.1913
25,09/10/21 02:00:01 AM,0.1967,0.1913
26,09/10/21 02:30:01 AM,0.1967,0.1913
27,09/10/21 03:00:01 AM,0.1967,0.1913
28,09/10/21 03:30:01 AM,0.1967,0.1913
29,09/10/21 04:00:01 AM,0.1967,0.1913
30,09/10/21 04:30:01 AM,0.1967,0.1913
31,09/10/21 05:00:01 AM,0.1967,0.1913
32,09/10/21 05:30:01 AM,0.1963,0.1913
33,09/10/21 06:00:01 AM,0.1963,0.1913
34,09/10/21 06:30:01 AM,0.1958,0.1913
35,09/10/21 07:00:01 AM,0.1954,0.1913
36,09/10/21 07:30:01 AM,0.1948,0.1913
37,09/10/21 08:00:01 AM,0.1948,0.1913
38,09/10/21 08:30:01 AM,0.1948,0.1906
39,09/10/21 09:00:01 AM,0.1948,0.1906
40,09/10/21 09:30:01 AM,0.1954,0.1906
41,09/10/21 10:00:01 AM,0.1954,0.1906
42,09/10/21 10:30:01 AM,0.1958,0.1906
43,09/10/21 11:00:01 AM,0.1958,0.1913
44,09/10/21 11:30:01 AM,0.1514,0.1913
45,09/10/21 12:00:01 PM,0.1958,0.1913
46,09/10/21 12:30:01 PM,-0.3878,0.1913
