"Plot Title: RCSM5"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM5 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM5 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM5 10 CM)"
1,09/09/21 04:00:01 PM,0.2884,0.3883,0.2844
2,09/09/21 04:30:01 PM,0.2884,0.3883,0.2840
3,09/09/21 05:00:01 PM,0.2884,0.3883,0.2844
4,09/09/21 05:30:01 PM,0.2887,0.3883,0.2844
5,09/09/21 06:00:01 PM,0.2887,0.3883,0.2844
6,09/09/21 06:30:01 PM,0.2884,0.3883,0.2837
7,09/09/21 07:00:01 PM,0.2884,0.3883,0.2840
8,09/09/21 07:30:01 PM,0.2884,0.3883,0.2840
9,09/09/21 08:00:01 PM,0.2884,0.3883,0.2837
10,09/09/21 08:30:01 PM,0.2884,0.3883,0.2840
11,09/09/21 09:00:01 PM,0.2884,0.3877,0.2837
12,09/09/21 09:30:01 PM,0.2884,0.3877,0.2840
13,09/09/21 10:00:01 PM,0.2884,0.3877,0.2837
14,09/09/21 10:30:01 PM,0.2884,0.3877,0.2840
15,09/09/21 11:00:01 PM,0.2881,0.3883,0.2840
16,09/09/21 11:30:01 PM,0.2884,0.3883,0.2840
17,09/10/21 12:00:01 AM,0.2884,0.3877,0.2837
18,09/10/21 12:30:01 AM,0.2884,0.3877,0.2837
19,09/10/21 01:00:01 AM,0.2884,0.3877,0.2837
20,09/10/21 01:30:01 AM,0.2884,0.3883,0.2837
21,09/10/21 02:00:01 AM,0.2884,0.3877,0.2837
22,09/10/21 02:30:01 AM,0.2884,0.3877,0.2837
23,09/10/21 03:00:01 AM,0.2884,0.3877,0.2837
24,09/10/21 03:30:01 AM,0.2884,0.3877,0.2837
25,09/10/21 04:00:01 AM,0.2884,0.3877,0.2840
26,09/10/21 04:30:01 AM,0.2884,0.3883,0.2837
27,09/10/21 05:00:01 AM,0.2884,0.3877,0.2840
28,09/10/21 05:30:01 AM,0.2884,0.3877,0.2837
29,09/10/21 06:00:01 AM,0.2884,0.3877,0.2840
30,09/10/21 06:30:01 AM,0.2884,0.3877,0.2837
31,09/10/21 07:00:01 AM,0.2884,0.3877,0.2837
32,09/10/21 07:30:01 AM,0.2884,0.3877,0.2837
33,09/10/21 08:00:01 AM,0.2884,0.3877,0.2840
34,09/10/21 08:30:01 AM,0.2884,0.3877,0.2840
35,09/10/21 09:00:01 AM,0.2884,0.3877,0.2837
36,09/10/21 09:30:01 AM,0.2884,0.3877,0.2837
37,09/10/21 10:00:01 AM,0.2884,0.3877,0.2837
38,09/10/21 10:30:01 AM,0.2887,0.3877,0.2844
39,09/10/21 11:00:01 AM,0.2884,0.3883,0.2840
40,09/10/21 11:30:01 AM,0.2887,0.3877,0.2840
41,09/10/21 12:00:01 PM,0.2887,0.3877,0.2840
42,09/10/21 12:30:01 PM,0.2884,0.3877,0.2837
43,09/10/21 01:00:01 PM,0.2884,0.3877,0.2840
44,09/10/21 01:30:01 PM,0.2884,0.3883,0.2840
45,09/10/21 02:00:01 PM,0.2884,0.3877,0.2840
46,09/10/21 02:30:01 PM,0.2884,0.3883,0.2840
47,09/10/21 03:00:01 PM,0.2884,0.3883,0.2840
48,09/10/21 03:30:01 PM,0.2884,0.3883,0.2840
49,09/10/21 04:00:01 PM,0.2881,0.3883,0.2837
50,09/10/21 04:30:01 PM,0.2881,0.3883,0.2837
51,09/10/21 05:00:01 PM,0.2881,0.3883,0.2837
52,09/10/21 05:30:01 PM,0.2881,0.3877,0.2840
53,09/10/21 06:00:01 PM,0.2881,0.3883,0.2837
54,09/10/21 06:30:01 PM,0.2881,0.3877,0.2840
55,09/10/21 07:00:01 PM,0.2881,0.3877,0.2840
56,09/10/21 07:30:01 PM,0.2881,0.3877,0.2837
57,09/10/21 08:00:01 PM,0.2881,0.3877,0.2840
58,09/10/21 08:30:01 PM,0.2877,0.3877,0.2837
59,09/10/21 09:00:01 PM,0.2881,0.3877,0.2840
60,09/10/21 09:30:01 PM,0.2881,0.3877,0.2837
61,09/10/21 10:00:01 PM,0.2877,0.3877,0.2837
62,09/10/21 10:30:01 PM,0.2881,0.3877,0.2834
63,09/10/21 11:00:01 PM,0.2877,0.3877,0.2837
64,09/10/21 11:30:01 PM,0.2881,0.3872,0.2837
65,09/11/21 12:00:01 AM,0.2877,0.3877,0.2834
66,09/11/21 12:30:01 AM,0.2877,0.3877,0.2837
67,09/11/21 01:00:01 AM,0.2877,0.3877,0.2834
68,09/11/21 01:30:01 AM,0.2877,0.3877,0.2834
69,09/11/21 02:00:01 AM,0.2877,0.3877,0.2837
70,09/11/21 02:30:01 AM,0.2877,0.3877,0.2834
71,09/11/21 03:00:01 AM,0.2877,0.3877,0.2834
72,09/11/21 03:30:01 AM,0.2881,0.3872,0.2834
73,09/11/21 04:00:01 AM,0.2877,0.3877,0.2834
74,09/11/21 04:30:01 AM,0.2881,0.3872,0.2834
75,09/11/21 05:00:01 AM,0.2881,0.3872,0.2837
76,09/11/21 05:30:01 AM,0.2877,0.3872,0.2837
77,09/11/21 06:00:01 AM,0.2881,0.3877,0.2834
78,09/11/21 06:30:01 AM,0.2881,0.3872,0.2834
79,09/11/21 07:00:01 AM,0.2877,0.3872,0.2834
80,09/11/21 07:30:01 AM,0.2877,0.3877,0.2837
81,09/11/21 08:00:01 AM,0.2881,0.3877,0.2837
82,09/11/21 08:30:01 AM,0.2881,0.3877,0.2837
83,09/11/21 09:00:01 AM,0.2881,0.3877,0.2837
84,09/11/21 09:30:01 AM,0.2881,0.3877,0.2837
85,09/11/21 10:00:01 AM,0.2881,0.3877,0.2837
86,09/11/21 10:30:01 AM,0.2881,0.3877,0.2837
87,09/11/21 11:00:01 AM,0.2881,0.3877,0.2837
88,09/11/21 11:30:01 AM,0.2884,0.3877,0.2837
89,09/11/21 12:00:01 PM,0.2881,0.3877,0.2837
90,09/11/21 12:30:01 PM,0.2884,0.3877,0.2837
91,09/11/21 01:00:01 PM,0.2881,0.3877,0.2837
92,09/11/21 01:30:01 PM,0.2881,0.3877,0.2837
93,09/11/21 02:00:01 PM,0.2877,0.3877,0.2837
94,09/11/21 02:30:01 PM,0.2881,0.3877,0.2837
95,09/11/21 03:00:01 PM,0.2881,0.3877,0.2837
96,09/11/21 03:30:01 PM,0.2877,0.3877,0.2834
97,09/11/21 04:00:01 PM,0.2877,0.3877,0.2834
98,09/11/21 04:30:01 PM,0.2877,0.3877,0.2834
99,09/11/21 05:00:01 PM,0.2877,0.3877,0.2834
100,09/11/21 05:30:01 PM,0.2874,0.3883,0.2830
101,09/11/21 06:00:01 PM,0.2874,0.3877,0.2834
102,09/11/21 06:30:01 PM,0.2874,0.3877,0.2830
103,09/11/21 07:00:01 PM,0.2874,0.3877,0.2834
104,09/11/21 07:30:01 PM,0.2874,0.3877,0.2834
105,09/11/21 08:00:01 PM,0.2874,0.3872,0.2834
106,09/11/21 08:30:01 PM,0.2871,0.3872,0.2830
107,09/11/21 09:00:01 PM,0.2874,0.3872,0.2834
108,09/11/21 09:30:01 PM,0.2871,0.3872,0.2830
109,09/11/21 10:00:01 PM,0.2871,0.3872,0.2830
110,09/11/21 10:30:01 PM,0.2874,0.3872,0.2830
111,09/11/21 11:00:01 PM,0.2874,0.3872,0.2830
112,09/11/21 11:30:01 PM,0.2871,0.3872,0.2827
113,09/12/21 12:00:01 AM,0.2871,0.3872,0.2830
114,09/12/21 12:30:01 AM,0.2871,0.3872,0.2834
115,09/12/21 01:00:01 AM,0.2871,0.3872,0.2830
116,09/12/21 01:30:01 AM,0.2871,0.3872,0.2827
117,09/12/21 02:00:01 AM,0.2871,0.3872,0.2830
118,09/12/21 02:30:01 AM,0.2871,0.3872,0.2834
119,09/12/21 03:00:01 AM,0.2871,0.3872,0.2830
120,09/12/21 03:30:01 AM,0.2871,0.3872,0.2830
121,09/12/21 04:00:01 AM,0.2874,0.3872,0.2834
122,09/12/21 04:30:01 AM,0.2874,0.3872,0.2834
123,09/12/21 05:00:01 AM,0.2874,0.3872,0.2830
124,09/12/21 05:30:01 AM,0.2871,0.3872,0.2834
125,09/12/21 06:00:01 AM,0.2871,0.3872,0.2834
126,09/12/21 06:30:01 AM,0.2874,0.3872,0.2830
