"Plot Title: RCSM5"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538922, LBL: RCSM5 30 CM)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538923, LBL: RCSM5 1M)","Water Content, m³/m³ (LGR S/N: 20541050, SEN S/N: 20538924, LBL: RCSM5 10 CM)"
1,11/21/20 12:30:01 PM,0.3451,0.3939,0.3511
2,11/21/20 01:00:01 PM,0.3447,0.3939,0.3516
3,11/21/20 01:30:01 PM,0.3451,0.3939,0.3521
4,11/21/20 02:00:01 PM,0.3451,0.3939,0.3521
5,11/21/20 02:30:01 PM,0.3451,0.3939,0.3521
6,11/21/20 03:00:01 PM,0.3451,0.3934,0.3521
7,11/21/20 03:30:01 PM,0.3451,0.3939,0.3521
8,11/21/20 04:00:01 PM,0.3447,0.3934,0.3531
9,11/21/20 04:30:01 PM,0.3451,0.3939,0.3521
10,11/21/20 05:00:01 PM,0.3451,0.3939,0.3521
11,11/21/20 05:30:01 PM,0.3451,0.3939,0.3526
12,11/21/20 06:00:01 PM,0.3451,0.3939,0.3521
13,11/21/20 06:30:01 PM,0.3451,0.3939,0.3521
14,11/21/20 07:00:01 PM,0.3451,0.3939,0.3516
15,11/21/20 07:30:01 PM,0.3447,0.3934,0.3526
16,11/21/20 08:00:01 PM,0.3451,0.3939,0.3526
17,11/21/20 08:30:01 PM,0.3447,0.3939,0.3521
18,11/21/20 09:00:01 PM,0.3447,0.3939,0.3516
19,11/21/20 09:30:01 PM,0.3447,0.3934,0.3521
20,11/21/20 10:00:01 PM,0.3447,0.3939,0.3516
21,11/21/20 10:30:01 PM,0.3447,0.3939,0.3521
22,11/21/20 11:00:01 PM,0.3447,0.3939,0.3516
23,11/21/20 11:30:01 PM,0.3447,0.3939,0.3521
24,11/22/20 12:00:01 AM,0.3447,0.3939,0.3511
25,11/22/20 12:30:01 AM,0.3447,0.3939,0.3511
26,11/22/20 01:00:01 AM,0.3447,0.3939,0.3516
27,11/22/20 01:30:01 AM,0.3441,0.3939,0.3516
28,11/22/20 02:00:01 AM,0.3447,0.3939,0.3516
29,11/22/20 02:30:01 AM,0.3447,0.3939,0.3511
30,11/22/20 03:00:01 AM,0.3441,0.3939,0.3506
31,11/22/20 03:30:01 AM,0.3441,0.3939,0.3506
32,11/22/20 04:00:01 AM,0.3441,0.3939,0.3511
33,11/22/20 04:30:01 AM,0.3437,0.3939,0.3511
34,11/22/20 05:00:01 AM,0.3441,0.3939,0.3500
35,11/22/20 05:30:01 AM,0.3441,0.3939,0.3511
36,11/22/20 06:00:01 AM,0.3441,0.3939,0.3506
37,11/22/20 06:30:01 AM,0.3441,0.3939,0.3511
38,11/22/20 07:00:01 AM,0.3437,0.3939,0.3500
39,11/22/20 07:30:01 AM,0.3437,0.3939,0.3500
40,11/22/20 08:00:01 AM,0.3437,0.3939,0.3500
41,11/22/20 08:30:01 AM,0.3437,0.3939,0.3500
42,11/22/20 09:00:01 AM,0.3441,0.3939,0.3500
43,11/22/20 09:30:01 AM,0.3441,0.3939,0.3496
44,11/22/20 10:00:01 AM,0.3437,0.3946,0.3496
45,11/22/20 10:30:01 AM,0.3441,0.3946,0.3496
46,11/22/20 11:00:01 AM,0.3437,0.3946,0.3500
47,11/22/20 11:30:01 AM,0.3437,0.3946,0.3500
48,11/22/20 12:00:01 PM,0.3441,0.3946,0.3500
49,11/22/20 12:30:01 PM,0.3441,0.3946,0.3511
50,11/22/20 01:00:01 PM,0.3441,0.3946,0.3506
51,11/22/20 01:30:01 PM,0.3441,0.3946,0.3506
52,11/22/20 02:00:01 PM,0.3441,0.3946,0.3511
53,11/22/20 02:30:01 PM,0.3441,0.3946,0.3511
54,11/22/20 03:00:01 PM,0.3441,0.3946,0.3511
55,11/22/20 03:30:01 PM,0.3441,0.3946,0.3516
56,11/22/20 04:00:01 PM,0.3441,0.3946,0.3511
57,11/22/20 04:30:01 PM,0.3441,0.3946,0.3516
58,11/22/20 05:00:01 PM,0.3441,0.3946,0.3516
59,11/22/20 05:30:01 PM,0.3441,0.3939,0.3511
60,11/22/20 06:00:01 PM,0.3441,0.3946,0.3516
61,11/22/20 06:30:01 PM,0.3441,0.3939,0.3511
62,11/22/20 07:00:01 PM,0.3441,0.3946,0.3516
63,11/22/20 07:30:01 PM,0.3441,0.3946,0.3516
64,11/22/20 08:00:01 PM,0.3441,0.3939,0.3511
65,11/22/20 08:30:01 PM,0.3441,0.3946,0.3511
66,11/22/20 09:00:01 PM,0.3441,0.3946,0.3516
67,11/22/20 09:30:01 PM,0.3441,0.3946,0.3516
68,11/22/20 10:00:01 PM,0.3441,0.3946,0.3511
69,11/22/20 10:30:01 PM,0.3441,0.3946,0.3516
70,11/22/20 11:00:01 PM,0.3441,0.3946,0.3516
71,11/22/20 11:30:01 PM,0.3437,0.3946,0.3511
72,11/23/20 12:00:01 AM,0.3437,0.3946,0.3511
73,11/23/20 12:30:01 AM,0.3437,0.3946,0.3506
74,11/23/20 01:00:01 AM,0.3437,0.3946,0.3511
75,11/23/20 01:30:01 AM,0.3437,0.3946,0.3506
76,11/23/20 02:00:01 AM,0.3437,0.3946,0.3506
77,11/23/20 02:30:01 AM,0.3437,0.3946,0.3511
78,11/23/20 03:00:01 AM,0.3437,0.3946,0.3506
79,11/23/20 03:30:01 AM,0.3437,0.3946,0.3511
80,11/23/20 04:00:01 AM,0.3432,0.3946,0.3511
81,11/23/20 04:30:01 AM,0.3437,0.3946,0.3511
82,11/23/20 05:00:01 AM,0.3437,0.3946,0.3511
83,11/23/20 05:30:01 AM,0.3441,0.3946,0.3511
84,11/23/20 06:00:01 AM,0.3437,0.3946,0.3506
85,11/23/20 06:30:01 AM,0.3432,0.3946,0.3506
86,11/23/20 07:00:01 AM,0.3437,0.3946,0.3506
87,11/23/20 07:30:01 AM,0.3432,0.3946,0.3506
88,11/23/20 08:00:01 AM,0.3437,0.3946,0.3511
89,11/23/20 08:30:01 AM,0.3437,0.3946,0.3506
90,11/23/20 09:00:01 AM,0.3437,0.3946,0.3500
91,11/23/20 09:30:01 AM,0.3437,0.3946,0.3500
92,11/23/20 10:00:01 AM,0.3437,0.3946,0.3500
93,11/23/20 10:30:01 AM,0.3437,0.3952,0.3506
94,11/23/20 11:00:01 AM,0.3432,0.3952,0.3516
95,11/23/20 11:30:01 AM,0.3432,0.3946,0.3511
96,11/23/20 12:00:01 PM,0.3432,0.3952,0.3511
97,11/23/20 12:30:01 PM,0.3437,0.3952,0.3516
98,11/23/20 01:00:01 PM,0.3437,0.3952,0.3516
99,11/23/20 01:30:01 PM,0.3437,0.3952,0.3511
100,11/23/20 02:00:01 PM,0.3437,0.3952,0.3516
101,11/23/20 02:30:01 PM,0.3437,0.3952,0.3511
102,11/23/20 03:00:01 PM,0.3437,0.3946,0.3511
103,11/23/20 03:30:01 PM,0.3437,0.3946,0.3511
104,11/23/20 04:00:01 PM,0.3437,0.3952,0.3521
105,11/23/20 04:30:01 PM,0.3432,0.3952,0.3516
106,11/23/20 05:00:01 PM,0.3437,0.3946,0.3516
107,11/23/20 05:30:01 PM,0.3437,0.3946,0.3511
108,11/23/20 06:00:01 PM,0.3437,0.3946,0.3511
109,11/23/20 06:30:01 PM,0.3437,0.3946,0.3506
110,11/23/20 07:00:01 PM,0.3432,0.3946,0.3511
111,11/23/20 07:30:01 PM,0.3432,0.3946,0.3506
112,11/23/20 08:00:01 PM,0.3432,0.3946,0.3511
113,11/23/20 08:30:01 PM,0.3432,0.3946,0.3506
114,11/23/20 09:00:01 PM,0.3432,0.3946,0.3511
115,11/23/20 09:30:01 PM,0.3432,0.3946,0.3511
116,11/23/20 10:00:01 PM,0.3432,0.3946,0.3506
